ONE_DAY_PRECIPITATION,ONE_DAY_RAIN,MIN_TEMP,ONE_DAY_SNOW,time,SNOW_ON_THE_GROUND,MAX_TEMP,week_of_year,WDIR_VECT,TEMP_MEAN,WSPD_SCLR,HUMIDITY,avg_rel_hum_pst1hr,avg_air_temp_pst1hr
0.0,0.0,8.5, None,2016-10-15, None,13.0,42,,,,,,
15.2,15.2,7.0, None,2016-10-17, None,10.0,42,,,,,,
2.2,2.2,4.0, None,2016-10-18, None,12.0,42,,,,,,
2.6,2.6,5.5, None,2016-10-19, None,13.0,42,,,,,,
4.4,4.4,6.5, None,2016-10-20, None,12.5,42,,,,,,
,,,,2016-10-14 00:00:00,,,42,, None,1.383, None,99.7,7.161
,,,,2016-10-14 01:00:00,,,42,, None,2.057, None,100.0,7.034
,,,,2016-10-14 02:00:00,,,42,, None,1.436, None,100.0,7.192
,,,,2016-10-14 03:00:00,,,42,, None,0.591, None,100.0,7.389
,,,,2016-10-14 04:00:00,,,42,, None,1.198, None,100.0,7.747
,,,,2016-10-14 05:00:00,,,42,, None,3.576, None,100.0,7.681
,,,,2016-10-14 06:00:00,,,42,, None,1.442, None,100.0,7.174
,,,,2016-10-14 07:00:00,,,42,, None,1.671, None,100.0,6.679
,,,,2016-10-14 08:00:00,,,42,, None,0.722998, None,92.7,8.43
,,,,2016-10-14 09:00:00,,,42,, None,1.552, None,85.2,9.59
,,,,2016-10-14 10:00:00,,,42,, None,2.06, None,80.8,10.36
,,,,2016-10-14 11:00:00,,,42,, None,1.663, None,75.76,11.69
,,,,2016-10-14 12:00:00,,,42,, None,2.551, None,64.37,12.84
,,,,2016-10-14 13:00:00,,,42,, None,2.13, None,61.79,13.5
,,,,2016-10-14 14:00:00,,,42,, None,2.781, None,54.66,14.21
,,,,2016-10-14 15:00:00,,,42,, None,2.511, None,53.4,14.46
,,,,2016-10-14 16:00:00,,,42,, None,2.984, None,49.13,14.74
,,,,2016-10-14 17:00:00,,,42,, None,1.879, None,47.38,14.69
