AirTemp,ONE_DAY_PRECIPITATION,Snow_WE,time,MIN_TEMP,MAX_TEMP,week_of_year,pcpn_amt_pst1hr,snw_dpth_wtr_equiv,SWE,ONE_DAY_SNOW,air_temp_1
,1.0, None,2016-12-16,-27.7,-18.5,51,,,,,
,1.0, None,2016-12-17,-26.9,-14.1,51,,,,,
,3.0, None,2016-12-18,-16.6,-13.1,51,,,,,
,4.0, None,2016-12-19,-13.1,-8.9,51,,,,,
,5.0, None,2016-12-20,-9.6,-3.3,51,,,,,
,0.0, None,2016-12-21,-10.6,-5.7,51,,,,,
,6.0, None,2016-12-22,-9.0,-5.4,51,,,,,
,,,2016-12-16 00:00:00, None, None,51,551.0,80.0, None, None,-18.1
,,,2016-12-16 01:00:00, None, None,51,551.0,80.0, None, None,-19.8
,,,2016-12-16 02:00:00, None, None,51,551.0,80.0, None, None,-20.9
,,,2016-12-16 03:00:00, None, None,51,551.0,80.0, None, None,-21.5
,,,2016-12-16 04:00:00, None, None,51,552.0,80.0, None, None,-22.3
,,,2016-12-16 05:00:00, None, None,51,552.0,80.0, None, None,-22.8
,,,2016-12-16 07:00:00, None, None,51,552.0,80.0, None, None,-21.9
,,,2016-12-16 08:00:00, None, None,51,552.0,80.0, None, None,-23.1
,,,2016-12-16 09:00:00, None, None,51,552.0,80.0, None, None,-21.8
,,,2016-12-16 10:00:00, None, None,51,552.0,80.0, None, None,-21.0
,,,2016-12-16 11:00:00, None, None,51,552.0,80.0, None, None,-21.2
,,,2016-12-16 12:00:00, None, None,51,552.0,80.0, None, None,-21.5
,,,2016-12-16 13:00:00, None, None,51,552.0,80.0, None, None,-21.6
,,,2016-12-16 14:00:00, None, None,51,552.0,80.0, None, None,-21.5
,,,2016-12-16 15:00:00, None, None,51,552.0,80.0, None, None,-21.7
,,,2016-12-16 16:00:00, None, None,51,552.0,80.0, 210.0, None,-21.9
,,,2016-12-16 17:00:00, None, None,51,552.0,80.0, None, None,-21.9
,,,2016-12-16 18:00:00, None, None,51,552.0,79.0, None, None,-21.5
,,,2016-12-16 19:00:00, None, None,51,552.0,79.0, None, None,-20.5
,,,2016-12-16 20:00:00, None, None,51,552.0,79.0, None, None,-18.5
,,,2016-12-16 21:00:00, None, None,51,552.0,79.0, None, None,-20.1
,,,2016-12-16 22:00:00, None, None,51,552.0,79.0, None, None,-20.3
