wind_direction,rel_hum,avg_wnd_spd_10m_pst10mts,precipitation,dwpt_temp,wind_speed,air_temp,temperature,avg_wnd_dir_10m_pst10mts,rnfl_amt_pst1hr,rnfl_amt_pst24hrs,relative_humidity,time,week_of_year,WDIR_VECT,TEMP_MEAN,WSPD_SCLR,HUMIDITY,avg_rel_hum_pst1hr,avg_air_temp_pst1hr
331.0, None, None,0.0, None,1.2, None,21.7, None, None, None,49.0,2017-07-23 00:00:00,30,,,,,,
355.0, None, None,0.0, None,2.4, None,21.1, None, None, None,51.0,2017-07-23 01:00:00,30,,,,,,
56.0, None, None,0.0, None,8.1, None,20.6, None, None, None,55.0,2017-07-23 02:00:00,30,,,,,,
284.0, None, None,0.0, None,2.8, None,19.8, None, None, None,57.0,2017-07-23 03:00:00,30,,,,,,
43.0, None, None,0.0, None,3.4, None,19.5, None, None, None,59.0,2017-07-23 04:00:00,30,,,,,,
121.0, None, None,0.0, None,1.7, None,20.2, None, None, None,57.0,2017-07-23 05:00:00,30,,,,,,
356.0, None, None,0.0, None,2.6, None,19.7, None, None, None,57.0,2017-07-23 06:00:00,30,,,,,,
174.0, None, None,0.0, None,0.5, None,20.1, None, None, None,61.0,2017-07-23 07:00:00,30,,,,,,
160.0, None, None,0.0, None,6.3, None,25.6, None, None, None,42.0,2017-07-23 08:00:00,30,,,,,,
136.0, None, None,0.0, None,8.9, None,25.4, None, None, None,41.0,2017-07-23 09:00:00,30,,,,,,
219.0, None, None,0.0, None,11.9, None,28.7, None, None, None,30.0,2017-07-23 10:00:00,30,,,,,,
171.0, None, None,0.0, None,13.4, None,28.4, None, None, None,32.0,2017-07-23 11:00:00,30,,,,,,
190.0, None, None,0.0, None,10.7, None,30.7, None, None, None,24.0,2017-07-23 12:00:00,30,,,,,,
201.0, None, None,0.0, None,15.6, None,32.1, None, None, None,17.0,2017-07-23 13:00:00,30,,,,,,
184.0, None, None,0.0, None,9.0, None,31.6, None, None, None,12.0,2017-07-23 14:00:00,30,,,,,,
207.0, None, None,0.0, None,17.7, None,30.5, None, None, None,12.0,2017-07-23 15:00:00,30,,,,,,
213.0, None, None,0.0, None,23.3, None,29.2, None, None, None,14.0,2017-07-23 16:00:00,30,,,,,,
208.0, None, None,0.0, None,18.4, None,27.4, None, None, None,18.0,2017-07-23 17:00:00,30,,,,,,
27.0, None, None,0.0, None,7.8, None,24.5, None, None, None,29.0,2017-07-23 18:00:00,30,,,,,,
3.0, None, None,0.0, None,8.4, None,21.3, None, None, None,35.0,2017-07-23 19:00:00,30,,,,,,
91.0, None, None,0.0, None,7.9, None,19.3, None, None, None,39.0,2017-07-23 20:00:00,30,,,,,,
67.0, None, None,0.0, None,13.1, None,18.1, None, None, None,40.0,2017-07-23 21:00:00,30,,,,,,
63.0, None, None,0.0, None,10.7, None,16.9, None, None, None,44.0,2017-07-23 22:00:00,30,,,,,,
95.0, None, None,0.0, None,1.5, None,16.5, None, None, None,42.0,2017-07-23 23:00:00,30,,,,,,
57.0, None, None,0.0, None,5.9, None,16.0, None, None, None,42.0,2017-07-24 00:00:00,30,,,,,,
47.0, None, None,0.0, None,3.6, None,14.8, None, None, None,46.0,2017-07-24 01:00:00,30,,,,,,
43.0, None, None,0.0, None,6.2, None,14.2, None, None, None,54.0,2017-07-24 02:00:00,30,,,,,,
53.0, None, None,0.0, None,6.0, None,13.3, None, None, None,61.0,2017-07-24 03:00:00,30,,,,,,
44.0, None, None,0.0, None,7.6, None,12.6, None, None, None,70.0,2017-07-24 04:00:00,30,,,,,,
55.0, None, None,0.0, None,9.7, None,13.4, None, None, None,64.0,2017-07-24 05:00:00,30,,,,,,
90.0, None, None,0.0, None,6.5, None,14.6, None, None, None,62.0,2017-07-24 06:00:00,30,,,,,,
133.0, None, None,0.0, None,5.5, None,16.7, None, None, None,60.0,2017-07-24 07:00:00,30,,,,,,
172.0, None, None,0.0, None,6.3, None,18.5, None, None, None,52.0,2017-07-24 08:00:00,30,,,,,,
137.0, None, None,0.0, None,9.7, None,19.6, None, None, None,38.0,2017-07-24 09:00:00,30,,,,,,
88.0, None, None,0.0, None,10.1, None,20.4, None, None, None,35.0,2017-07-24 10:00:00,30,,,,,,
117.0, None, None,0.0, None,12.6, None,21.3, None, None, None,32.0,2017-07-24 11:00:00,30,,,,,,
79.0, None, None,0.0, None,12.8, None,21.5, None, None, None,32.0,2017-07-24 12:00:00,30,,,,,,
90.0, None, None,0.0, None,14.7, None,21.5, None, None, None,34.0,2017-07-24 13:00:00,30,,,,,,
77.0, None, None,0.0, None,13.7, None,22.4, None, None, None,32.0,2017-07-24 14:00:00,30,,,,,,
78.0, None, None,0.0, None,12.3, None,22.6, None, None, None,32.0,2017-07-24 15:00:00,30,,,,,,
87.0, None, None,0.0, None,14.2, None,23.2, None, None, None,30.0,2017-07-24 16:00:00,30,,,,,,
62.0, None, None,0.0, None,12.3, None,22.7, None, None, None,30.0,2017-07-24 17:00:00,30,,,,,,
71.0, None, None,0.0, None,10.0, None,22.2, None, None, None,31.0,2017-07-24 18:00:00,30,,,,,,
31.0, None, None,0.0, None,10.0, None,21.3, None, None, None,32.0,2017-07-24 19:00:00,30,,,,,,
296.0, None, None,0.0, None,2.4, None,19.8, None, None, None,35.0,2017-07-24 20:00:00,30,,,,,,
