ONE_DAY_PRECIPITATION,pcpn_amt_pst1hr,snw_dpth_wtr_equiv,MIN_TEMP,ONE_DAY_SNOW,time,air_temp_1,SNOW_ON_THE_GROUND,snw_dpth,MAX_TEMP,week_of_year
,273.0,314.0, None, None,2019-03-26 00:00:00,-0.4, None,109.0, None,13
,273.0,314.0, None, None,2019-03-26 01:00:00,-0.6, None,109.0, None,13
,273.0,314.0, None, None,2019-03-26 02:00:00,-0.7, None,109.0, None,13
,273.0,313.0, None, None,2019-03-26 03:00:00,-0.4, None,109.0, None,13
,273.0,313.0, None, None,2019-03-26 04:00:00,-0.5, None,109.0, None,13
,273.0,313.0, None, None,2019-03-26 05:00:00,-0.3, None,109.0, None,13
,273.0,313.0, None, None,2019-03-26 06:00:00,-0.5, None,109.0, None,13
,273.0,312.0, None, None,2019-03-26 07:00:00,-0.9, None,108.0, None,13
,274.0,312.0, None, None,2019-03-26 08:00:00,-1.5, None,107.0, None,13
,274.0,312.0, None, None,2019-03-26 09:00:00,-1.9, None,110.0, None,13
,274.0,312.0, None, None,2019-03-26 10:00:00,-1.7, None,107.0, None,13
,274.0,312.0, None, None,2019-03-26 11:00:00,-1.5, None,109.0, None,13
,275.0,312.0, None, None,2019-03-26 12:00:00,-1.6, None,109.0, None,13
,275.0,312.0, None, None,2019-03-26 13:00:00,-1.9, None,109.0, None,13
,276.0,312.0, None, None,2019-03-26 14:00:00,-2.7, None,111.0, None,13
,276.0,312.0, None, None,2019-03-26 15:00:00,-2.3, None,106.0, None,13
,279.0,312.0, None, None,2019-03-26 16:00:00,-2.2, None,112.0, None,13
,283.0,312.0, None, None,2019-03-26 17:00:00,-3.8, None,117.0, None,13
,286.0,312.0, None, None,2019-03-26 18:00:00,-3.4, None,120.0, None,13
,286.0,312.0, None, None,2019-03-26 19:00:00,-1.7, None,120.0, None,13
,286.0,312.0, None, None,2019-03-26 20:00:00,-0.8, None,120.0, None,13
,287.0,313.0, None, None,2019-03-26 21:00:00,-0.1, None,120.0, None,13
,287.0,314.0, None, None,2019-03-26 22:00:00,-1.2, None,120.0, None,13
,288.0,314.0, None, None,2019-03-26 23:00:00,-3.3, None,118.0, None,13
,288.0,314.0, None, None,2019-03-27 00:00:00,-2.7, None,120.0, None,13
,288.0,314.0, None, None,2019-03-27 01:00:00,-3.4, None,119.0, None,13
,288.0,314.0, None, None,2019-03-27 02:00:00,-3.7, None,120.0, None,13
,289.0,314.0, None, None,2019-03-27 03:00:00,-4.2, None,122.0, None,13
,290.0,314.0, None, None,2019-03-27 04:00:00,-4.5, None,122.0, None,13
,290.0,313.0, None, None,2019-03-27 05:00:00,-5.9, None,122.0, None,13
,290.0,313.0, None, None,2019-03-27 06:00:00,-6.3, None,122.0, None,13
,290.0,312.0, None, None,2019-03-27 07:00:00,-6.7, None,122.0, None,13
,290.0,311.0, None, None,2019-03-27 08:00:00,-6.8, None,121.0, None,13
,290.0,311.0, None, None,2019-03-27 09:00:00,-6.7, None,121.0, None,13
,290.0,310.0, None, None,2019-03-27 10:00:00,-7.0, None,121.0, None,13
,290.0,310.0, None, None,2019-03-27 11:00:00,-7.3, None,121.0, None,13
,290.0,309.0, None, None,2019-03-27 12:00:00,-7.3, None,121.0, None,13
,290.0,309.0, None, None,2019-03-27 13:00:00,-7.4, None,121.0, None,13
,290.0,309.0, None, None,2019-03-27 14:00:00,-7.7, None,120.0, None,13
,290.0,308.0, None, None,2019-03-27 15:00:00,-6.9, None,121.0, None,13
,290.0,308.0, None, None,2019-03-27 16:00:00,-5.0, None,120.0, None,13
,290.0,308.0, None, None,2019-03-27 17:00:00,-3.3, None,120.0, None,13
,290.0,309.0, None, None,2019-03-27 18:00:00,-1.6, None,120.0, None,13
,290.0,309.0, None, None,2019-03-27 19:00:00,-0.3, None,119.0, None,13
,291.0,311.0, None, None,2019-03-27 20:00:00,1.0, None,119.0, None,13
,291.0,314.0, None, None,2019-03-27 21:00:00,2.0, None,119.0, None,13
,291.0,317.0, None, None,2019-03-27 22:00:00,3.2, None,119.0, None,13
,291.0,319.0, None, None,2019-03-27 23:00:00,3.1, None,118.0, None,13
,291.0,321.0, None, None,2019-03-28 00:00:00,3.7, None,118.0, None,13
,291.0,321.0, None, None,2019-03-28 01:00:00,1.8, None,118.0, None,13
,290.0,321.0, None, None,2019-03-28 02:00:00,-1.3, None,119.0, None,13
,290.0,321.0, None, None,2019-03-28 03:00:00,-2.0, None,119.0, None,13
,290.0,319.0, None, None,2019-03-28 04:00:00,-2.2, None,119.0, None,13
,290.0,318.0, None, None,2019-03-28 05:00:00,-2.1, None,120.0, None,13
,290.0,317.0, None, None,2019-03-28 06:00:00,-2.0, None,119.0, None,13
,290.0,317.0, None, None,2019-03-28 07:00:00,-1.8, None,119.0, None,13
,290.0,316.0, None, None,2019-03-28 08:00:00,-3.2, None,119.0, None,13
,290.0,315.0, None, None,2019-03-28 09:00:00,-3.6, None,119.0, None,13
,290.0,315.0, None, None,2019-03-28 10:00:00,-4.0, None,119.0, None,13
,290.0,314.0, None, None,2019-03-28 11:00:00,-3.0, None,120.0, None,13
,290.0,314.0, None, None,2019-03-28 12:00:00,-2.6, None,118.0, None,13
,290.0,314.0, None, None,2019-03-28 13:00:00,-2.9, None,119.0, None,13
,290.0,314.0, None, None,2019-03-28 14:00:00,-3.2, None,119.0, None,13
,290.0,314.0, None, None,2019-03-28 15:00:00,-2.0, None,119.0, None,13
,290.0,314.0, None, None,2019-03-28 16:00:00,-1.6, None,118.0, None,13
,290.0,314.0, None, None,2019-03-28 17:00:00,-0.3, None,118.0, None,13
,290.0,314.0, None, None,2019-03-28 18:00:00,0.3, None,118.0, None,13
,290.0,315.0, None, None,2019-03-28 19:00:00,1.8, None,118.0, None,13
,290.0,316.0, None, None,2019-03-28 20:00:00,3.0, None,117.0, None,13
,290.0,318.0, None, None,2019-03-28 21:00:00,2.4, None,117.0, None,13
,290.0,318.0, None, None,2019-03-28 22:00:00,2.2, None,117.0, None,13
,290.0,319.0, None, None,2019-03-28 23:00:00,5.0, None,115.0, None,13
,290.0,320.0, None, None,2019-03-29 00:00:00,2.1, None,116.0, None,13
,289.0,320.0, None, None,2019-03-29 01:00:00,1.3, None,117.0, None,13
,289.0,320.0, None, None,2019-03-29 02:00:00,0.2, None,117.0, None,13
,289.0,320.0, None, None,2019-03-29 03:00:00,-0.6, None,117.0, None,13
,289.0,320.0, None, None,2019-03-29 04:00:00,-1.3, None,117.0, None,13
,289.0,320.0, None, None,2019-03-29 05:00:00,-2.1, None,117.0, None,13
,289.0,319.0, None, None,2019-03-29 06:00:00,-2.7, None,116.0, None,13
,289.0,319.0, None, None,2019-03-29 07:00:00,-2.9, None,116.0, None,13
,289.0,318.0, None, None,2019-03-29 08:00:00,-3.1, None,116.0, None,13
,289.0,317.0, None, None,2019-03-29 09:00:00,-3.3, None,116.0, None,13
,289.0,317.0, None, None,2019-03-29 10:00:00,-3.5, None,116.0, None,13
,289.0,316.0, None, None,2019-03-29 11:00:00,-3.8, None,116.0, None,13
,289.0,316.0, None, None,2019-03-29 12:00:00,-3.8, None,116.0, None,13
,289.0,316.0, None, None,2019-03-29 13:00:00,-4.0, None,116.0, None,13
,289.0,316.0, None, None,2019-03-29 14:00:00,-2.9, None,116.0, None,13
,289.0,315.0, None, None,2019-03-29 15:00:00,-2.7, None,116.0, None,13
,289.0,315.0, None, None,2019-03-29 16:00:00,-1.0, None,116.0, None,13
,289.0,315.0, None, None,2019-03-29 17:00:00,1.1, None,115.0, None,13
,290.0,316.0, None, None,2019-03-29 18:00:00,1.7, None,116.0, None,13
,290.0,316.0, None, None,2019-03-29 19:00:00,4.9, None,114.0, None,13
,290.0,318.0, None, None,2019-03-29 20:00:00,3.7, None,116.0, None,13
,290.0,320.0, None, None,2019-03-29 21:00:00,5.0, None,115.0, None,13
,290.0,321.0, None, None,2019-03-29 22:00:00,5.0, None,115.0, None,13
,290.0,322.0, None, None,2019-03-29 23:00:00,4.8, None,115.0, None,13
,290.0,323.0, None, None,2019-03-30 00:00:00,4.5, None,115.0, None,13
,289.0,323.0, None, None,2019-03-30 01:00:00,4.0, None,115.0, None,13
,289.0,323.0, None, None,2019-03-30 02:00:00,2.4, None,114.0, None,13
,289.0,323.0, None, None,2019-03-30 03:00:00,0.1, None,115.0, None,13
,289.0,323.0, None, None,2019-03-30 04:00:00,-1.0, None,115.0, None,13
,289.0,322.0, None, None,2019-03-30 05:00:00,-1.7, None,115.0, None,13
,289.0,321.0, None, None,2019-03-30 06:00:00,-2.0, None,115.0, None,13
,288.0,321.0, None, None,2019-03-30 07:00:00,-2.2, None,115.0, None,13
,288.0,320.0, None, None,2019-03-30 08:00:00,-2.4, None,114.0, None,13
,288.0,319.0, None, None,2019-03-30 09:00:00,-2.2, None,114.0, None,13
,289.0,319.0, None, None,2019-03-30 10:00:00,-2.3, None,114.0, None,13
,289.0,318.0, None, None,2019-03-30 11:00:00,-2.4, None,114.0, None,13
,289.0,318.0, None, None,2019-03-30 12:00:00,-2.5, None,114.0, None,13
,289.0,318.0, None, None,2019-03-30 13:00:00,-2.5, None,114.0, None,13
,289.0,318.0, None, None,2019-03-30 14:00:00,-2.5, None,114.0, None,13
,289.0,317.0, None, None,2019-03-30 15:00:00,-2.2, None,114.0, None,13
,289.0,317.0, None, None,2019-03-30 16:00:00,0.0, None,114.0, None,13
,289.0,318.0, None, None,2019-03-30 17:00:00,1.9, None,115.0, None,13
,289.0,318.0, None, None,2019-03-30 18:00:00,4.1, None,114.0, None,13
,289.0,318.0, None, None,2019-03-30 19:00:00,4.3, None,114.0, None,13
,290.0,320.0, None, None,2019-03-30 20:00:00,5.1, None,115.0, None,13
,290.0,323.0, None, None,2019-03-30 21:00:00,6.5, None,113.0, None,13
,289.0,325.0, None, None,2019-03-30 22:00:00,6.5, None,114.0, None,13
,289.0,327.0, None, None,2019-03-30 23:00:00,8.0, None,113.0, None,13
,289.0,329.0, None, None,2019-03-31 00:00:00,8.2, None,113.0, None,13
,288.0,329.0, None, None,2019-03-31 01:00:00,6.5, None,112.0, None,13
,288.0,329.0, None, None,2019-03-31 02:00:00,4.8, None,112.0, None,13
,288.0,328.0, None, None,2019-03-31 03:00:00,2.2, None,113.0, None,13
,287.0,327.0, None, None,2019-03-31 04:00:00,0.6, None,113.0, None,13
,287.0,326.0, None, None,2019-03-31 05:00:00,1.7, None,113.0, None,13
,287.0,325.0, None, None,2019-03-31 06:00:00,0.9, None,113.0, None,13
,287.0,324.0, None, None,2019-03-31 07:00:00,0.8, None,113.0, None,13
,288.0,324.0, None, None,2019-03-31 08:00:00,0.7, None,113.0, None,13
,288.0,323.0, None, None,2019-03-31 09:00:00,0.6, None,112.0, None,13
,288.0,323.0, None, None,2019-03-31 10:00:00,0.4, None,112.0, None,13
,288.0,323.0, None, None,2019-03-31 11:00:00,0.0, None,112.0, None,13
,288.0,323.0, None, None,2019-03-31 12:00:00,-0.5, None,112.0, None,13
,288.0,323.0, None, None,2019-03-31 13:00:00,-1.0, None,112.0, None,13
,288.0,323.0, None, None,2019-03-31 14:00:00,-1.4, None,112.0, None,13
,289.0,323.0, None, None,2019-03-31 15:00:00,-1.1, None,71.0, None,13
,289.0,323.0, None, None,2019-03-31 16:00:00,-0.4, None,114.0, None,13
