wind_direction,rel_hum,avg_wnd_spd_10m_pst10mts,precipitation,dwpt_temp,wind_speed,air_temp,temperature,avg_wnd_dir_10m_pst10mts,rnfl_amt_pst1hr,rnfl_amt_pst24hrs,relative_humidity,time,week_of_year,RELATIVE_HUMIDITY1,STANDARD_SNOW,MINIMUM_AIR_TEMPERATURE,max_wnd_spd_10m_pst1hr,MEASURED_WIND_SPEED1,MEASURED_WIND_DIRECTION1,min_air_temp_snc_last_reset,DEW_POINT,ATMOSPHERIC_PRESSURE,ACTUAL_WIND_DIRECTION,MAXIMUM_AIR_TEMPERATURE,snw_dpth,MAXIMUM_MEASURED_WIND_SPEED1,HEIGHT_OF_SNOW,pcpn_amt_pst24hrs,CURRENT_AIR_TEMPERATURE2,CURRENT_AIR_TEMPERATURE1,PRECIPITATION_NEW,max_air_temp_snc_last_reset,PRECIP_DETECTOR_RATIO,ACTUAL_WIND_SPEED,WIND_DIRECTION_STD_DEVIATION1,mslp,pcpn_amt_pst1hr,snwfl_amt_pst1hr,stn_pres
275.0, None, None,0.0, None,4.8, None,4.9, None, None, None,79.0,2019-06-05 04:00:00,23,,,,,,,,,,,,,,,,,,,,,,,,,,
158.0, None, None,0.0, None,2.1, None,5.6, None, None, None,71.0,2019-06-05 05:00:00,23,,,,,,,,,,,,,,,,,,,,,,,,,,
118.0, None, None,0.0, None,1.9, None,6.8, None, None, None,75.0,2019-06-05 06:00:00,23,,,,,,,,,,,,,,,,,,,,,,,,,,
91.0, None, None,0.0, None,3.2, None,9.0, None, None, None,61.0,2019-06-05 07:00:00,23,,,,,,,,,,,,,,,,,,,,,,,,,,
79.0, None, None,0.0, None,3.8, None,10.8, None, None, None,51.0,2019-06-05 08:00:00,23,,,,,,,,,,,,,,,,,,,,,,,,,,
330.0, None, None,0.0, None,4.0, None,13.4, None, None, None,47.0,2019-06-05 09:00:00,23,,,,,,,,,,,,,,,,,,,,,,,,,,
40.0, None, None,0.0, None,4.6, None,13.8, None, None, None,45.0,2019-06-05 10:00:00,23,,,,,,,,,,,,,,,,,,,,,,,,,,
51.0, None, None,0.0, None,3.1, None,13.9, None, None, None,44.0,2019-06-05 11:00:00,23,,,,,,,,,,,,,,,,,,,,,,,,,,
149.0, None, None,0.0, None,5.9, None,14.8, None, None, None,39.0,2019-06-05 12:00:00,23,,,,,,,,,,,,,,,,,,,,,,,,,,
156.0, None, None,0.0, None,7.9, None,17.4, None, None, None,31.0,2019-06-05 13:00:00,23,,,,,,,,,,,,,,,,,,,,,,,,,,
