AirTemp,ONE_DAY_PRECIPITATION,Snow_WE,time,MIN_TEMP,MAX_TEMP,week_of_year,pcpn_amt_pst1hr,snw_dpth_wtr_equiv,SWE,ONE_DAY_SNOW,air_temp_1,pcpn_amt_pst24hrs,CURRENT_AIR_TEMPERATURE1,RELATIVE_HUMIDITY1,max_air_temp_snc_last_reset,max_wnd_spd_10m_pst1hr,WIND_DIRECTION_STD_DEVIATION1,MEASURED_WIND_SPEED1,MEASURED_WIND_DIRECTION1,dwpt_temp,avg_wnd_spd_10m_pst10mts,air_temp,min_air_temp_snc_last_reset,mslp,DEW_POINT,ATMOSPHERIC_PRESSURE,avg_wnd_dir_10m_pst10mts,snwfl_amt_pst1hr,rel_hum,snw_dpth,HEIGHT_OF_SNOW,stn_pres
,0.0, None,2020-04-22,-2.4,6.7,17,,,,,,,,,,,,,,,,,,,,,,,,,,
,8.5, None,2020-04-23,-1.7,4.7,17,,,,,,,,,,,,,,,,,,,,,,,,,,
,0.0, None,2020-04-24,-3.3,8.3,17,,,,,,,,,,,,,,,,,,,,,,,,,,
,2.6, None,2020-04-25,-1.4,5.0,17,,,,,,,,,,,,,,,,,,,,,,,,,,
,0.0, None,2020-04-26,-4.1,8.6,17,,,,,,,,,,,,,,,,,,,,,,,,,,
,2.6, None,2020-04-27,-0.4,7.1,17,,,,,,,,,,,,,,,,,,,,,,,,,,
,0.2, None,2020-04-28,-5.5,8.3,17,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,2020-04-22 00:00:00, None, None,17,284.0,680.0, None, None,7.4,,,,,,,,,,,,,,,,,,,,,
,,,2020-04-22 01:00:00, None, None,17,284.0,680.0, None, None,7.9,,,,,,,,,,,,,,,,,,,,,
,,,2020-04-22 02:00:00, None, None,17,284.0,679.0, None, None,5.1,,,,,,,,,,,,,,,,,,,,,
,,,2020-04-22 03:00:00, None, None,17,284.0,677.0, None, None,2.6,,,,,,,,,,,,,,,,,,,,,
,,,2020-04-22 04:00:00, None, None,17,284.0,675.0, None, None,0.7,,,,,,,,,,,,,,,,,,,,,
,,,2020-04-22 05:00:00, None, None,17,284.0,674.0, None, None,1.2,,,,,,,,,,,,,,,,,,,,,
,,,2020-04-22 06:00:00, None, None,17,284.0,674.0, None, None,0.1,,,,,,,,,,,,,,,,,,,,,
,,,2020-04-22 07:00:00, None, None,17,284.0,674.0, None, None,1.3,,,,,,,,,,,,,,,,,,,,,
,,,2020-04-22 08:00:00, None, None,17,285.0,674.0, None, None,-0.4,,,,,,,,,,,,,,,,,,,,,
,,,2020-04-22 09:00:00, None, None,17,285.0,674.0, None, None,-2.0,,,,,,,,,,,,,,,,,,,,,
,,,2020-04-22 10:00:00, None, None,17,285.0,674.0, None, None,-0.6,,,,,,,,,,,,,,,,,,,,,
,,,2020-04-22 11:00:00, None, None,17,285.0,673.0, None, None,-0.2,,,,,,,,,,,,,,,,,,,,,
,,,2020-04-22 12:00:00, None, None,17,285.0,673.0, None, None,-0.4,,,,,,,,,,,,,,,,,,,,,
,,,2020-04-22 13:00:00, None, None,17,285.0,674.0, None, None,-1.5,,,,,,,,,,,,,,,,,,,,,
,,,2020-04-22 14:00:00, None, None,17,285.0,673.0, None, None,0.2,,,,,,,,,,,,,,,,,,,,,
,,,2020-04-22 15:00:00, None, None,17,285.0,672.0, None, None,1.4,,,,,,,,,,,,,,,,,,,,,
,,,2020-04-22 16:00:00, None, None,17,285.0,671.0, None, None,2.9,,,,,,,,,,,,,,,,,,,,,
,,,2020-04-22 17:00:00, None, None,17,285.0,672.0, None, None,4.0,,,,,,,,,,,,,,,,,,,,,
,,,2020-04-22 18:00:00, None, None,17,284.0,672.0, None, None,6.1,,,,,,,,,,,,,,,,,,,,,
,,,2020-04-22 19:00:00, None, None,17,284.0,672.0, None, None,5.9,,,,,,,,,,,,,,,,,,,,,
,,,2020-04-22 20:00:00, None, None,17,284.0,672.0, None, None,5.7,,,,,,,,,,,,,,,,,,,,,
,,,2020-04-22 21:00:00, None, None,17,284.0,672.0, None, None,6.1,,,,,,,,,,,,,,,,,,,,,
,,,2020-04-22 22:00:00, None, None,17,284.0,672.0, None, None,6.4,,,,,,,,,,,,,,,,,,,,,
,,,2020-04-22 23:00:00, None, None,17,284.0,672.0, None, None,6.7,,,,,,,,,,,,,,,,,,,,,
,,,2020-04-23 00:00:00, None, None,17,284.0,672.0, None, None,6.0,,,,,,,,,,,,,,,,,,,,,
,,,2020-04-23 01:00:00, None, None,17,284.0,672.0, None, None,4.3,,,,,,,,,,,,,,,,,,,,,
,,,2020-04-23 02:00:00, None, None,17,284.0,672.0, None, None,3.0,,,,,,,,,,,,,,,,,,,,,
,,,2020-04-23 03:00:00, None, None,17,285.0,671.0, None, None,1.3,,,,,,,,,,,,,,,,,,,,,
,,,2020-04-23 04:00:00, None, None,17,285.0,670.0, None, None,0.5,,,,,,,,,,,,,,,,,,,,,
,,,2020-04-23 05:00:00, None, None,17,285.0,669.0, None, None,0.5,,,,,,,,,,,,,,,,,,,,,
,,,2020-04-23 06:00:00, None, None,17,285.0,669.0, None, None,0.3,,,,,,,,,,,,,,,,,,,,,
,,,2020-04-23 07:00:00, None, None,17,285.0,668.0, None, None,0.2,,,,,,,,,,,,,,,,,,,,,
,,,2020-04-23 08:00:00, None, None,17,285.0,668.0, None, None,0.2,,,,,,,,,,,,,,,,,,,,,
,,,2020-04-23 09:00:00, None, None,17,286.0,668.0, None, None,0.1,,,,,,,,,,,,,,,,,,,,,
,,,2020-04-23 10:00:00, None, None,17,286.0,668.0, None, None,-0.1,,,,,,,,,,,,,,,,,,,,,
,,,2020-04-23 11:00:00, None, None,17,286.0,668.0, None, None,0.0,,,,,,,,,,,,,,,,,,,,,
,,,2020-04-23 12:00:00, None, None,17,286.0,668.0, None, None,-0.1,,,,,,,,,,,,,,,,,,,,,
,,,2020-04-23 13:00:00, None, None,17,286.0,668.0, None, None,0.0,,,,,,,,,,,,,,,,,,,,,
,,,2020-04-23 14:00:00, None, None,17,286.0,668.0, None, None,0.0,,,,,,,,,,,,,,,,,,,,,
,,,2020-04-23 15:00:00, None, None,17,286.0,668.0, None, None,0.4,,,,,,,,,,,,,,,,,,,,,
,,,2020-04-23 16:00:00, None, None,17,287.0,668.0, None, None,1.3,,,,,,,,,,,,,,,,,,,,,
,,,2020-04-23 17:00:00, None, None,17,287.0,668.0, None, None,1.1,,,,,,,,,,,,,,,,,,,,,
,,,2020-04-23 18:00:00, None, None,17,287.0,668.0, None, None,1.9,,,,,,,,,,,,,,,,,,,,,
,,,2020-04-23 19:00:00, None, None,17,287.0,668.0, None, None,3.1,,,,,,,,,,,,,,,,,,,,,
,,,2020-04-23 20:00:00, None, None,17,287.0,668.0, None, None,3.0,,,,,,,,,,,,,,,,,,,,,
,,,2020-04-23 21:00:00, None, None,17,287.0,668.0, None, None,4.1,,,,,,,,,,,,,,,,,,,,,
,,,2020-04-23 22:00:00, None, None,17,288.0,668.0, None, None,1.5,,,,,,,,,,,,,,,,,,,,,
,,,2020-04-23 23:00:00, None, None,17,292.0,669.0, None, None,0.3,,,,,,,,,,,,,,,,,,,,,
,,,2020-04-24 00:00:00, None, None,17,293.0,669.0, None, None,0.2,,,,,,,,,,,,,,,,,,,,,
,,,2020-04-24 01:00:00, None, None,17,293.0,669.0, None, None,0.2,,,,,,,,,,,,,,,,,,,,,
,,,2020-04-24 02:00:00, None, None,17,293.0,669.0, None, None,0.5,,,,,,,,,,,,,,,,,,,,,
,,,2020-04-24 03:00:00, None, None,17,293.0,669.0, None, None,0.1,,,,,,,,,,,,,,,,,,,,,
,,,2020-04-24 04:00:00, None, None,17,293.0,669.0, None, None,-0.1,,,,,,,,,,,,,,,,,,,,,
,,,2020-04-24 05:00:00, None, None,17,293.0,669.0, None, None,-0.4,,,,,,,,,,,,,,,,,,,,,
,,,2020-04-24 06:00:00, None, None,17,293.0,669.0, None, None,-1.0,,,,,,,,,,,,,,,,,,,,,
,,,2020-04-24 07:00:00, None, None,17,293.0,669.0, None, None,-1.7,,,,,,,,,,,,,,,,,,,,,
,,,2020-04-24 08:00:00, None, None,17,293.0,669.0, None, None,-1.2,,,,,,,,,,,,,,,,,,,,,
,,,2020-04-24 09:00:00, None, None,17,293.0,668.0, None, None,-0.8,,,,,,,,,,,,,,,,,,,,,
,,,2020-04-24 10:00:00, None, None,17,293.0,668.0, None, None,-0.6,,,,,,,,,,,,,,,,,,,,,
,,,2020-04-24 11:00:00, None, None,17,293.0,668.0, None, None,-0.9,,,,,,,,,,,,,,,,,,,,,
,,,2020-04-24 12:00:00, None, None,17,293.0,668.0, None, None,-1.7,,,,,,,,,,,,,,,,,,,,,
,,,2020-04-24 13:00:00, None, None,17,293.0,668.0, None, None,-3.1,,,,,,,,,,,,,,,,,,,,,
,,,2020-04-24 14:00:00, None, None,17,293.0,668.0, None, None,-3.3,,,,,,,,,,,,,,,,,,,,,
,,,2020-04-24 15:00:00, None, None,17,293.0,668.0, None, None,-1.2,,,,,,,,,,,,,,,,,,,,,
,,,2020-04-24 16:00:00, None, None,17,293.0,668.0, None, None,1.8,,,,,,,,,,,,,,,,,,,,,
,,,2020-04-24 17:00:00, None, None,17,293.0,668.0, None, None,3.8,,,,,,,,,,,,,,,,,,,,,
,,,2020-04-24 18:00:00, None, None,17,293.0,668.0, None, None,5.1,,,,,,,,,,,,,,,,,,,,,
,,,2020-04-24 19:00:00, None, None,17,293.0,668.0, None, None,6.8,,,,,,,,,,,,,,,,,,,,,
,,,2020-04-24 20:00:00, None, None,17,293.0,668.0, None, None,6.4,,,,,,,,,,,,,,,,,,,,,
,,,2020-04-24 21:00:00, None, None,17,292.0,668.0, None, None,6.6,,,,,,,,,,,,,,,,,,,,,
,,,2020-04-24 22:00:00, None, None,17,292.0,668.0, None, None,6.7,,,,,,,,,,,,,,,,,,,,,
,,,2020-04-24 23:00:00, None, None,17,292.0,668.0, None, None,8.2,,,,,,,,,,,,,,,,,,,,,
,,,2020-04-25 00:00:00, None, None,17,292.0,668.0, None, None,7.5,,,,,,,,,,,,,,,,,,,,,
,,,2020-04-25 01:00:00, None, None,17,292.0,665.0, None, None,5.0,,,,,,,,,,,,,,,,,,,,,
,,,2020-04-25 02:00:00, None, None,17,292.0,663.0, None, None,3.5,,,,,,,,,,,,,,,,,,,,,
,,,2020-04-25 03:00:00, None, None,17,292.0,662.0, None, None,1.3,,,,,,,,,,,,,,,,,,,,,
,,,2020-04-25 04:00:00, None, None,17,293.0,661.0, None, None,0.6,,,,,,,,,,,,,,,,,,,,,
,,,2020-04-25 05:00:00, None, None,17,293.0,661.0, None, None,0.4,,,,,,,,,,,,,,,,,,,,,
,,,2020-04-25 06:00:00, None, None,17,293.0,660.0, None, None,0.7,,,,,,,,,,,,,,,,,,,,,
,,,2020-04-25 07:00:00, None, None,17,293.0,660.0, None, None,-0.5,,,,,,,,,,,,,,,,,,,,,
,,,2020-04-25 08:00:00, None, None,17,293.0,660.0, None, None,-0.8,,,,,,,,,,,,,,,,,,,,,
