ONE_DAY_PRECIPITATION,ONE_DAY_RAIN,MIN_TEMP,ONE_DAY_SNOW,time,SNOW_ON_THE_GROUND,MAX_TEMP,week_of_year,pcpn_amt_pst24hrs,air_temp,CURRENT_AIR_TEMPERATURE1,RELATIVE_HUMIDITY1,pcpn_amt_pst1hr,snwfl_amt_pst1hr,max_air_temp_snc_last_reset,rel_hum,min_air_temp_snc_last_reset,snw_dpth,dwpt_temp
0.0,0.0,4.0,0.0,2021-04-02,0.0,17.5,14,,,,,,,,,,,
0.0,0.0,6.0,0.0,2021-04-03,0.0,16.5,14,,,,,,,,,,,
0.0,0.0,5.5,0.0,2021-04-04,0.0,13.0,14,,,,,,,,,,,
0.0,0.0,0.0,0.0,2021-04-05,0.0,12.5,14,,,,,,,,,,,
0.0,0.0,1.0,0.0,2021-04-06,0.0,16.5,14,,,,,,,,,,,
0.4,0.4,7.0,0.0,2021-04-07,0.0,12.5,14,,,,,,,,,,,
0.0,0.0,4.0,0.0,2021-04-08,0.0,12.5,14,,,,,,,,,,,
,,,,2021-04-02 00:00:00,,,14,0.0, 0.5,0.536,68.0, 0.0, 0.0, 6.2, 68.0, 0.0, -6999.0, -4.0
,,,,2021-04-02 01:00:00,,,14,0.0, 0.4,0.359,64.66, 0.0, 0.0, 6.2, 65.0, 0.0, -6999.0, -5.0
,,,,2021-04-02 02:00:00,,,14,0.0, -0.2,-0.244,68.72, 0.0, 0.0, 6.2, 69.0, -1.2, -6999.0, -5.0
,,,,2021-04-02 03:00:00,,,14,0.0, 0.0,-0.018,70.51, 0.0, 0.0, 6.2, 71.0, -1.2, -6999.0, -4.0
,,,,2021-04-02 04:00:00,,,14,0.0, 0.2,0.208,72.21, 0.0, 0.0, 6.2, 72.0, -1.2, -6999.0, -4.0
,,,,2021-04-02 05:00:00,,,14,0.0, -0.1,-0.05,74.43, 0.0, 0.0, 6.2, 74.0, -1.2, -6999.0, -4.0
,,,,2021-04-02 06:00:00,,,14,0.0, -0.1,-0.064,74.3, 0.0, 0.0, 6.2, 74.0, -1.2, -6999.0, -4.0
