wind_direction,rel_hum,avg_wnd_spd_10m_pst10mts,precipitation,dwpt_temp,wind_speed,air_temp,temperature,avg_wnd_dir_10m_pst10mts,rnfl_amt_pst1hr,rnfl_amt_pst24hrs,relative_humidity,time,week_of_year,AirTemp,ONE_DAY_PRECIPITATION,MIN_TEMP,Snow_WE,SNOW_ON_THE_GROUND,MAX_TEMP
,76.0, 9.1, None,-2.3, None,1.5, None,151.0,0.0, 0.0, None,2022-04-30 00:00:00,18,,,,,,
,77.0, 9.5, None,-2.0, None,1.6, None,161.0,0.0, 0.0, None,2022-04-30 01:00:00,18,,,,,,
,78.0, 8.7, None,-1.8, None,1.6, None,153.0,0.0, 0.0, None,2022-04-30 02:00:00,18,,,,,,
,80.0, 6.5, None,-1.9, None,1.2, None,157.0,0.0, 0.0, None,2022-04-30 03:00:00,18,,,,,,
,79.0, 9.1, None,-1.9, None,1.3, None,149.0,0.0, 0.0, None,2022-04-30 04:00:00,18,,,,,,
,81.0, None, None,-1.9, None,1.0, None,150.0,0.0, 0.0, None,2022-04-30 05:00:00,18,,,,,,
,85.0, 8.6, None,-1.5, None,0.7, None,165.0,0.0, 0.0, None,2022-04-30 06:00:00,18,,,,,,
,98.0, None, None,-0.5, None,-0.2, None,174.0,0.0, 0.0, None,2022-04-30 07:00:00,18,,,,,,
,98.0, None, None,-0.4, None,-0.1, None,148.0,0.0, 0.0, None,2022-04-30 08:00:00,18,,,,,,
,93.0, 6.9, None,-0.3, None,0.7, None,145.0,0.0, 0.0, None,2022-04-30 09:00:00,18,,,,,,
,88.0, 5.5, None,0.0, None,1.8, None,137.0,0.0, 0.0, None,2022-04-30 10:00:00,18,,,,,,
,91.0, 7.1, None,0.7, None,2.0, None,110.0,2.4, 2.4, None,2022-04-30 11:00:00,18,,,,,,
,87.0, 5.9, None,1.3, None,3.3, None,141.0,1.6, 4.0, None,2022-04-30 12:00:00,18,,,,,,
,90.0, 7.4, None,1.5, None,3.0, None,147.0,0.4, 4.4, None,2022-04-30 13:00:00,18,,,,,,
,90.0, 5.8, None,1.5, None,3.0, None,166.0,0.6, 5.0, None,2022-04-30 14:00:00,18,,,,,,
,83.0, None, None,2.1, None,4.7, None,141.0,0.0, 5.0, None,2022-04-30 15:00:00,18,,,,,,
,67.0, 8.6, None,0.2, None,5.9, None,155.0,0.0, 5.0, None,2022-04-30 16:00:00,18,,,,,,
,77.0, None, None,2.6, None,6.3, None,128.0,0.0, 5.0, None,2022-04-30 17:00:00,18,,,,,,
