wind_direction,rel_hum,avg_wnd_spd_10m_pst10mts,precipitation,dwpt_temp,wind_speed,air_temp,temperature,avg_wnd_dir_10m_pst10mts,rnfl_amt_pst1hr,rnfl_amt_pst24hrs,relative_humidity,time,week_of_year
277.0, None, None, 0.0, None, 2.5, None, -13.0, None, None, None, 90.0,2022-02-26 00:00:00,9
261.0, None, None, 0.0, None, 3.0, None, -12.9, None, None, None, 93.0,2022-02-26 01:00:00,9
286.0, None, None, 0.0, None, 1.3, None, -13.3, None, None, None, 91.0,2022-02-26 02:00:00,9
273.0, None, None, 0.0, None, 2.7, None, -13.5, None, None, None, 90.0,2022-02-26 03:00:00,9
277.0, None, None, 0.0, None, 2.9, None, -14.0, None, None, None, 92.0,2022-02-26 04:00:00,9
285.0, None, None, 0.0, None, 1.0, None, -13.3, None, None, None, 92.0,2022-02-26 05:00:00,9
270.0, None, None, 0.0, None, 1.8, None, -12.8, None, None, None, 91.0,2022-02-26 06:00:00,9
262.0, None, None, 0.0, None, 1.5, None, -11.2, None, None, None, 89.0,2022-02-26 07:00:00,9
63.0, None, None, 0.0, None, 2.6, None, -4.4, None, None, None, 69.0,2022-02-26 08:00:00,9
91.0, None, None, 0.0, None, 3.8, None, -2.8, None, None, None, 62.0,2022-02-26 09:00:00,9
56.0, None, None, 0.0, None, 5.6, None, -2.6, None, None, None, 59.0,2022-02-26 10:00:00,9
62.0, None, None, 0.0, None, 5.3, None, -1.3, None, None, None, 53.0,2022-02-26 11:00:00,9
69.0, None, None, 0.0, None, 4.4, None, -0.3, None, None, None, 53.0,2022-02-26 12:00:00,9
50.0, None, None, 0.0, None, 5.4, None, -1.4, None, None, None, 60.0,2022-02-26 13:00:00,9
22.0, None, None, 0.0, None, 2.6, None, -1.2, None, None, None, 58.0,2022-02-26 14:00:00,9
349.0, None, None, 0.0, None, 3.3, None, -2.8, None, None, None, 74.0,2022-02-26 15:00:00,9
198.0, None, None, 0.0, None, 0.6, None, -3.5, None, None, None, 80.0,2022-02-26 16:00:00,9
342.0, None, None, 0.0, None, 2.8, None, -4.4, None, None, None, 82.0,2022-02-26 17:00:00,9
279.0, None, None, 0.0, None, 0.0, None, -4.6, None, None, None, 88.0,2022-02-26 18:00:00,9
229.0, None, None, 0.0, None, 2.8, None, -4.5, None, None, None, 88.0,2022-02-26 19:00:00,9
27.0, None, None, 0.0, None, 2.8, None, -5.1, None, None, None, 96.0,2022-02-26 20:00:00,9
12.0, None, None, 0.0, None, 2.4, None, -5.2, None, None, None, 99.0,2022-02-26 21:00:00,9
