RELATIVE_HUMIDITY1,STANDARD_SNOW,MINIMUM_AIR_TEMPERATURE,max_wnd_spd_10m_pst1hr,MEASURED_WIND_SPEED1,MEASURED_WIND_DIRECTION1,dwpt_temp,min_air_temp_snc_last_reset,DEW_POINT,ATMOSPHERIC_PRESSURE,avg_wnd_dir_10m_pst10mts,ACTUAL_WIND_DIRECTION,MAXIMUM_AIR_TEMPERATURE,snw_dpth,MAXIMUM_MEASURED_WIND_SPEED1,HEIGHT_OF_SNOW,pcpn_amt_pst24hrs,CURRENT_AIR_TEMPERATURE2,CURRENT_AIR_TEMPERATURE1,PRECIPITATION_NEW,max_air_temp_snc_last_reset,PRECIP_DETECTOR_RATIO,ACTUAL_WIND_SPEED,WIND_DIRECTION_STD_DEVIATION1,avg_wnd_spd_10m_pst10mts,air_temp,mslp,pcpn_amt_pst1hr,snwfl_amt_pst1hr,rel_hum,time,stn_pres,week_of_year
69.88, None, None, None,2.895,94.1, None, None,6.0,978.0, None, None, None, None, None, None, None, None,11.45, None, None, None, None,57.19, None, None, None, None, None, None,2016-05-13 00:00:00, None,20
77.32, None, None, None,2.232,130.8, None, None,6.0,979.0, None, None, None, None, None, None, None, None,9.79, None, None, None, None,26.52, None, None, None, None, None, None,2016-05-13 01:00:00, None,20
76.08, None, None, None,3.489,100.8, None, None,5.0,979.0, None, None, None, None, None, None, None, None,9.26, None, None, None, None,50.31, None, None, None, None, None, None,2016-05-13 02:00:00, None,20
85.1, None, None, None,1.89,114.9, None, None,5.0,979.0, None, None, None, None, None, None, None, None,7.513, None, None, None, None,54.85, None, None, None, None, None, None,2016-05-13 03:00:00, None,20
88.0, None, None, None,1.638,122.6, None, None,5.0,979.0, None, None, None, None, None, None, None, None,6.706, None, None, None, None,66.08, None, None, None, None, None, None,2016-05-13 04:00:00, None,20
91.8, None, None, None,1.068,94.6, None, None,4.0,980.0, None, None, None, None, None, None, None, None,5.021, None, None, None, None,61.58, None, None, None, None, None, None,2016-05-13 05:00:00, None,20
87.6, None, None, None,2.341,92.6, None, None,5.0,980.0, None, None, None, None, None, None, None, None,7.258, None, None, None, None,61.86, None, None, None, None, None, None,2016-05-13 06:00:00, None,20
89.9, None, None, None,1.114,142.0, None, None,4.0,980.0, None, None, None, None, None, None, None, None,5.864, None, None, None, None,64.87, None, None, None, None, None, None,2016-05-13 07:00:00, None,20
90.7, None, None, None,0.551,149.9, None, None,5.0,980.0, None, None, None, None, None, None, None, None,6.474, None, None, None, None,38.69, None, None, None, None, None, None,2016-05-13 08:00:00, None,20
88.4, None, None, None,1.806,159.9, None, None,6.0,980.0, None, None, None, None, None, None, None, None,7.656, None, None, None, None,18.73, None, None, None, None, None, None,2016-05-13 09:00:00, None,20
72.09, None, None, None,3.168,149.4, None, None,6.0,980.0, None, None, None, None, None, None, None, None,10.82, None, None, None, None,10.9, None, None, None, None, None, None,2016-05-13 10:00:00, None,20
47.28, None, None, None,5.203,41.49, None, None,4.0,979.0, None, None, None, None, None, None, None, None,15.52, None, None, None, None,51.0, None, None, None, None, None, None,2016-05-13 11:00:00, None,20
43.2, None, None, None,9.21,12.07, None, None,5.0,978.0, None, None, None, None, None, None, None, None,17.9, None, None, None, None,21.73, None, None, None, None, None, None,2016-05-13 12:00:00, None,20
36.67, None, None, None,7.722,12.81, None, None,5.0,978.0, None, None, None, None, None, None, None, None,20.04, None, None, None, None,25.76, None, None, None, None, None, None,2016-05-13 13:00:00, None,20
29.79, None, None, None,8.15,16.57, None, None,2.0,977.0, None, None, None, None, None, None, None, None,21.18, None, None, None, None,27.92, None, None, None, None, None, None,2016-05-13 14:00:00, None,20
