wind_speed,temperature,wind_direction,relative_humidity,time,precipitation,week_of_year
6.0,10.0,275.0,82.0,2018-09-03 00:00:00,0.4,36
11.8,8.7,28.0,92.0,2018-09-03 01:00:00,1.2,36
12.1,7.3,32.0,94.0,2018-09-03 02:00:00,2.0,36
7.4,6.8,18.0,95.0,2018-09-03 03:00:00,2.2,36
6.9,6.3,6.0,95.0,2018-09-03 04:00:00,4.8,36
2.5,5.9,345.0,96.0,2018-09-03 05:00:00,1.6,36
2.1,5.2,115.0,97.0,2018-09-03 06:00:00,0.0,36
1.6,6.2,338.0,96.0,2018-09-03 07:00:00,0.0,36
2.5,6.9,247.0,94.0,2018-09-03 08:00:00,0.0,36
4.8,8.1,218.0,88.0,2018-09-03 09:00:00,0.0,36
6.9,10.4,16.0,77.0,2018-09-03 10:00:00,0.0,36
8.8,12.7,9.0,57.0,2018-09-03 11:00:00,0.0,36
8.8,14.3,4.0,52.0,2018-09-03 12:00:00,0.0,36
7.1,13.6,339.0,42.0,2018-09-03 13:00:00,0.0,36
6.0,14.5,7.0,43.0,2018-09-03 14:00:00,0.0,36
7.7,15.6,346.0,32.0,2018-09-03 15:00:00,0.0,36
8.6,16.1,9.0,38.0,2018-09-03 16:00:00,0.0,36
8.1,15.0,1.0,38.0,2018-09-03 17:00:00,0.0,36
5.6,11.9,29.0,50.0,2018-09-03 18:00:00,0.0,36
8.4,5.8,79.0,80.0,2018-09-03 19:00:00,0.0,36
7.3,4.0,70.0,83.0,2018-09-03 20:00:00,0.0,36
8.9,2.5,79.0,90.0,2018-09-03 21:00:00,0.0,36
5.9,1.8,68.0,91.0,2018-09-03 22:00:00,0.0,36
8.0,1.1,74.0,93.0,2018-09-03 23:00:00,0.0,36
9.9,1.3,81.0,90.0,2018-09-04 00:00:00,0.0,36
8.8,0.8,87.0,91.0,2018-09-04 01:00:00,0.0,36
6.7,0.3,68.0,92.0,2018-09-04 02:00:00,0.0,36
7.5,0.0,77.0,94.0,2018-09-04 03:00:00,0.0,36
6.1,-0.1,102.0,95.0,2018-09-04 04:00:00,0.0,36
8.3,0.0,87.0,95.0,2018-09-04 05:00:00,0.0,36
3.0,0.3,75.0,95.0,2018-09-04 06:00:00,0.0,36
4.8,4.2,30.0,90.0,2018-09-04 07:00:00,0.2,36
7.5,9.7,344.0,62.0,2018-09-04 08:00:00,0.0,36
6.9,11.8,19.0,56.0,2018-09-04 09:00:00,0.0,36
5.7,13.2,239.0,55.0,2018-09-04 10:00:00,0.0,36
8.9,14.2,215.0,50.0,2018-09-04 11:00:00,0.0,36
7.5,15.8,270.0,42.0,2018-09-04 12:00:00,0.0,36
6.2,17.9,174.0,36.0,2018-09-04 13:00:00,0.0,36
8.6,17.6,241.0,33.0,2018-09-04 14:00:00,0.0,36
6.3,18.0,255.0,33.0,2018-09-04 15:00:00,0.0,36
6.5,18.3,346.0,30.0,2018-09-04 16:00:00,0.0,36
4.3,17.3,320.0,33.0,2018-09-04 17:00:00,0.0,36
3.0,12.2,59.0,62.0,2018-09-04 18:00:00,0.0,36
11.7,6.6,75.0,76.0,2018-09-04 19:00:00,0.0,36
11.4,4.8,82.0,75.0,2018-09-04 20:00:00,0.0,36
9.4,2.6,83.0,84.0,2018-09-04 21:00:00,0.0,36
10.3,2.4,85.0,82.0,2018-09-04 22:00:00,0.0,36
10.3,1.6,87.0,85.0,2018-09-04 23:00:00,0.0,36
10.6,1.4,83.0,84.0,2018-09-05 00:00:00,0.0,36
9.6,1.4,84.0,84.0,2018-09-05 01:00:00,0.0,36
8.7,0.6,87.0,88.0,2018-09-05 02:00:00,0.0,36
9.6,0.4,86.0,88.0,2018-09-05 03:00:00,0.0,36
8.2,0.4,85.0,88.0,2018-09-05 04:00:00,0.0,36
8.9,-0.1,83.0,90.0,2018-09-05 05:00:00,0.0,36
8.7,0.6,82.0,90.0,2018-09-05 06:00:00,0.0,36
4.2,2.6,89.0,90.0,2018-09-05 07:00:00,0.0,36
2.2,12.0,292.0,48.0,2018-09-05 08:00:00,0.0,36
5.5,14.1,244.0,44.0,2018-09-05 09:00:00,0.0,36
3.6,16.2,208.0,43.0,2018-09-05 10:00:00,0.0,36
6.2,17.5,240.0,38.0,2018-09-05 11:00:00,0.0,36
