WDIR_VECT,TEMP_MEAN,WSPD_SCLR,HUMIDITY,avg_rel_hum_pst1hr,time,avg_air_temp_pst1hr,week_of_year
122.1,7.0, 1.316,86.6,86.5,2018-10-01 00:00:00,7.054,40
108.9,7.1, 1.052,86.5,85.6,2018-10-01 01:00:00,7.181,40
104.1,7.2, 0.79,85.6,86.2,2018-10-01 02:00:00,7.278,40
85.2,7.3, 0.008999,86.2,85.5,2018-10-01 03:00:00,7.368,40
88.0,7.4, 0.127,85.5,87.4,2018-10-01 04:00:00,7.182,40
89.2,7.2, 0.912998,87.4,90.2,2018-10-01 05:00:00,6.867,40
88.7,6.9, 1.201,90.2,89.4,2018-10-01 06:00:00,6.987,40
63.0,7.0, 1.651,89.4,89.7,2018-10-01 07:00:00,6.903,40
64.1,6.9, 0.107,89.7,86.8,2018-10-01 08:00:00,7.718,40
108.7,7.7, 0.625998,86.8,81.3,2018-10-01 09:00:00,8.73,40
79.2,8.7, 0.787998,81.3,77.25,2018-10-01 10:00:00,9.69,40
72.1,9.7, 0.222,77.3,74.5,2018-10-01 11:00:00,10.54,40
347.0,10.5, 0.46,74.5,70.67,2018-10-01 12:00:00,11.53,40
26.8,11.5, 0.527998,70.7,62.16,2018-10-01 13:00:00,13.36,40
197.0,13.4, 1.988,62.2,68.51,2018-10-01 14:00:00,13.03,40
295.4,13.0, 3.205,68.5,72.89,2018-10-01 15:00:00,12.52,40
326.5,12.5, 2.885,72.9,77.86,2018-10-01 16:00:00,11.71,40
11.4,11.7, 1.784,77.9,83.7,2018-10-01 17:00:00,11.01,40
42.1,11.0, 2.26,83.7,90.1,2018-10-01 18:00:00,10.13,40
22.0,10.1, 2.08,90.1,92.0,2018-10-01 19:00:00,9.58,40
86.9,9.6, 1.702,92.0,90.7,2018-10-01 20:00:00,9.32,40
71.5,9.3, 1.947,90.7,92.1,2018-10-01 21:00:00,9.03,40
114.1,9.0, 1.912,92.1,92.5,2018-10-01 22:00:00,8.75,40
