wind_direction,rel_hum,avg_wnd_spd_10m_pst10mts,precipitation,dwpt_temp,wind_speed,air_temp,temperature,avg_wnd_dir_10m_pst10mts,rnfl_amt_pst1hr,rnfl_amt_pst24hrs,relative_humidity,time,week_of_year,WDIR_VECT,TEMP_MEAN,WSPD_SCLR,HUMIDITY,avg_rel_hum_pst1hr,avg_air_temp_pst1hr
36.0, None, None,0.0, None,0.0, None,-0.2, None, None, None,86.0,2018-11-12 00:00:00,46,,,,,,
113.0, None, None,0.0, None,0.9, None,0.4, None, None, None,87.0,2018-11-12 01:00:00,46,,,,,,
48.0, None, None,0.0, None,1.8, None,-0.5, None, None, None,88.0,2018-11-12 02:00:00,46,,,,,,
37.0, None, None,0.0, None,5.1, None,-0.1, None, None, None,77.0,2018-11-12 03:00:00,46,,,,,,
66.0, None, None,0.0, None,0.4, None,-0.2, None, None, None,80.0,2018-11-12 04:00:00,46,,,,,,
35.0, None, None,0.0, None,4.8, None,0.0, None, None, None,77.0,2018-11-12 05:00:00,46,,,,,,
59.0, None, None,0.0, None,4.5, None,-0.6, None, None, None,84.0,2018-11-12 06:00:00,46,,,,,,
50.0, None, None,0.0, None,5.4, None,-0.3, None, None, None,78.0,2018-11-12 07:00:00,46,,,,,,
287.0, None, None,0.0, None,0.0, None,0.2, None, None, None,81.0,2018-11-12 08:00:00,46,,,,,,
95.0, None, None,0.0, None,0.0, None,0.7, None, None, None,81.0,2018-11-12 09:00:00,46,,,,,,
84.0, None, None,0.0, None,4.9, None,1.1, None, None, None,85.0,2018-11-12 10:00:00,46,,,,,,
206.0, None, None,0.0, None,1.5, None,1.9, None, None, None,78.0,2018-11-12 11:00:00,46,,,,,,
192.0, None, None,0.0, None,2.3, None,2.5, None, None, None,72.0,2018-11-12 12:00:00,46,,,,,,
197.0, None, None,0.0, None,4.4, None,4.4, None, None, None,64.0,2018-11-12 13:00:00,46,,,,,,
207.0, None, None,0.0, None,5.5, None,3.4, None, None, None,71.0,2018-11-12 14:00:00,46,,,,,,
294.0, None, None,0.0, None,2.5, None,1.4, None, None, None,79.0,2018-11-12 15:00:00,46,,,,,,
289.0, None, None,0.0, None,2.3, None,0.7, None, None, None,80.0,2018-11-12 16:00:00,46,,,,,,
308.0, None, None,0.0, None,1.0, None,0.7, None, None, None,71.0,2018-11-12 17:00:00,46,,,,,,
176.0, None, None,0.0, None,3.0, None,1.0, None, None, None,70.0,2018-11-12 18:00:00,46,,,,,,
236.0, None, None,0.0, None,4.6, None,0.8, None, None, None,74.0,2018-11-12 19:00:00,46,,,,,,
213.0, None, None,0.0, None,7.8, None,1.6, None, None, None,67.0,2018-11-12 20:00:00,46,,,,,,
213.0, None, None,0.0, None,7.5, None,1.4, None, None, None,70.0,2018-11-12 21:00:00,46,,,,,,
204.0, None, None,0.0, None,3.2, None,0.7, None, None, None,73.0,2018-11-12 22:00:00,46,,,,,,
236.0, None, None,0.0, None,4.7, None,0.6, None, None, None,77.0,2018-11-12 23:00:00,46,,,,,,
262.0, None, None,0.0, None,2.9, None,0.5, None, None, None,78.0,2018-11-13 00:00:00,46,,,,,,
224.0, None, None,0.0, None,7.0, None,0.6, None, None, None,76.0,2018-11-13 01:00:00,46,,,,,,
222.0, None, None,0.0, None,8.0, None,0.8, None, None, None,75.0,2018-11-13 02:00:00,46,,,,,,
228.0, None, None,0.0, None,7.3, None,0.8, None, None, None,73.0,2018-11-13 03:00:00,46,,,,,,
224.0, None, None,0.0, None,4.7, None,0.3, None, None, None,74.0,2018-11-13 04:00:00,46,,,,,,
218.0, None, None,0.0, None,8.5, None,1.0, None, None, None,70.0,2018-11-13 05:00:00,46,,,,,,
223.0, None, None,0.0, None,7.3, None,0.9, None, None, None,71.0,2018-11-13 06:00:00,46,,,,,,
218.0, None, None,0.0, None,9.3, None,1.2, None, None, None,69.0,2018-11-13 07:00:00,46,,,,,,
222.0, None, None,0.0, None,8.8, None,1.4, None, None, None,70.0,2018-11-13 08:00:00,46,,,,,,
219.0, None, None,0.0, None,10.3, None,2.4, None, None, None,65.0,2018-11-13 09:00:00,46,,,,,,
204.0, None, None,0.0, None,10.9, None,2.8, None, None, None,63.0,2018-11-13 10:00:00,46,,,,,,
209.0, None, None,0.0, None,10.1, None,3.4, None, None, None,63.0,2018-11-13 11:00:00,46,,,,,,
217.0, None, None,0.0, None,8.8, None,3.8, None, None, None,65.0,2018-11-13 12:00:00,46,,,,,,
191.0, None, None,0.0, None,8.2, None,4.0, None, None, None,61.0,2018-11-13 13:00:00,46,,,,,,
208.0, None, None,0.0, None,7.4, None,3.6, None, None, None,60.0,2018-11-13 14:00:00,46,,,,,,
201.0, None, None,0.0, None,4.8, None,3.0, None, None, None,65.0,2018-11-13 15:00:00,46,,,,,,
211.0, None, None,0.0, None,4.2, None,3.0, None, None, None,61.0,2018-11-13 16:00:00,46,,,,,,
205.0, None, None,0.0, None,10.9, None,3.1, None, None, None,61.0,2018-11-13 17:00:00,46,,,,,,
204.0, None, None,0.0, None,8.8, None,2.9, None, None, None,61.0,2018-11-13 18:00:00,46,,,,,,
205.0, None, None,0.0, None,10.6, None,2.9, None, None, None,64.0,2018-11-13 19:00:00,46,,,,,,
208.0, None, None,0.0, None,9.5, None,2.4, None, None, None,71.0,2018-11-13 20:00:00,46,,,,,,
226.0, None, None,0.0, None,8.8, None,2.6, None, None, None,67.0,2018-11-13 21:00:00,46,,,,,,
202.0, None, None,0.0, None,10.8, None,2.6, None, None, None,70.0,2018-11-13 22:00:00,46,,,,,,
222.0, None, None,0.0, None,12.5, None,1.9, None, None, None,75.0,2018-11-13 23:00:00,46,,,,,,
219.0, None, None,0.0, None,12.4, None,2.6, None, None, None,69.0,2018-11-14 00:00:00,46,,,,,,
221.0, None, None,0.0, None,8.1, None,2.6, None, None, None,68.0,2018-11-14 01:00:00,46,,,,,,
