ONE_DAY_PRECIPITATION,ONE_DAY_RAIN,MIN_TEMP,ONE_DAY_SNOW,time,SNOW_ON_THE_GROUND,MAX_TEMP,week_of_year,WDIR_VECT,TEMP_MEAN,WSPD_SCLR,HUMIDITY,avg_rel_hum_pst1hr,avg_air_temp_pst1hr
0.0, 0.0, -14.0, 0.0,2018-02-19, 52.0, -7.0,8,,,,,,
0.0, 0.0, -17.5, 0.0,2018-02-20, 50.0, -9.5,8,,,,,,
, None, -17.0, None,2018-02-21, 48.0, None,8,,,,,,
0.0, 0.0, None, 0.0,2018-02-22, None, -5.5,8,,,,,,
4.6, 0.0, -16.0, 4.6,2018-02-23, 46.0, -7.0,8,,,,,,
0.0, 0.0, -14.5, 0.0,2018-02-24, 51.0, -0.5,8,,,,,,
3.2, 0.0, -7.5, 3.2,2018-02-25, 49.0, 1.5,8,,,,,,
,,,,2018-02-19 00:00:00,,,8,,-14.8, 1.342,78.9,78.94,-14.76
,,,,2018-02-19 01:00:00,,,8,,-15.5, 1.748,78.9,78.94,-15.49
,,,,2018-02-19 02:00:00,,,8,,-16.2, 1.684,79.2,79.23,-16.23
,,,,2018-02-19 03:00:00,,,8,,-16.7, 1.605,79.6,79.57,-16.73
,,,,2018-02-19 04:00:00,,,8,,-17.0, 1.539,79.5,79.47,-17.02
,,,,2018-02-19 05:00:00,,,8,,-17.2, 1.207,79.4,79.44,-17.2
,,,,2018-02-19 06:00:00,,,8,,-17.7, 1.224,79.5,79.54,-17.71
,,,,2018-02-19 07:00:00,,,8,,-18.0, 1.14,79.5,79.46,-17.95
,,,,2018-02-19 08:00:00,,,8,,-17.2, 1.418,78.3,78.26,-17.24
,,,,2018-02-19 09:00:00,,,8,,-14.7, 1.433,72.8,72.84,-14.71
,,,,2018-02-19 10:00:00,,,8,,-11.4, 1.532,65.0,65.02,-11.41
,,,,2018-02-19 11:00:00,,,8,,-8.1, 1.103,49.8,49.75,-8.13
,,,,2018-02-19 12:00:00,,,8,,-7.2, 1.752,45.1,45.07,-7.187
,,,,2018-02-19 13:00:00,,,8,,-6.7, 2.114,44.5,44.5,-6.654
,,,,2018-02-19 14:00:00,,,8,,-6.0, 1.715,42.3,42.26,-5.987
,,,,2018-02-19 15:00:00,,,8,,-5.6, 1.789,40.8,40.76,-5.622
,,,,2018-02-19 16:00:00,,,8,,-5.3, 1.815,40.7,40.71,-5.297
,,,,2018-02-19 17:00:00,,,8,,-5.8, 1.566,45.6,45.56,-5.832
,,,,2018-02-19 18:00:00,,,8,,-7.2, 0.879998,52.5,52.48,-7.241
,,,,2018-02-19 19:00:00,,,8,,-8.6, None,60.5,60.48,-8.63
,,,,2018-02-19 20:00:00,,,8,,-10.3, None,69.3,69.33,-10.27
,,,,2018-02-19 21:00:00,,,8,,-11.8, None,72.3,72.26,-11.78
,,,,2018-02-19 22:00:00,,,8,,-13.5, None,76.2,76.23,-13.53
,,,,2018-02-19 23:00:00,,,8,,-14.8, None,77.7,77.72,-14.76
,,,,2018-02-20 00:00:00,,,8,,-15.3, None,79.2,79.22,-15.32
,,,,2018-02-20 01:00:00,,,8,,-16.1, None,79.5,79.47,-16.11
,,,,2018-02-20 02:00:00,,,8,,-16.6, None,79.5,79.51,-16.63
,,,,2018-02-20 03:00:00,,,8,,-17.5, 0.365999,78.6,78.61,-17.48
,,,,2018-02-20 04:00:00,,,8,,-18.3, 0.165,79.3,79.33,-18.28
,,,,2018-02-20 05:00:00,,,8,,-17.7, 0.495,80.7,80.7,-17.67
,,,,2018-02-20 06:00:00,,,8,,-18.5, 0.750998,79.1,79.07,-18.49
,,,,2018-02-20 07:00:00,,,8,,-18.0, None,79.3,79.29,-18.02
,,,,2018-02-20 08:00:00,,,8,,-16.6, None,79.2,79.21,-16.61
,,,,2018-02-20 09:00:00,,,8,,-14.4, 0.101,75.9,75.93,-14.39
,,,,2018-02-20 10:00:00,,,8,,-13.0, 1.066,75.9,75.94,-12.98
,,,,2018-02-20 11:00:00,,,8,,-12.4, 1.345,77.3,77.29,-12.35
,,,,2018-02-20 12:00:00,,,8,,-10.3, 1.266,70.5,70.5,-10.26
,,,,2018-02-20 13:00:00,,,8,,-10.1, 1.806,69.0,68.98,-10.14
,,,,2018-02-20 14:00:00,,,8,,-8.6, 0.243,61.7,61.74,-8.59
,,,,2018-02-20 15:00:00,,,8,,-8.0, 1.021,57.8,57.83,-7.966
,,,,2018-02-20 16:00:00,,,8,,-7.7, 1.127,60.0,59.99,-7.734
,,,,2018-02-20 17:00:00,,,8,,-8.1, 0.869,62.2,62.17,-8.15
