RELATIVE_HUMIDITY1,STANDARD_SNOW,MINIMUM_AIR_TEMPERATURE,max_wnd_spd_10m_pst1hr,MEASURED_WIND_SPEED1,MEASURED_WIND_DIRECTION1,dwpt_temp,min_air_temp_snc_last_reset,DEW_POINT,ATMOSPHERIC_PRESSURE,avg_wnd_dir_10m_pst10mts,ACTUAL_WIND_DIRECTION,MAXIMUM_AIR_TEMPERATURE,snw_dpth,MAXIMUM_MEASURED_WIND_SPEED1,HEIGHT_OF_SNOW,pcpn_amt_pst24hrs,CURRENT_AIR_TEMPERATURE2,CURRENT_AIR_TEMPERATURE1,PRECIPITATION_NEW,max_air_temp_snc_last_reset,rel_hum,ACTUAL_WIND_SPEED,WIND_DIRECTION_STD_DEVIATION1,avg_wnd_spd_10m_pst10mts,air_temp,pcpn_amt_pst1hr,snwfl_amt_pst1hr,time,stn_pres,week_of_year,PRECIP_DETECTOR_RATIO,mslp
, None, None, None,3.385,62.85, None, None, None, None, None, None, None, None, None, None, None, None,2.996, None, None, None, None,42.25, None, None, None, None,2019-04-23 00:00:00, None,17,,
, None, None, None,3.227,66.47, None, None, None, None, None, None, None, None, None, None, None, None,3.409, None, None, None, None,35.14, None, None, None, None,2019-04-23 01:00:00, None,17,,
, None, None, None,0.849,7.01, None, None, None, None, None, None, None, None, None, None, None, None,3.11, None, None, None, None,64.05, None, None, None, None,2019-04-23 02:00:00, None,17,,
, None, None, None,0.6,218.7, None, None, None, None, None, None, None, None, None, None, None, None,2.975, None, None, None, None,70.9, None, None, None, None,2019-04-23 03:00:00, None,17,,
, None, None, None,0.725,227.6, None, None, None, None, None, None, None, None, None, None, None, None,2.552, None, None, None, None,69.63, None, None, None, None,2019-04-23 04:00:00, None,17,,
, None, None, None,1.426,197.9, None, None, None, None, None, None, None, None, None, None, None, None,2.341, None, None, None, None,60.98, None, None, None, None,2019-04-23 05:00:00, None,17,,
, None, None, None,1.857,204.3, None, None, None, None, None, None, None, None, None, None, None, None,2.033, None, None, None, None,55.98, None, None, None, None,2019-04-23 06:00:00, None,17,,
, None, None, None,0.867,205.3, None, None, None, None, None, None, None, None, None, None, None, None,2.485, None, None, None, None,69.69, None, None, None, None,2019-04-23 07:00:00, None,17,,
, None, None, None,0.982,197.7, None, None, None, None, None, None, None, None, None, None, None, None,2.946, None, None, None, None,67.38, None, None, None, None,2019-04-23 08:00:00, None,17,,
, None, None, None,0.586,236.9, None, None, None, None, None, None, None, None, None, None, None, None,3.553, None, None, None, None,70.9, None, None, None, None,2019-04-23 09:00:00, None,17,,
, None, None, None,1.03,267.4, None, None, None, None, None, None, None, None, None, None, None, None,4.433, None, None, None, None,60.43, None, None, None, None,2019-04-23 10:00:00, None,17,,
, None, None, None,3.726,237.4, None, None, None, None, None, None, None, None, None, None, None, None,4.471, None, None, None, None,34.22, None, None, None, None,2019-04-23 11:00:00, None,17,,
, None, None, None,4.265,218.1, None, None, None, None, None, None, None, None, None, None, None, None,3.507, None, None, None, None,38.53, None, None, None, None,2019-04-23 12:00:00, None,17,,
