ONE_DAY_PRECIPITATION,pcpn_amt_pst1hr,snw_dpth_wtr_equiv,MIN_TEMP,ONE_DAY_SNOW,time,air_temp_1,SNOW_ON_THE_GROUND,snw_dpth,MAX_TEMP,week_of_year
,439.0, None, None, None,2019-11-12 00:00:00,-1.5, None, 22.0, None,46
,439.0, None, None, None,2019-11-12 01:00:00,-1.8, None, 28.0, None,46
,439.0, None, None, None,2019-11-12 02:00:00,-1.8, None, 26.0, None,46
,439.0, None, None, None,2019-11-12 03:00:00,-2.0, None, 25.0, None,46
,439.0, None, None, None,2019-11-12 04:00:00,-1.4, None, None, None,46
,439.0, None, None, None,2019-11-12 05:00:00,-1.6, None, None, None,46
,439.0, None, None, None,2019-11-12 06:00:00,-2.1, None, 28.0, None,46
,439.0, None, None, None,2019-11-12 07:00:00,-2.5, None, 27.0, None,46
,439.0, None, None, None,2019-11-12 08:00:00,-1.5, None, None, None,46
,439.0, None, None, None,2019-11-12 09:00:00,-0.9, None, 19.0, None,46
,439.0, None, None, None,2019-11-12 10:00:00,-1.6, None, None, None,46
,440.0, None, None, None,2019-11-12 11:00:00,-2.8, None, None, None,46
,442.0, None, None, None,2019-11-12 12:00:00,-0.8, None, 7.0, None,46
,444.0, None, None, None,2019-11-12 13:00:00,-1.2, None, 16.0, None,46
,444.0, None, None, None,2019-11-12 14:00:00,-2.3, None, 26.0, None,46
,445.0, None, None, None,2019-11-12 15:00:00,-2.7, None, None, None,46
,445.0, None, None, None,2019-11-12 16:00:00,-3.1, None, 32.0, None,46
,446.0, None, None, None,2019-11-12 17:00:00,-2.6, None, 27.0, None,46
,447.0, None, None, None,2019-11-12 18:00:00,-2.5, None, 29.0, None,46
,447.0, None, None, None,2019-11-12 19:00:00,-1.7, None, 17.0, None,46
,447.0, None, None, None,2019-11-12 20:00:00,-2.0, None, None, None,46
,447.0, None, None, None,2019-11-12 21:00:00,-2.0, None, None, None,46
,448.0, None, None, None,2019-11-12 22:00:00,-2.1, None, None, None,46
,448.0, None, None, None,2019-11-12 23:00:00,-1.4, None, None, None,46
,448.0, None, None, None,2019-11-13 00:00:00,-1.7, None, 25.0, None,46
,448.0, None, None, None,2019-11-13 01:00:00,-1.3, None, 18.0, None,46
,448.0, None, None, None,2019-11-13 02:00:00,-1.2, None, None, None,46
,448.0, None, None, None,2019-11-13 03:00:00,-1.3, None, 14.0, None,46
,448.0, None, None, None,2019-11-13 04:00:00,-1.3, None, 18.0, None,46
,448.0, None, None, None,2019-11-13 05:00:00,-1.2, None, 20.0, None,46
,448.0, None, None, None,2019-11-13 06:00:00,-1.2, None, 20.0, None,46
,448.0, None, None, None,2019-11-13 07:00:00,-1.2, None, 21.0, None,46
,448.0, None, None, None,2019-11-13 08:00:00,-1.2, None, 18.0, None,46
,448.0, None, None, None,2019-11-13 09:00:00,-1.2, None, None, None,46
,448.0, None, None, None,2019-11-13 10:00:00,-1.3, None, None, None,46
,448.0, None, None, None,2019-11-13 11:00:00,-1.4, None, 22.0, None,46
,448.0, None, None, None,2019-11-13 12:00:00,-1.5, None, None, None,46
,448.0, None, None, None,2019-11-13 13:00:00,-1.6, None, 25.0, None,46
,448.0, None, None, None,2019-11-13 14:00:00,-1.6, None, 22.0, None,46
,448.0, None, None, None,2019-11-13 15:00:00,-1.7, None, None, None,46
,448.0, None, None, None,2019-11-13 16:00:00,-1.3, None, None, None,46
,448.0, None, None, None,2019-11-13 17:00:00,-1.1, None, 13.0, None,46
,448.0, None, None, None,2019-11-13 18:00:00,-0.3, None, 22.0, None,46
,449.0, None, None, None,2019-11-13 19:00:00,-0.1, None, 22.0, None,46
,449.0, None, None, None,2019-11-13 20:00:00,0.7, None, 25.0, None,46
,449.0, None, None, None,2019-11-13 21:00:00,1.0, None, 23.0, None,46
,449.0, None, None, None,2019-11-13 22:00:00,2.3, None, 23.0, None,46
,449.0, None, None, None,2019-11-13 23:00:00,0.4, None, 23.0, None,46
,449.0, None, None, None,2019-11-14 00:00:00,-0.5, None, 27.0, None,46
,449.0, None, None, None,2019-11-14 01:00:00,-1.8, None, None, None,46
,449.0, None, None, None,2019-11-14 02:00:00,-2.9, None, 33.0, None,46
,449.0, None, None, None,2019-11-14 03:00:00,-3.1, None, 37.0, None,46
,449.0, None, None, None,2019-11-14 04:00:00,-3.3, None, 78.0, None,46
,449.0, None, None, None,2019-11-14 05:00:00,-3.3, None, 79.0, None,46
,449.0, None, None, None,2019-11-14 06:00:00,-3.3, None, 77.0, None,46
,449.0, None, None, None,2019-11-14 07:00:00,-3.1, None, 77.0, None,46
,449.0, None, None, None,2019-11-14 08:00:00,-2.6, None, 35.0, None,46
,449.0, None, None, None,2019-11-14 09:00:00,-3.0, None, 74.0, None,46
,449.0, None, None, None,2019-11-14 10:00:00,-3.2, None, 78.0, None,46
,449.0, None, None, None,2019-11-14 11:00:00,-2.7, None, 76.0, None,46
,449.0, None, None, None,2019-11-14 12:00:00,-3.2, None, 78.0, None,46
,449.0, None, None, None,2019-11-14 13:00:00,-3.0, None, 79.0, None,46
,449.0, None, None, None,2019-11-14 14:00:00,-2.9, None, 76.0, None,46
