wind_direction,rel_hum,avg_wnd_spd_10m_pst10mts,precipitation,dwpt_temp,wind_speed,air_temp,temperature,avg_wnd_dir_10m_pst10mts,rnfl_amt_pst1hr,rnfl_amt_pst24hrs,relative_humidity,time,week_of_year
3.0,0.0,0.0,0.0, None,0.3,-0.1,-0.3,3.0,0.0, None,0.0,2020-12-09 00:00:00,50
3.0,0.0,0.3,0.0, None,0.0,-0.3,-0.6,3.0,0.0, None,0.0,2020-12-09 01:00:00,50
3.0,0.0,0.0,0.0, None,1.6,-0.6,-0.7,3.0,0.0, None,0.0,2020-12-09 02:00:00,50
3.0,0.0,1.6,0.0, None,0.2,-0.7,-1.0,3.0,0.0, None,0.0,2020-12-09 03:00:00,50
2.0,0.0,0.2,0.2, None,0.7,-1.0,-1.1,3.0,0.0, None,0.0,2020-12-09 04:00:00,50
2.0,0.0,0.7,0.0, None,1.4,-1.1,-1.1,2.0,0.2, None,0.0,2020-12-09 05:00:00,50
2.0,0.0,1.4,0.0, None,1.9,-1.1,-1.3,2.0,0.0, None,0.0,2020-12-09 06:00:00,50
2.0,0.0,1.9,0.0, None,0.2,-1.3,-1.6,2.0,0.0, None,0.0,2020-12-09 07:00:00,50
2.0,0.0,0.2,0.0, None,0.0,-1.6,-1.5,2.0,0.0, None,0.0,2020-12-09 08:00:00,50
1.0,0.0,0.0,0.0, None,2.0,-1.5,-0.2,2.0,0.0, None,0.0,2020-12-09 09:00:00,50
8.0,0.0,2.0,0.2, None,1.9,-0.2,0.5,1.0,0.0, None,0.0,2020-12-09 10:00:00,50
176.0,0.0,1.9,0.4, None,1.4,0.5,0.9,8.0,0.2, None,0.0,2020-12-09 11:00:00,50
140.0,0.0,1.4,0.6, None,1.8,0.9,-0.2,176.0,0.4, 5.2,0.0,2020-12-09 12:00:00,50
299.0,0.0,1.8,0.6, None,0.8,-0.2,0.2,140.0,0.6, 5.0,0.0,2020-12-09 13:00:00,50
5.0,0.0,0.8,0.0, None,1.0,0.2,-1.0,299.0,0.6, 4.4,0.0,2020-12-09 14:00:00,50
215.0,0.0,1.0,0.0, None,0.0,-1.0,-1.2,5.0,0.0, 3.4,0.0,2020-12-09 15:00:00,50
