wind_direction,rel_hum,avg_wnd_spd_10m_pst10mts,precipitation,dwpt_temp,wind_speed,air_temp,temperature,avg_wnd_dir_10m_pst10mts,rnfl_amt_pst1hr,rnfl_amt_pst24hrs,relative_humidity,time,snw_dpth,week_of_year
136.0, 86.0, 2.7,0.0, 6.3,2.0, 8.5,9.3, 106.0, 0.0, 0.0,81.0,2021-10-22 00:00:00, None,43
52.0, 85.0, 2.8,0.0, 6.5,1.8, 8.9,8.4, 155.0, 0.0, 0.0,96.0,2021-10-22 01:00:00, None,43
95.0, None, None,1.0, None,4.4, None,8.1, None, None, None,99.0,2021-10-22 02:00:00, None,43
96.0, 96.0, 1.8,2.4, 7.8,3.2, 8.4,8.0, 52.0, 0.0, None,100.0,2021-10-22 03:00:00, None,43
238.0, 99.0, 4.4,1.6, 8.0,3.6, 8.1,8.0, 95.0, 1.0, None,100.0,2021-10-22 04:00:00, None,43
102.0, None, None,0.2, None,4.9, None,8.1, None, None, None,100.0,2021-10-22 05:00:00, None,43
77.0, None, None,0.6, None,2.1, None,8.2, None, None, None,100.0,2021-10-22 06:00:00, None,43
100.0, 100.0, 4.9,0.2, 8.1,2.2, 8.1,8.6, 102.0, 0.2, 5.2,100.0,2021-10-22 07:00:00, None,43
218.0, 100.0, 2.1,0.4, 8.2,2.0, 8.2,8.7, 77.0, 0.6, 5.8,100.0,2021-10-22 08:00:00, None,43
235.0, 100.0, 2.2,0.0, 8.6,3.5, 8.6,9.4, 100.0, 0.2, 6.0,100.0,2021-10-22 09:00:00, None,43
296.0, 100.0, 2.0,0.0, 8.7,2.7, 8.7,9.2, 218.0, 0.4, 6.4,100.0,2021-10-22 10:00:00, None,43
106.0, None, None,0.0, None,2.1, None,9.2, None, None, None,100.0,2021-10-22 11:00:00, None,43
105.0, 100.0, 2.7,0.2, 9.2,3.4, 9.2,9.9, 296.0, 0.0, None,100.0,2021-10-22 12:00:00, None,43
282.0, 100.0, 2.1,1.8, 9.2,1.8, 9.2,9.4, 106.0, 0.0, None,100.0,2021-10-22 13:00:00, None,43
88.0, 100.0, 3.4,1.0, 9.9,2.1, 9.9,9.4, 105.0, 0.2, None,100.0,2021-10-22 14:00:00, None,43
86.0, 100.0, 1.8,0.6, 9.4,1.9, 9.4,9.7, 282.0, 1.8, None,100.0,2021-10-22 15:00:00, None,43
42.0, 100.0, 2.1,1.0, 9.4,2.0, 9.4,9.5, 88.0, 1.0, None,100.0,2021-10-22 16:00:00, None,43
146.0, 100.0, 1.9,1.0, 9.7,2.5, 9.7,9.3, 86.0, 0.6, None,100.0,2021-10-22 17:00:00, None,43
148.0, 100.0, 2.0,0.4, 9.5,3.3, 9.5,8.9, 42.0, 1.0, 11.0,100.0,2021-10-22 18:00:00, None,43
91.0, None, None,0.0, None,5.3, None,8.5, None, None, None,100.0,2021-10-22 19:00:00, None,43
100.0, 100.0, 3.3,0.2, 8.9,5.7, 8.9,8.4, 148.0, 0.4, 12.4,99.0,2021-10-22 20:00:00, None,43
95.0, 100.0, 5.3,0.0, 8.5,3.9, 8.5,7.6, 91.0, 0.0, 12.4,100.0,2021-10-22 21:00:00, None,43
95.0, None, None,0.0, None,5.4, None,7.0, None, None, None,100.0,2021-10-22 22:00:00, None,43
168.0, None, None,0.0, None,3.1, None,7.5, None, None, None,100.0,2021-10-22 23:00:00, None,43
99.0, 100.0, 5.4,0.0, 7.0,4.3, 7.0,7.9, 95.0, 0.0, 12.6,100.0,2021-10-23 00:00:00, None,43
112.0, None, None,0.0, None,3.0, None,8.1, None, None, None,100.0,2021-10-23 01:00:00, None,43
52.0, None, None,0.0, None,2.1, None,7.9, None, None, None,100.0,2021-10-23 02:00:00, None,43
91.0, None, None,0.0, None,2.6, None,7.4, None, None, None,100.0,2021-10-23 03:00:00, None,43
352.0, 100.0, 2.1,0.0, 7.9,2.4, 7.9,7.5, 52.0, 0.0, 11.6,100.0,2021-10-23 04:00:00, None,43
114.0, 100.0, 2.6,0.0, 7.4,1.8, 7.4,7.6, 91.0, 0.0, 9.2,100.0,2021-10-23 05:00:00, None,43
191.0, 100.0, 2.4,0.0, 7.5,3.9, 7.5,7.4, 352.0, 0.0, 7.6,98.0,2021-10-23 06:00:00, None,43
215.0, 100.0, 1.8,0.2, 7.6,5.0, 7.6,8.7, 114.0, 0.0, 7.4,90.0,2021-10-23 07:00:00, None,43
215.0, None, None,0.0, None,5.5, None,9.0, None, None, None,89.0,2021-10-23 08:00:00, None,43
151.0, 90.0, 5.0,0.0, 7.2,4.3, 8.7,9.3, 215.0, 0.2, 6.8,86.0,2021-10-23 09:00:00, None,43
181.0, 89.0, 5.5,0.0, 7.3,8.6, 9.0,11.7, 215.0, 0.0, 6.4,67.0,2021-10-23 10:00:00, None,43
208.0, 86.0, 4.3,0.0, 7.1,10.5, 9.3,12.1, 151.0, 0.0, 6.4,66.0,2021-10-23 11:00:00, None,43
197.0, 67.0, 8.6,0.0, 5.8,8.4, 11.7,12.6, 181.0, 0.0, 6.4,59.0,2021-10-23 12:00:00, None,43
210.0, 66.0, 10.5,0.0, 5.9,11.8, 12.1,12.0, 208.0, 0.0, 6.4,58.0,2021-10-23 13:00:00, None,43
187.0, None, None,0.0, None,9.0, None,11.9, None, None, None,59.0,2021-10-23 14:00:00, None,43
193.0, 58.0, 11.8,0.0, 4.0,11.5, 12.0,11.6, 210.0, 0.0, 4.4,57.0,2021-10-23 15:00:00, None,43
184.0, 59.0, 9.0,0.0, 4.1,4.8, 11.9,10.5, 187.0, 0.0, 3.4,67.0,2021-10-23 16:00:00, None,43
98.0, 57.0, 11.5,0.0, 3.4,4.0, 11.6,9.4, 193.0, 0.0, 2.8,80.0,2021-10-23 17:00:00, None,43
113.0, 67.0, 4.8,0.0, 4.6,4.0, 10.5,8.6, 184.0, 0.0, 1.8,82.0,2021-10-23 18:00:00, None,43
104.0, None, None,0.0, None,6.6, None,9.1, None, None, None,74.0,2021-10-23 19:00:00, None,43
95.0, None, None,0.0, None,4.0, None,8.9, None, None, None,80.0,2021-10-23 20:00:00, None,43
117.0, None, None,0.0, None,4.2, None,9.8, None, None, None,70.0,2021-10-23 21:00:00, None,43
108.0, None, None,0.0, None,3.4, None,9.4, None, None, None,80.0,2021-10-23 22:00:00, None,43
131.0, 70.0, 4.2,0.0, 4.6,4.2, 9.8,10.2, 117.0, 0.0, None,68.0,2021-10-23 23:00:00, None,43
130.0, 80.0, 3.4,0.0, 6.1,2.5, 9.4,9.1, 108.0, 0.0, 0.2,83.0,2021-10-24 00:00:00, None,43
98.0, 68.0, 4.2,0.0, 4.6,3.5, 10.2,9.1, 131.0, 0.0, 0.2,82.0,2021-10-24 01:00:00, None,43
137.0, None, None,0.0, None,4.5, None,8.8, None, None, None,77.0,2021-10-24 02:00:00, None,43
168.0, 82.0, 3.5,0.0, 6.2,3.9, 9.1,9.3, 98.0, 0.0, 0.2,80.0,2021-10-24 03:00:00, None,43
90.0, None, None,0.0, None,2.9, None,8.2, None, None, None,87.0,2021-10-24 04:00:00, None,43
226.0, None, None,0.0, None,3.6, None,8.1, None, None, None,87.0,2021-10-24 05:00:00, None,43
93.0, 87.0, 2.9,0.0, 6.2,2.8, 8.2,7.5, 90.0, 0.0, None,95.0,2021-10-24 06:00:00, None,43
206.0, None, None,0.0, None,2.4, None,8.2, None, None, None,96.0,2021-10-24 07:00:00, None,43
38.0, None, None,0.0, None,2.5, None,8.6, None, None, None,92.0,2021-10-24 08:00:00, None,43
17.0, None, None,0.0, None,2.4, None,9.3, None, None, None,90.0,2021-10-24 09:00:00, None,43
207.0, 92.0, 2.5,0.0, 7.4,4.8, 8.6,9.7, 38.0, 0.0, 0.0,86.0,2021-10-24 10:00:00, None,43
181.0, 90.0, 2.4,0.0, 7.7,7.7, 9.3,11.2, 17.0, 0.0, 0.0,71.0,2021-10-24 11:00:00, None,43
168.0, 86.0, 4.8,0.0, 7.5,6.2, 9.7,11.0, 207.0, 0.0, 0.0,72.0,2021-10-24 12:00:00, None,43
199.0, 71.0, 7.7,0.0, 6.1,5.4, 11.2,10.7, 181.0, 0.0, 0.0,75.0,2021-10-24 13:00:00, None,43
188.0, 72.0, 6.2,0.0, 6.2,7.7, 11.0,10.1, 168.0, 0.0, 0.0,80.0,2021-10-24 14:00:00, None,43
162.0, None, None,0.0, None,6.7, None,9.4, None, None, None,84.0,2021-10-24 15:00:00, None,43
143.0, None, None,0.2, None,6.8, None,8.6, None, None, None,92.0,2021-10-24 16:00:00, None,43
99.0, 84.0, 6.7,0.4, 6.8,5.7, 9.4,8.4, 162.0, 0.0, 0.0,92.0,2021-10-24 17:00:00, None,43
142.0, 92.0, 6.8,0.6, 7.4,5.3, 8.6,8.3, 143.0, 0.2, 0.2,94.0,2021-10-24 18:00:00, None,43
109.0, 92.0, 5.7,1.2, 7.2,6.3, 8.4,7.9, 99.0, 0.4, 0.6,92.0,2021-10-24 19:00:00, None,43
87.0, 94.0, 5.3,0.0, 7.4,2.8, 8.3,7.6, 142.0, 0.6, 1.2,98.0,2021-10-24 20:00:00, None,43
97.0, 92.0, 6.3,1.0, 6.7,3.5, 7.9,7.6, 109.0, 1.2, 2.4,100.0,2021-10-24 21:00:00, None,43
72.0, None, None,0.0, None,3.2, None,7.4, None, None, None,100.0,2021-10-24 22:00:00, None,43
123.0, None, None,0.0, None,3.2, None,6.9, None, None, None,100.0,2021-10-24 23:00:00, None,43
85.0, None, None,0.0, None,4.3, None,6.2, None, None, None,99.0,2021-10-25 00:00:00, None,43
109.0, 100.0, 3.2,0.0, 6.9,6.6, 6.9,5.6, 123.0, 0.0, None,100.0,2021-10-25 01:00:00, None,43
81.0, None, None,0.0, None,2.9, None,6.4, None, None, None,99.0,2021-10-25 02:00:00, None,43
115.0, None, None,0.0, None,5.1, None,7.2, None, None, None,93.0,2021-10-25 03:00:00, None,43
93.0, 99.0, 2.9,0.0, 6.3,4.2, 6.4,6.7, 81.0, 0.0, 3.4,94.0,2021-10-25 04:00:00, None,43
196.0, 93.0, 5.1,0.0, 6.1,5.8, 7.2,8.1, 115.0, 0.0, 3.4,75.0,2021-10-25 05:00:00, None,43
168.0, 94.0, 4.2,0.0, 5.8,5.7, 6.7,7.5, 93.0, 0.0, 3.4,79.0,2021-10-25 06:00:00, None,43
170.0, 75.0, 5.8,0.0, 3.9,6.5, 8.1,8.0, 196.0, 0.0, 3.4,74.0,2021-10-25 07:00:00, None,43
177.0, None, None,0.0, None,5.7, None,8.8, None, None, None,69.0,2021-10-25 08:00:00, None,43
176.0, None, None,0.0, None,7.8, None,9.4, None, None, None,66.0,2021-10-25 09:00:00, None,43
173.0, 69.0, 5.7,0.0, 3.4,8.1, 8.8,11.0, 177.0, 0.0, None,59.0,2021-10-25 10:00:00, None,43
196.0, None, None,0.0, None,14.2, None,11.7, None, None, None,55.0,2021-10-25 11:00:00, None,43
205.0, None, None,0.0, None,13.9, None,12.9, None, None, None,53.0,2021-10-25 12:00:00, None,43
206.0, 55.0, 14.2,0.0, 3.0,14.0, 11.7,13.1, 196.0, 0.0, 3.4,52.0,2021-10-25 13:00:00, None,43
188.0, None, None,0.0, None,11.1, None,11.9, None, None, None,56.0,2021-10-25 14:00:00, None,43
189.0, 52.0, 14.0,0.0, 3.5,6.3, 13.1,11.4, 206.0, 0.0, 3.4,56.0,2021-10-25 15:00:00, None,43
144.0, None, None,0.0, None,6.1, None,11.3, None, None, None,54.0,2021-10-25 16:00:00, None,43
164.0, None, None,0.0, None,6.5, None,11.1, None, None, None,58.0,2021-10-25 17:00:00, None,43
121.0, None, None,0.0, None,5.2, None,10.7, None, None, None,59.0,2021-10-25 18:00:00, None,43
149.0, 58.0, 6.5,0.0, 3.2,7.1, 11.1,11.0, 164.0, 0.0, 2.8,56.0,2021-10-25 19:00:00, None,43
117.0, 59.0, 5.2,0.0, 3.0,4.3, 10.7,10.7, 121.0, 0.0, 2.2,59.0,2021-10-25 20:00:00, None,43
113.0, 56.0, 7.1,0.0, 2.6,4.4, 11.0,9.7, 149.0, 0.0, 1.0,64.0,2021-10-25 21:00:00, None,43
111.0, None, None,0.0, None,4.8, None,9.9, None, None, None,64.0,2021-10-25 22:00:00, None,43
79.0, 64.0, 4.4,0.0, 3.2,3.8, 9.7,9.1, 113.0, 0.0, 0.0,69.0,2021-10-25 23:00:00, None,43
114.0, 64.0, 4.8,0.0, 3.4,4.1, 9.9,8.3, 111.0, 0.0, 0.0,72.0,2021-10-26 00:00:00, None,43
109.0, 69.0, 3.8,0.0, 3.7,2.4, 9.1,8.4, 79.0, 0.0, 0.0,72.0,2021-10-26 01:00:00, None,43
175.0, 72.0, 4.1,0.0, 3.6,5.6, 8.3,8.7, 114.0, 0.0, 0.0,68.0,2021-10-26 02:00:00, None,43
153.0, 72.0, 2.4,0.0, 3.7,4.1, 8.4,8.9, 109.0, 0.0, 0.0,69.0,2021-10-26 03:00:00, None,43
141.0, 68.0, 5.6,0.0, 3.1,4.0, 8.7,8.1, 175.0, 0.0, 0.0,76.0,2021-10-26 04:00:00, None,43
110.0, 69.0, 4.1,0.0, 3.5,5.0, 8.9,6.7, 153.0, 0.0, 0.0,80.0,2021-10-26 05:00:00, None,43
98.0, 76.0, 4.0,0.0, 4.1,5.4, 8.1,5.9, 141.0, 0.0, 0.0,84.0,2021-10-26 06:00:00, None,43
83.0, 80.0, 5.0,0.0, 3.5,4.4, 6.7,6.2, 110.0, 0.0, 0.0,78.0,2021-10-26 07:00:00, None,43
202.0, 84.0, 5.4,0.0, 3.4,5.2, 5.9,9.0, 98.0, 0.0, 0.0,68.0,2021-10-26 08:00:00, None,43
199.0, 78.0, 4.4,0.0, 2.7,8.9, 6.2,10.1, 83.0, 0.0, 0.0,64.0,2021-10-26 09:00:00, None,43
205.0, 68.0, 5.2,0.0, 3.4,12.3, 9.0,11.5, 202.0, 0.0, 0.0,58.0,2021-10-26 10:00:00, None,43
209.0, 64.0, 8.9,0.0, 3.6,10.6, 10.1,12.7, 199.0, 0.0, 0.0,53.0,2021-10-26 11:00:00, None,43
189.0, 58.0, 12.3,0.0, 3.5,8.3, 11.5,11.5, 205.0, 0.0, 0.0,54.0,2021-10-26 12:00:00, None,43
175.0, 53.0, 10.6,0.0, 3.4,6.4, 12.7,11.2, 209.0, 0.0, 0.0,56.0,2021-10-26 13:00:00, None,43
110.0, 54.0, 8.3,0.2, 2.5,7.3, 11.5,10.0, 189.0, 0.0, 0.0,66.0,2021-10-26 14:00:00, None,43
54.0, None, None,0.0, None,5.3, None,10.9, None, None, None,63.0,2021-10-26 15:00:00, None,43
28.0, 66.0, 7.3,0.0, 3.9,4.6, 10.0,10.1, 110.0, 0.2, 0.2,63.0,2021-10-26 16:00:00, None,43
