station_observations
WDIR_VECT, TEMP_MEAN, WSPD_SCLR, time, avg_air_temp_pst1hr
None, None, 3.369, 2012-01-01 00:00:00, -0.783999
None, None, 3.694, 2012-01-01 01:00:00, -0.726
None, None, 3.186, 2012-01-01 02:00:00, -1.431
None, None, 3.338, 2012-01-01 03:00:00, -1.212
None, None, 3.437, 2012-01-01 04:00:00, -0.25
None, None, 2.233, 2012-01-01 05:00:00, -1.049
None, None, 2.752, 2012-01-01 06:00:00, -0.09
None, None, 2.846, 2012-01-01 07:00:00, 0.569999
None, None, 1.369, 2012-01-01 08:00:00, 0.089
None, None, 1.119, 2012-01-01 09:00:00, -0.699999
None, None, 2.739, 2012-01-01 10:00:00, 0.617999
None, None, 3.526, 2012-01-01 11:00:00, 1.385
None, None, 3.53, 2012-01-01 12:00:00, 2.3
None, None, 3.752, 2012-01-01 13:00:00, 2.428
None, None, 4.352, 2012-01-01 14:00:00, 2.352
None, None, 3.211, 2012-01-01 15:00:00, 3.107
None, None, 2.488, 2012-01-01 16:00:00, 2.835
None, None, 1.569, 2012-01-01 17:00:00, 1.641
None, None, 0.856, 2012-01-01 18:00:00, 0.944999
None, None, 0.819, 2012-01-01 19:00:00, 0.111
None, None, 1.182, 2012-01-01 20:00:00, -0.15
None, None, 1.348, 2012-01-01 21:00:00, -0.123999
None, None, 0.857999, 2012-01-01 22:00:00, -1.126
None, None, 0.556999, 2012-01-01 23:00:00, -1.672
None, None, 0.261, 2012-01-02 00:00:00, -3.039
None, None, 0.33, 2012-01-02 01:00:00, -3.086
None, None, 0.950999, 2012-01-02 02:00:00, -3.013
None, None, 1.989, 2012-01-02 03:00:00, -1.952
None, None, 1.796, 2012-01-02 04:00:00, -1.775
None, None, 1.379, 2012-01-02 05:00:00, -2.464
None, None, 0.856, 2012-01-02 06:00:00, -2.866
None, None, 1.27, 2012-01-02 07:00:00, -2.692
None, None, 0.661, 2012-01-02 08:00:00, -3.095
None, None, 2.552, 2012-01-02 09:00:00, -1.902
None, None, 4.463, 2012-01-02 10:00:00, -0.252
None, None, 3.822, 2012-01-02 11:00:00, 0.237
None, None, 3.703, 2012-01-02 12:00:00, 1.392
None, None, 1.934, 2012-01-02 13:00:00, 0.913999
None, None, 0.777, 2012-01-02 14:00:00, -0.305
None, None, 1.519, 2012-01-02 15:00:00, 0.114
None, None, 1.601, 2012-01-02 16:00:00, 0.542999
None, None, 0.493999, 2012-01-02 17:00:00, -0.239999
None, None, 3.257, 2012-01-02 18:00:00, 1.081
None, None, 2.952, 2012-01-02 19:00:00, 1.665
None, None, 1.744, 2012-01-02 20:00:00, 0.28
None, None, 1.139, 2012-01-02 21:00:00, 0.805999
None, None, 1.144, 2012-01-02 22:00:00, 0.476
None, None, 0.646, 2012-01-02 23:00:00, 0.501999
None, None, 0.247999, 2012-01-03 00:00:00, 0.224999
None, None, 0.560999, 2012-01-03 01:00:00, 0.093999
None, None, 0.575999, 2012-01-03 02:00:00, 0.135
None, None, 1.216, 2012-01-03 03:00:00, 0.187999
None, None, 1.458, 2012-01-03 04:00:00, 0.241999
None, None, 1.063, 2012-01-03 05:00:00, 0.319
None, None, 1.043, 2012-01-03 06:00:00, 0.172
None, None, 1.421, 2012-01-03 07:00:00, -0.992999
None, None, 2.196, 2012-01-03 08:00:00, -0.039999
None, None, 2.542, 2012-01-03 09:00:00, 0.439999
None, None, 2.731, 2012-01-03 10:00:00, 0.902
None, None, 2.222, 2012-01-03 11:00:00, 1.014
None, None, 1.845, 2012-01-03 12:00:00, 1.555
None, None, 2.652, 2012-01-03 13:00:00, 2.301
None, None, 3.146, 2012-01-03 14:00:00, 2.566
None, None, 2.731, 2012-01-03 15:00:00, 3.033
None, None, 2.466, 2012-01-03 16:00:00, 3.091
None, None, 2.375, 2012-01-03 17:00:00, 3.033
None, None, 2.095, 2012-01-03 18:00:00, 3.162
None, None, 3.488, 2012-01-03 19:00:00, 3.207
None, None, 3.32, 2012-01-03 20:00:00, 2.46
None, None, 2.583, 2012-01-03 21:00:00, 1.858
None, None, 2.446, 2012-01-03 22:00:00, 1.71
None, None, 2.924, 2012-01-03 23:00:00, 1.587
None, None, 2.313, 2012-01-04 00:00:00, 1.626
None, None, 3.142, 2012-01-04 01:00:00, 2.655
None, None, 4.038, 2012-01-04 02:00:00, 3.254
None, None, 3.994, 2012-01-04 03:00:00, 3.219
None, None, 3.921, 2012-01-04 04:00:00, 2.435
None, None, 5.388, 2012-01-04 05:00:00, 3.18
None, None, 4.319, 2012-01-04 06:00:00, 2.475
None, None, 5.221, 2012-01-04 07:00:00, 3.137
None, None, 5.19, 2012-01-04 08:00:00, 3.119
None, None, 5.427, 2012-01-04 09:00:00, 3.445
