station_observations
CURRENT_AIR_TEMPERATURE1, PRECIPITATION_NEW, MINIMUM_AIR_TEMPERATURE, max_wnd_spd_10m_pst1hr, WIND_DIRECTION_STD_DEVIATION1, MEASURED_WIND_SPEED1, MEASURED_WIND_DIRECTION1, dwpt_temp, avg_wnd_spd_10m_pst10mts, air_temp, min_air_temp_snc_last_reset, pcpn_amt_pst1hr, avg_wnd_dir_10m_pst10mts, max_air_temp_snc_last_reset, ACTUAL_WIND_DIRECTION, ACTUAL_WIND_SPEED, rel_hum, MAXIMUM_AIR_TEMPERATURE, time, snw_dpth, MAXIMUM_MEASURED_WIND_SPEED1, snwfl_amt_pst1hr, stn_pres
-12.76, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 2012-01-01 00:00:00, None, None, None, None
-12.6, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 2012-01-01 01:00:00, None, None, None, None
-12.42, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 2012-01-01 02:00:00, None, None, None, None
-12.08, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 2012-01-01 03:00:00, None, None, None, None
-11.75, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 2012-01-01 04:00:00, None, None, None, None
-11.54, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 2012-01-01 05:00:00, None, None, None, None
-11.14, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 2012-01-01 06:00:00, None, None, None, None
-10.58, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 2012-01-01 07:00:00, None, None, None, None
-10.21, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 2012-01-01 08:00:00, None, None, None, None
-9.82, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 2012-01-01 09:00:00, None, None, None, None
-9.15, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 2012-01-01 10:00:00, None, None, None, None
-8.81, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 2012-01-01 11:00:00, None, None, None, None
-8.31, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 2012-01-01 12:00:00, None, None, None, None
-8.3, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 2012-01-01 13:00:00, None, None, None, None
-8.22, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 2012-01-01 14:00:00, None, None, None, None
-8.39, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 2012-01-01 15:00:00, None, None, None, None
-8.61, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 2012-01-01 16:00:00, None, None, None, None
-8.45, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 2012-01-01 17:00:00, None, None, None, None
-8.23, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 2012-01-01 18:00:00, None, None, None, None
-8.11, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 2012-01-01 19:00:00, None, None, None, None
-7.77, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 2012-01-01 20:00:00, None, None, None, None
-7.76, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 2012-01-01 21:00:00, None, None, None, None
-7.55, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 2012-01-01 22:00:00, None, None, None, None
-7.54, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 2012-01-01 23:00:00, None, None, None, None
-7.35, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 2012-01-02 00:00:00, None, None, None, None
-7.22, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 2012-01-02 01:00:00, None, None, None, None
-6.85, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 2012-01-02 02:00:00, None, None, None, None
-6.604, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 2012-01-02 03:00:00, None, None, None, None
-6.508, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 2012-01-02 04:00:00, None, None, None, None
-6.606, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 2012-01-02 05:00:00, None, None, None, None
-6.459, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 2012-01-02 06:00:00, None, None, None, None
-6.031, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 2012-01-02 07:00:00, None, None, None, None
-6.023, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 2012-01-02 08:00:00, None, None, None, None
-6.109, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 2012-01-02 09:00:00, None, None, None, None
-6.051, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 2012-01-02 10:00:00, None, None, None, None
-6.39, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 2012-01-02 11:00:00, None, None, None, None
-6.545, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 2012-01-02 12:00:00, None, None, None, None
-7.18, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 2012-01-02 13:00:00, None, None, None, None
-8.05, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 2012-01-02 14:00:00, None, None, None, None
-7.15, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 2012-01-02 15:00:00, None, None, None, None
-8.95, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 2012-01-02 16:00:00, None, None, None, None
-8.99, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 2012-01-02 17:00:00, None, None, None, None
-9.29, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 2012-01-02 18:00:00, None, None, None, None
-9.9, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 2012-01-02 19:00:00, None, None, None, None
-10.45, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 2012-01-02 20:00:00, None, None, None, None
-10.22, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 2012-01-02 21:00:00, None, None, None, None
-9.37, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 2012-01-02 22:00:00, None, None, None, None
-9.37, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 2012-01-02 23:00:00, None, None, None, None
-9.0, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 2012-01-03 00:00:00, None, None, None, None
-8.94, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 2012-01-03 01:00:00, None, None, None, None
-8.4, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 2012-01-03 02:00:00, None, None, None, None
-7.5, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 2012-01-03 03:00:00, None, None, None, None
-6.897, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 2012-01-03 04:00:00, None, None, None, None
-6.595, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 2012-01-03 05:00:00, None, None, None, None
-6.517, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 2012-01-03 06:00:00, None, None, None, None
-6.324, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 2012-01-03 07:00:00, None, None, None, None
-6.031, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 2012-01-03 08:00:00, None, None, None, None
-5.356, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 2012-01-03 09:00:00, None, None, None, None
-4.951, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 2012-01-03 10:00:00, None, None, None, None
-4.519, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 2012-01-03 11:00:00, None, None, None, None
-4.318, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 2012-01-03 12:00:00, None, None, None, None
-4.433, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 2012-01-03 13:00:00, None, None, None, None
-4.462, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 2012-01-03 14:00:00, None, None, None, None
-4.397, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 2012-01-03 15:00:00, None, None, None, None
-4.222, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 2012-01-03 16:00:00, None, None, None, None
-4.272, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 2012-01-03 17:00:00, None, None, None, None
-4.242, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 2012-01-03 18:00:00, None, None, None, None
-4.319, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 2012-01-03 19:00:00, None, None, None, None
-4.042, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 2012-01-03 20:00:00, None, None, None, None
-3.747, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 2012-01-03 21:00:00, None, None, None, None
-3.509, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 2012-01-03 22:00:00, None, None, None, None
-3.052, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 2012-01-03 23:00:00, None, None, None, None
-2.656, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 2012-01-04 00:00:00, None, None, None, None
-2.222, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 2012-01-04 01:00:00, None, None, None, None
-2.167, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 2012-01-04 02:00:00, None, None, None, None
-2.072, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 2012-01-04 03:00:00, None, None, None, None
-1.969, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 2012-01-04 04:00:00, None, None, None, None
-2.119, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 2012-01-04 05:00:00, None, None, None, None
-2.385, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 2012-01-04 06:00:00, None, None, None, None
-2.838, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 2012-01-04 07:00:00, None, None, None, None
-2.997, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 2012-01-04 08:00:00, None, None, None, None
-2.808, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 2012-01-04 09:00:00, None, None, None, None
-2.922, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 2012-01-04 10:00:00, None, None, None, None
-2.971, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 2012-01-04 11:00:00, None, None, None, None
-2.876, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 2012-01-04 12:00:00, None, None, None, None
-2.375, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 2012-01-04 13:00:00, None, None, None, None
-3.039, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 2012-01-04 14:00:00, None, None, None, None
-3.265, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 2012-01-04 15:00:00, None, None, None, None
-4.026, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 2012-01-04 16:00:00, None, None, None, None
-4.224, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 2012-01-04 17:00:00, None, None, None, None
-4.175, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 2012-01-04 18:00:00, None, None, None, None
-4.081, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 2012-01-04 19:00:00, None, None, None, None
-4.119, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 2012-01-04 20:00:00, None, None, None, None
-4.434, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 2012-01-04 21:00:00, None, None, None, None
-4.827, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 2012-01-04 22:00:00, None, None, None, None
-5.095, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 2012-01-04 23:00:00, None, None, None, None
-5.393, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 2012-01-05 00:00:00, None, None, None, None
-5.565, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 2012-01-05 01:00:00, None, None, None, None
-5.451, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 2012-01-05 02:00:00, None, None, None, None
-5.499, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 2012-01-05 03:00:00, None, None, None, None
-5.644, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 2012-01-05 04:00:00, None, None, None, None
-5.721, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 2012-01-05 05:00:00, None, None, None, None
-5.875, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 2012-01-05 06:00:00, None, None, None, None
-5.885, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 2012-01-05 07:00:00, None, None, None, None
-5.914, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 2012-01-05 08:00:00, None, None, None, None
-6.03, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 2012-01-05 09:00:00, None, None, None, None
-6.031, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 2012-01-05 10:00:00, None, None, None, None
-5.528, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 2012-01-05 11:00:00, None, None, None, None
-5.527, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 2012-01-05 12:00:00, None, None, None, None
-5.692, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 2012-01-05 13:00:00, None, None, None, None
-6.418, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 2012-01-05 14:00:00, None, None, None, None
-7.34, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 2012-01-05 15:00:00, None, None, None, None
-7.91, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 2012-01-05 16:00:00, None, None, None, None
-8.08, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 2012-01-05 17:00:00, None, None, None, None
-8.93, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 2012-01-05 18:00:00, None, None, None, None
-9.77, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 2012-01-05 19:00:00, None, None, None, None
-10.5, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 2012-01-05 20:00:00, None, None, None, None
-11.97, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 2012-01-05 21:00:00, None, None, None, None
-12.46, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 2012-01-05 22:00:00, None, None, None, None
-12.21, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 2012-01-05 23:00:00, None, None, None, None
-12.59, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 2012-01-06 00:00:00, None, None, None, None
-12.47, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 2012-01-06 01:00:00, None, None, None, None
-12.32, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 2012-01-06 02:00:00, None, None, None, None
-12.31, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 2012-01-06 03:00:00, None, None, None, None
-12.05, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 2012-01-06 04:00:00, None, None, None, None
-12.28, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 2012-01-06 05:00:00, None, None, None, None
-12.21, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 2012-01-06 06:00:00, None, None, None, None
-11.67, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 2012-01-06 07:00:00, None, None, None, None
-11.77, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 2012-01-06 08:00:00, None, None, None, None
-10.95, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 2012-01-06 09:00:00, None, None, None, None
-10.76, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 2012-01-06 10:00:00, None, None, None, None
-10.24, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 2012-01-06 11:00:00, None, None, None, None
-9.82, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 2012-01-06 12:00:00, None, None, None, None
-9.28, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 2012-01-06 13:00:00, None, None, None, None
-9.18, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 2012-01-06 14:00:00, None, None, None, None
-8.99, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 2012-01-06 15:00:00, None, None, None, None
-9.02, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 2012-01-06 16:00:00, None, None, None, None
-8.94, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 2012-01-06 17:00:00, None, None, None, None
-8.93, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 2012-01-06 18:00:00, None, None, None, None
-8.84, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 2012-01-06 19:00:00, None, None, None, None
-8.79, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 2012-01-06 20:00:00, None, None, None, None
-8.75, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 2012-01-06 21:00:00, None, None, None, None
-8.4, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 2012-01-06 22:00:00, None, None, None, None
-7.95, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 2012-01-06 23:00:00, None, None, None, None
-8.15, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 2012-01-07 00:00:00, None, None, None, None
-8.26, None, None, None, 10.32, 16.92, 257.0, None, None, None, None, None, None, None, None, None, None, None, 2012-01-07 01:00:00, None, None, None, None
-7.9, None, None, None, 12.27, 16.13, 245.1, None, None, None, None, None, None, None, None, None, None, None, 2012-01-07 02:00:00, None, None, None, None
-7.82, None, None, None, 10.66, 15.41, 245.4, None, None, None, None, None, None, None, None, None, None, None, 2012-01-07 03:00:00, None, None, None, None
-7.65, None, None, None, 12.35, 17.08, 242.4, None, None, None, None, None, None, None, None, None, None, None, 2012-01-07 04:00:00, None, None, None, None
-7.4, None, None, None, 8.92, 23.74, 250.6, None, None, None, None, None, None, None, None, None, None, None, 2012-01-07 05:00:00, None, None, None, None
-7.26, None, None, None, 9.12, 21.3, 245.1, None, None, None, None, None, None, None, None, None, None, None, 2012-01-07 06:00:00, None, None, None, None
-6.947, None, None, None, 10.52, 25.15, 239.6, None, None, None, None, None, None, None, None, None, None, None, 2012-01-07 07:00:00, None, None, None, None
-6.81, None, None, None, 11.14, 22.55, 240.6, None, None, None, None, None, None, None, None, None, None, None, 2012-01-07 08:00:00, None, None, None, None
-6.584, None, None, None, 11.26, 25.48, 248.7, None, None, None, None, None, None, None, None, None, None, None, 2012-01-07 09:00:00, None, None, None, None
-6.265, None, None, None, 11.76, 27.55, 242.9, None, None, None, None, None, None, None, None, None, None, None, 2012-01-07 10:00:00, None, None, None, None
-5.916, None, None, None, 10.57, 29.56, 245.9, None, None, None, None, None, None, None, None, None, None, None, 2012-01-07 11:00:00, None, None, None, None
-5.866, None, None, None, 9.88, 27.47, 245.8, None, None, None, None, None, None, None, None, None, None, None, 2012-01-07 12:00:00, None, None, None, None
-5.625, None, None, None, 10.51, 24.9, 238.9, None, None, None, None, None, None, None, None, None, None, None, 2012-01-07 13:00:00, None, None, None, None
-5.394, None, None, None, 13.46, 29.53, 237.4, None, None, None, None, None, None, None, None, None, None, None, 2012-01-07 14:00:00, None, None, None, None
-5.335, None, None, None, 13.41, 26.49, 243.6, None, None, None, None, None, None, None, None, None, None, None, 2012-01-07 15:00:00, None, None, None, None
-5.325, None, None, None, 13.62, 23.91, 245.2, None, None, None, None, None, None, None, None, None, None, None, 2012-01-07 16:00:00, None, None, None, None
-5.266, None, None, None, 13.82, 22.27, 250.5, None, None, None, None, None, None, None, None, None, None, None, 2012-01-07 17:00:00, None, None, None, None
-5.19, None, None, None, 13.1, 22.69, 252.9, None, None, None, None, None, None, None, None, None, None, None, 2012-01-07 18:00:00, None, None, None, None
-5.17, None, None, None, 15.09, 21.77, 275.0, None, None, None, None, None, None, None, None, None, None, None, 2012-01-07 19:00:00, None, None, None, None
-4.758, None, None, None, 16.37, 17.94, 269.5, None, None, None, None, None, None, None, None, None, None, None, 2012-01-07 20:00:00, None, None, None, None
-4.769, None, None, None, 15.81, 15.76, 271.1, None, None, None, None, None, None, None, None, None, None, None, 2012-01-07 21:00:00, None, None, None, None
-4.692, None, None, None, 17.93, 13.71, 260.1, None, None, None, None, None, None, None, None, None, None, None, 2012-01-07 22:00:00, None, None, None, None
-4.606, None, None, None, 16.26, 17.77, 265.7, None, None, None, None, None, None, None, None, None, None, None, 2012-01-07 23:00:00, None, None, None, None
-4.424, None, None, None, 17.01, 20.89, 273.3, None, None, None, None, None, None, None, None, None, None, None, 2012-01-08 00:00:00, None, None, None, None
-4.004, None, None, None, 18.82, 24.8, 274.1, None, None, None, None, None, None, None, None, None, None, None, 2012-01-08 01:00:00, None, None, None, None
