station_observations
AirTemp, ONE_DAY_PRECIPITATION, time, MIN_TEMP, MAX_TEMP
None, 0.0, 2015-01-01 00:00:00, -4.3, 2.6
None, 3.5, 2015-01-02 00:00:00, -4.5, -0.6
None, 2.0, 2015-01-03 00:00:00, -4.9, -0.9
None, 52.8, 2015-01-04 00:00:00, -2.1, 0.2
None, 39.8, 2015-01-05 00:00:00, 0.2, 3.1
None, 7.4, 2015-01-06 00:00:00, 0.8, 5.3
None, 0.0, 2015-01-07 00:00:00, 0.4, 13.4
None, 0.0, 2015-01-08 00:00:00, 1.1, 11.7
None, 0.6, 2015-01-09 00:00:00, 1.1, 8.9
None, 1.4, 2015-01-10 00:00:00, 1.6, 4.1
None, 1.0, 2015-01-11 00:00:00, 1.2, 5.1
None, 0.0, 2015-01-12 00:00:00, -1.5, 5.3
None, 0.0, 2015-01-13 00:00:00, -1.9, 7.6
None, 1.0, 2015-01-14 00:00:00, -1.0, 11.5
None, 44.8, 2015-01-15 00:00:00, -0.7, 5.2
None, 8.3, 2015-01-16 00:00:00, 0.0, 4.7
None, 25.9, 2015-01-17 00:00:00, -0.9, 4.9
None, 44.7, 2015-01-18 00:00:00, 1.9, 6.6
None, 9.4, 2015-01-19 00:00:00, -0.8, 2.9
None, 0.0, 2015-01-20 00:00:00, -2.2, 5.5
None, 1.0, 2015-01-21 00:00:00, -2.5, 6.2
None, 9.2, 2015-01-22 00:00:00, 1.2, 4.7
None, 83.0, 2015-01-23 00:00:00, 3.7, 7.6
None, 27.8, 2015-01-24 00:00:00, 6.6, 8.6
None, 0.0, 2015-01-25 00:00:00, 3.4, 12.2
None, 0.0, 2015-01-26 00:00:00, 3.1, 13.1
None, 6.0, 2015-01-27 00:00:00, 4.1, 7.7
None, 0.0, 2015-01-28 00:00:00, -1.1, 8.2
None, 0.0, 2015-01-29 00:00:00, -1.6, 11.8
None, 1.0, 2015-01-30 00:00:00, -0.9, 9.7
None, 0.0, 2015-01-31 00:00:00, -1.0, 9.0
None, 21.0, 2015-02-01 00:00:00, 2.5, 5.0
None, 10.0, 2015-02-02 00:00:00, 2.3, 4.2
None, 6.0, 2015-02-03 00:00:00, 2.4, 4.6
None, 8.6, 2015-02-04 00:00:00, -0.5, 5.6
None, 101.1, 2015-02-05 00:00:00, 4.4, 8.9
None, 78.9, 2015-02-06 00:00:00, 6.1, 8.8
None, 39.4, 2015-02-07 00:00:00, 4.9, 6.8
None, 17.3, 2015-02-08 00:00:00, 4.9, 10.3
None, 32.7, 2015-02-09 00:00:00, 4.3, 7.5
None, 12.0, 2015-02-10 00:00:00, 3.7, 7.1
None, 0.0, 2015-02-11 00:00:00, 2.2, 9.0
None, 10.0, 2015-02-12 00:00:00, 4.5, 6.9
None, 14.0, 2015-02-13 00:00:00, 6.0, 12.5
None, 1.6, 2015-02-14 00:00:00, 0.3, 6.8
None, 0.4, 2015-02-15 00:00:00, -0.6, 11.2
None, 0.0, 2015-02-16 00:00:00, -0.3, 10.1
None, 0.0, 2015-02-17 00:00:00, 1.7, 15.2
None, 0.0, 2015-02-18 00:00:00, 2.4, 9.6
None, 9.0, 2015-02-19 00:00:00, 4.0, 4.5
None, 0.0, 2015-02-20 00:00:00, -0.6, 5.2
None, 0.0, 2015-02-21 00:00:00, -2.0, 10.0
None, 0.0, 2015-02-22 00:00:00, -2.5, 8.0
None, 0.0, 2015-02-23 00:00:00, -2.1, 10.5
None, 0.0, 2015-02-24 00:00:00, -2.1, 8.1
None, 3.0, 2015-02-25 00:00:00, 0.6, 3.5
None, 2.0, 2015-02-26 00:00:00, -0.6, 4.6
None, 0.0, 2015-02-27 00:00:00, 1.2, 9.9
None, 0.0, 2015-02-28 00:00:00, -3.2, 9.1
None, 0.0, 2015-03-01 00:00:00, -3.1, 5.4
None, 0.0, 2015-03-02 00:00:00, -3.2, 9.6
None, 0.0, 2015-03-03 00:00:00, -4.0, 6.7
None, 0.0, 2015-03-04 00:00:00, -5.4, 6.5
None, 0.0, 2015-03-05 00:00:00, -3.2, 8.6
None, 0.0, 2015-03-06 00:00:00, 1.2, 12.7
None, 0.0, 2015-03-07 00:00:00, -0.4, 12.3
None, 0.0, 2015-03-08 00:00:00, 0.3, 13.2
None, 0.0, 2015-03-09 00:00:00, 0.9, 11.4
None, 2.7, 2015-03-10 00:00:00, 0.4, 15.7
None, 29.9, 2015-03-11 00:00:00, 5.5, 7.2
None, 4.4, 2015-03-12 00:00:00, 5.3, 9.0
None, 4.9, 2015-03-13 00:00:00, 2.7, 16.9
None, 49.1, 2015-03-14 00:00:00, 1.0, 7.5
None, 10.0, 2015-03-15 00:00:00, 1.0, 3.0
None, 0.0, 2015-03-16 00:00:00, -2.0, 10.3
None, 0.0, 2015-03-17 00:00:00, 0.6, 11.5
None, 0.0, 2015-03-18 00:00:00, 0.0, 9.9
None, 31.3, 2015-03-19 00:00:00, 4.1, 5.6
None, 66.4, 2015-03-20 00:00:00, 4.6, 6.8
None, 80.4, 2015-03-21 00:00:00, 0.3, 6.4
None, 13.0, 2015-03-22 00:00:00, -0.5, 6.4
None, 14.0, 2015-03-23 00:00:00, 0.3, 5.6
None, 4.0, 2015-03-24 00:00:00, 0.3, 6.2
None, 33.8, 2015-03-25 00:00:00, 0.4, 7.7
None, 7.3, 2015-03-26 00:00:00, 5.5, 13.0
None, 22.6, 2015-03-27 00:00:00, 4.5, 11.7
None, 15.2, 2015-03-28 00:00:00, 3.8, 5.9
None, 71.4, 2015-03-29 00:00:00, 1.6, 5.9
None, 17.4, 2015-03-30 00:00:00, 5.9, 9.0
None, 7.4, 2015-03-31 00:00:00, -0.7, 6.7
None, 6.0, 2015-04-01 00:00:00, 0.0, 7.3
None, 1.0, 2015-04-02 00:00:00, 1.1, 6.5
None, 21.0, 2015-04-03 00:00:00, 0.2, 4.5
None, 7.0, 2015-04-04 00:00:00, -1.7, 7.6
None, 0.0, 2015-04-05 00:00:00, -2.5, 10.6
