station_observations
WDIR_VECT, TEMP_MEAN, WSPD_SCLR, HUMIDITY, avg_rel_hum_pst1hr, time, avg_air_temp_pst1hr
None, None, 2.71641, None, 56.686, 2016-01-01 00:00:00, -5.24508
None, None, 2.44147, None, 56.5589, 2016-01-01 01:00:00, -5.40408
None, None, 2.1929, None, 56.5996, 2016-01-01 02:00:00, -5.57195
None, None, 2.84143, None, 56.2682, 2016-01-01 03:00:00, -5.3904
None, None, 3.14738, None, 53.3571, 2016-01-01 04:00:00, -4.48132
None, None, 2.62396, None, 53.9654, 2016-01-01 05:00:00, -4.58388
None, None, 3.18181, None, 53.7266, 2016-01-01 06:00:00, -4.51026
None, None, 3.40056, None, 53.2908, 2016-01-01 07:00:00, -4.50237
None, None, 3.13064, None, 54.8993, 2016-01-01 08:00:00, -4.81678
None, None, 2.17902, None, 55.0692, 2016-01-01 09:00:00, -4.89133
None, None, 2.2117, None, 54.874, 2016-01-01 10:00:00, -4.95401
None, None, 2.05427, None, 51.8355, 2016-01-01 11:00:00, -4.37428
None, None, 2.16283, None, 49.1556, 2016-01-01 12:00:00, -3.53809
None, None, 2.48629, None, 47.5927, 2016-01-01 13:00:00, -2.95013
None, None, 2.40758, None, 46.197, 2016-01-01 14:00:00, -2.3532
None, None, 2.20926, None, 47.4171, 2016-01-01 15:00:00, -2.52872
None, None, 3.26581, None, 49.6219, 2016-01-01 16:00:00, -2.66406
None, None, 2.64804, None, 50.4773, 2016-01-01 17:00:00, -2.77248
None, None, 2.02433, None, 51.1185, 2016-01-01 18:00:00, -2.98068
None, None, 2.14776, None, 51.6881, 2016-01-01 19:00:00, -3.26558
None, None, 2.12737, None, 51.2202, 2016-01-01 20:00:00, -3.17087
None, None, 1.65196, None, 52.3518, 2016-01-01 21:00:00, -3.60845
None, None, 1.30851, None, 55.0688, 2016-01-01 22:00:00, -4.53447
None, None, 1.42261, None, 54.1921, 2016-01-01 23:00:00, -4.21809
None, None, 0.68014, None, 60.4051, 2016-01-02 00:00:00, -6.12281
None, None, 0.709191, None, 66.0519, 2016-01-02 01:00:00, -7.64145
None, None, 2.21032, None, 55.4129, 2016-01-02 02:00:00, -4.01258
None, None, 1.28829, None, 56.4747, 2016-01-02 03:00:00, -4.46853
None, None, 1.02905, None, 59.99, 2016-01-02 04:00:00, -5.46904
None, None, 0.970965, None, 64.0879, 2016-01-02 05:00:00, -6.62716
None, None, 0.523711, None, 73.3089, 2016-01-02 06:00:00, -9.15245
None, None, 0.833334, None, 74.1773, 2016-01-02 07:00:00, -8.6615
None, None, 1.1384, None, 72.7592, 2016-01-02 08:00:00, -8.2147
None, None, 1.68922, None, 67.1043, 2016-01-02 09:00:00, -6.51786
None, None, 2.11168, None, 68.0137, 2016-01-02 10:00:00, -6.72379
None, None, 2.53766, None, 65.5998, 2016-01-02 11:00:00, -5.89662
None, None, 2.73041, None, 61.2615, 2016-01-02 12:00:00, -4.68839
None, None, 2.43281, None, 56.8152, 2016-01-02 13:00:00, -3.21809
None, None, 2.52808, None, 53.6086, 2016-01-02 14:00:00, -2.07151
None, None, 1.94094, None, 54.7307, 2016-01-02 15:00:00, -2.1165
None, None, 1.36355, None, 58.9913, 2016-01-02 16:00:00, -3.25656
None, None, 0.890672, None, 66.5039, 2016-01-02 17:00:00, -5.18281
None, None, 1.16781, None, 65.756, 2016-01-02 18:00:00, -4.44267
None, None, 1.87266, None, 63.1201, 2016-01-02 19:00:00, -3.63002
None, None, 1.8644, None, 64.7704, 2016-01-02 20:00:00, -4.0468
None, None, 2.10284, None, 68.5442, 2016-01-02 21:00:00, -5.19864
None, None, 2.25902, None, 70.8962, 2016-01-02 22:00:00, -5.87436
None, None, 2.36593, None, 72.2556, 2016-01-02 23:00:00, -6.48653
None, None, 2.05037, None, 71.707, 2016-01-03 00:00:00, -6.53701
None, None, 1.95925, None, 73.2424, 2016-01-03 01:00:00, -7.25492
None, None, 2.4885, None, 73.4491, 2016-01-03 02:00:00, -7.44726
None, None, 2.55251, None, 72.5553, 2016-01-03 03:00:00, -7.41904
None, None, 2.35403, None, 72.1089, 2016-01-03 04:00:00, -7.5104
None, None, 2.83136, None, 70.2763, 2016-01-03 05:00:00, -7.30761
None, None, 2.56109, None, 69.057, 2016-01-03 06:00:00, -7.22359
None, None, 1.94402, None, 67.2368, 2016-01-03 07:00:00, -6.94987
None, None, 2.3194, None, 67.4908, 2016-01-03 08:00:00, -7.07379
None, None, 2.39375, None, 70.6704, 2016-01-03 09:00:00, -7.91796
None, None, 2.43296, None, 68.0231, 2016-01-03 10:00:00, -7.28708
None, None, 2.26902, None, 64.7107, 2016-01-03 11:00:00, -6.43888
None, None, 2.68632, None, 61.4655, 2016-01-03 12:00:00, -5.51118
None, None, 2.39251, None, 59.1381, 2016-01-03 13:00:00, -4.57916
None, None, 1.95418, None, 56.1394, 2016-01-03 14:00:00, -3.42992
None, None, 1.21216, None, 58.2028, 2016-01-03 15:00:00, -3.74589
None, None, 1.31922, None, 61.7167, 2016-01-03 16:00:00, -4.29783
None, None, 1.36018, None, 63.8823, 2016-01-03 17:00:00, -4.46671
None, None, 1.86844, None, 67.6648, 2016-01-03 18:00:00, -5.48049
None, None, 1.30749, None, 70.759, 2016-01-03 19:00:00, -6.5689
None, None, 1.76825, None, 73.3896, 2016-01-03 20:00:00, -7.27106
None, None, 2.076, None, 75.5969, 2016-01-03 21:00:00, -8.16807
