wind_direction,air_temperature,wind_gust_speed,tendency_amount,wind_speed,mean_sea_level,dew_point,snow_amount,air_temperature_yesterday_high,relative_humidity,time,air_temperature_yesterday_low,total_precipitation,week_of_year
202.5,19.5, None, -0.14,4.0, 102.1,12.1, None, None,62.0,2016-07-01 00:00:00, None, None,27
270.0,19.8, None, -0.16,3.0, 102.0,12.6, None, None,63.0,2016-07-01 01:00:00, None, None,27
225.0,19.3, None, -0.14,3.0, 102.0,11.8, None, None,62.0,2016-07-01 02:00:00, None, None,27
225.0,18.7, None, -0.13,1.0, 102.0,11.5, None, None,63.0,2016-07-01 03:00:00, None, None,27
22.5,17.3, None, -0.08,3.0, 102.0,12.4, None, None,73.0,2016-07-01 04:00:00, None, None,27
67.5,16.2, None, -0.02,2.0, 102.0,12.0, None, None,76.0,2016-07-01 05:00:00, None, None,27
22.5,15.2, None, -0.01,3.0, 102.0,11.2, None, None,77.0,2016-07-01 06:00:00, None, None,27
45.0,15.1, None, -0.03,3.0, 101.9,10.3, None, None,73.0,2016-07-01 07:00:00, None, None,27
90.0,15.3, None, -0.07,5.0, 101.9,10.6, None, None,74.0,2016-07-01 08:00:00, None, None,27
90.0,14.4, None, -0.07,4.0, 101.9,10.5, None, None,78.0,2016-07-01 09:00:00, None, None,27
90.0,14.3, None, -0.05,5.0, 101.9,10.2, None, None,76.0,2016-07-01 10:00:00, None, None,27
90.0,14.5, None, -0.06,9.0, 101.9,9.4, None, None,72.0,2016-07-01 11:00:00, None, None,27
90.0,14.7, None, -0.02,5.0, 101.9,8.5, None, None,67.0,2016-07-01 12:00:00, None, None,27
90.0,15.2, None, 0.0,11.0, 101.9,8.2, None, None,63.0,2016-07-01 13:00:00, None, None,27
67.5,16.0, None, 0.04,11.0, 101.9,8.5, None, None,61.0,2016-07-01 14:00:00, None, None,27
90.0,15.4, None, 0.07,7.0, 101.9,9.8, None, None,69.0,2016-07-01 15:00:00, None, None,27
90.0,15.9, None, 0.07,5.0, 101.9,10.0, None, None,68.0,2016-07-01 16:00:00, None, None,27
157.5,16.3, None, 0.07,1.0, 102.0,10.1, None, None,67.0,2016-07-01 17:00:00, None, None,27
157.5,16.6, None, 0.05,2.0, 102.0,10.4, None, None,67.0,2016-07-01 18:00:00, None, None,27
135.0,16.5, None, 0.05,1.0, 102.0,11.0, None, None,70.0,2016-07-01 19:00:00, None, None,27
157.5,16.5, None, 0.05,2.0, 102.0,10.5, None, None,67.0,2016-07-01 20:00:00, None, None,27
135.0,18.1, None, 0.0,3.0, 102.0,10.1, None, None,60.0,2016-07-01 21:00:00, None, None,27
180.0,19.5, None, -0.02,2.0, 102.0,10.4, None, None,56.0,2016-07-01 22:00:00, None, None,27
202.5,20.3, None, -0.06,4.0, 102.0,9.8, None, 21.1,51.0,2016-07-01 23:00:00, 12.8, 0.0,27
202.5,20.3, None, -0.05,3.0, 101.9,10.2, None, None,52.0,2016-07-02 00:00:00, None, None,27
247.5,20.1, None, -0.08,4.0, 101.9,10.8, None, None,55.0,2016-07-02 01:00:00, None, None,27
180.0,18.3, None, -0.08,1.0, 101.9,12.7, None, None,70.0,2016-07-02 02:00:00, None, None,27
None,17.5, None, -0.07,1.0, 101.9,11.7, None, None,69.0,2016-07-02 03:00:00, None, None,27
None,16.2, None, -0.06,0.0, 101.8,12.0, None, None,76.0,2016-07-02 04:00:00, None, None,27
None,15.6, None, -0.05,0.0, 101.8,11.5, None, None,77.0,2016-07-02 05:00:00, None, None,27
22.5,15.9, None, -0.07,3.0, 101.8,11.6, None, None,75.0,2016-07-02 06:00:00, None, None,27
0.0,15.5, None, -0.08,3.0, 101.8,11.1, None, None,75.0,2016-07-02 07:00:00, None, None,27
22.5,15.3, None, -0.12,2.0, 101.7,11.1, None, None,76.0,2016-07-02 08:00:00, None, None,27
None,15.0, None, -0.1,1.0, 101.7,11.1, None, None,78.0,2016-07-02 09:00:00, None, None,27
None,14.8, None, -0.07,0.0, 101.7,11.2, None, None,79.0,2016-07-02 10:00:00, None, None,27
None,14.9, None, -0.02,0.0, 101.7,11.3, None, None,79.0,2016-07-02 11:00:00, None, None,27
None,14.7, None, -0.02,0.0, 101.7,11.2, None, None,80.0,2016-07-02 12:00:00, None, None,27
67.5,14.7, None, 0.01,2.0, 101.7,11.4, None, None,81.0,2016-07-02 13:00:00, None, None,27
None,15.5, None, 0.01,0.0, 101.7,11.9, None, None,79.0,2016-07-02 14:00:00, None, None,27
292.5,16.2, None, 0.04,1.0, 101.7,12.8, None, None,80.0,2016-07-02 15:00:00, None, None,27
202.5,17.7, None, 0.0,2.0, 101.7,12.6, None, None,72.0,2016-07-02 16:00:00, None, None,27
157.5,19.0, None, -0.01,3.0, 101.7,11.7, None, None,63.0,2016-07-02 17:00:00, None, None,27
180.0,19.1, None, -0.04,2.0, 101.7,12.2, None, None,64.0,2016-07-02 18:00:00, None, None,27
202.5,20.6, None, -0.05,1.0, 101.6,14.4, None, None,68.0,2016-07-02 19:00:00, None, None,27
247.5,21.3, None, -0.03,3.0, 101.6,13.6, None, None,61.0,2016-07-02 20:00:00, None, None,27
90.0,22.7, None, -0.07,3.0, 101.6,11.9, None, None,50.0,2016-07-02 21:00:00, None, None,27
135.0,24.0, None, -0.05,3.0, 101.6,12.6, None, None,49.0,2016-07-02 22:00:00, None, None,27
90.0,23.3, None, -0.08,2.0, 101.6,10.9, None, 21.3,46.0,2016-07-02 23:00:00, 14.1, 0.0,27
