WDIR_VECT,TEMP_MEAN,HUMIDITY,avg_rel_hum_pst1hr,time,avg_air_temp_pst1hr,week_of_year
None, None, None,81.9,2016-07-08 00:00:00,13.8,28
None, None, None,87.4,2016-07-08 01:00:00,12.96,28
None, None, None,91.1,2016-07-08 02:00:00,12.61,28
None, None, None,93.9,2016-07-08 03:00:00,12.4,28
None, None, None,95.7,2016-07-08 04:00:00,12.09,28
None, None, None,96.4,2016-07-08 05:00:00,11.5,28
None, None, None,96.8,2016-07-08 06:00:00,11.31,28
None, None, None,96.9,2016-07-08 07:00:00,12.11,28
None, None, None,86.0,2016-07-08 08:00:00,14.3,28
None, None, None,73.1,2016-07-08 09:00:00,16.24,28
None, None, None,68.61,2016-07-08 10:00:00,17.31,28
None, None, None,54.32,2016-07-08 11:00:00,18.59,28
None, None, None,47.15,2016-07-08 12:00:00,19.76,28
None, None, None,47.68,2016-07-08 13:00:00,20.31,28
None, None, None,55.07,2016-07-08 14:00:00,19.51,28
None, None, None,69.25,2016-07-08 15:00:00,18.77,28
None, None, None,71.36,2016-07-08 16:00:00,16.88,28
None, None, None,85.3,2016-07-08 17:00:00,13.2,28
None, None, None,87.9,2016-07-08 18:00:00,13.74,28
None, None, None,89.9,2016-07-08 19:00:00,13.88,28
None, None, None,90.4,2016-07-08 20:00:00,13.82,28
None, None, None,92.1,2016-07-08 21:00:00,12.51,28
None, None, None,94.9,2016-07-08 22:00:00,10.88,28
None, None, None,96.0,2016-07-08 23:00:00,10.01,28
None, None, None,96.6,2016-07-09 00:00:00,9.7,28
None, None, None,97.0,2016-07-09 01:00:00,9.66,28
None, None, None,97.3,2016-07-09 02:00:00,10.04,28
None, None, None,97.5,2016-07-09 03:00:00,10.09,28
None, None, None,97.6,2016-07-09 04:00:00,10.31,28
None, None, None,97.4,2016-07-09 05:00:00,10.35,28
None, None, None,96.0,2016-07-09 06:00:00,10.33,28
None, None, None,92.9,2016-07-09 07:00:00,10.81,28
None, None, None,89.1,2016-07-09 08:00:00,11.64,28
None, None, None,83.0,2016-07-09 09:00:00,13.02,28
None, None, None,80.5,2016-07-09 10:00:00,14.07,28
None, None, None,76.89,2016-07-09 11:00:00,15.02,28
None, None, None,70.13,2016-07-09 12:00:00,16.84,28
None, None, None,64.07,2016-07-09 13:00:00,18.3,28
None, None, None,57.66,2016-07-09 14:00:00,19.84,28
None, None, None,48.57,2016-07-09 15:00:00,21.48,28
None, None, None,50.53,2016-07-09 16:00:00,20.85,28
None, None, None,65.34,2016-07-09 17:00:00,17.07,28
None, None, None,66.49,2016-07-09 18:00:00,17.35,28
None, None, None,70.25,2016-07-09 19:00:00,17.14,28
None, None, None,74.0,2016-07-09 20:00:00,16.8,28
None, None, None,78.82,2016-07-09 21:00:00,15.9,28
None, None, None,84.7,2016-07-09 22:00:00,14.72,28
None, None, None,92.5,2016-07-09 23:00:00,13.64,28
None, None, None,94.6,2016-07-10 00:00:00,13.35,28
None, None, None,96.0,2016-07-10 01:00:00,13.19,28
None, None, None,96.7,2016-07-10 02:00:00,12.82,28
None, None, None,96.9,2016-07-10 03:00:00,12.51,28
None, None, None,97.2,2016-07-10 04:00:00,12.31,28
None, None, None,97.4,2016-07-10 05:00:00,12.27,28
None, None, None,97.5,2016-07-10 06:00:00,12.4,28
None, None, None,97.4,2016-07-10 07:00:00,13.0,28
None, None, None,94.0,2016-07-10 08:00:00,13.53,28
None, None, None,94.0,2016-07-10 09:00:00,13.64,28
None, None, None,93.4,2016-07-10 10:00:00,14.07,28
None, None, None,87.3,2016-07-10 11:00:00,15.66,28
None, None, None,75.26,2016-07-10 12:00:00,17.78,28
None, None, None,65.64,2016-07-10 13:00:00,18.98,28
None, None, None,60.3,2016-07-10 14:00:00,20.22,28
None, None, None,52.65,2016-07-10 15:00:00,20.69,28
None, None, None,55.57,2016-07-10 16:00:00,20.53,28
None, None, None,65.91,2016-07-10 17:00:00,19.12,28
None, None, None,58.24,2016-07-10 18:00:00,19.88,28
None, None, None,62.4,2016-07-10 19:00:00,18.63,28
None, None, None,75.41,2016-07-10 20:00:00,16.4,28
None, None, None,83.1,2016-07-10 21:00:00,15.29,28
None, None, None,72.29,2016-07-10 22:00:00,15.38,28
None, None, None,61.65,2016-07-10 23:00:00,15.58,28
None, None, None,68.81,2016-07-11 00:00:00,14.09,28
None, None, None,70.81,2016-07-11 01:00:00,13.27,28
None, None, None,78.41,2016-07-11 02:00:00,12.17,28
None, None, None,85.3,2016-07-11 03:00:00,11.15,28
None, None, None,85.5,2016-07-11 04:00:00,10.69,28
None, None, None,91.0,2016-07-11 05:00:00,9.59,28
None, None, None,92.0,2016-07-11 06:00:00,9.13,28
None, None, None,90.5,2016-07-11 07:00:00,10.09,28
None, None, None,69.92,2016-07-11 08:00:00,13.75,28
None, None, None,53.71,2016-07-11 09:00:00,16.11,28
None, None, None,51.79,2016-07-11 10:00:00,16.8,28
None, None, None,46.8,2016-07-11 11:00:00,17.24,28
None, None, None,43.28,2016-07-11 12:00:00,17.89,28
None, None, None,40.86,2016-07-11 13:00:00,19.21,28
None, None, None,39.49,2016-07-11 14:00:00,19.88,28
None, None, None,39.21,2016-07-11 15:00:00,20.35,28
None, None, None,38.25,2016-07-11 16:00:00,20.55,28
None, None, None,38.01,2016-07-11 17:00:00,20.83,28
None, None, None,36.98,2016-07-11 18:00:00,20.68,28
None, None, None,39.24,2016-07-11 19:00:00,20.45,28
None, None, None,44.85,2016-07-11 20:00:00,18.72,28
None, None, None,57.55,2016-07-11 21:00:00,16.46,28
None, None, None,73.47,2016-07-11 22:00:00,13.54,28
None, None, None,84.7,2016-07-11 23:00:00,11.29,28
None, None, None,90.2,2016-07-12 00:00:00,9.86,28
None, None, None,91.3,2016-07-12 01:00:00,9.44,28
None, None, None,93.3,2016-07-12 02:00:00,8.88,28
None, None, None,94.6,2016-07-12 03:00:00,8.43,28
None, None, None,95.4,2016-07-12 04:00:00,7.767,28
None, None, None,95.9,2016-07-12 05:00:00,6.913,28
None, None, None,95.8,2016-07-12 06:00:00,7.279,28
None, None, None,94.6,2016-07-12 07:00:00,8.24,28
None, None, None,88.2,2016-07-12 08:00:00,10.76,28
None, None, None,70.38,2016-07-12 09:00:00,13.84,28
None, None, None,69.58,2016-07-12 10:00:00,14.24,28
None, None, None,75.52,2016-07-12 11:00:00,13.77,28
None, None, None,84.9,2016-07-12 12:00:00,13.4,28
None, None, None,83.9,2016-07-12 13:00:00,14.14,28
None, None, None,75.56,2016-07-12 14:00:00,15.67,28
None, None, None,68.02,2016-07-12 15:00:00,16.67,28
None, None, None,68.15,2016-07-12 16:00:00,16.81,28
None, None, None,68.5,2016-07-12 17:00:00,17.05,28
None, None, None,68.04,2016-07-12 18:00:00,17.22,28
None, None, None,72.22,2016-07-12 19:00:00,16.81,28
None, None, None,76.13,2016-07-12 20:00:00,16.22,28
None, None, None,83.0,2016-07-12 21:00:00,15.37,28
None, None, None,89.8,2016-07-12 22:00:00,14.29,28
None, None, None,91.5,2016-07-12 23:00:00,13.74,28
None, None, None,92.0,2016-07-13 00:00:00,13.71,28
None, None, None,93.8,2016-07-13 01:00:00,13.44,28
None, None, None,95.1,2016-07-13 02:00:00,13.09,28
None, None, None,94.9,2016-07-13 03:00:00,12.9,28
None, None, None,95.1,2016-07-13 04:00:00,12.85,28
None, None, None,95.7,2016-07-13 05:00:00,12.69,28
None, None, None,95.5,2016-07-13 06:00:00,12.8,28
None, None, None,87.6,2016-07-13 07:00:00,13.83,28
None, None, None,77.73,2016-07-13 08:00:00,14.63,28
None, None, None,74.13,2016-07-13 09:00:00,15.12,28
None, None, None,68.52,2016-07-13 10:00:00,15.72,28
None, None, None,65.07,2016-07-13 11:00:00,16.28,28
None, None, None,60.31,2016-07-13 12:00:00,17.03,28
None, None, None,59.73,2016-07-13 13:00:00,17.52,28
None, None, None,57.67,2016-07-13 14:00:00,18.19,28
None, None, None,55.29,2016-07-13 15:00:00,18.68,28
None, None, None,55.11,2016-07-13 16:00:00,18.83,28
None, None, None,54.26,2016-07-13 17:00:00,19.26,28
None, None, None,57.49,2016-07-13 18:00:00,18.92,28
None, None, None,77.67,2016-07-13 19:00:00,16.11,28
None, None, None,92.0,2016-07-13 20:00:00,14.55,28
None, None, None,90.6,2016-07-13 21:00:00,14.23,28
None, None, None,91.1,2016-07-13 22:00:00,13.78,28
None, None, None,90.4,2016-07-13 23:00:00,13.45,28
None, None, None,94.6,2016-07-14 00:00:00,12.93,28
None, None, None,89.1,2016-07-14 01:00:00,12.35,28
None, None, None,88.7,2016-07-14 02:00:00,11.96,28
None, None, None,89.1,2016-07-14 03:00:00,11.6,28
None, None, None,93.4,2016-07-14 04:00:00,11.23,28
None, None, None,95.6,2016-07-14 05:00:00,10.96,28
None, None, None,95.8,2016-07-14 06:00:00,10.71,28
None, None, None,95.5,2016-07-14 07:00:00,10.75,28
None, None, None,95.4,2016-07-14 08:00:00,11.04,28
None, None, None,94.3,2016-07-14 09:00:00,11.38,28
None, None, None,94.5,2016-07-14 10:00:00,11.81,28
None, None, None,92.7,2016-07-14 11:00:00,12.2,28
None, None, None,90.8,2016-07-14 12:00:00,12.64,28
None, None, None,82.5,2016-07-14 13:00:00,14.69,28
None, None, None,72.53,2016-07-14 14:00:00,16.84,28
None, None, None,74.18,2016-07-14 15:00:00,16.45,28
None, None, None,85.2,2016-07-14 16:00:00,15.14,28
None, None, None,78.71,2016-07-14 17:00:00,16.45,28
None, None, None,89.8,2016-07-14 18:00:00,15.65,28
None, None, None,87.8,2016-07-14 19:00:00,16.7,28
None, None, None,89.0,2016-07-14 20:00:00,15.56,28
None, None, None,89.2,2016-07-14 21:00:00,14.24,28
None, None, None,95.2,2016-07-14 22:00:00,12.69,28
None, None, None,95.5,2016-07-14 23:00:00,12.12,28
