ONE_DAY_PRECIPITATION,pcpn_amt_pst1hr,snw_dpth_wtr_equiv,SWE,ONE_DAY_SNOW,time,air_temp_1,MIN_TEMP,MAX_TEMP,week_of_year
None,929.0, 581.0, None, None,2016-01-15 00:00:00,-8.4, None, None,3
None,929.0, 581.0, None, None,2016-01-15 01:00:00,-7.5, None, None,3
None,929.0, 581.0, None, None,2016-01-15 02:00:00,-7.5, None, None,3
None,929.0, 581.0, None, None,2016-01-15 03:00:00,-7.2, None, None,3
None,929.0, 581.0, None, None,2016-01-15 04:00:00,-6.6, None, None,3
None,929.0, 581.0, None, None,2016-01-15 05:00:00,-6.7, None, None,3
None,929.0, 581.0, None, None,2016-01-15 06:00:00,-6.9, None, None,3
None,929.0, 581.0, None, None,2016-01-15 07:00:00,-6.9, None, None,3
None,929.0, 581.0, None, None,2016-01-15 08:00:00,-6.9, None, None,3
None,930.0, 581.0, None, None,2016-01-15 09:00:00,-7.0, None, None,3
None,931.0, 583.0, None, None,2016-01-15 10:00:00,-7.0, None, None,3
None,931.0, 583.0, None, None,2016-01-15 11:00:00,-7.0, None, None,3
None,931.0, 583.0, None, None,2016-01-15 12:00:00,-6.9, None, None,3
None,931.0, 583.0, None, None,2016-01-15 13:00:00,-6.8, None, None,3
None,931.0, 583.0, None, None,2016-01-15 14:00:00,-7.1, None, None,3
None,931.0, 583.0, None, None,2016-01-15 15:00:00,-6.9, None, None,3
None,931.0, 583.0, None, None,2016-01-15 16:00:00,-7.0, None, None,3
None,931.0, 583.0, None, None,2016-01-15 17:00:00,-6.5, None, None,3
None,931.0, 583.0, None, None,2016-01-15 18:00:00,-6.1, None, None,3
None,931.0, 583.0, None, None,2016-01-15 19:00:00,-6.1, None, None,3
None,931.0, 583.0, None, None,2016-01-15 20:00:00,-5.4, None, None,3
None,931.0, 583.0, None, None,2016-01-15 21:00:00,-5.2, None, None,3
None,931.0, 583.0, None, None,2016-01-15 22:00:00,-5.2, None, None,3
None,931.0, 583.0, None, None,2016-01-15 23:00:00,-6.0, None, None,3
None,931.0, 583.0, None, None,2016-01-16 00:00:00,-6.5, None, None,3
None,931.0, 583.0, None, None,2016-01-16 01:00:00,-7.1, None, None,3
None,931.0, 583.0, None, None,2016-01-16 02:00:00,-7.3, None, None,3
None,931.0, 583.0, None, None,2016-01-16 03:00:00,-7.5, None, None,3
None,931.0, 583.0, None, None,2016-01-16 04:00:00,-8.5, None, None,3
None,931.0, 583.0, None, None,2016-01-16 05:00:00,-9.9, None, None,3
None,931.0, 583.0, None, None,2016-01-16 06:00:00,-9.5, None, None,3
None,931.0, 583.0, None, None,2016-01-16 07:00:00,-9.6, None, None,3
None,931.0, 583.0, None, None,2016-01-16 08:00:00,-9.0, None, None,3
None,931.0, 583.0, None, None,2016-01-16 09:00:00,-8.6, None, None,3
None,931.0, 583.0, None, None,2016-01-16 10:00:00,-8.7, None, None,3
None,931.0, 583.0, None, None,2016-01-16 11:00:00,-8.9, None, None,3
None,931.0, 583.0, None, None,2016-01-16 12:00:00,-8.9, None, None,3
None,931.0, 583.0, None, None,2016-01-16 13:00:00,-9.2, None, None,3
None,931.0, 583.0, None, None,2016-01-16 14:00:00,-9.2, None, None,3
None,931.0, 583.0, None, None,2016-01-16 15:00:00,-8.8, None, None,3
None,932.0, 583.0, None, None,2016-01-16 16:00:00,-8.7, None, None,3
None,932.0, 584.0, None, None,2016-01-16 17:00:00,-7.5, None, None,3
None,933.0, 585.0, None, None,2016-01-16 18:00:00,-6.9, None, None,3
None,933.0, 586.0, None, None,2016-01-16 19:00:00,-6.6, None, None,3
None,934.0, 587.0, None, None,2016-01-16 20:00:00,-6.0, None, None,3
None,934.0, 587.0, None, None,2016-01-16 21:00:00,-6.1, None, None,3
None,935.0, 588.0, None, None,2016-01-16 22:00:00,-6.6, None, None,3
None,936.0, 588.0, None, None,2016-01-16 23:00:00,-6.1, None, None,3
None,937.0, 589.0, None, None,2016-01-17 00:00:00,-6.3, None, None,3
None,938.0, 590.0, None, None,2016-01-17 01:00:00,-6.3, None, None,3
None,938.0, 590.0, None, None,2016-01-17 02:00:00,-6.4, None, None,3
None,938.0, 590.0, None, None,2016-01-17 03:00:00,-6.1, None, None,3
None,938.0, 590.0, None, None,2016-01-17 04:00:00,-5.9, None, None,3
None,939.0, 590.0, None, None,2016-01-17 05:00:00,-5.8, None, None,3
None,939.0, 590.0, None, None,2016-01-17 06:00:00,-5.7, None, None,3
None,939.0, 590.0, None, None,2016-01-17 07:00:00,-5.6, None, None,3
None,939.0, 591.0, None, None,2016-01-17 08:00:00,-5.1, None, None,3
None,939.0, 592.0, None, None,2016-01-17 09:00:00,-5.3, None, None,3
None,940.0, 592.0, None, None,2016-01-17 10:00:00,-5.1, None, None,3
None,940.0, 592.0, None, None,2016-01-17 11:00:00,-5.1, None, None,3
None,940.0, 593.0, None, None,2016-01-17 12:00:00,-4.7, None, None,3
None,940.0, 592.0, None, None,2016-01-17 13:00:00,-4.8, None, None,3
None,940.0, 592.0, None, None,2016-01-17 14:00:00,-4.6, None, None,3
None,940.0, 593.0, None, None,2016-01-17 15:00:00,-5.3, None, None,3
None,940.0, 594.0, 559.0, None,2016-01-17 16:00:00,-4.6, None, None,3
None,940.0, 594.0, None, None,2016-01-17 17:00:00,-4.1, None, None,3
None,940.0, 594.0, None, None,2016-01-17 18:00:00,-3.2, None, None,3
None,940.0, 594.0, None, None,2016-01-17 19:00:00,-3.0, None, None,3
None,940.0, 594.0, None, None,2016-01-17 20:00:00,-3.3, None, None,3
None,941.0, 595.0, None, None,2016-01-17 21:00:00,-4.2, None, None,3
None,941.0, 596.0, None, None,2016-01-17 22:00:00,-4.4, None, None,3
None,942.0, 597.0, None, None,2016-01-17 23:00:00,-4.2, None, None,3
None,943.0, 598.0, None, None,2016-01-18 00:00:00,-4.3, None, None,3
None,943.0, 599.0, None, None,2016-01-18 01:00:00,-4.3, None, None,3
None,944.0, 599.0, None, None,2016-01-18 02:00:00,-4.2, None, None,3
None,945.0, 601.0, None, None,2016-01-18 03:00:00,-4.1, None, None,3
None,946.0, 601.0, None, None,2016-01-18 04:00:00,-4.2, None, None,3
None,947.0, 603.0, None, None,2016-01-18 05:00:00,-4.4, None, None,3
None,947.0, 603.0, None, None,2016-01-18 06:00:00,-4.4, None, None,3
None,947.0, 603.0, None, None,2016-01-18 07:00:00,-4.3, None, None,3
None,948.0, 603.0, None, None,2016-01-18 08:00:00,-4.4, None, None,3
None,948.0, 604.0, None, None,2016-01-18 09:00:00,-4.5, None, None,3
None,948.0, 604.0, None, None,2016-01-18 10:00:00,-4.4, None, None,3
None,948.0, 604.0, None, None,2016-01-18 11:00:00,-4.3, None, None,3
None,948.0, 604.0, None, None,2016-01-18 12:00:00,-4.4, None, None,3
None,948.0, 604.0, None, None,2016-01-18 13:00:00,-4.5, None, None,3
None,948.0, 604.0, None, None,2016-01-18 14:00:00,-4.5, None, None,3
None,948.0, 604.0, None, None,2016-01-18 15:00:00,-4.4, None, None,3
None,949.0, 604.0, 555.0, None,2016-01-18 16:00:00,-4.6, None, None,3
None,949.0, 604.0, None, None,2016-01-18 17:00:00,-4.2, None, None,3
None,949.0, 604.0, None, None,2016-01-18 18:00:00,-3.6, None, None,3
None,949.0, 604.0, None, None,2016-01-18 19:00:00,-2.4, None, None,3
None,950.0, 604.0, None, None,2016-01-18 20:00:00,-2.3, None, None,3
None,950.0, 605.0, None, None,2016-01-18 21:00:00,-2.6, None, None,3
None,950.0, 605.0, None, None,2016-01-18 22:00:00,-3.2, None, None,3
None,950.0, 605.0, None, None,2016-01-18 23:00:00,-2.9, None, None,3
None,950.0, 605.0, None, None,2016-01-19 00:00:00,-4.5, None, None,3
