TempC,SolarRadiationWm,RH,WindSpeedms,Pressurembar,Rainmm,GustSpeedms,time,WindDirection,DewPtC,week_of_year
10.21, 0.6,84.25,2.41,896.45,0.0,4.08,2016-09-16 00:00:00,77.2,7.7,38
9.03, 0.6,88.75,0.37,896.25,0.0,1.86,2016-09-16 01:00:00,182.5,7.3,38
11.77, 0.6,64.75,1.11,895.95,0.0,4.82,2016-09-16 02:00:00,212.0,5.4,38
8.23, 0.6,77.75,0.74,896.15,0.0,2.97,2016-09-16 03:00:00,198.0,4.6,38
4.57, 0.6,97.25,0.37,896.25,0.0,1.86,2016-09-16 04:00:00,299.0,4.2,38
2.03, 0.6,100.0,0.19,895.85,0.0,1.11,2016-09-16 05:00:00,275.2,2.0,38
0.73, 39.4,100.0,0.19,895.75,0.0,1.48,2016-09-16 06:00:00,307.5,0.7,38
7.03, 124.4,100.0,0.74,895.65,0.0,3.34,2016-09-16 07:00:00,344.0,7.0,38
9.82, 139.4,85.25,1.3,895.15,0.0,2.78,2016-09-16 08:00:00,67.4,7.5,38
14.85, 189.4,50.75,2.23,894.85,0.0,4.64,2016-09-16 09:00:00,78.6,4.8,38
13.7, 89.4,57.25,1.48,894.55,0.0,3.71,2016-09-16 10:00:00,123.5,5.4,38
13.7, 81.9,55.75,1.11,893.95,0.0,5.38,2016-09-16 11:00:00,88.4,5.0,38
14.09, 105.6,56.75,1.3,893.45,0.0,5.2,2016-09-16 12:00:00,95.5,5.7,38
13.7, 70.6,61.25,1.67,892.65,0.0,4.64,2016-09-16 13:00:00,98.3,6.4,38
14.09, 86.9,57.75,1.48,892.05,0.0,3.71,2016-09-16 14:00:00,99.7,5.9,38
14.47, 131.9,59.25,2.04,891.45,0.0,4.27,2016-09-16 15:00:00,81.4,6.6,38
14.09, 69.4,60.75,1.67,890.95,0.0,4.45,2016-09-16 16:00:00,96.9,6.6,38
12.16, 28.1,77.25,1.3,890.55,0.0,3.71,2016-09-16 17:00:00,94.1,8.3,38
13.32, 1.9,59.25,0.93,890.15,0.0,3.15,2016-09-16 18:00:00,91.3,5.6,38
11.38, 0.6,71.75,0.93,889.85,0.0,4.64,2016-09-16 19:00:00,109.5,6.5,38
9.42, 0.6,85.25,0.93,889.75,0.0,2.6,2016-09-16 20:00:00,73.0,7.1,38
6.62, 0.6,94.75,0.37,889.45,0.0,1.48,2016-09-16 21:00:00,56.2,5.8,38
3.31, 0.6,100.0,0.56,889.35,0.0,2.23,2016-09-16 22:00:00,119.3,3.3,38
2.03, 0.6,100.0,0.93,889.15,0.0,2.97,2016-09-16 23:00:00,14.0,2.0,38
-0.61, 0.6,100.0,0.37,888.95,0.0,1.67,2016-09-17 00:00:00,332.7,-0.6,38
-1.51, 0.6,100.0,0.37,888.95,0.0,1.86,2016-09-17 01:00:00,276.6,-1.5,38
-0.61, 0.6,100.0,0.56,888.15,0.0,2.78,2016-09-17 02:00:00,226.0,-0.6,38
0.29, 0.6,100.0,0.56,887.65,0.0,2.23,2016-09-17 03:00:00,272.4,0.3,38
0.73, 0.6,100.0,0.37,887.45,0.0,1.67,2016-09-17 04:00:00,75.8,0.7,38
0.73, 0.6,100.0,0.19,886.95,0.0,1.11,2016-09-17 05:00:00,71.6,0.7,38
1.17, 8.1,100.0,0.19,887.05,0.0,1.3,2016-09-17 06:00:00,71.6,1.2,38
2.46, 20.6,100.0,0.37,887.15,0.2,2.04,2016-09-17 07:00:00,85.6,2.5,38
4.99, 36.9,100.0,0.37,887.25,1.2,2.97,2016-09-17 08:00:00,230.2,5.0,38
7.43, 158.1,100.0,0.93,886.85,0.6,2.78,2016-09-17 09:00:00,269.6,7.4,38
9.03, 209.4,100.0,0.74,886.95,0.0,2.6,2016-09-17 10:00:00,282.2,9.0,38
10.21, 348.1,96.75,0.74,886.95,0.0,2.6,2016-09-17 11:00:00,293.4,9.7,38
10.99, 118.1,83.25,0.74,886.75,0.0,2.97,2016-09-17 12:00:00,353.8,8.3,38
11.77, 198.1,78.75,0.74,886.45,0.0,2.78,2016-09-17 13:00:00,67.4,8.2,38
11.38, 206.9,77.25,0.93,886.15,0.0,3.15,2016-09-17 14:00:00,103.9,7.6,38
10.6, 155.6,89.75,0.93,886.05,0.2,4.27,2016-09-17 15:00:00,193.7,9.0,38
11.38, 383.1,93.25,1.48,886.25,0.0,3.9,2016-09-17 16:00:00,262.5,10.3,38
8.63, 10.6,100.0,1.48,886.55,0.4,4.27,2016-09-17 17:00:00,297.6,8.6,38
7.83, 0.6,100.0,0.0,887.15,1.4,1.11,2016-09-17 18:00:00,289.2,7.8,38
7.03, 0.6,100.0,0.19,887.55,0.0,1.3,2016-09-17 19:00:00,266.7,7.0,38
6.22, 0.6,100.0,0.93,888.25,1.0,2.78,2016-09-17 20:00:00,278.0,6.2,38
5.4, 0.6,100.0,0.74,888.35,0.2,2.41,2016-09-17 21:00:00,67.4,5.4,38
2.46, 0.6,100.0,0.19,888.75,0.0,0.93,2016-09-17 22:00:00,101.1,2.5,38
1.6, 0.6,100.0,0.0,889.15,0.0,0.93,2016-09-17 23:00:00,101.1,1.6,38
1.6, 0.6,100.0,0.19,889.55,0.2,0.93,2016-09-18 00:00:00,101.1,1.6,38
1.6, 0.6,100.0,0.19,889.85,0.0,0.93,2016-09-18 01:00:00,101.1,1.6,38
1.6, 0.6,100.0,0.0,890.25,0.0,0.93,2016-09-18 02:00:00,101.1,1.6,38
0.29, 0.6,100.0,0.19,890.65,0.0,1.11,2016-09-18 03:00:00,101.1,0.3,38
-0.16, 0.6,100.0,0.0,891.15,0.0,0.74,2016-09-18 04:00:00,101.1,-0.2,38
-0.16, 0.6,100.0,0.0,891.65,0.0,0.56,2016-09-18 05:00:00,101.1,-0.2,38
0.29, 5.6,100.0,0.19,892.35,0.0,0.74,2016-09-18 06:00:00,101.1,0.3,38
1.6, 44.4,100.0,0.19,893.05,0.4,1.3,2016-09-18 07:00:00,101.1,1.6,38
4.15, 181.9,100.0,0.19,893.35,0.0,0.74,2016-09-18 08:00:00,101.1,4.2,38
8.23, 176.9,95.25,0.93,893.85,0.0,4.08,2016-09-18 09:00:00,262.5,7.5,38
10.6, 264.4,74.75,1.67,894.05,0.0,4.27,2016-09-18 10:00:00,279.4,6.3,38
11.38, 640.6,64.25,2.6,894.25,0.0,7.24,2016-09-18 11:00:00,262.5,4.9,38
12.93, 600.6,53.75,3.34,894.45,0.0,6.68,2016-09-18 12:00:00,273.8,3.8,38
10.21, 166.9,68.75,1.3,894.65,0.0,5.2,2016-09-18 13:00:00,287.8,4.7,38
12.16, 36.9,53.75,0.74,894.75,0.0,2.6,2016-09-18 14:00:00,282.2,3.1,38
6.22, 11.9,100.0,2.41,895.95,0.2,10.58,2016-09-18 15:00:00,289.2,6.2,38
