pcpn_amt_pst24hrs,CURRENT_AIR_TEMPERATURE1,STANDARD_SNOW,PRECIPITATION_NEW,MINIMUM_AIR_TEMPERATURE,max_wnd_spd_10m_pst1hr,WIND_DIRECTION_STD_DEVIATION1,snwfl_amt_pst1hr,MEASURED_WIND_SPEED1,MEASURED_WIND_DIRECTION1,dwpt_temp,avg_wnd_spd_10m_pst10mts,air_temp,min_air_temp_snc_last_reset,pcpn_amt_pst1hr,avg_wnd_dir_10m_pst10mts,max_air_temp_snc_last_reset,ACTUAL_WIND_DIRECTION,ACTUAL_WIND_SPEED,rel_hum,MAXIMUM_AIR_TEMPERATURE,time,snw_dpth,MAXIMUM_MEASURED_WIND_SPEED1,HEIGHT_OF_SNOW,stn_pres,week_of_year
None,5.027, None, None, None, None,13.36, None,2.958,344.6, None, None, None, None, None, None, None, None, None, None, None,2016-09-30 01:00:00, None, None, None, None,40
None,4.875, None, None, None, None,14.77, None,3.079,348.8, None, None, None, None, None, None, None, None, None, None, None,2016-09-30 02:00:00, None, None, None, None,40
None,4.493, None, None, None, None,13.06, None,2.595,349.6, None, None, None, None, None, None, None, None, None, None, None,2016-09-30 03:00:00, None, None, None, None,40
None,4.033, None, None, None, None,11.43, None,2.969,349.3, None, None, None, None, None, None, None, None, None, None, None,2016-09-30 04:00:00, None, None, None, None,40
None,4.435, None, None, None, None,14.62, None,2.648,343.1, None, None, None, None, None, None, None, None, None, None, None,2016-09-30 05:00:00, None, None, None, None,40
None,4.052, None, None, None, None,17.68, None,1.685,344.2, None, None, None, None, None, None, None, None, None, None, None,2016-09-30 06:00:00, None, None, None, None,40
None,4.119, None, None, None, None,17.98, None,1.71,343.7, None, None, None, None, None, None, None, None, None, None, None,2016-09-30 07:00:00, None, None, None, None,40
None,4.874, None, None, None, None,18.5, None,1.33,346.4, None, None, None, None, None, None, None, None, None, None, None,2016-09-30 09:00:00, None, None, None, None,40
None,8.17, None, None, None, None,56.54, None,0.686,112.5, None, None, None, None, None, None, None, None, None, None, None,2016-09-30 10:00:00, None, None, None, None,40
None,8.14, None, None, None, None,31.71, None,4.088,134.3, None, None, None, None, None, None, None, None, None, None, None,2016-09-30 11:00:00, None, None, None, None,40
None,9.11, None, None, None, None,30.43, None,3.008,146.4, None, None, None, None, None, None, None, None, None, None, None,2016-09-30 12:00:00, None, None, None, None,40
None,12.48, None, None, None, None,38.23, None,3.081,142.9, None, None, None, None, None, None, None, None, None, None, None,2016-09-30 14:00:00, None, None, None, None,40
