wind_speed,mean_sea_level,dew_point,wind_direction,relative_humidity,air_temperature,time,air_temperature_yesterday_low,total_precipitation,wind_gust_speed,air_temperature_yesterday_high,tendency_amount,week_of_year
23.0, 100.6,5.4, 90.0,77.0,9.1,2016-11-25 00:00:00, None, None, 32.0, None, 0.05,48
29.0, 100.5,5.8, 112.5,81.0,9.0,2016-11-25 01:00:00, None, None, None, None, -0.1,48
25.0, 100.4,6.2, 112.5,86.0,8.5,2016-11-25 02:00:00, None, None, None, None, -0.22,48
32.0, 100.3,6.0, 112.5,88.0,7.9,2016-11-25 03:00:00, None, None, None, None, -0.31,48
36.0, 100.1,4.9, 90.0,86.0,7.1,2016-11-25 04:00:00, None, None, 48.0, None, -0.43,48
22.0, 100.0,3.7, 90.0,84.0,6.3,2016-11-25 05:00:00, None, None, 34.0, None, -0.41,48
25.0, 99.9,3.6, 90.0,84.0,6.0,2016-11-25 06:00:00, None, None, 47.0, None, -0.39,48
40.0, 99.8,4.6, 90.0,86.0,6.8,2016-11-25 07:00:00, None, None, 54.0, None, -0.21,48
22.0, 100.1,5.5, 112.5,88.0,7.3,2016-11-25 08:00:00, None, None, 46.0, None, 0.15,48
27.0, 100.4,3.2, 270.0,85.0,5.6,2016-11-25 09:00:00, None, None, None, None, 0.49,48
26.0, 100.6,3.4, 292.5,85.0,5.8,2016-11-25 10:00:00, None, None, None, None, 0.74,48
5.0, 100.8,3.0, 202.5,82.0,5.9,2016-11-25 11:00:00, None, None, None, None, 0.69,48
7.0, 100.9,3.5, 90.0,86.0,5.6,2016-11-25 12:00:00, None, None, None, None, 0.54,48
20.0, 101.0,4.1, 90.0,89.0,5.7,2016-11-25 13:00:00, None, None, None, None, 0.45,48
17.0, 101.1,3.9, 90.0,85.0,6.3,2016-11-25 14:00:00, None, None, None, None, 0.29,48
1.0, 101.2,3.7, 0.0,87.0,5.7,2016-11-25 15:00:00, None, None, None, None, 0.29,48
2.0, 101.3,4.0, 270.0,86.0,6.2,2016-11-25 16:00:00, None, None, None, None, 0.22,48
4.0, 101.3,4.2, 112.5,82.0,7.1,2016-11-25 17:00:00, None, None, None, None, 0.21,48
14.0, 101.3,4.5, 90.0,73.0,9.0,2016-11-25 18:00:00, None, None, None, None, 0.1,48
11.0, 101.3,4.8, 90.0,76.0,8.7,2016-11-25 19:00:00, None, None, None, None, 0.05,48
7.0, 101.3,4.6, 112.5,76.0,8.6,2016-11-25 20:00:00, None, None, None, None, -0.05,48
8.0, 101.2,4.8, 112.5,72.0,9.5,2016-11-25 22:00:00, None, None, None, None, -0.13,48
10.0, 101.2,4.1, 292.5,79.0,7.5,2016-11-25 23:00:00, None, 2.0, None, None, -0.08,48
12.0, 101.2,4.3, 315.0,79.0,7.6,2016-11-26 00:00:00, None, None, None, None, -0.06,48
11.0, 101.2,4.1, 315.0,79.0,7.6,2016-11-26 01:00:00, None, None, None, None, -0.02,48
9.0, 101.1,4.1, 315.0,80.0,7.3,2016-11-26 02:00:00, None, None, None, None, -0.1,48
4.0, 101.0,3.9, 67.5,80.0,7.2,2016-11-26 03:00:00, None, None, None, None, -0.14,48
4.0, 101.0,3.9, 67.5,78.0,7.5,2016-11-26 04:00:00, None, None, None, None, -0.19,48
3.0, 100.9,4.0, 315.0,79.0,7.4,2016-11-26 05:00:00, None, None, None, None, -0.19,48
6.0, 100.9,4.4, 90.0,82.0,7.2,2016-11-26 06:00:00, None, None, None, None, -0.14,48
2.0, 100.8,4.5, 67.5,87.0,6.5,2016-11-26 07:00:00, None, None, None, None, -0.14,48
7.0, 100.7,4.5, 315.0,91.0,5.9,2016-11-26 08:00:00, None, None, None, None, -0.22,48
1.0, 100.5,4.7, 67.5,93.0,5.8,2016-11-26 09:00:00, None, None, None, None, -0.37,48
10.0, 100.3,4.6, 315.0,93.0,5.6,2016-11-26 10:00:00, None, None, None, None, -0.48,48
3.0, 100.2,4.5, 67.5,93.0,5.6,2016-11-26 11:00:00, None, None, None, None, -0.49,48
3.0, 100.0,4.8, 0.0,93.0,5.8,2016-11-26 12:00:00, None, None, None, None, -0.48,48
0.0, 99.9,4.5, None,94.0,5.4,2016-11-26 13:00:00, None, None, None, None, -0.45,48
2.0, 99.8,4.6, 337.5,94.0,5.4,2016-11-26 14:00:00, None, None, None, None, -0.38,48
10.0, 99.7,4.3, 292.5,93.0,5.3,2016-11-26 15:00:00, None, None, None, None, -0.29,48
13.0, 99.7,3.8, 315.0,93.0,4.8,2016-11-26 16:00:00, None, None, None, None, -0.2,48
16.0, 99.7,4.0, 315.0,93.0,5.0,2016-11-26 17:00:00, None, None, None, None, -0.11,48
7.0, 99.7,4.1, 315.0,93.0,5.1,2016-11-26 18:00:00, None, None, None, None, -0.02,48
12.0, 99.8,4.5, 315.0,94.0,5.4,2016-11-26 19:00:00, None, None, None, None, 0.07,48
11.0, 99.8,4.3, 315.0,94.0,5.2,2016-11-26 20:00:00, None, None, None, None, 0.05,48
9.0, 99.7,4.4, 337.5,94.0,5.3,2016-11-26 21:00:00, None, None, None, None, 0.0,48
6.0, 99.7,4.9, 337.5,95.0,5.7,2016-11-26 22:00:00, None, None, None, None, -0.09,48
