pcpn_amt_pst24hrs,cum_pcpn_amt,ONE_DAY_SNOW,air_temp_2,air_temp_1,snw_dpth,MAX_TEMP,ONE_DAY_PRECIPITATION,pcpn_amt_pst1hr,snw_dpth_wtr_equiv,MIN_TEMP,time,SNOW_ON_THE_GROUND,week_of_year
None, None, None, None, 0.3, 169.0, None, None, 992.0, 817.0, None,2016-01-29 00:00:00, None,5
None, None, None, None, 0.2, 168.0, None, None, 992.0, 816.0, None,2016-01-29 01:00:00, None,5
None, None, None, None, 0.0, 164.0, None, None, 993.0, 814.0, None,2016-01-29 02:00:00, None,5
None, None, None, None, -0.2, 164.0, None, None, 994.0, 812.0, None,2016-01-29 03:00:00, None,5
None, None, None, None, -0.3, 164.0, None, None, 994.0, 811.0, None,2016-01-29 04:00:00, None,5
None, None, None, None, -0.5, 166.0, None, None, 995.0, 809.0, None,2016-01-29 05:00:00, None,5
None, None, None, None, -0.7, 166.0, None, None, 995.0, 808.0, None,2016-01-29 06:00:00, None,5
None, None, None, None, -0.8, 165.0, None, None, 996.0, 807.0, None,2016-01-29 07:00:00, None,5
None, None, None, None, -0.9, 170.0, None, None, 996.0, 807.0, None,2016-01-29 08:00:00, None,5
None, None, None, None, -1.1, 168.0, None, None, 996.0, 807.0, None,2016-01-29 09:00:00, None,5
None, None, None, None, -1.2, 165.0, None, None, 997.0, 808.0, None,2016-01-29 10:00:00, None,5
None, None, None, None, -1.4, 164.0, None, None, 997.0, 809.0, None,2016-01-29 11:00:00, None,5
None, None, None, None, -1.9, 164.0, None, None, 997.0, 809.0, None,2016-01-29 12:00:00, None,5
None, None, None, None, -1.7, 165.0, None, None, 997.0, 809.0, None,2016-01-29 13:00:00, None,5
None, None, None, None, -1.7, 164.0, None, None, 997.0, 809.0, None,2016-01-29 14:00:00, None,5
None, None, None, None, -1.6, 164.0, None, None, 997.0, 810.0, None,2016-01-29 15:00:00, None,5
None, None, None, None, -1.8, 169.0, None, None, 993.0, 811.0, None,2016-01-29 16:00:00, None,5
None, None, None, None, -1.7, 166.0, None, None, 988.0, 811.0, None,2016-01-29 17:00:00, None,5
None, None, None, None, -1.5, 165.0, None, None, 990.0, 811.0, None,2016-01-29 18:00:00, None,5
None, None, None, None, -1.2, None, None, None, 994.0, 810.0, None,2016-01-29 19:00:00, None,5
None, None, None, None, -1.0, 169.0, None, None, 998.0, 812.0, None,2016-01-29 20:00:00, None,5
None, None, None, None, -0.9, 171.0, None, None, 1001.0, 813.0, None,2016-01-29 21:00:00, None,5
None, None, None, None, -1.3, 174.0, None, None, 1002.0, 812.0, None,2016-01-29 22:00:00, None,5
None, None, None, None, -1.4, 176.0, None, None, 1004.0, 813.0, None,2016-01-29 23:00:00, None,5
None, None, None, None, -2.0, 178.0, None, None, 1005.0, 814.0, None,2016-01-30 00:00:00, None,5
None, None, None, None, -1.8, 180.0, None, None, 1004.0, 814.0, None,2016-01-30 01:00:00, None,5
None, None, None, None, -1.9, 181.0, None, None, 1004.0, 814.0, None,2016-01-30 02:00:00, None,5
None, None, None, None, -2.2, 181.0, None, None, 1006.0, 814.0, None,2016-01-30 03:00:00, None,5
None, None, None, None, -2.2, 182.0, None, None, 1007.0, 814.0, None,2016-01-30 04:00:00, None,5
None, None, None, None, -2.4, 176.0, None, None, 1005.0, 814.0, None,2016-01-30 05:00:00, None,5
None, None, None, None, -2.5, 180.0, None, None, 1007.0, 814.0, None,2016-01-30 06:00:00, None,5
None, None, None, None, -2.5, 185.0, None, None, 1004.0, 814.0, None,2016-01-30 07:00:00, None,5
None, None, None, None, -2.6, 182.0, None, None, 1003.0, 814.0, None,2016-01-30 08:00:00, None,5
None, None, None, None, -2.8, 183.0, None, None, 1005.0, 815.0, None,2016-01-30 09:00:00, None,5
None, None, None, None, -3.2, 187.0, None, None, 1006.0, 815.0, None,2016-01-30 10:00:00, None,5
None, None, None, None, -3.5, 191.0, None, None, 1008.0, 818.0, None,2016-01-30 11:00:00, None,5
None, None, None, None, -3.4, 197.0, None, None, 1008.0, 821.0, None,2016-01-30 12:00:00, None,5
None, None, None, None, -3.2, 197.0, None, None, 1009.0, 821.0, None,2016-01-30 13:00:00, None,5
None, None, None, None, -3.5, 195.0, None, None, 1009.0, 822.0, None,2016-01-30 14:00:00, None,5
None, None, None, None, -3.6, 196.0, None, None, 1009.0, 822.0, None,2016-01-30 15:00:00, None,5
None, None, None, None, -3.6, 195.0, None, None, 1010.0, 823.0, None,2016-01-30 16:00:00, None,5
None, None, None, None, -3.7, 194.0, None, None, 1010.0, 823.0, None,2016-01-30 17:00:00, None,5
None, None, None, None, -3.3, 196.0, None, None, 1010.0, 823.0, None,2016-01-30 18:00:00, None,5
None, None, None, None, -3.2, 196.0, None, None, 1010.0, 823.0, None,2016-01-30 19:00:00, None,5
None, None, None, None, -2.9, 193.0, None, None, 1010.0, 823.0, None,2016-01-30 20:00:00, None,5
None, None, None, None, -2.8, 194.0, None, None, 1010.0, 824.0, None,2016-01-30 21:00:00, None,5
None, None, None, None, -3.0, 195.0, None, None, 1010.0, 824.0, None,2016-01-30 22:00:00, None,5
None, None, None, None, -3.3, 195.0, None, None, 1011.0, 824.0, None,2016-01-30 23:00:00, None,5
None, None, None, None, -3.3, 195.0, None, None, 1011.0, 824.0, None,2016-01-31 00:00:00, None,5
None, None, None, None, -3.3, 196.0, None, None, 1012.0, 824.0, None,2016-01-31 01:00:00, None,5
None, None, None, None, -3.3, 196.0, None, None, 1012.0, 825.0, None,2016-01-31 02:00:00, None,5
None, None, None, None, -3.3, 196.0, None, None, 1012.0, 825.0, None,2016-01-31 03:00:00, None,5
None, None, None, None, -3.2, 197.0, None, None, 1012.0, 826.0, None,2016-01-31 04:00:00, None,5
None, None, None, None, -3.1, 198.0, None, None, 1012.0, 827.0, None,2016-01-31 05:00:00, None,5
None, None, None, None, -3.0, 199.0, None, None, 1013.0, 827.0, None,2016-01-31 06:00:00, None,5
None, None, None, None, -3.0, 199.0, None, None, 1013.0, 828.0, None,2016-01-31 07:00:00, None,5
None, None, None, None, -2.9, 201.0, None, None, 1013.0, 828.0, None,2016-01-31 08:00:00, None,5
None, None, None, None, -2.9, 201.0, None, None, 1013.0, 829.0, None,2016-01-31 09:00:00, None,5
None, None, None, None, -3.0, 201.0, None, None, 1013.0, 830.0, None,2016-01-31 10:00:00, None,5
None, None, None, None, -3.1, 203.0, None, None, 1013.0, 830.0, None,2016-01-31 11:00:00, None,5
None, None, None, None, -3.2, 202.0, None, None, 1014.0, 830.0, None,2016-01-31 12:00:00, None,5
None, None, None, None, -3.3, 202.0, None, None, 1014.0, 830.0, None,2016-01-31 13:00:00, None,5
