ONE_DAY_PRECIPITATION,pcpn_amt_pst1hr,snw_dpth_wtr_equiv,SWE,ONE_DAY_SNOW,time,air_temp_1,MIN_TEMP,MAX_TEMP,week_of_year
None, 357.0, 429.0, None, None,2016-01-29 00:00:00, -0.8, None, None,5
None, 357.0, 431.0, None, None,2016-01-29 01:00:00, -0.9, None, None,5
None, 357.0, 434.0, None, None,2016-01-29 02:00:00, -1.0, None, None,5
None, 357.0, 435.0, None, None,2016-01-29 03:00:00, -1.4, None, None,5
None, 357.0, 436.0, None, None,2016-01-29 04:00:00, -1.8, None, None,5
None, 357.0, 437.0, None, None,2016-01-29 05:00:00, -2.1, None, None,5
None, 357.0, 437.0, None, None,2016-01-29 06:00:00, -2.6, None, None,5
None, 357.0, 437.0, None, None,2016-01-29 07:00:00, -2.8, None, None,5
None, 357.0, 437.0, None, None,2016-01-29 08:00:00, -3.2, None, None,5
None, 357.0, 436.0, None, None,2016-01-29 09:00:00, -3.7, None, None,5
None, 357.0, 436.0, None, None,2016-01-29 10:00:00, -3.9, None, None,5
None, 357.0, 436.0, None, None,2016-01-29 11:00:00, -4.1, None, None,5
None, 357.0, 436.0, None, None,2016-01-29 12:00:00, -4.5, None, None,5
None, 357.0, 436.0, None, None,2016-01-29 13:00:00, -4.7, None, None,5
None, 357.0, 437.0, None, None,2016-01-29 14:00:00, -4.9, None, None,5
None, 357.0, 436.0, None, None,2016-01-29 15:00:00, -5.0, None, None,5
None, 357.0, 437.0, 22.0, None,2016-01-29 16:00:00, -5.1, None, None,5
None, 357.0, 437.0, None, None,2016-01-29 17:00:00, -5.0, None, None,5
None, 358.0, 437.0, None, None,2016-01-29 18:00:00, -3.8, None, None,5
None, 358.0, 438.0, None, None,2016-01-29 19:00:00, -3.6, None, None,5
None, 359.0, 440.0, None, None,2016-01-29 20:00:00, -3.9, None, None,5
None, 359.0, 441.0, None, None,2016-01-29 21:00:00, -3.7, None, None,5
None, 360.0, 441.0, None, None,2016-01-29 22:00:00, -3.8, None, None,5
None, 360.0, 441.0, None, None,2016-01-29 23:00:00, -4.5, None, None,5
None, 360.0, 441.0, None, None,2016-01-30 00:00:00, -5.2, None, None,5
None, 360.0, 441.0, None, None,2016-01-30 01:00:00, -5.6, None, None,5
None, 360.0, 441.0, None, None,2016-01-30 02:00:00, -5.7, None, None,5
None, 360.0, 441.0, None, None,2016-01-30 03:00:00, -5.6, None, None,5
None, 360.0, 441.0, None, None,2016-01-30 04:00:00, -5.4, None, None,5
None, 360.0, 441.0, None, None,2016-01-30 05:00:00, -5.1, None, None,5
None, 360.0, 441.0, None, None,2016-01-30 06:00:00, -5.2, None, None,5
None, 360.0, 441.0, None, None,2016-01-30 07:00:00, -5.3, None, None,5
None, 360.0, 441.0, None, None,2016-01-30 08:00:00, -5.5, None, None,5
None, 360.0, 441.0, None, None,2016-01-30 09:00:00, -5.7, None, None,5
None, 360.0, 441.0, None, None,2016-01-30 10:00:00, -6.1, None, None,5
None, 360.0, 441.0, None, None,2016-01-30 11:00:00, -6.3, None, None,5
None, 360.0, 441.0, None, None,2016-01-30 12:00:00, -6.6, None, None,5
None, 360.0, 441.0, None, None,2016-01-30 13:00:00, -7.1, None, None,5
None, 360.0, 441.0, None, None,2016-01-30 14:00:00, -7.6, None, None,5
None, 360.0, 441.0, None, None,2016-01-30 15:00:00, -7.6, None, None,5
None, 360.0, 441.0, 22.0, None,2016-01-30 16:00:00, -7.3, None, None,5
None, 361.0, 441.0, None, None,2016-01-30 17:00:00, -6.6, None, None,5
None, 362.0, 441.0, None, None,2016-01-30 18:00:00, -5.4, None, None,5
None, 362.0, 441.0, None, None,2016-01-30 19:00:00, -6.3, None, None,5
None, 363.0, 441.0, None, None,2016-01-30 20:00:00, -6.3, None, None,5
None, 364.0, 441.0, None, None,2016-01-30 21:00:00, -6.1, None, None,5
None, 364.0, 441.0, None, None,2016-01-30 22:00:00, -6.3, None, None,5
None, 365.0, 441.0, None, None,2016-01-30 23:00:00, -6.1, None, None,5
None, 365.0, 441.0, None, None,2016-01-31 00:00:00, -6.8, None, None,5
None, 365.0, 441.0, None, None,2016-01-31 01:00:00, -7.1, None, None,5
None, 366.0, 441.0, None, None,2016-01-31 02:00:00, -7.4, None, None,5
None, 366.0, 441.0, None, None,2016-01-31 03:00:00, -7.7, None, None,5
None, 366.0, 441.0, None, None,2016-01-31 04:00:00, -7.9, None, None,5
None, 366.0, 441.0, None, None,2016-01-31 05:00:00, -7.9, None, None,5
None, 366.0, 441.0, None, None,2016-01-31 06:00:00, -8.0, None, None,5
None, 366.0, 441.0, None, None,2016-01-31 07:00:00, -8.1, None, None,5
None, 366.0, 441.0, None, None,2016-01-31 08:00:00, -8.4, None, None,5
None, 366.0, 441.0, None, None,2016-01-31 09:00:00, -8.5, None, None,5
None, 367.0, 441.0, None, None,2016-01-31 10:00:00, -9.5, None, None,5
None, 367.0, 440.0, None, None,2016-01-31 11:00:00, -9.4, None, None,5
None, 367.0, 440.0, None, None,2016-01-31 12:00:00, -9.8, None, None,5
None, 367.0, 440.0, None, None,2016-01-31 13:00:00, -9.4, None, None,5
None, 367.0, 440.0, None, None,2016-01-31 14:00:00, -9.2, None, None,5
None, 367.0, 440.0, None, None,2016-01-31 15:00:00, -9.3, None, None,5
None, 367.0, 440.0, 22.0, None,2016-01-31 16:00:00, -8.8, None, None,5
None, 368.0, 440.0, None, None,2016-01-31 17:00:00, -7.5, None, None,5
None, 368.0, 440.0, None, None,2016-01-31 18:00:00, -5.8, None, None,5
None, 370.0, 440.0, None, None,2016-01-31 19:00:00, -6.9, None, None,5
None, 371.0, 440.0, None, None,2016-01-31 20:00:00, -6.9, None, None,5
None, 372.0, 440.0, None, None,2016-01-31 21:00:00, -6.8, None, None,5
None, 374.0, 440.0, None, None,2016-01-31 22:00:00, -7.0, None, None,5
None, 374.0, 440.0, None, None,2016-01-31 23:00:00, -7.6, None, None,5
None, 374.0, 440.0, None, None,2016-02-01 00:00:00, -7.7, None, None,5
None, 374.0, 440.0, None, None,2016-02-01 01:00:00, -8.5, None, None,5
None, 375.0, 440.0, None, None,2016-02-01 02:00:00, -9.7, None, None,5
None, 375.0, 440.0, None, None,2016-02-01 03:00:00, -9.4, None, None,5
None, 375.0, 440.0, None, None,2016-02-01 04:00:00, -9.2, None, None,5
None, 375.0, 440.0, None, None,2016-02-01 05:00:00, -9.2, None, None,5
None, 375.0, 440.0, None, None,2016-02-01 06:00:00, -9.2, None, None,5
None, 376.0, 439.0, None, None,2016-02-01 07:00:00, -9.8, None, None,5
None, 376.0, 439.0, None, None,2016-02-01 08:00:00, -9.7, None, None,5
None, 376.0, 439.0, None, None,2016-02-01 09:00:00, -9.3, None, None,5
None, 376.0, 439.0, None, None,2016-02-01 10:00:00, -9.1, None, None,5
None, 376.0, 439.0, None, None,2016-02-01 11:00:00, -9.2, None, None,5
None, 376.0, 440.0, None, None,2016-02-01 12:00:00, -9.3, None, None,5
None, 376.0, 439.0, None, None,2016-02-01 13:00:00, -9.3, None, None,5
None, 376.0, 439.0, None, None,2016-02-01 14:00:00, -9.3, None, None,5
None, 377.0, 439.0, None, None,2016-02-01 15:00:00, -9.8, None, None,5
None, 377.0, 439.0, 22.0, None,2016-02-01 16:00:00, -9.0, None, None,5
None, 378.0, 439.0, None, None,2016-02-01 17:00:00, -8.1, None, None,5
None, 380.0, 439.0, None, None,2016-02-01 18:00:00, -7.9, None, None,5
None, 383.0, 439.0, None, None,2016-02-01 19:00:00, -7.0, None, None,5
None, 388.0, 439.0, None, None,2016-02-01 20:00:00, -8.4, None, None,5
None, 391.0, 440.0, None, None,2016-02-01 21:00:00, -7.1, None, None,5
None, 393.0, 440.0, None, None,2016-02-01 22:00:00, -8.1, None, None,5
None, 394.0, 440.0, None, None,2016-02-01 23:00:00, -8.0, None, None,5
None, 394.0, 439.0, None, None,2016-02-02 00:00:00, -8.3, None, None,5
None, 395.0, 439.0, None, None,2016-02-02 01:00:00, -8.8, None, None,5
None, 396.0, 439.0, None, None,2016-02-02 02:00:00, -9.0, None, None,5
None, 396.0, 439.0, None, None,2016-02-02 03:00:00, -9.9, None, None,5
None, 396.0, 439.0, None, None,2016-02-02 04:00:00, -9.1, None, None,5
None, 397.0, 439.0, None, None,2016-02-02 05:00:00, -9.1, None, None,5
None, 398.0, 439.0, None, None,2016-02-02 06:00:00, -8.8, None, None,5
None, 398.0, 439.0, None, None,2016-02-02 07:00:00, -9.7, None, None,5
None, 398.0, 439.0, None, None,2016-02-02 08:00:00, -9.4, None, None,5
None, 399.0, 439.0, None, None,2016-02-02 09:00:00, -9.5, None, None,5
None, 400.0, 439.0, None, None,2016-02-02 10:00:00, -9.7, None, None,5
None, 400.0, 439.0, None, None,2016-02-02 11:00:00, -10.7, None, None,5
None, 401.0, 439.0, None, None,2016-02-02 12:00:00, -10.6, None, None,5
None, 401.0, 439.0, None, None,2016-02-02 13:00:00, -10.3, None, None,5
None, 402.0, 439.0, None, None,2016-02-02 14:00:00, -10.0, None, None,5
None, 402.0, 439.0, None, None,2016-02-02 15:00:00, -10.8, None, None,5
None, 402.0, 439.0, 22.0, None,2016-02-02 16:00:00, -9.9, None, None,5
