pcpn_amt_pst24hrs,CURRENT_AIR_TEMPERATURE1,RELATIVE_HUMIDITY1,max_air_temp_snc_last_reset,max_wnd_spd_10m_pst1hr,WIND_DIRECTION_STD_DEVIATION1,MEASURED_WIND_SPEED1,MEASURED_WIND_DIRECTION1,dwpt_temp,avg_wnd_spd_10m_pst10mts,air_temp,min_air_temp_snc_last_reset,mslp,pcpn_amt_pst1hr,DEW_POINT,ATMOSPHERIC_PRESSURE,avg_wnd_dir_10m_pst10mts,snwfl_amt_pst1hr,rel_hum,time,snw_dpth,HEIGHT_OF_SNOW,stn_pres,week_of_year
None,1.015,64.44, None, None,39.15,8.46,127.5, None, None, None, None, None, None, -5.0,888.0, None, None, None,2016-01-29 00:00:00, None, 27.31, None,5
None,0.824,65.52, None, None,74.6,0.75,72.8, None, None, None, None, None, None, -5.0,888.0, None, None, None,2016-01-29 01:00:00, None, 27.59, None,5
None,0.488,69.74, None, None,55.09,2.082,343.7, None, None, None, None, None, None, -4.0,887.0, None, None, None,2016-01-29 02:00:00, None, 27.18, None,5
None,0.683,65.92, None, None,49.15,2.213,28.89, None, None, None, None, None, None, -5.0,887.0, None, None, None,2016-01-29 03:00:00, None, 27.38, None,5
None,-0.175,74.2, None, None,51.79,3.088,169.4, None, None, None, None, None, None, -4.0,886.0, None, None, None,2016-01-29 04:00:00, None, 27.16, None,5
None,-0.746,77.3, None, None,67.99,1.14,269.6, None, None, None, None, None, None, -4.0,885.0, None, None, None,2016-01-29 05:00:00, None, 27.22, None,5
None,-0.937,82.3, None, None,16.74,4.634,311.0, None, None, None, None, None, None, -3.0,884.0, None, None, None,2016-01-29 06:00:00, None, 27.23, None,5
None,-0.794,83.6, None, None,10.84,9.72,309.4, None, None, None, None, None, None, -3.0,882.0, None, None, None,2016-01-29 07:00:00, None, 27.17, None,5
None,-0.794,83.5, None, None,14.12,8.93,311.4, None, None, None, None, None, None, -3.0,881.0, None, None, None,2016-01-29 08:00:00, None, 27.17, None,5
None,-0.65,83.6, None, None,15.08,7.14,279.0, None, None, None, None, None, None, -3.0,880.0, None, None, None,2016-01-29 09:00:00, None, 27.24, None,5
None,-0.325,79.8, None, None,23.9,5.977,280.5, None, None, None, None, None, None, -3.0,879.0, None, None, None,2016-01-29 10:00:00, None, 27.19, None,5
None,-0.049,79.0, None, None,23.26,4.061,315.2, None, None, None, None, None, None, -3.0,878.0, None, None, None,2016-01-29 11:00:00, None, 27.1, None,5
None,-0.003,77.4, None, None,11.51,5.138,321.7, None, None, None, None, None, None, -3.0,877.0, None, None, None,2016-01-29 12:00:00, None, 27.11, None,5
