ONE_DAY_PRECIPITATION,pcpn_amt_pst1hr,snw_dpth_wtr_equiv,SWE,ONE_DAY_SNOW,time,air_temp_1,MIN_TEMP,MAX_TEMP,week_of_year
None,596.0, 395.0, None, None,2016-12-23 00:00:00,-9.0, None, None,52
None,596.0, 395.0, None, None,2016-12-23 01:00:00,-9.2, None, None,52
None,596.0, 395.0, None, None,2016-12-23 02:00:00,-9.1, None, None,52
None,596.0, 396.0, None, None,2016-12-23 03:00:00,-9.1, None, None,52
None,596.0, 396.0, None, None,2016-12-23 04:00:00,-9.6, None, None,52
None,596.0, 395.0, None, None,2016-12-23 05:00:00,-9.3, None, None,52
None,595.0, 395.0, None, None,2016-12-23 06:00:00,-9.2, None, None,52
None,596.0, 394.0, None, None,2016-12-23 07:00:00,-9.5, None, None,52
None,596.0, 394.0, None, None,2016-12-23 08:00:00,-9.6, None, None,52
None,596.0, 394.0, None, None,2016-12-23 09:00:00,-10.5, None, None,52
None,597.0, 394.0, None, None,2016-12-23 10:00:00,-10.5, None, None,52
None,597.0, 394.0, None, None,2016-12-23 11:00:00,-10.5, None, None,52
None,597.0, 396.0, None, None,2016-12-23 12:00:00,-10.8, None, None,52
None,597.0, 396.0, None, None,2016-12-23 13:00:00,-10.7, None, None,52
None,597.0, 396.0, None, None,2016-12-23 14:00:00,-10.3, None, None,52
None,598.0, 396.0, None, None,2016-12-23 15:00:00,-9.8, None, None,52
None,598.0, 397.0, 1116.0, None,2016-12-23 16:00:00,-9.7, None, None,52
None,598.0, 397.0, None, None,2016-12-23 17:00:00,-10.0, None, None,52
None,598.0, 397.0, None, None,2016-12-23 18:00:00,-8.9, None, None,52
None,598.0, 398.0, None, None,2016-12-23 19:00:00,-8.0, None, None,52
None,599.0, 398.0, None, None,2016-12-23 20:00:00,-8.5, None, None,52
None,599.0, 398.0, None, None,2016-12-23 21:00:00,-9.5, None, None,52
None,599.0, 399.0, None, None,2016-12-23 22:00:00,-8.2, None, None,52
None,600.0, 399.0, None, None,2016-12-23 23:00:00,-8.7, None, None,52
None,600.0, 398.0, None, None,2016-12-24 00:00:00,-9.5, None, None,52
None,600.0, 398.0, None, None,2016-12-24 01:00:00,-9.6, None, None,52
None,600.0, 398.0, None, None,2016-12-24 02:00:00,-9.6, None, None,52
None,601.0, 398.0, None, None,2016-12-24 03:00:00,-9.4, None, None,52
None,601.0, 398.0, None, None,2016-12-24 04:00:00,-9.7, None, None,52
