CURRENT_AIR_TEMPERATURE2,CURRENT_AIR_TEMPERATURE1,RELATIVE_HUMIDITY1,STANDARD_SNOW,PRECIPITATION_NEW,MINIMUM_AIR_TEMPERATURE,max_wnd_spd_10m_pst1hr,WIND_DIRECTION_STD_DEVIATION1,snwfl_amt_pst1hr,MEASURED_WIND_SPEED1,MEASURED_WIND_DIRECTION1,dwpt_temp,avg_wnd_spd_10m_pst10mts,air_temp,min_air_temp_snc_last_reset,pcpn_amt_pst1hr,DEW_POINT,ATMOSPHERIC_PRESSURE,avg_wnd_dir_10m_pst10mts,max_air_temp_snc_last_reset,ACTUAL_WIND_DIRECTION,ACTUAL_WIND_SPEED,rel_hum,MAXIMUM_AIR_TEMPERATURE,time,MAXIMUM_MEASURED_WIND_SPEED1,HEIGHT_OF_SNOW,week_of_year
None,-4.682,92.3, None, None, None, None, 22.0, None, 2.398, 225.0, None, None, None, None, None, None, None, None, None, None, None, None, None,2017-04-16 00:00:00, None, None,16
None,-4.617,86.4, None, None, None, None, 20.13, None, 8.53, 148.7, None, None, None, None, None, None, None, None, None, None, None, None, None,2017-04-16 01:00:00, None, None,16
None,-4.518,82.0, None, None, None, None, 7.095, None, 20.35, 126.0, None, None, None, None, None, None, None, None, None, None, None, None, None,2017-04-16 02:00:00, None, None,16
None,-4.255,72.84, None, None, None, None, 7.097, None, 20.53, 125.3, None, None, None, None, None, None, None, None, None, None, None, None, None,2017-04-16 03:00:00, None, None,16
None,-3.315,62.15, None, None, None, None, 7.531, None, 20.05, 118.9, None, None, None, None, None, None, None, None, None, None, None, None, None,2017-04-16 04:00:00, None, None,16
None,-3.279,64.98, None, None, None, None, 9.05, None, 25.41, 124.0, None, None, None, None, None, None, None, None, None, None, None, None, None,2017-04-16 05:00:00, None, None,16
None,-4.51,82.5, None, None, None, None, 7.785, None, 28.7, 118.7, None, None, None, None, None, None, None, None, None, None, None, None, None,2017-04-16 06:00:00, None, None,16
None,-5.122,88.8, None, None, None, None, 11.07, None, 30.23, 135.4, None, None, None, None, None, None, None, None, None, None, None, None, None,2017-04-16 07:00:00, None, None,16
None,-4.687,87.4, None, None, None, None, 12.39, None, 30.79, 143.8, None, None, None, None, None, None, None, None, None, None, None, None, None,2017-04-16 08:00:00, None, None,16
None,-3.97,82.3, None, None, None, None, 14.99, None, 31.91, 165.7, None, None, None, None, None, None, None, None, None, None, None, None, None,2017-04-16 09:00:00, None, None,16
None,-3.087,77.55, None, None, None, None, 14.77, None, 33.46, 169.5, None, None, None, None, None, None, None, None, None, None, None, None, None,2017-04-16 10:00:00, None, None,16
None,-1.944,70.24, None, None, None, None, 11.82, None, 38.25, 170.7, None, None, None, None, None, None, None, None, None, None, None, None, None,2017-04-16 11:00:00, None, None,16
None,-0.739,66.82, None, None, None, None, 14.78, None, 37.8, 181.1, None, None, None, None, None, None, None, None, None, None, None, None, None,2017-04-16 12:00:00, None, None,16
None,0.126,63.11, None, None, None, None, 14.9, None, 29.37, 190.2, None, None, None, None, None, None, None, None, None, None, None, None, None,2017-04-16 13:00:00, None, None,16
None,1.014,58.43, None, None, None, None, 17.41, None, 24.61, 187.4, None, None, None, None, None, None, None, None, None, None, None, None, None,2017-04-16 14:00:00, None, None,16
None,2.158,51.4, None, None, None, None, 16.47, None, 22.97, 176.4, None, None, None, None, None, None, None, None, None, None, None, None, None,2017-04-16 15:00:00, None, None,16
None,3.235,44.03, None, None, None, None, 22.16, None, 22.28, 189.0, None, None, None, None, None, None, None, None, None, None, None, None, None,2017-04-16 16:00:00, None, None,16
None,3.87,43.46, None, None, None, None, 24.8, None, 18.51, 190.5, None, None, None, None, None, None, None, None, None, None, None, None, None,2017-04-16 17:00:00, None, None,16
None,3.799,46.8, None, None, None, None, 39.76, None, 9.97, 231.1, None, None, None, None, None, None, None, None, None, None, None, None, None,2017-04-16 18:00:00, None, None,16
None,2.877,45.92, None, None, None, None, 42.1, None, 8.3, 215.6, None, None, None, None, None, None, None, None, None, None, None, None, None,2017-04-16 19:00:00, None, None,16
None,2.14,48.16, None, None, None, None, 36.45, None, 11.25, 194.4, None, None, None, None, None, None, None, None, None, None, None, None, None,2017-04-16 20:00:00, None, None,16
None,1.912,50.02, None, None, None, None, 18.59, None, 12.78, 195.1, None, None, None, None, None, None, None, None, None, None, None, None, None,2017-04-16 21:00:00, None, None,16
None,1.447,56.12, None, None, None, None, 16.77, None, 13.83, 200.6, None, None, None, None, None, None, None, None, None, None, None, None, None,2017-04-16 22:00:00, None, None,16
None,1.724,52.1, None, None, None, None, 16.81, None, 8.25, 194.2, None, None, None, None, None, None, None, None, None, None, None, None, None,2017-04-16 23:00:00, None, None,16
None,1.143,56.24, None, None, None, None, 11.15, None, 14.33, 237.3, None, None, None, None, None, None, None, None, None, None, None, None, None,2017-04-17 00:00:00, None, None,16
None,0.172,68.94, None, None, None, None, 11.51, None, 17.48, 245.5, None, None, None, None, None, None, None, None, None, None, None, None, None,2017-04-17 01:00:00, None, None,16
None,-0.308,78.12, None, None, None, None, 16.74, None, 16.16, 231.1, None, None, None, None, None, None, None, None, None, None, None, None, None,2017-04-17 02:00:00, None, None,16
None,-0.533,80.0, None, None, None, None, 33.85, None, 8.2, 258.2, None, None, None, None, None, None, None, None, None, None, None, None, None,2017-04-17 03:00:00, None, None,16
None,-0.566,89.1, None, None, None, None, 33.21, None, 3.887, 326.4, None, None, None, None, None, None, None, None, None, None, None, None, None,2017-04-17 04:00:00, None, None,16
None,-1.055,94.2, None, None, None, None, 6.082, None, 8.09, 248.9, None, None, None, None, None, None, None, None, None, None, None, None, None,2017-04-17 05:00:00, None, None,16
None,-0.868,94.6, None, None, None, None, 13.81, None, 11.01, 260.7, None, None, None, None, None, None, None, None, None, None, None, None, None,2017-04-17 06:00:00, None, None,16
