AirTemperature,Precipitation,Rain,WindSpeed,SnowDepth,time,WindDirection,SnowWaterEquivalent,RelativeHumidity,week_of_year
1.3, 0.0,0.0, 22.1, None,2017-01-08 00:00:00, 33.0, None, 78.0,2
1.4, None,0.0, 20.3, None,2017-01-08 00:15:00, 37.0, None, 75.0,2
1.5, None,0.0, 18.8, None,2017-01-08 00:30:00, 44.0, None, 73.0,2
1.7, None,0.0, 22.1, None,2017-01-08 00:45:00, 37.0, None, 71.0,2
1.8, 0.0,0.0, 21.0, None,2017-01-08 01:00:00, 36.0, None, 71.0,2
1.9, None,0.0, 17.6, None,2017-01-08 01:15:00, 38.0, None, 70.0,2
1.9, None,0.0, 19.3, None,2017-01-08 01:30:00, 41.0, None, 69.0,2
1.9, None,0.0, 19.8, None,2017-01-08 01:45:00, 36.0, None, 69.0,2
2.1, 0.0,0.0, 20.1, None,2017-01-08 02:00:00, 39.0, None, 67.0,2
2.2, None,0.0, 26.4, None,2017-01-08 02:15:00, 24.0, None, 69.0,2
1.9, None,0.0, 22.4, None,2017-01-08 02:30:00, 37.0, None, 70.0,2
2.0, None,0.0, 22.8, None,2017-01-08 02:45:00, 35.0, None, 70.0,2
2.0, 0.0,0.0, 25.1, None,2017-01-08 03:00:00, 33.0, None, 70.0,2
2.0, None,0.0, 24.5, None,2017-01-08 03:15:00, 36.0, None, 67.0,2
2.0, None,0.0, 27.2, None,2017-01-08 03:30:00, 33.0, None, 69.0,2
2.0, None,0.0, 18.5, None,2017-01-08 03:45:00, 41.0, None, 67.0,2
2.0, 0.0,0.0, 21.1, None,2017-01-08 04:00:00, 38.0, None, 66.0,2
2.0, None,0.0, 21.4, None,2017-01-08 04:15:00, 41.0, None, 65.0,2
2.0, None,0.0, 25.5, None,2017-01-08 04:30:00, 37.0, None, 65.0,2
2.0, None,0.0, 26.3, None,2017-01-08 04:45:00, 39.0, None, 65.0,2
2.0, 0.0,0.0, 28.2, None,2017-01-08 05:00:00, 36.0, None, 64.0,2
2.0, None,0.0, 21.0, None,2017-01-08 05:15:00, 41.0, None, 64.0,2
2.0, None,0.0, 19.0, None,2017-01-08 05:30:00, 47.0, None, 62.0,2
2.0, None,0.0, 23.4, None,2017-01-08 05:45:00, 39.0, None, 63.0,2
2.1, 0.0,0.0, 25.5, None,2017-01-08 06:00:00, 40.0, None, 62.0,2
2.2, None,0.0, 26.9, None,2017-01-08 06:15:00, 38.0, None, 63.0,2
2.2, None,0.0, 26.7, None,2017-01-08 06:30:00, 36.0, None, 62.0,2
2.2, None,0.0, 24.8, None,2017-01-08 06:45:00, 36.0, None, 63.0,2
2.3, 0.0,0.0, 22.6, None,2017-01-08 07:00:00, 41.0, None, 63.0,2
2.4, None,0.0, 27.2, None,2017-01-08 07:15:00, 38.0, None, 61.0,2
2.4, None,0.0, 28.6, None,2017-01-08 07:30:00, 33.0, None, 61.0,2
2.4, None,0.0, 26.5, None,2017-01-08 07:45:00, 38.0, None, 61.0,2
2.5, 0.0,0.0, 27.2, None,2017-01-08 08:00:00, 33.0, None, 62.0,2
2.6, None,0.0, 33.0, None,2017-01-08 08:15:00, 29.0, None, 60.0,2
2.5, None,0.0, 29.8, None,2017-01-08 08:30:00, 35.0, None, 59.0,2
2.5, None,0.0, 29.1, None,2017-01-08 08:45:00, 32.0, None, 61.0,2
2.5, 0.0,0.0, 28.6, None,2017-01-08 09:00:00, 36.0, None, 60.0,2
2.7, None,0.0, 30.8, None,2017-01-08 09:15:00, 34.0, None, 59.0,2
2.7, None,0.0, 28.4, None,2017-01-08 09:30:00, 38.0, None, 59.0,2
2.8, None,0.0, 27.0, None,2017-01-08 09:45:00, 34.0, None, 59.0,2
2.8, 0.0,0.0, 27.7, None,2017-01-08 10:00:00, 35.0, None, 60.0,2
2.8, None,0.0, 34.6, None,2017-01-08 10:15:00, 33.0, None, 62.0,2
2.8, None,0.0, 33.3, None,2017-01-08 10:30:00, 34.0, None, 63.0,2
2.8, None,0.0, 34.2, None,2017-01-08 10:45:00, 35.0, None, 62.0,2
2.8, 0.0,0.0, 38.6, None,2017-01-08 11:00:00, 32.0, None, 61.0,2
2.8, None,0.0, 36.7, None,2017-01-08 11:15:00, 33.0, None, 61.0,2
2.7, None,0.25, 36.0, None,2017-01-08 11:30:00, 31.0, None, 62.0,2
2.6, None,0.25, 37.9, None,2017-01-08 11:45:00, 29.0, None, 63.0,2
2.4, 0.0,0.25, 34.6, None,2017-01-08 12:00:00, 34.0, None, 65.0,2
2.1, None,0.0, 38.5, None,2017-01-08 12:15:00, 32.0, None, 69.0,2
1.5, None,0.25, 39.5, None,2017-01-08 12:30:00, 28.0, None, 78.0,2
0.7, None,0.51, 39.6, None,2017-01-08 12:45:00, 25.0, None, 85.0,2
0.5, 3.0,0.51, 35.1, None,2017-01-08 13:00:00, 35.0, None, 88.0,2
0.5, None,0.25, 30.0, None,2017-01-08 13:15:00, 35.0, None, 89.0,2
0.5, None,0.25, 31.8, None,2017-01-08 13:30:00, 30.0, None, 90.0,2
