WDIR_VECT,TEMP_MEAN,WSPD_SCLR,HUMIDITY,time,week_of_year
None,15.8, 0.4,67.3,2017-07-09 00:00:00,28
None,14.3, 0.2,72.2,2017-07-09 01:00:00,28
None,13.2, 0.36,73.4,2017-07-09 02:00:00,28
None,12.5, 0.48,75.3,2017-07-09 03:00:00,28
None,11.6, 0.44,78.4,2017-07-09 04:00:00,28
None,11.1, 0.88,79.5,2017-07-09 05:00:00,28
None,12.4, 0.66,74.3,2017-07-09 06:00:00,28
None,13.3, 1.07,72.5,2017-07-09 07:00:00,28
None,15.2, 1.54,63.0,2017-07-09 08:00:00,28
None,17.6, 1.92,54.5,2017-07-09 09:00:00,28
None,20.2, 2.06,44.5,2017-07-09 10:00:00,28
None,21.7, 2.32,39.4,2017-07-09 11:00:00,28
None,23.7, 2.54,34.3,2017-07-09 12:00:00,28
None,24.6, 2.32,31.9,2017-07-09 13:00:00,28
None,27.7, 3.29,20.3,2017-07-09 14:00:00,28
None,28.5, 3.27,17.8,2017-07-09 15:00:00,28
None,28.6, 3.45,17.4,2017-07-09 16:00:00,28
None,28.9, 3.45,16.7,2017-07-09 17:00:00,28
None,28.8, 2.77,17.9,2017-07-09 18:00:00,28
None,28.0, 2.57,20.5,2017-07-09 19:00:00,28
None,18.8, 5.18,51.1,2017-07-09 20:00:00,28
None,17.3, 3.91,49.9,2017-07-09 21:00:00,28
None,16.9, 3.23,44.7,2017-07-09 22:00:00,28
None,15.9, 2.54,46.2,2017-07-09 23:00:00,28
None,14.4, 0.68,51.7,2017-07-10 00:00:00,28
None,12.7, 0.64,58.7,2017-07-10 01:00:00,28
None,11.6, 0.47,64.7,2017-07-10 02:00:00,28
None,11.6, 0.66,65.4,2017-07-10 03:00:00,28
None,12.7, 2.25,60.4,2017-07-10 04:00:00,28
None,12.6, 2.42,59.9,2017-07-10 05:00:00,28
None,11.4, 0.88,64.8,2017-07-10 06:00:00,28
None,11.0, 0.82,66.9,2017-07-10 07:00:00,28
None,11.4, 2.18,64.8,2017-07-10 08:00:00,28
None,12.6, 2.39,58.7,2017-07-10 09:00:00,28
None,13.6, 2.6,54.4,2017-07-10 10:00:00,28
None,14.2, 2.65,51.9,2017-07-10 11:00:00,28
None,14.9, 2.57,50.0,2017-07-10 12:00:00,28
None,16.4, 2.64,46.6,2017-07-10 13:00:00,28
