ONE_DAY_PRECIPITATION,pcpn_amt_pst1hr,snw_dpth_wtr_equiv,MIN_TEMP,ONE_DAY_SNOW,time,air_temp_1,SNOW_ON_THE_GROUND,snw_dpth,MAX_TEMP,week_of_year
None,932.0, 18.0, None, None,2017-08-13 00:00:00, 19.8, None, None, None,33
None,932.0, 17.0, None, None,2017-08-13 01:00:00, 18.8, None, None, None,33
None,932.0, 17.0, None, None,2017-08-13 02:00:00, 18.2, None, None, None,33
None,933.0, 17.0, None, None,2017-08-13 03:00:00, 17.5, None, None, None,33
None,933.0, 16.0, None, None,2017-08-13 04:00:00, 16.5, None, None, None,33
None,933.0, 15.0, None, None,2017-08-13 05:00:00, 16.3, None, None, None,33
None,933.0, 14.0, None, None,2017-08-13 06:00:00, 16.1, None, None, None,33
None,933.0, 13.0, None, None,2017-08-13 07:00:00, 15.9, None, None, None,33
None,933.0, 12.0, None, None,2017-08-13 08:00:00, 14.9, None, None, None,33
None,933.0, 12.0, None, None,2017-08-13 09:00:00, 14.2, None, None, None,33
None,933.0, 11.0, None, None,2017-08-13 10:00:00, 13.6, None, None, None,33
None,934.0, 11.0, None, None,2017-08-13 11:00:00, 11.9, None, None, None,33
None,934.0, 10.0, None, None,2017-08-13 12:00:00, 10.9, None, None, None,33
None,935.0, 9.0, None, None,2017-08-13 13:00:00, 9.4, None, None, None,33
None,935.0, 9.0, None, None,2017-08-13 14:00:00, 8.9, None, None, None,33
None,935.0, 9.0, None, None,2017-08-13 15:00:00, 8.7, None, None, None,33
None,936.0, 8.0, None, None,2017-08-13 16:00:00, 8.8, None, None, None,33
None,936.0, 8.0, None, None,2017-08-13 17:00:00, 8.6, None, None, None,33
None,937.0, 8.0, None, None,2017-08-13 18:00:00, 8.1, None, None, None,33
None,937.0, 8.0, None, None,2017-08-13 19:00:00, 8.8, None, None, None,33
None,937.0, 8.0, None, None,2017-08-13 20:00:00, 11.8, None, None, None,33
None,937.0, 8.0, None, None,2017-08-13 21:00:00, 11.7, None, None, None,33
None,938.0, 9.0, None, None,2017-08-13 22:00:00, 13.8, None, None, None,33
None,938.0, 10.0, None, None,2017-08-13 23:00:00, 13.4, None, None, None,33
None,938.0, 10.0, None, None,2017-08-14 00:00:00, 12.3, None, None, None,33
None,938.0, 10.0, None, None,2017-08-14 01:00:00, 13.0, None, None, None,33
None,939.0, 10.0, None, None,2017-08-14 02:00:00, 11.8, None, None, None,33
None,939.0, 10.0, None, None,2017-08-14 03:00:00, 9.1, None, None, None,33
None,940.0, 9.0, None, None,2017-08-14 04:00:00, 7.3, None, None, None,33
None,940.0, 8.0, None, None,2017-08-14 05:00:00, 7.2, None, None, None,33
None,940.0, 7.0, None, None,2017-08-14 06:00:00, 6.0, None, None, None,33
None,940.0, 7.0, None, None,2017-08-14 07:00:00, 4.2, None, None, None,33
None,940.0, 6.0, None, None,2017-08-14 08:00:00, 3.1, None, None, None,33
None,940.0, 5.0, None, None,2017-08-14 09:00:00, 2.7, None, None, None,33
None,940.0, 4.0, None, None,2017-08-14 10:00:00, 3.5, None, None, None,33
None,940.0, 4.0, None, None,2017-08-14 11:00:00, 2.8, None, None, None,33
None,940.0, 3.0, None, None,2017-08-14 12:00:00, 3.8, None, None, None,33
None,941.0, 2.0, None, None,2017-08-14 13:00:00, 3.5, None, None, None,33
None,941.0, 2.0, None, None,2017-08-14 14:00:00, 3.2, None, None, None,33
None,941.0, 2.0, None, None,2017-08-14 15:00:00, 4.2, None, None, None,33
None,941.0, 2.0, None, None,2017-08-14 16:00:00, 7.0, None, None, None,33
None,941.0, 2.0, None, None,2017-08-14 17:00:00, 8.0, None, None, None,33
None,941.0, 2.0, None, None,2017-08-14 18:00:00, 9.6, None, None, None,33
None,941.0, 3.0, None, None,2017-08-14 19:00:00, 9.2, None, None, None,33
None,941.0, 4.0, None, None,2017-08-14 20:00:00, 10.9, None, None, None,33
None,941.0, 6.0, None, None,2017-08-14 21:00:00, 11.1, None, None, None,33
None,941.0, 7.0, None, None,2017-08-14 22:00:00, 12.9, None, None, None,33
None,941.0, 7.0, None, None,2017-08-14 23:00:00, 12.6, None, None, None,33
None,941.0, 8.0, None, None,2017-08-15 00:00:00, 12.0, None, None, None,33
None,941.0, 8.0, None, None,2017-08-15 01:00:00, 12.5, None, None, None,33
None,941.0, 8.0, None, None,2017-08-15 02:00:00, 12.2, None, None, None,33
None,941.0, 8.0, None, None,2017-08-15 03:00:00, 8.6, None, None, None,33
None,941.0, 8.0, None, None,2017-08-15 04:00:00, 7.0, None, None, None,33
None,941.0, 7.0, None, None,2017-08-15 05:00:00, 6.7, None, None, None,33
None,941.0, 7.0, None, None,2017-08-15 06:00:00, 6.2, None, None, None,33
None,941.0, 6.0, None, None,2017-08-15 07:00:00, 6.0, None, None, None,33
None,941.0, 5.0, None, None,2017-08-15 08:00:00, 6.1, None, None, None,33
None,941.0, 4.0, None, None,2017-08-15 09:00:00, 6.0, None, None, None,33
None,941.0, 4.0, None, None,2017-08-15 10:00:00, 6.1, None, None, None,33
None,941.0, 3.0, None, None,2017-08-15 11:00:00, 6.7, None, None, None,33
None,941.0, 3.0, None, None,2017-08-15 12:00:00, 6.1, None, None, None,33
None,941.0, 3.0, None, None,2017-08-15 13:00:00, 5.9, None, None, None,33
None,941.0, 2.0, None, None,2017-08-15 14:00:00, 6.5, None, None, None,33
None,941.0, 2.0, None, None,2017-08-15 15:00:00, 8.1, None, None, None,33
None,941.0, 2.0, None, None,2017-08-15 16:00:00, 11.4, None, None, None,33
None,941.0, 2.0, None, None,2017-08-15 17:00:00, 12.6, None, None, None,33
