WDIR_VECT,TEMP_MEAN,WSPD_SCLR,HUMIDITY,avg_rel_hum_pst1hr,time,avg_air_temp_pst1hr,week_of_year
None, 15.3, 0.716, 84.0,85.2,2017-09-10 00:00:00, 14.49,37
None, 14.5, 0.857999, 85.2,86.9,2017-09-10 01:00:00, 13.4,37
None, 13.4, 0.691999, 86.9,87.9,2017-09-10 02:00:00, 11.3,37
None, 11.3, 0.597, 87.9,90.2,2017-09-10 03:00:00, 11.38,37
None, 11.4, 0.675998, 90.2,91.7,2017-09-10 04:00:00, 10.57,37
None, 10.6, 0.739, 91.7,91.5,2017-09-10 05:00:00, 10.16,37
None, 10.2, 0.748, 91.5,91.8,2017-09-10 06:00:00, 9.56,37
None, 9.6, 0.638, 91.8,87.5,2017-09-10 07:00:00, 10.59,37
None, 10.6, 0.889998, 87.5,75.08,2017-09-10 08:00:00, 13.62,37
None, 13.6, 1.136, 75.1,64.35,2017-09-10 09:00:00, 15.66,37
None, 15.7, 1.381, 64.4,53.95,2017-09-10 10:00:00, 17.18,37
None, 17.2, 1.253, 54.0,45.49,2017-09-10 11:00:00, 18.92,37
None, 18.9, 0.986998, 45.5,40.86,2017-09-10 12:00:00, 20.35,37
None, 20.4, 1.334, 40.9,30.57,2017-09-10 13:00:00, 22.52,37
None, 22.5, 1.34, 30.6,22.71,2017-09-10 14:00:00, 23.67,37
None, 23.7, 1.989, 22.7,14.02,2017-09-10 15:00:00, 24.62,37
None, 24.6, 1.836, 14.0,13.43,2017-09-10 16:00:00, 25.13,37
None, 25.1, 1.466, 13.4,17.57,2017-09-10 17:00:00, 24.46,37
None, 24.5, 0.711, 17.6,28.55,2017-09-10 18:00:00, 20.86,37
None, 20.9, 0.828998, 28.6,37.54,2017-09-10 19:00:00, 18.15,37
None, 18.2, 0.852998, 37.5,42.77,2017-09-10 20:00:00, 16.68,37
None, 16.7, 0.750998, 42.8,49.27,2017-09-10 21:00:00, 14.8,37
None, 14.8, 0.541998, 49.3,55.79,2017-09-10 22:00:00, 13.55,37
None, 13.6, 0.495, 55.8,56.72,2017-09-10 23:00:00, 12.54,37
None, 12.5, 0.787998, 56.7,62.38,2017-09-11 00:00:00, 11.22,37
None, 11.2, 0.486999, 62.4,62.95,2017-09-11 01:00:00, 10.32,37
None, 10.3, 0.528998, 63.0,66.18,2017-09-11 02:00:00, 9.53,37
None, 9.5, 0.514998, 66.2,68.99,2017-09-11 03:00:00, 8.91,37
None, 8.9, 0.239998, 69.0,71.02,2017-09-11 04:00:00, 8.38,37
None, 8.4, 0.446, 71.0,74.41,2017-09-11 05:00:00, 7.696,37
None, 7.7, 0.446, 74.4,76.51,2017-09-11 06:00:00, 7.222,37
None, 7.2, 0.291999, 76.5,72.44,2017-09-11 07:00:00, 8.49,37
None, 8.5, 0.446999, 72.4,62.0,2017-09-11 08:00:00, 11.56,37
None, 11.6, 0.799, 62.0,53.33,2017-09-11 09:00:00, 13.88,37
None, 13.9, 0.820999, 53.3,43.24,2017-09-11 10:00:00, 16.74,37
None, 16.7, 1.067, 43.2,34.49,2017-09-11 11:00:00, 19.44,37
None, 19.4, 2.232, 34.5,29.1,2017-09-11 12:00:00, 21.05,37
None, 21.1, 1.699, 29.1,22.99,2017-09-11 13:00:00, 25.92,37
None, 25.9, 1.39, 23.0,20.27,2017-09-11 14:00:00, 27.18,37
None, 27.2, 1.204, 20.3,20.59,2017-09-11 15:00:00, 27.6,37
None, 27.6, 1.726, 20.6,19.36,2017-09-11 16:00:00, 28.51,37
None, 28.5, 1.488, 19.4,21.23,2017-09-11 17:00:00, 27.56,37
None, 27.6, 1.131, 21.2,27.11,2017-09-11 18:00:00, 24.88,37
