BAR_PRESS,TEMP_MEAN,WSPD_SCLR,HUMIDITY,avg_rel_hum_pst1hr,time,avg_air_temp_pst1hr,week_of_year
None, 8.2, 1.502, 76.0, 78.14,2017-09-17 00:00:00, 6.862,38
None, 6.9, 0.695, 78.1, 81.5,2017-09-17 01:00:00, 5.324,38
None, 5.3, 0.692, 81.5, 84.4,2017-09-17 02:00:00, 4.158,38
None, 4.2, 0.926, 84.4, 86.4,2017-09-17 03:00:00, 3.66,38
None, 3.7, 0.686, 86.4, 87.4,2017-09-17 04:00:00, 2.519,38
None, 2.5, 0.624, 87.4, 89.2,2017-09-17 05:00:00, 2.915,38
None, 2.9, 1.575, 89.2, 90.2,2017-09-17 06:00:00, 3.714,38
None, 3.7, 1.487, 90.2, 91.7,2017-09-17 07:00:00, 3.737,38
None, 3.7, 1.399, 91.7, 92.6,2017-09-17 08:00:00, 4.194,38
None, 4.2, 1.234, 92.6, 89.5,2017-09-17 09:00:00, 5.794,38
None, 5.8, 1.993, 89.5, 71.84,2017-09-17 10:00:00, 9.72,38
None, 9.7, 3.046, 71.8, 60.87,2017-09-17 11:00:00, 12.39,38
None, 12.4, 3.028, 60.9, 48.35,2017-09-17 12:00:00, 15.67,38
None, 15.7, 2.421, 48.4, 42.8,2017-09-17 13:00:00, 17.52,38
None, 17.5, 2.365, 42.8, 30.9,2017-09-17 14:00:00, 19.83,38
None, 19.8, 1.225, 30.9, 28.71,2017-09-17 15:00:00, 20.05,38
None, 20.1, 1.064, 28.7, 28.69,2017-09-17 16:00:00, 20.27,38
None, 20.3, 1.534, 28.7, 31.51,2017-09-17 17:00:00, 19.3,38
None, 19.3, 1.348, 31.5, 41.35,2017-09-17 18:00:00, 17.26,38
None, 17.3, 1.995, 41.4, 41.1,2017-09-17 19:00:00, 16.22,38
None, 16.2, 1.486, 41.1, 48.22,2017-09-17 20:00:00, 15.0,38
None, 15.0, 2.324, 48.2, 60.2,2017-09-17 21:00:00, 13.32,38
None, 13.3, 1.075, 60.2, 68.74,2017-09-17 22:00:00, 11.42,38
None, 11.4, 0.454, 68.7, 73.44,2017-09-17 23:00:00, 9.79,38
None, 9.8, 1.045, 73.4, 76.65,2017-09-18 00:00:00, 9.37,38
None, 9.4, 1.096, 76.7, 76.97,2017-09-18 01:00:00, 9.78,38
None, 9.8, 1.7, 77.0, 84.1,2017-09-18 02:00:00, 9.31,38
None, 9.3, 0.754, 84.1, 83.4,2017-09-18 03:00:00, 8.76,38
None, 8.8, 0.497, 83.4, 84.7,2017-09-18 04:00:00, 8.82,38
None, 8.8, 2.041, 84.7, 88.0,2017-09-18 05:00:00, 8.6,38
None, 8.6, 1.383, 88.0, 90.1,2017-09-18 06:00:00, 8.4,38
None, 8.4, 1.402, 90.1, 90.6,2017-09-18 07:00:00, 8.69,38
None, 8.7, 0.61, 90.6, 90.9,2017-09-18 08:00:00, 8.92,38
None, 8.9, 1.286, 90.9, 89.6,2017-09-18 09:00:00, 9.34,38
None, 9.3, 1.752, 89.6, 84.7,2017-09-18 10:00:00, 10.21,38
None, 10.2, 1.34, 84.7, 74.12,2017-09-18 11:00:00, 12.3,38
None, 12.3, 3.183, 74.1, 64.11,2017-09-18 12:00:00, 13.91,38
None, 13.9, 3.431, 64.1, 56.23,2017-09-18 13:00:00, 14.59,38
None, 14.6, 3.872, 56.2, 57.29,2017-09-18 14:00:00, 13.9,38
None, 13.9, 2.973, 57.3, 59.08,2017-09-18 15:00:00, 13.06,38
None, 13.1, 2.216, 59.1, 64.0,2017-09-18 16:00:00, 12.18,38
None, 12.2, 1.705, 64.0, 72.22,2017-09-18 17:00:00, 11.46,38
None, 11.5, 1.476, 72.2, 72.47,2017-09-18 18:00:00, 11.05,38
None, 11.1, 0.806, 72.5, 76.79,2017-09-18 19:00:00, 10.2,38
None, 10.2, 2.277, 76.8, 86.3,2017-09-18 20:00:00, 9.34,38
None, 9.3, 0.718, 86.3, 89.0,2017-09-18 21:00:00, 8.75,38
None, 8.8, 1.591, 89.0, 91.1,2017-09-18 22:00:00, 8.17,38
None, 8.2, 0.747, 91.1, 91.9,2017-09-18 23:00:00, 7.955,38
None, 8.0, 0.947, 91.9, 91.4,2017-09-19 00:00:00, 7.935,38
None, 7.9, 0.611, 91.4, 89.2,2017-09-19 01:00:00, 7.995,38
None, 8.0, 0.407, 89.2, 90.7,2017-09-19 02:00:00, 7.764,38
None, 7.8, 1.224, 90.7, 90.8,2017-09-19 03:00:00, 7.066,38
None, 7.1, 1.85, 90.8, 92.0,2017-09-19 04:00:00, 6.709,38
None, 6.7, 1.704, 92.0, 91.5,2017-09-19 05:00:00, 5.864,38
None, 5.9, 1.694, 91.5, 91.8,2017-09-19 06:00:00, 5.827,38
None, 5.8, 1.325, 91.8, 91.5,2017-09-19 07:00:00, 5.246,38
None, 5.2, 0.378, 91.5, 91.9,2017-09-19 08:00:00, 6.064,38
None, 6.1, 0.758, 91.9, 90.4,2017-09-19 09:00:00, 6.477,38
None, 6.5, 2.173, 90.4, 90.6,2017-09-19 10:00:00, 7.079,38
None, 7.1, 2.857, 90.6, 90.2,2017-09-19 11:00:00, 8.04,38
None, 8.0, 3.275, 90.2, 86.2,2017-09-19 12:00:00, 9.27,38
None, 9.3, 3.169, 86.2, 84.6,2017-09-19 13:00:00, 9.7,38
None, 9.7, 3.946, 84.6, 83.5,2017-09-19 14:00:00, 10.22,38
None, 10.2, 4.05, 83.5, 83.2,2017-09-19 15:00:00, 10.36,38
None, 10.4, 4.089, 83.2, 84.3,2017-09-19 16:00:00, 10.36,38
None, 10.4, 3.046, 84.3, 77.58,2017-09-19 17:00:00, 11.34,38
None, 11.3, 2.692, 77.6, 69.96,2017-09-19 18:00:00, 11.98,38
None, 12.0, 2.111, 70.0, 68.3,2017-09-19 19:00:00, 12.02,38
None, 12.0, 2.115, 68.3, 68.02,2017-09-19 20:00:00, 11.92,38
None, 11.9, 1.293, 68.0, 71.78,2017-09-19 21:00:00, 10.48,38
None, 10.5, 1.753, 71.8, 70.84,2017-09-19 22:00:00, 9.77,38
None, 9.8, 1.661, 70.8, 68.63,2017-09-19 23:00:00, 9.9,38
None, 9.9, 1.474, 68.6, 72.62,2017-09-20 00:00:00, 9.33,38
