pcpn_amt_pst24hrs,SWE,cum_pcpn_amt,ONE_DAY_SNOW,air_temp_1,snw_dpth,MAX_TEMP,ONE_DAY_PRECIPITATION,pcpn_amt_pst1hr,snw_dpth_wtr_equiv,MIN_TEMP,time,SNOW_ON_THE_GROUND,week_of_year
None, None, None, None, -3.5, 10.0, None, None, 454.0, 78.0, None,2017-10-22 00:00:00, None,43
None, None, None, None, -3.5, 11.0, None, None, 455.0, 78.0, None,2017-10-22 01:00:00, None,43
None, None, None, None, -3.5, 12.0, None, None, 456.0, 80.0, None,2017-10-22 02:00:00, None,43
None, None, None, None, -3.3, 12.0, None, None, 457.0, 81.0, None,2017-10-22 03:00:00, None,43
None, None, None, None, -3.2, 14.0, None, None, 459.0, 82.0, None,2017-10-22 04:00:00, None,43
None, None, None, None, -3.2, 16.0, None, None, 463.0, 86.0, None,2017-10-22 05:00:00, None,43
None, None, None, None, -3.2, 20.0, None, None, 467.0, 91.0, None,2017-10-22 06:00:00, None,43
None, None, None, None, -3.2, 21.0, None, None, 469.0, 94.0, None,2017-10-22 07:00:00, None,43
None, None, None, None, -3.1, 24.0, None, None, 472.0, 97.0, None,2017-10-22 08:00:00, None,43
None, None, None, None, -2.9, 23.0, None, None, 472.0, 98.0, None,2017-10-22 09:00:00, None,43
None, None, None, None, -2.6, 24.0, None, None, 473.0, 98.0, None,2017-10-22 10:00:00, None,43
None, None, None, None, -2.0, 24.0, None, None, 473.0, 98.0, None,2017-10-22 11:00:00, None,43
None, None, None, None, -1.9, 24.0, None, None, 473.0, 98.0, None,2017-10-22 12:00:00, None,43
None, None, None, None, -1.7, 22.0, None, None, 474.0, 99.0, None,2017-10-22 13:00:00, None,43
None, None, None, None, -1.7, 25.0, None, None, 476.0, 101.0, None,2017-10-22 14:00:00, None,43
None, None, None, None, -1.5, 26.0, None, None, 476.0, 101.0, None,2017-10-22 15:00:00, None,43
None, 375.0, None, None, -1.2, 25.0, None, None, 477.0, 102.0, None,2017-10-22 16:00:00, None,43
None, None, None, None, -0.9, 25.0, None, None, 477.0, 102.0, None,2017-10-22 17:00:00, None,43
None, None, None, None, -0.6, 25.0, None, None, 477.0, 102.0, None,2017-10-22 18:00:00, None,43
None, None, None, None, -0.4, 24.0, None, None, 478.0, 102.0, None,2017-10-22 19:00:00, None,43
None, None, None, None, 0.7, 24.0, None, None, 478.0, 103.0, None,2017-10-22 20:00:00, None,43
None, None, None, None, 0.1, 24.0, None, None, 477.0, 103.0, None,2017-10-22 21:00:00, None,43
None, None, None, None, 0.3, 24.0, None, None, 475.0, 103.0, None,2017-10-22 22:00:00, None,43
None, None, None, None, 0.2, 23.0, None, None, 472.0, 103.0, None,2017-10-22 23:00:00, None,43
