WDIR_VECT,TEMP_MEAN,WSPD_SCLR,HUMIDITY,time,avg_air_temp_pst1hr,week_of_year
None, -7.2, 1.193, None,2017-12-03 00:00:00, -7.16,49
None, -8.1, 1.266, None,2017-12-03 01:00:00, -8.07,49
None, -7.3, 1.328, None,2017-12-03 02:00:00, -7.34,49
None, -6.6, 2.164, None,2017-12-03 03:00:00, -6.592,49
None, -7.2, 1.984, None,2017-12-03 04:00:00, -7.15,49
None, -7.6, 1.816, None,2017-12-03 05:00:00, -7.62,49
None, -8.1, 1.793, None,2017-12-03 06:00:00, -8.13,49
None, -8.3, 2.19, None,2017-12-03 07:00:00, -8.34,49
None, -9.5, 1.724, None,2017-12-03 08:00:00, -9.49,49
None, -9.2, 2.078, None,2017-12-03 09:00:00, -9.23,49
None, -8.6, 2.291, None,2017-12-03 10:00:00, -8.63,49
None, -7.6, 2.49, None,2017-12-03 11:00:00, -7.61,49
None, -6.9, 2.477, None,2017-12-03 12:00:00, -6.892,49
None, -5.7, 2.176, None,2017-12-03 13:00:00, -5.717,49
None, -4.7, 2.301, None,2017-12-03 14:00:00, -4.747,49
None, -4.7, 2.36, None,2017-12-03 15:00:00, -4.722,49
None, -4.7, 2.343, None,2017-12-03 16:00:00, -4.684,49
None, -5.2, 2.816, None,2017-12-03 17:00:00, -5.228,49
None, -5.6, 2.263, None,2017-12-03 18:00:00, -5.553,49
None, -5.6, 2.434, None,2017-12-03 19:00:00, -5.609,49
None, -5.8, 2.327, None,2017-12-03 20:00:00, -5.847,49
None, -6.0, 2.371, None,2017-12-03 21:00:00, -5.979,49
None, -6.0, 2.104, None,2017-12-03 22:00:00, -6.0,49
None, -6.2, 2.187, None,2017-12-03 23:00:00, -6.233,49
None, -6.1, 2.447, None,2017-12-04 00:00:00, -6.103,49
None, -5.8, 2.924, None,2017-12-04 01:00:00, -5.778,49
None, -5.7, 2.424, None,2017-12-04 02:00:00, -5.671,49
None, -5.2, 2.598, None,2017-12-04 03:00:00, -5.24,49
None, -4.8, 2.202, None,2017-12-04 04:00:00, -4.815,49
None, -4.7, 2.248, None,2017-12-04 05:00:00, -4.7,49
None, -4.4, 2.39, None,2017-12-04 06:00:00, -4.442,49
None, -4.3, 1.97, None,2017-12-04 07:00:00, -4.305,49
None, -4.5, 2.26, None,2017-12-04 08:00:00, -4.483,49
None, -4.5, 3.17, None,2017-12-04 09:00:00, -4.529,49
None, -4.3, 3.733, None,2017-12-04 10:00:00, -4.272,49
None, -4.0, 2.804, None,2017-12-04 11:00:00, -3.984,49
None, -3.4, 2.765, None,2017-12-04 12:00:00, -3.441,49
None, -3.0, 3.009, None,2017-12-04 13:00:00, -2.994,49
None, -3.0, 3.319, None,2017-12-04 14:00:00, -3.024,49
None, -2.9, 3.688, None,2017-12-04 15:00:00, -2.917,49
None, -2.8, 3.298, None,2017-12-04 16:00:00, -2.845,49
None, -3.1, 3.785, None,2017-12-04 17:00:00, -3.067,49
None, -3.2, 3.795, None,2017-12-04 18:00:00, -3.16,49
None, -3.5, 3.525, None,2017-12-04 19:00:00, -3.479,49
None, -3.8, 3.749, None,2017-12-04 20:00:00, -3.819,49
None, -3.8, 3.188, None,2017-12-04 21:00:00, -3.792,49
None, -3.8, 3.097, None,2017-12-04 22:00:00, -3.781,49
None, -3.7, 2.804, None,2017-12-04 23:00:00, -3.692,49
None, -3.9, 3.038, None,2017-12-05 00:00:00, -3.946,49
None, -4.0, 2.182, None,2017-12-05 01:00:00, -4.036,49
None, -3.7, 3.6, None,2017-12-05 02:00:00, -3.703,49
None, -3.8, 1.688, None,2017-12-05 03:00:00, -3.759,49
None, -3.5, 2.841, None,2017-12-05 04:00:00, -3.537,49
None, -3.6, 2.416, None,2017-12-05 05:00:00, -3.561,49
None, -3.4, 1.788, None,2017-12-05 06:00:00, -3.393,49
None, -3.5, 0.685998, None,2017-12-05 07:00:00, -3.522,49
None, -3.4, 1.164, None,2017-12-05 08:00:00, -3.44,49
None, -2.8, 2.683, None,2017-12-05 09:00:00, -2.754,49
None, -2.1, 1.827, None,2017-12-05 10:00:00, -2.144,49
None, -1.4, 1.635, None,2017-12-05 11:00:00, -1.407,49
None, -0.6, 1.658, None,2017-12-05 12:00:00, -0.644999,49
None, 0.0, 1.056, None,2017-12-05 13:00:00, -0.028999,49
None, 0.4, 0.907, None,2017-12-05 14:00:00, 0.388,49
None, 0.4, 0.774999, None,2017-12-05 15:00:00, 0.425,49
None, -0.1, 0.856, None,2017-12-05 16:00:00, -0.104,49
None, -0.8, 1.117, None,2017-12-05 17:00:00, -0.763,49
None, -1.1, 1.309, None,2017-12-05 18:00:00, -1.069,49
None, -1.2, 1.095, None,2017-12-05 19:00:00, -1.154,49
None, -1.0, 0.342999, None,2017-12-05 20:00:00, -0.998,49
None, -0.4, 1.353, None,2017-12-05 21:00:00, -0.379,49
None, 0.0, 1.589, None,2017-12-05 22:00:00, 0.021998,49
None, -1.2, 0.430999, None,2017-12-05 23:00:00, -1.218,49
None, -1.8, 0.898998, None,2017-12-06 00:00:00, -1.771,49
None, -2.3, 0.666, None,2017-12-06 01:00:00, -2.342,49
None, -2.2, 0.233998, None,2017-12-06 02:00:00, -2.226,49
None, -2.5, 0.409999, None,2017-12-06 03:00:00, -2.481,49
None, -2.6, 0.535, None,2017-12-06 04:00:00, -2.586,49
None, -2.7, 0.771, None,2017-12-06 05:00:00, -2.695,49
None, -2.9, 1.519, None,2017-12-06 06:00:00, -2.907,49
None, -3.3, 2.191, None,2017-12-06 07:00:00, -3.345,49
None, -2.9, 1.755, None,2017-12-06 08:00:00, -2.875,49
None, -2.5, 1.804, None,2017-12-06 09:00:00, -2.539,49
None, -2.3, 1.627, None,2017-12-06 10:00:00, -2.287,49
None, -2.0, 1.291, None,2017-12-06 11:00:00, -1.975,49
None, -1.7, 0.952, None,2017-12-06 12:00:00, -1.699,49
None, -1.4, 1.173, None,2017-12-06 13:00:00, -1.434,49
None, -1.4, 1.616, None,2017-12-06 14:00:00, -1.393,49
None, -1.4, 1.595, None,2017-12-06 15:00:00, -1.399,49
None, -1.4, 2.136, None,2017-12-06 16:00:00, -1.446,49
None, -1.5, 1.93, None,2017-12-06 17:00:00, -1.488,49
None, -1.5, 2.87, None,2017-12-06 18:00:00, -1.535,49
None, -1.6, 2.797, None,2017-12-06 19:00:00, -1.635,49
None, -1.7, 2.527, None,2017-12-06 20:00:00, -1.671,49
None, -1.7, 2.398, None,2017-12-06 21:00:00, -1.718,49
None, -1.8, 2.436, None,2017-12-06 22:00:00, -1.769,49
None, -1.8, 2.648, None,2017-12-06 23:00:00, -1.822,49
None, -1.9, 2.904, None,2017-12-07 00:00:00, -1.941,49
None, -2.0, 2.658, None,2017-12-07 01:00:00, -2.018,49
None, -2.2, 1.672, None,2017-12-07 02:00:00, -2.175,49
None, -2.4, 2.11, None,2017-12-07 03:00:00, -2.425,49
None, -2.6, 1.585, None,2017-12-07 04:00:00, -2.563,49
None, -2.6, 1.632, None,2017-12-07 05:00:00, -2.627,49
None, -2.7, 1.908, None,2017-12-07 06:00:00, -2.653,49
None, -2.9, 1.836, None,2017-12-07 07:00:00, -2.886,49
