pcpn_amt_pst24hrs,SWE,cum_pcpn_amt,ONE_DAY_SNOW,air_temp_1,snw_dpth,MAX_TEMP,ONE_DAY_PRECIPITATION,pcpn_amt_pst1hr,snw_dpth_wtr_equiv,MIN_TEMP,time,SNOW_ON_THE_GROUND,week_of_year
None, None, None, None, -9.5, 29.0, None, None, 1132.0, 91.0, None,2017-12-17 00:00:00, None,51
None, None, None, None, -9.6, 29.0, None, None, 1132.0, 91.0, None,2017-12-17 01:00:00, None,51
None, None, None, None, -9.7, 29.0, None, None, 1132.0, 91.0, None,2017-12-17 02:00:00, None,51
None, None, None, None, -9.7, 29.0, None, None, 1132.0, 91.0, None,2017-12-17 03:00:00, None,51
None, None, None, None, -9.9, 29.0, None, None, 1132.0, 91.0, None,2017-12-17 04:00:00, None,51
None, None, None, None, -9.9, 29.0, None, None, 1132.0, 91.0, None,2017-12-17 05:00:00, None,51
None, None, None, None, -9.8, 29.0, None, None, 1132.0, 91.0, None,2017-12-17 06:00:00, None,51
None, None, None, None, -9.7, 29.0, None, None, 1132.0, 91.0, None,2017-12-17 07:00:00, None,51
None, None, None, None, -9.8, 28.0, None, None, 1132.0, 91.0, None,2017-12-17 08:00:00, None,51
None, None, None, None, -9.7, 28.0, None, None, 1132.0, 91.0, None,2017-12-17 09:00:00, None,51
None, None, None, None, -9.8, 28.0, None, None, 1132.0, 91.0, None,2017-12-17 10:00:00, None,51
None, None, None, None, -9.7, 29.0, None, None, 1131.0, 91.0, None,2017-12-17 11:00:00, None,51
None, None, None, None, -9.7, 29.0, None, None, 1131.0, 91.0, None,2017-12-17 12:00:00, None,51
None, None, None, None, -9.6, 30.0, None, None, 1131.0, 92.0, None,2017-12-17 13:00:00, None,51
None, None, None, None, -9.4, 30.0, None, None, 1131.0, 92.0, None,2017-12-17 14:00:00, None,51
None, None, None, None, -9.0, 30.0, None, None, 1131.0, 92.0, None,2017-12-17 15:00:00, None,51
None, 216.0, None, None, -8.9, 30.0, None, None, 1131.0, 92.0, None,2017-12-17 16:00:00, None,51
None, None, None, None, -8.5, 29.0, None, None, 1130.0, 91.0, None,2017-12-17 17:00:00, None,51
None, None, None, None, -8.0, 31.0, None, None, 1130.0, 92.0, None,2017-12-17 18:00:00, None,51
None, None, None, None, -7.7, 31.0, None, None, 1130.0, 92.0, None,2017-12-17 19:00:00, None,51
None, None, None, None, -7.5, 31.0, None, None, 1130.0, 93.0, None,2017-12-17 20:00:00, None,51
None, None, None, None, -7.3, 31.0, None, None, 1129.0, 93.0, None,2017-12-17 21:00:00, None,51
None, None, None, None, -7.1, 31.0, None, None, 1130.0, 94.0, None,2017-12-17 22:00:00, None,51
None, None, None, None, -6.9, 31.0, None, None, 1130.0, 94.0, None,2017-12-17 23:00:00, None,51
None, None, None, None, -7.0, 31.0, None, None, 1129.0, 94.0, None,2017-12-18 00:00:00, None,51
None, None, None, None, -7.0, 30.0, None, None, 1129.0, 95.0, None,2017-12-18 01:00:00, None,51
None, None, None, None, -7.0, 31.0, None, None, 1129.0, 96.0, None,2017-12-18 02:00:00, None,51
None, None, None, None, -6.9, 31.0, None, None, 1129.0, 97.0, None,2017-12-18 03:00:00, None,51
None, None, None, None, -6.6, 34.0, None, None, 1130.0, 98.0, None,2017-12-18 04:00:00, None,51
None, None, None, None, -6.4, 30.0, None, None, 1130.0, 98.0, None,2017-12-18 05:00:00, None,51
None, None, None, None, -6.1, 34.0, None, None, 1130.0, 99.0, None,2017-12-18 06:00:00, None,51
None, None, None, None, -5.8, 33.0, None, None, 1130.0, 100.0, None,2017-12-18 07:00:00, None,51
None, None, None, None, -5.5, 37.0, None, None, 1131.0, 102.0, None,2017-12-18 08:00:00, None,51
None, None, None, None, -5.2, 33.0, None, None, 1132.0, 103.0, None,2017-12-18 09:00:00, None,51
None, None, None, None, -4.8, 32.0, None, None, 1132.0, 104.0, None,2017-12-18 10:00:00, None,51
None, None, None, None, -4.4, 37.0, None, None, 1132.0, 105.0, None,2017-12-18 11:00:00, None,51
None, None, None, None, -4.0, 43.0, None, None, 1132.0, 106.0, None,2017-12-18 12:00:00, None,51
None, None, None, None, -3.6, 42.0, None, None, 1131.0, 107.0, None,2017-12-18 13:00:00, None,51
None, None, None, None, -3.4, 44.0, None, None, 1131.0, 108.0, None,2017-12-18 14:00:00, None,51
None, None, None, None, -3.4, 43.0, None, None, 1131.0, 109.0, None,2017-12-18 15:00:00, None,51
None, 216.0, None, None, -3.3, 43.0, None, None, 1131.0, 109.0, None,2017-12-18 16:00:00, None,51
