TEMP_MEAN,WSPD_SCLR,HUMIDITY,avg_rel_hum_pst1hr,time,avg_air_temp_pst1hr,week_of_year
None, None, None, 99.0,2017-02-05 00:00:00, 0.27,6
None, None, None, 98.4,2017-02-05 01:00:00, 0.433999,6
None, None, None, 98.5,2017-02-05 02:00:00, -0.216998,6
None, 0.926998, None, 96.4,2017-02-05 03:00:00, 0.816999,6
None, 0.762, None, 96.5,2017-02-05 04:00:00, 0.432999,6
None, 0.677999, None, 97.6,2017-02-05 05:00:00, 0.314,6
None, 0.786, None, 98.2,2017-02-05 06:00:00, 0.2,6
None, 0.620998, None, 98.7,2017-02-05 07:00:00, 0.068998,6
None, 0.052, None, 98.9,2017-02-05 08:00:00, 0.14,6
None, 0.725, None, 99.0,2017-02-05 09:00:00, 0.321999,6
None, 0.277, None, 98.6,2017-02-05 10:00:00, 0.749,6
None, 0.287999, None, 97.8,2017-02-05 11:00:00, 1.636,6
None, 0.23, None, 94.8,2017-02-05 12:00:00, 2.301,6
None, 0.3, None, 94.0,2017-02-05 13:00:00, 2.663,6
None, 0.474999, None, 93.9,2017-02-05 14:00:00, 2.664,6
None, 0.987999, None, 95.6,2017-02-05 15:00:00, 1.387,6
None, 0.782, None, 97.2,2017-02-05 16:00:00, 0.893998,6
None, 0.666998, None, 97.5,2017-02-05 17:00:00, 0.685998,6
None, 0.268999, None, 98.1,2017-02-05 18:00:00, 0.196998,6
None, None, None, 98.3,2017-02-05 19:00:00, 0.223,6
None, None, None, 98.4,2017-02-05 20:00:00, 0.208,6
None, None, None, 98.6,2017-02-05 21:00:00, 0.150998,6
None, None, None, 98.5,2017-02-05 22:00:00, 0.059,6
None, None, None, 98.3,2017-02-05 23:00:00, -0.074,6
None, None, None, 98.1,2017-02-06 00:00:00, -0.131999,6
None, None, None, 97.2,2017-02-06 01:00:00, -0.326,6
None, None, None, 97.3,2017-02-06 02:00:00, -0.495999,6
None, None, None, 97.8,2017-02-06 03:00:00, -0.658999,6
None, None, None, 97.9,2017-02-06 04:00:00, -0.648,6
None, None, None, 97.9,2017-02-06 05:00:00, -0.889998,6
None, None, None, 97.7,2017-02-06 06:00:00, -1.175,6
None, None, None, 97.4,2017-02-06 07:00:00, -1.436,6
None, None, None, 97.5,2017-02-06 08:00:00, -1.628,6
None, None, None, 97.7,2017-02-06 09:00:00, -1.701,6
None, None, None, 97.1,2017-02-06 10:00:00, -1.553,6
None, None, None, 91.0,2017-02-06 11:00:00, -1.115,6
None, 0.174998, None, 84.1,2017-02-06 12:00:00, -0.224,6
None, 0.637, None, 85.5,2017-02-06 13:00:00, -0.476,6
None, 0.779999, None, 88.1,2017-02-06 14:00:00, -0.503,6
None, 0.762, None, 93.1,2017-02-06 15:00:00, -1.264,6
None, 0.867999, None, 96.0,2017-02-06 16:00:00, -1.283,6
None, 0.703, None, 96.5,2017-02-06 17:00:00, -1.237,6
None, 0.764998, None, 96.7,2017-02-06 18:00:00, -1.427,6
None, 0.495, None, 96.6,2017-02-06 19:00:00, -1.519,6
None, 0.298, None, 96.0,2017-02-06 20:00:00, -1.378,6
None, 0.347, None, 95.8,2017-02-06 21:00:00, -1.286,6
None, 0.409999, None, 96.3,2017-02-06 22:00:00, -1.271,6
None, 0.384, None, 96.5,2017-02-06 23:00:00, -1.262,6
None, 0.211998, None, 96.4,2017-02-07 00:00:00, -1.346,6
