TempC,SolarRadiationWm,RH,WindSpeedms,Pressurembar,Rainmm,GustSpeedms,time,WindDirection,DewPtC,week_of_year
-0.479,0.625,66.2,7.806,879.55, 0.0,14.857,2017-02-12 00:00:00,197.953,-6.0,7
0.079,0.625,62.1,9.317,879.55, 0.0,17.627,2017-02-12 01:00:00,203.569,-6.3,7
0.024,0.625,59.1,9.317,879.35, 0.0,18.886,2017-02-12 02:00:00,200.761,-7.0,7
0.079,0.625,58.5,9.569,879.15, 0.0,18.886,2017-02-12 03:00:00,202.165,-7.1,7
0.135,0.625,56.8,9.821,879.35, 0.0,18.382,2017-02-12 04:00:00,206.376,-7.4,7
0.273,0.625,55.8,10.073,879.25, 0.0,21.152,2017-02-12 05:00:00,204.973,-7.5,7
0.246,0.625,53.5,9.317,879.35, 0.0,17.627,2017-02-12 06:00:00,203.569,-8.1,7
0.412,0.625,52.1,9.065,879.05, 0.0,16.872,2017-02-12 07:00:00,206.376,-8.3,7
0.66,0.625,50.7,8.562,878.95, 0.0,18.382,2017-02-12 08:00:00,206.376,-8.4,7
0.079,34.375,51.7,6.295,879.15, 0.0,13.094,2017-02-12 09:00:00,203.569,-8.7,7
0.55,58.125,51.9,8.814,879.05, 0.0,18.886,2017-02-12 10:00:00,200.761,-8.2,7
1.886,283.125,51.5,9.317,878.55, 0.0,21.152,2017-02-12 11:00:00,202.165,-7.0,7
2.396,354.375,50.3,8.562,879.55, 0.0,16.62,2017-02-12 12:00:00,197.953,-6.9,7
3.063,295.625,49.5,7.554,880.35, 0.0,14.605,2017-02-12 13:00:00,192.337,-6.5,7
2.744,394.375,49.7,7.554,880.05, 0.0,17.375,2017-02-12 14:00:00,199.357,-6.7,7
2.343,296.875,53.4,9.065,879.95, 0.0,18.382,2017-02-12 15:00:00,200.761,-6.2,7
2.61,318.125,55.7,8.058,880.55, 0.0,15.361,2017-02-12 16:00:00,202.165,-5.4,7
1.913,28.125,58.7,6.547,881.65, 0.0,13.346,2017-02-12 17:00:00,202.165,-5.3,7
1.425,0.625,63.0,7.303,881.85, 0.0,14.605,2017-02-12 18:00:00,200.761,-4.8,7
1.18,0.625,66.4,6.547,882.25, 0.0,12.087,2017-02-12 19:00:00,203.569,-4.4,7
1.071,0.625,71.0,5.288,883.15, 0.0,10.828,2017-02-12 20:00:00,203.569,-3.6,7
1.344,0.625,73.8,3.777,883.85, 0.0,8.814,2017-02-12 21:00:00,195.145,-2.8,7
1.643,0.625,70.0,2.77,884.15, 0.0,6.295,2017-02-12 22:00:00,196.549,-3.2,7
2.664,0.625,67.6,3.525,884.65, 0.0,8.814,2017-02-12 23:00:00,220.416,-2.7,7
2.236,0.625,64.7,4.029,885.35, 0.0,8.562,2017-02-13 00:00:00,219.012,-3.7,7
1.778,0.625,68.8,3.525,886.55, 0.0,7.051,2017-02-13 01:00:00,202.165,-3.3,7
1.48,0.625,70.2,4.029,887.05, 0.0,7.554,2017-02-13 02:00:00,204.973,-3.4,7
2.021,0.625,69.0,3.274,887.05, 0.0,6.295,2017-02-13 03:00:00,204.973,-3.1,7
2.289,0.625,68.4,4.029,887.65, 0.0,7.554,2017-02-13 04:00:00,213.396,-2.9,7
1.994,0.625,70.6,2.518,888.25, 0.0,6.547,2017-02-13 05:00:00,204.973,-2.8,7
0.962,0.625,78.1,3.022,888.45, 0.0,6.295,2017-02-13 06:00:00,190.933,-2.4,7
0.687,0.625,82.3,4.281,888.45, 0.0,9.065,2017-02-13 07:00:00,193.741,-2.0,7
0.989,0.625,83.9,4.281,888.65, 0.0,8.814,2017-02-13 08:00:00,196.549,-1.4,7
1.697,16.875,80.8,4.029,889.15, 0.0,7.303,2017-02-13 09:00:00,196.549,-1.2,7
2.744,73.125,76.6,2.266,889.55, 0.0,6.295,2017-02-13 10:00:00,183.914,-1.0,7
3.854,155.625,74.6,2.77,888.95, 0.0,8.562,2017-02-13 11:00:00,176.894,-0.2,7
5.514,326.875,69.2,4.281,888.85, 0.0,10.576,2017-02-13 12:00:00,199.357,0.3,7
5.231,189.375,68.2,4.281,888.75, 0.0,10.576,2017-02-13 13:00:00,192.337,-0.1,7
5.154,205.625,69.4,4.533,888.75, 0.0,10.324,2017-02-13 14:00:00,188.125,0.0,7
4.921,139.375,71.8,5.288,888.55, 0.0,11.08,2017-02-13 15:00:00,188.125,0.3,7
5.334,84.375,71.4,6.044,888.35, 0.0,11.332,2017-02-13 16:00:00,197.953,0.6,7
5.488,31.875,69.9,5.792,888.65, 0.0,10.828,2017-02-13 17:00:00,203.569,0.4,7
5.179,9.375,70.0,6.044,888.45, 0.0,10.828,2017-02-13 18:00:00,200.761,0.2,7
4.869,0.625,71.4,5.54,888.15, 0.0,10.828,2017-02-13 19:00:00,204.973,0.1,7
5.024,0.625,72.7,4.784,887.75, 0.0,9.065,2017-02-13 20:00:00,202.165,0.5,7
4.011,0.625,74.3,2.266,887.45, 0.0,7.554,2017-02-13 21:00:00,138.988,-0.1,7
4.011,0.625,76.8,1.259,887.25, 0.0,4.784,2017-02-13 22:00:00,138.988,0.3,7
3.063,0.625,78.1,0.755,886.95, 0.0,4.029,2017-02-13 23:00:00,133.373,-0.4,7
2.289,0.625,78.1,1.007,886.35, 0.0,2.518,2017-02-14 00:00:00,134.776,-1.1,7
