CURRENT_AIR_TEMPERATURE2,CURRENT_AIR_TEMPERATURE1,RELATIVE_HUMIDITY1,STANDARD_SNOW,PRECIPITATION_NEW,MINIMUM_AIR_TEMPERATURE,max_wnd_spd_10m_pst1hr,WIND_DIRECTION_STD_DEVIATION1,MEASURED_WIND_SPEED1,MEASURED_WIND_DIRECTION1,dwpt_temp,avg_wnd_spd_10m_pst10mts,air_temp,min_air_temp_snc_last_reset,pcpn_amt_pst1hr,DEW_POINT,ATMOSPHERIC_PRESSURE,avg_wnd_dir_10m_pst10mts,max_air_temp_snc_last_reset,ACTUAL_WIND_DIRECTION,ACTUAL_WIND_SPEED,rel_hum,MAXIMUM_AIR_TEMPERATURE,time,snw_dpth,MAXIMUM_MEASURED_WIND_SPEED1,snwfl_amt_pst1hr,stn_pres,week_of_year
None,-4.987, 101.6, None, None, None, None,0.0,0.0,0.0, None, None, None, None, None, -5.0, None, None, None, None, None, None, None,2017-02-19 00:00:00, None, None, None, None,8
None,-4.987, 101.4, None, None, None, None,0.0,0.0,0.0, None, None, None, None, None, -5.0, None, None, None, None, None, None, None,2017-02-19 01:00:00, None, None, None, None,8
None,-5.502, 100.1, None, None, None, None,0.0,0.0,0.0, None, None, None, None, None, -6.0, None, None, None, None, None, None, None,2017-02-19 02:00:00, None, None, None, None,8
None,-5.626, 101.0, None, None, None, None,0.0,0.0,0.0, None, None, None, None, None, -6.0, None, None, None, None, None, None, None,2017-02-19 03:00:00, None, None, None, None,8
None,-5.12, 102.3, None, None, None, None,0.0,0.0,0.0, None, None, None, None, None, -5.0, None, None, None, None, None, None, None,2017-02-19 04:00:00, None, None, None, None,8
None,-5.149, 101.8, None, None, None, None,4.044,0.018,97.8, None, None, None, None, None, -5.0, None, None, None, None, None, None, None,2017-02-19 05:00:00, None, None, None, None,8
None,-4.978, 102.2, None, None, None, None,1.618,0.004,112.4, None, None, None, None, None, -5.0, None, None, None, None, None, None, None,2017-02-19 06:00:00, None, None, None, None,8
None,-4.997, 102.0, None, None, None, None,5.466,0.019,103.8, None, None, None, None, None, -5.0, None, None, None, None, None, None, None,2017-02-19 07:00:00, None, None, None, None,8
None,-4.702, 102.3, None, None, None, None,0.675,0.002,116.6, None, None, None, None, None, -5.0, None, None, None, None, None, None, None,2017-02-19 08:00:00, None, None, None, None,8
None,-4.152, 102.9, None, None, None, None,0.017,0.0,149.7, None, None, None, None, None, -4.0, None, None, None, None, None, None, None,2017-02-19 09:00:00, None, None, None, None,8
None,-3.321, None, None, None, None, None,2.477,0.009,122.3, None, None, None, None, None, -3.0, None, None, None, None, None, None, None,2017-02-19 10:00:00, None, None, None, None,8
None,-3.011, None, None, None, None, None,8.42,0.292,126.8, None, None, None, None, None, -3.0, None, None, None, None, None, None, None,2017-02-19 11:00:00, None, None, None, None,8
None,-3.152, 102.3, None, None, None, None,16.65,0.439,124.2, None, None, None, None, None, -3.0, None, None, None, None, None, None, None,2017-02-19 12:00:00, None, None, None, None,8
None,-3.246, 95.0, None, None, None, None,17.58,3.742,108.2, None, None, None, None, None, -4.0, None, None, None, None, None, None, None,2017-02-19 13:00:00, None, None, None, None,8
None,-1.921, 76.1, None, None, None, None,20.0,4.482,112.6, None, None, None, None, None, -5.0, None, None, None, None, None, None, None,2017-02-19 14:00:00, None, None, None, None,8
None,-0.657, 69.06, None, None, None, None,17.22,4.102,135.3, None, None, None, None, None, -5.0, None, None, None, None, None, None, None,2017-02-19 15:00:00, None, None, None, None,8
None,-1.434, 70.8, None, None, None, None,15.01,1.928,133.1, None, None, None, None, None, -6.0, None, None, None, None, None, None, None,2017-02-19 16:00:00, None, None, None, None,8
None,-2.926, 65.95, None, None, None, None,25.1,6.319,109.1, None, None, None, None, None, -8.0, None, None, None, None, None, None, None,2017-02-19 17:00:00, None, None, None, None,8
None,-3.519, 78.3, None, None, None, None,18.71,5.376,106.3, None, None, None, None, None, -6.0, None, None, None, None, None, None, None,2017-02-19 18:00:00, None, None, None, None,8
None,-4.161, 95.1, None, None, None, None,11.67,0.029,239.9, None, None, None, None, None, -5.0, None, None, None, None, None, None, None,2017-02-19 19:00:00, None, None, None, None,8
None,-4.36, 72.6, None, None, None, None,15.0,0.37,83.5, None, None, None, None, None, -8.0, None, None, None, None, None, None, None,2017-02-19 20:00:00, None, None, None, None,8
None,-4.104, 60.43, None, None, None, None,18.88,4.956,96.1, None, None, None, None, None, -10.0, None, None, None, None, None, None, None,2017-02-19 21:00:00, None, None, None, None,8
