CURRENT_AIR_TEMPERATURE1,RELATIVE_HUMIDITY1,max_air_temp_snc_last_reset,rel_hum,max_wnd_spd_10m_pst1hr,WIND_DIRECTION_STD_DEVIATION1,avg_wnd_spd_10m_pst10mts,MEASURED_WIND_DIRECTION1,MEASURED_WIND_SPEED1,air_temp,min_air_temp_snc_last_reset,DEW_POINT,avg_wnd_dir_10m_pst10mts,dwpt_temp,time,week_of_year
-15.69, None, None, None, None,11.72, None,261.8,10.79, None, None, None, None, None,2017-02-26 00:00:00,9
-15.88, None, None, None, None,9.48, None,261.6,7.8, None, None, None, None, None,2017-02-26 02:00:00,9
-16.08, None, None, None, None,11.18, None,246.9,4.193, None, None, None, None, None,2017-02-26 03:00:00,9
-16.51, None, None, None, None,7.69, None,120.0,3.861, None, None, None, None, None,2017-02-26 06:00:00,9
-16.66, None, None, None, None,8.23, None,124.2,5.539, None, None, None, None, None,2017-02-26 07:00:00,9
-14.34, None, None, None, None,13.48, None,120.6,2.726, None, None, None, None, None,2017-02-26 09:00:00,9
-11.75, None, None, None, None,15.63, None,124.3,1.966, None, None, None, None, None,2017-02-26 10:00:00,9
-8.67, None, None, None, None,19.19, None,140.7,2.102, None, None, None, None, None,2017-02-26 11:00:00,9
-6.6, None, None, None, None,20.04, None,139.7,1.06, None, None, None, None, None,2017-02-26 12:00:00,9
-5.404, None, None, None, None,30.62, None,151.9,0.989, None, None, None, None, None,2017-02-26 13:00:00,9
-5.745, None, None, None, None,62.51, None,230.2,0.21, None, None, None, None, None,2017-02-26 14:00:00,9
-9.22, None, None, None, None,12.62, None,308.8,4.383, None, None, None, None, None,2017-02-26 15:00:00,9
-13.46, None, None, None, None,10.73, None,298.6,8.8, None, None, None, None, None,2017-02-26 16:00:00,9
-17.05, None, None, None, None,14.98, None,318.9,8.53, None, None, None, None, None,2017-02-26 22:00:00,9
-17.04, None, None, None, None,10.08, None,290.0,10.0, None, None, None, None, None,2017-02-26 23:00:00,9
-18.2, None, None, None, None,12.3, None,264.4,9.8, None, None, None, None, None,2017-02-27 02:00:00,9
