station_observations
TEMP_MEAN, WSPD_SCLR, HUMIDITY, avg_rel_hum_pst1hr, time, avg_air_temp_pst1hr
-1.7, 0.301999, 98.4, 98.4, 2018-01-01 00:00:00, -1.662
-2.2, 0.349999, 98.5, 98.5, 2018-01-01 01:00:00, -2.216
-2.0, 0.564, 98.5, 98.5, 2018-01-01 02:00:00, -1.956
-2.1, 0.377999, 98.1, 98.1, 2018-01-01 03:00:00, -2.053
-1.9, 0.344998, 98.0, 98.0, 2018-01-01 04:00:00, -1.874
-1.3, 0.568, 97.2, 97.2, 2018-01-01 05:00:00, -1.294
-1.0, 0.488, 96.5, 96.5, 2018-01-01 06:00:00, -0.973999
-0.6, 0.55, 96.2, 96.2, 2018-01-01 07:00:00, -0.643
-0.6, 0.317999, 96.3, 96.3, 2018-01-01 08:00:00, -0.579999
-0.6, 0.409999, 96.5, 96.5, 2018-01-01 09:00:00, -0.588998
0.6, 0.142, 92.3, 92.3, 2018-01-01 10:00:00, 0.578
1.8, 0.510999, 87.9, 87.9, 2018-01-01 11:00:00, 1.819
3.8, 0.547999, 79.9, 79.93, 2018-01-01 12:00:00, 3.783
5.0, 0.652998, 73.9, 73.85, 2018-01-01 13:00:00, 4.966
5.5, 0.79, 71.5, 71.54, 2018-01-01 14:00:00, 5.544
5.5, 0.446999, 72.4, 72.41, 2018-01-01 15:00:00, 5.467
4.3, 0.633, 77.4, 77.43, 2018-01-01 16:00:00, 4.311
2.4, 0.442, 85.5, 85.5, 2018-01-01 17:00:00, 2.441
0.3, 0.635999, 95.0, 95.0, 2018-01-01 18:00:00, 0.317999
-0.5, 0.66, 97.2, 97.2, 2018-01-01 19:00:00, -0.518998
-0.8, 0.418, 97.7, 97.7, 2018-01-01 20:00:00, -0.830999
-1.1, 0.432999, 98.1, 98.1, 2018-01-01 21:00:00, -1.132
-1.4, 0.319999, 98.3, 98.3, 2018-01-01 22:00:00, -1.383
-1.5, 0.397, 98.6, 98.6, 2018-01-01 23:00:00, -1.524
-1.5, 0.352999, 98.5, 98.5, 2018-01-02 00:00:00, -1.528
-1.7, 0.374, 98.5, 98.5, 2018-01-02 01:00:00, -1.657
-1.6, 0.444999, 98.5, 98.5, 2018-01-02 02:00:00, -1.63
-1.7, 0.202, 98.3, 98.3, 2018-01-02 03:00:00, -1.693
-1.6, 0.508, 98.2, 98.2, 2018-01-02 04:00:00, -1.643
-1.5, 0.4, 98.0, 98.0, 2018-01-02 05:00:00, -1.492
-1.3, 0.389999, 97.9, 97.9, 2018-01-02 06:00:00, -1.33
-1.1, 0.512, 97.8, 97.8, 2018-01-02 07:00:00, -1.091
-1.0, 0.282, 97.8, 97.8, 2018-01-02 08:00:00, -0.953998
-0.7, 0.523, 97.8, 97.8, 2018-01-02 09:00:00, -0.74
0.0, 0.456999, 97.2, 97.2, 2018-01-02 10:00:00, -0.016
2.3, 0.449, 90.9, 90.9, 2018-01-02 11:00:00, 2.294
4.1, 0.580999, 83.7, 83.7, 2018-01-02 12:00:00, 4.091
4.0, 0.526, 84.6, 84.6, 2018-01-02 13:00:00, 3.985
4.9, 0.783999, 79.4, 79.37, 2018-01-02 14:00:00, 4.94
4.7, 0.561999, 80.9, 80.9, 2018-01-02 15:00:00, 4.684
4.2, 0.593999, 84.6, 84.6, 2018-01-02 16:00:00, 4.159
3.4, 0.453, 88.1, 88.1, 2018-01-02 17:00:00, 3.433
2.4, 0.556999, 91.9, 91.9, 2018-01-02 18:00:00, 2.43
1.8, 0.523998, 94.1, 94.1, 2018-01-02 19:00:00, 1.836
1.5, 0.441, 95.4, 95.4, 2018-01-02 20:00:00, 1.479
1.0, 0.479999, 96.2, 96.2, 2018-01-02 21:00:00, 0.995
0.7, 0.430999, 97.0, 97.0, 2018-01-02 22:00:00, 0.723999
0.9, 0.499, 96.9, 96.9, 2018-01-02 23:00:00, 0.878
0.9, 0.469, 96.8, 96.8, 2018-01-03 00:00:00, 0.925
0.8, 0.504, 96.9, 96.9, 2018-01-03 01:00:00, 0.824
-0.1, 0.657998, 97.8, 97.8, 2018-01-03 02:00:00, -0.092
-0.7, 0.535, 98.4, 98.4, 2018-01-03 03:00:00, -0.73
-1.1, 0.238998, 98.7, 98.7, 2018-01-03 04:00:00, -1.102
-1.3, 0.497, 98.9, 98.9, 2018-01-03 05:00:00, -1.29
-1.7, 0.407999, 99.0, 99.0, 2018-01-03 06:00:00, -1.678
-1.6, 0.481, 99.0, 99.0, 2018-01-03 07:00:00, -1.558
-1.5, 0.301999, 98.8, 98.8, 2018-01-03 08:00:00, -1.547
-0.8, 0.587998, 98.8, 98.8, 2018-01-03 09:00:00, -0.786
0.0, 0.375999, 97.8, 97.8, 2018-01-03 10:00:00, 0.0
1.2, 0.412, 97.6, 97.6, 2018-01-03 11:00:00, 1.239
2.0, 0.596, 95.6, 95.6, 2018-01-03 12:00:00, 2.024
