WDIR_VECT,TEMP_MEAN,WSPD_SCLR,time,avg_air_temp_pst1hr,week_of_year
None, -4.6, 3.364,2018-01-01 00:00:00, -4.649,1
None, -4.6, 3.604,2018-01-01 01:00:00, -4.624,1
None, -4.7, 4.0,2018-01-01 02:00:00, -4.651,1
None, -4.6, 4.38,2018-01-01 03:00:00, -4.614,1
None, -4.8, 3.587,2018-01-01 04:00:00, -4.816,1
None, -5.1, 3.441,2018-01-01 05:00:00, -5.069,1
None, -5.3, 3.285,2018-01-01 06:00:00, -5.284,1
None, -5.4, 2.927,2018-01-01 07:00:00, -5.424,1
None, -5.5, 3.173,2018-01-01 08:00:00, -5.52,1
None, -5.4, 2.071,2018-01-01 09:00:00, -5.426,1
None, -5.4, 2.225,2018-01-01 10:00:00, -5.428,1
None, -5.2, 2.258,2018-01-01 11:00:00, -5.156,1
None, -5.1, 3.292,2018-01-01 12:00:00, -5.095,1
None, -4.8, 3.657,2018-01-01 13:00:00, -4.774,1
None, -4.6, 4.684,2018-01-01 14:00:00, -4.595,1
None, -4.6, 4.146,2018-01-01 15:00:00, -4.563,1
None, -4.6, 2.366,2018-01-01 16:00:00, -4.558,1
None, -4.8, 2.59,2018-01-01 17:00:00, -4.832,1
None, -4.8, 2.87,2018-01-01 18:00:00, -4.76,1
None, -5.4, 1.412,2018-01-01 19:00:00, -5.424,1
None, -6.9, 0.28,2018-01-01 20:00:00, -6.944,1
None, -6.5, 0.49,2018-01-01 21:00:00, -6.496,1
None, -6.1, 0.681999,2018-01-01 22:00:00, -6.06,1
None, -6.1, 1.176,2018-01-01 23:00:00, -6.099,1
None, -5.9, 1.38,2018-01-02 00:00:00, -5.925,1
None, -6.0, 0.345999,2018-01-02 01:00:00, -5.965,1
None, -5.9, 0.384999,2018-01-02 02:00:00, -5.922,1
None, -5.5, 1.651,2018-01-02 03:00:00, -5.468,1
None, -5.0, 2.418,2018-01-02 04:00:00, -4.982,1
None, -5.0, 2.361,2018-01-02 05:00:00, -5.004,1
None, -4.9, 3.461,2018-01-02 06:00:00, -4.914,1
None, -5.1, 3.293,2018-01-02 07:00:00, -5.092,1
None, -4.8, 3.771,2018-01-02 08:00:00, -4.784,1
None, -4.7, 4.173,2018-01-02 09:00:00, -4.666,1
None, -4.6, 4.764,2018-01-02 10:00:00, -4.606,1
None, -4.5, 4.863,2018-01-02 11:00:00, -4.457,1
None, -4.4, 5.398,2018-01-02 12:00:00, -4.352,1
None, -4.1, 5.177,2018-01-02 13:00:00, -4.083,1
None, -3.7, 4.74,2018-01-02 14:00:00, -3.743,1
None, -3.7, 4.013,2018-01-02 15:00:00, -3.709,1
None, -3.7, 3.325,2018-01-02 16:00:00, -3.702,1
None, -3.7, 2.703,2018-01-02 17:00:00, -3.743,1
None, -4.0, 2.165,2018-01-02 18:00:00, -4.006,1
None, -4.1, 1.862,2018-01-02 19:00:00, -4.115,1
None, -4.1, 2.393,2018-01-02 20:00:00, -4.059,1
None, -4.0, 2.654,2018-01-02 21:00:00, -3.967,1
None, -3.8, 3.416,2018-01-02 22:00:00, -3.767,1
None, -3.6, 3.71,2018-01-02 23:00:00, -3.611,1
None, -3.5, 3.986,2018-01-03 00:00:00, -3.534,1
None, -3.5, 5.17,2018-01-03 01:00:00, -3.473,1
None, -3.4, 4.817,2018-01-03 02:00:00, -3.416,1
None, -3.5, 3.654,2018-01-03 03:00:00, -3.482,1
None, -3.5, 4.145,2018-01-03 04:00:00, -3.504,1
None, -3.4, 4.47,2018-01-03 05:00:00, -3.374,1
None, -3.5, 4.066,2018-01-03 06:00:00, -3.521,1
None, -3.6, 4.577,2018-01-03 07:00:00, -3.565,1
None, -3.1, 5.595,2018-01-03 08:00:00, -3.11,1
None, -3.0, 5.107,2018-01-03 09:00:00, -3.024,1
None, -3.0, 4.227,2018-01-03 10:00:00, -2.998,1
None, -3.3, 2.908,2018-01-03 11:00:00, -3.314,1
None, -2.9, 3.118,2018-01-03 12:00:00, -2.902,1
None, -3.0, 1.06,2018-01-03 13:00:00, -2.98,1
None, -2.4, 2.772,2018-01-03 14:00:00, -2.403,1
None, -2.1, 2.569,2018-01-03 15:00:00, -2.062,1
None, -2.3, 1.072,2018-01-03 16:00:00, -2.31,1
