CURRENT_AIR_TEMPERATURE1,RELATIVE_HUMIDITY1,PRECIPITATION_NEW,MINIMUM_AIR_TEMPERATURE,max_wnd_spd_10m_pst1hr,WIND_DIRECTION_STD_DEVIATION1,MEASURED_WIND_SPEED1,MEASURED_WIND_DIRECTION1,dwpt_temp,avg_wnd_spd_10m_pst10mts,air_temp,min_air_temp_snc_last_reset,pcpn_amt_pst1hr,DEW_POINT,avg_wnd_dir_10m_pst10mts,max_air_temp_snc_last_reset,ACTUAL_WIND_DIRECTION,ACTUAL_WIND_SPEED,rel_hum,MAXIMUM_AIR_TEMPERATURE,time,snw_dpth,MAXIMUM_MEASURED_WIND_SPEED1,snwfl_amt_pst1hr,stn_pres,week_of_year
-11.01,89.1, None, None, None,21.3,17.32,205.4, None, None, None, None, None, -12.0, None, None, None, None, None, None,2018-03-26 00:00:00, None, None, None, None,13
-11.06,89.2, None, None, None,22.05,17.99,204.2, None, None, None, None, None, -12.0, None, None, None, None, None, None,2018-03-26 01:00:00, None, None, None, None,13
-11.2,89.0, None, None, None,25.71,12.95,182.5, None, None, None, None, None, -12.0, None, None, None, None, None, None,2018-03-26 02:00:00, None, None, None, None,13
-11.4,88.7, None, None, None,30.26,10.52,183.9, None, None, None, None, None, -13.0, None, None, None, None, None, None,2018-03-26 03:00:00, None, None, None, None,13
-11.35,88.7, None, None, None,28.01,9.06,185.4, None, None, None, None, None, -13.0, None, None, None, None, None, None,2018-03-26 04:00:00, None, None, None, None,13
-11.3,88.7, None, None, None,23.36,11.74,169.1, None, None, None, None, None, -13.0, None, None, None, None, None, None,2018-03-26 05:00:00, None, None, None, None,13
-11.06,88.9, None, None, None,27.56,10.66,182.9, None, None, None, None, None, -12.0, None, None, None, None, None, None,2018-03-26 06:00:00, None, None, None, None,13
-10.91,88.9, None, None, None,28.53,8.66,193.8, None, None, None, None, None, -12.0, None, None, None, None, None, None,2018-03-26 07:00:00, None, None, None, None,13
-10.62,89.1, None, None, None,22.59,11.32,202.0, None, None, None, None, None, -12.0, None, None, None, None, None, None,2018-03-26 08:00:00, None, None, None, None,13
-9.79,89.6, None, None, None,24.85,9.99,204.2, None, None, None, None, None, -11.0, None, None, None, None, None, None,2018-03-26 09:00:00, None, None, None, None,13
-9.03,90.3, None, None, None,21.65,12.24,216.8, None, None, None, None, None, -10.0, None, None, None, None, None, None,2018-03-26 10:00:00, None, None, None, None,13
-7.68,91.8, None, None, None,25.93,10.87,222.7, None, None, None, None, None, -9.0, None, None, None, None, None, None,2018-03-26 11:00:00, None, None, None, None,13
-7.26,92.1, None, None, None,32.47,8.74,213.7, None, None, None, None, None, -8.0, None, None, None, None, None, None,2018-03-26 12:00:00, None, None, None, None,13
-6.934,92.1, None, None, None,35.51,5.65,204.1, None, None, None, None, None, -8.0, None, None, None, None, None, None,2018-03-26 13:00:00, None, None, None, None,13
-6.745,92.4, None, None, None,38.86,4.259,202.8, None, None, None, None, None, -8.0, None, None, None, None, None, None,2018-03-26 14:00:00, None, None, None, None,13
-7.12,92.5, None, None, None,32.75,9.45,212.2, None, None, None, None, None, -8.0, None, None, None, None, None, None,2018-03-26 15:00:00, None, None, None, None,13
-7.55,92.1, None, None, None,27.03,12.5,212.7, None, None, None, None, None, -8.0, None, None, None, None, None, None,2018-03-26 16:00:00, None, None, None, None,13
-7.79,92.1, None, None, None,16.91,20.02,210.1, None, None, None, None, None, -9.0, None, None, None, None, None, None,2018-03-26 17:00:00, None, None, None, None,13
-7.5,92.1, None, None, None,25.27,8.21,186.6, None, None, None, None, None, -8.0, None, None, None, None, None, None,2018-03-26 18:00:00, None, None, None, None,13
-7.82,91.9, None, None, None,32.03,5.977,185.2, None, None, None, None, None, -9.0, None, None, None, None, None, None,2018-03-26 19:00:00, None, None, None, None,13
-7.92,91.8, None, None, None,31.34,6.311,187.8, None, None, None, None, None, -9.0, None, None, None, None, None, None,2018-03-26 20:00:00, None, None, None, None,13
-7.82,92.0, None, None, None,29.7,7.3,186.9, None, None, None, None, None, -9.0, None, None, None, None, None, None,2018-03-26 21:00:00, None, None, None, None,13
-7.67,92.2, None, None, None,29.95,7.33,188.3, None, None, None, None, None, -9.0, None, None, None, None, None, None,2018-03-26 22:00:00, None, None, None, None,13
-7.43,92.2, None, None, None,28.62,9.06,196.0, None, None, None, None, None, -8.0, None, None, None, None, None, None,2018-03-26 23:00:00, None, None, None, None,13
-7.19,92.3, None, None, None,32.78,7.03,198.3, None, None, None, None, None, -8.0, None, None, None, None, None, None,2018-03-27 00:00:00, None, None, None, None,13
-6.894,92.6, None, None, None,27.71,8.43,199.0, None, None, None, None, None, -8.0, None, None, None, None, None, None,2018-03-27 01:00:00, None, None, None, None,13
-6.797,92.6, None, None, None,27.81,7.45,192.2, None, None, None, None, None, -8.0, None, None, None, None, None, None,2018-03-27 02:00:00, None, None, None, None,13
-6.651,92.9, None, None, None,27.19,8.63,192.5, None, None, None, None, None, -7.0, None, None, None, None, None, None,2018-03-27 03:00:00, None, None, None, None,13
-6.554,93.0, None, None, None,26.74,8.83,188.7, None, None, None, None, None, -7.0, None, None, None, None, None, None,2018-03-27 04:00:00, None, None, None, None,13
-6.359,93.0, None, None, None,23.16,11.25,189.5, None, None, None, None, None, -7.0, None, None, None, None, None, None,2018-03-27 05:00:00, None, None, None, None,13
-6.359,93.1, None, None, None,25.26,10.73,178.6, None, None, None, None, None, -7.0, None, None, None, None, None, None,2018-03-27 06:00:00, None, None, None, None,13
-6.31,93.1, None, None, None,23.83,12.52,174.7, None, None, None, None, None, -7.0, None, None, None, None, None, None,2018-03-27 07:00:00, None, None, None, None,13
-6.116,93.1, None, None, None,24.18,10.4,180.5, None, None, None, None, None, -7.0, None, None, None, None, None, None,2018-03-27 08:00:00, None, None, None, None,13
-5.921,93.3, None, None, None,28.92,11.76,194.3, None, None, None, None, None, -7.0, None, None, None, None, None, None,2018-03-27 09:00:00, None, None, None, None,13
-5.775,93.5, None, None, None,22.68,23.53,204.8, None, None, None, None, None, -7.0, None, None, None, None, None, None,2018-03-27 10:00:00, None, None, None, None,13
-5.161,93.8, None, None, None,20.92,26.92,207.7, None, None, None, None, None, -6.0, None, None, None, None, None, None,2018-03-27 11:00:00, None, None, None, None,13
-4.873,94.0, None, None, None,18.3,34.11,207.2, None, None, None, None, None, -6.0, None, None, None, None, None, None,2018-03-27 12:00:00, None, None, None, None,13
-4.192,94.5, None, None, None,16.05,32.75,207.2, None, None, None, None, None, -5.0, None, None, None, None, None, None,2018-03-27 14:00:00, None, None, None, None,13
-4.387,94.3, None, None, None,14.64,28.86,213.1, None, None, None, None, None, -5.0, None, None, None, None, None, None,2018-03-27 15:00:00, None, None, None, None,13
-4.338,94.3, None, None, None,15.84,29.99,217.7, None, None, None, None, None, -5.0, None, None, None, None, None, None,2018-03-27 16:00:00, None, None, None, None,13
-4.746,94.2, None, None, None,16.85,26.77,207.5, None, None, None, None, None, -5.0, None, None, None, None, None, None,2018-03-27 17:00:00, None, None, None, None,13
-5.166,94.0, None, None, None,14.89,28.91,210.7, None, None, None, None, None, -6.0, None, None, None, None, None, None,2018-03-27 18:00:00, None, None, None, None,13
-5.701,93.8, None, None, None,16.15,27.75,213.5, None, None, None, None, None, -6.0, None, None, None, None, None, None,2018-03-27 19:00:00, None, None, None, None,13
-5.888,93.6, None, None, None,15.98,31.58,216.4, None, None, None, None, None, -7.0, None, None, None, None, None, None,2018-03-27 20:00:00, None, None, None, None,13
-5.873,93.6, None, None, None,15.33,28.48,211.0, None, None, None, None, None, -7.0, None, None, None, None, None, None,2018-03-27 21:00:00, None, None, None, None,13
-6.116,93.3, None, None, None,15.92,27.48,215.3, None, None, None, None, None, -7.0, None, None, None, None, None, None,2018-03-27 22:00:00, None, None, None, None,13
-6.262,93.2, None, None, None,13.29,31.75,209.6, None, None, None, None, None, -7.0, None, None, None, None, None, None,2018-03-27 23:00:00, None, None, None, None,13
-6.213,93.3, None, None, None,11.49,32.13,223.6, None, None, None, None, None, -7.0, None, None, None, None, None, None,2018-03-28 00:00:00, None, None, None, None,13
-6.602,93.3, None, None, None,17.24,28.0,210.2, None, None, None, None, None, -7.0, None, None, None, None, None, None,2018-03-28 01:00:00, None, None, None, None,13
-7.04,92.7, None, None, None,15.08,34.19,211.9, None, None, None, None, None, -8.0, None, None, None, None, None, None,2018-03-28 02:00:00, None, None, None, None,13
-7.58,92.5, None, None, None,14.18,35.42,214.4, None, None, None, None, None, -8.0, None, None, None, None, None, None,2018-03-28 03:00:00, None, None, None, None,13
-7.97,92.3, None, None, None,14.62,34.9,216.7, None, None, None, None, None, -9.0, None, None, None, None, None, None,2018-03-28 04:00:00, None, None, None, None,13
-7.91,92.3, None, None, None,18.97,28.16,211.7, None, None, None, None, None, -9.0, None, None, None, None, None, None,2018-03-28 05:00:00, None, None, None, None,13
-8.79,91.5, None, None, None,16.4,29.37,213.9, None, None, None, None, None, -10.0, None, None, None, None, None, None,2018-03-28 06:00:00, None, None, None, None,13
-9.26,91.2, None, None, None,14.9,30.59,214.7, None, None, None, None, None, -10.0, None, None, None, None, None, None,2018-03-28 07:00:00, None, None, None, None,13
-9.65,90.6, None, None, None,17.26,25.65,210.5, None, None, None, None, None, -11.0, None, None, None, None, None, None,2018-03-28 08:00:00, None, None, None, None,13
-9.47,90.7, None, None, None,16.41,25.26,212.1, None, None, None, None, None, -11.0, None, None, None, None, None, None,2018-03-28 09:00:00, None, None, None, None,13
-9.13,91.2, None, None, None,14.17,24.0,215.9, None, None, None, None, None, -10.0, None, None, None, None, None, None,2018-03-28 10:00:00, None, None, None, None,13
-8.96,91.7, None, None, None,13.72,29.33,217.5, None, None, None, None, None, -10.0, None, None, None, None, None, None,2018-03-28 11:00:00, None, None, None, None,13
-9.4,91.4, None, None, None,14.76,30.33,216.6, None, None, None, None, None, -10.0, None, None, None, None, None, None,2018-03-28 12:00:00, None, None, None, None,13
-9.01,91.7, None, None, None,12.57,29.95,221.9, None, None, None, None, None, -10.0, None, None, None, None, None, None,2018-03-28 13:00:00, None, None, None, None,13
-9.11,91.9, None, None, None,11.56,31.72,222.6, None, None, None, None, None, -10.0, None, None, None, None, None, None,2018-03-28 14:00:00, None, None, None, None,13
-8.72,91.9, None, None, None,13.14,33.05,223.4, None, None, None, None, None, -10.0, None, None, None, None, None, None,2018-03-28 15:00:00, None, None, None, None,13
-8.91,91.5, None, None, None,9.88,35.48,226.1, None, None, None, None, None, -10.0, None, None, None, None, None, None,2018-03-28 16:00:00, None, None, None, None,13
-8.91,91.3, None, None, None,11.56,28.24,225.7, None, None, None, None, None, -10.0, None, None, None, None, None, None,2018-03-28 17:00:00, None, None, None, None,13
-9.19,90.9, None, None, None,15.48,24.63,220.1, None, None, None, None, None, -10.0, None, None, None, None, None, None,2018-03-28 18:00:00, None, None, None, None,13
-9.52,90.2, None, None, None,14.1,28.29,219.6, None, None, None, None, None, -11.0, None, None, None, None, None, None,2018-03-28 19:00:00, None, None, None, None,13
-9.52,90.1, None, None, None,12.66,26.34,219.1, None, None, None, None, None, -11.0, None, None, None, None, None, None,2018-03-28 20:00:00, None, None, None, None,13
-9.4,90.0, None, None, None,11.5,25.84,218.1, None, None, None, None, None, -11.0, None, None, None, None, None, None,2018-03-28 21:00:00, None, None, None, None,13
-9.55,89.7, None, None, None,9.25,27.12,223.9, None, None, None, None, None, -11.0, None, None, None, None, None, None,2018-03-28 22:00:00, None, None, None, None,13
-9.55,89.5, None, None, None,10.74,25.59,222.6, None, None, None, None, None, -11.0, None, None, None, None, None, None,2018-03-28 23:00:00, None, None, None, None,13
-9.6,89.4, None, None, None,13.23,23.71,217.9, None, None, None, None, None, -11.0, None, None, None, None, None, None,2018-03-29 00:00:00, None, None, None, None,13
-9.94,88.9, None, None, None,12.87,26.35,225.4, None, None, None, None, None, -11.0, None, None, None, None, None, None,2018-03-29 01:00:00, None, None, None, None,13
-9.84,88.7, None, None, None,14.85,24.23,218.6, None, None, None, None, None, -11.0, None, None, None, None, None, None,2018-03-29 02:00:00, None, None, None, None,13
-9.79,88.2, None, None, None,15.67,23.39,213.4, None, None, None, None, None, -11.0, None, None, None, None, None, None,2018-03-29 03:00:00, None, None, None, None,13
-9.94,88.5, None, None, None,15.39,24.06,211.7, None, None, None, None, None, -11.0, None, None, None, None, None, None,2018-03-29 04:00:00, None, None, None, None,13
-9.94,88.7, None, None, None,15.45,22.05,206.6, None, None, None, None, None, -11.0, None, None, None, None, None, None,2018-03-29 05:00:00, None, None, None, None,13
-10.09,89.1, None, None, None,14.23,21.02,205.5, None, None, None, None, None, -11.0, None, None, None, None, None, None,2018-03-29 06:00:00, None, None, None, None,13
-10.09,89.6, None, None, None,15.03,19.46,202.2, None, None, None, None, None, -11.0, None, None, None, None, None, None,2018-03-29 07:00:00, None, None, None, None,13
-9.74,90.1, None, None, None,17.48,18.68,200.1, None, None, None, None, None, -11.0, None, None, None, None, None, None,2018-03-29 08:00:00, None, None, None, None,13
-9.56,90.1, None, None, None,17.83,17.96,201.3, None, None, None, None, None, -11.0, None, None, None, None, None, None,2018-03-29 09:00:00, None, None, None, None,13
-8.55,90.1, None, None, None,17.47,15.7,202.2, None, None, None, None, None, -10.0, None, None, None, None, None, None,2018-03-29 10:00:00, None, None, None, None,13
-8.13,89.6, None, None, None,18.75,13.39,203.9, None, None, None, None, None, -9.0, None, None, None, None, None, None,2018-03-29 11:00:00, None, None, None, None,13
-8.06,89.6, None, None, None,20.44,13.54,207.8, None, None, None, None, None, -9.0, None, None, None, None, None, None,2018-03-29 12:00:00, None, None, None, None,13
-7.38,89.6, None, None, None,12.99,21.26,221.2, None, None, None, None, None, -9.0, None, None, None, None, None, None,2018-03-29 13:00:00, None, None, None, None,13
-7.3,90.0, None, None, None,11.39,21.29,224.2, None, None, None, None, None, -9.0, None, None, None, None, None, None,2018-03-29 14:00:00, None, None, None, None,13
-7.77,90.1, None, None, None,15.83,17.68,219.2, None, None, None, None, None, -9.0, None, None, None, None, None, None,2018-03-29 15:00:00, None, None, None, None,13
-6.727,91.7, None, None, None,15.5,15.07,218.4, None, None, None, None, None, -8.0, None, None, None, None, None, None,2018-03-29 16:00:00, None, None, None, None,13
-6.868,92.2, None, None, None,18.67,9.19,211.1, None, None, None, None, None, -8.0, None, None, None, None, None, None,2018-03-29 17:00:00, None, None, None, None,13
-7.35,91.9, None, None, None,33.39,7.31,163.2, None, None, None, None, None, -8.0, None, None, None, None, None, None,2018-03-29 18:00:00, None, None, None, None,13
-7.21,92.1, None, None, None,36.12,3.053,190.3, None, None, None, None, None, -8.0, None, None, None, None, None, None,2018-03-29 19:00:00, None, None, None, None,13
-7.29,92.4, None, None, None,33.92,3.568,195.7, None, None, None, None, None, -8.0, None, None, None, None, None, None,2018-03-29 20:00:00, None, None, None, None,13
