TempC,SolarRadiationWm,RH,WindSpeedms,Pressurembar,Rainmm,GustSpeedms,time,WindDirection,DewPtC,week_of_year
-3.124,0.6,79.8,4.29,835.25, 0.0,7.02,2018-04-23 00:00:00,237.3,-6.1,17
-2.976,0.6,80.1,4.68,835.15, 0.0,8.58,2018-04-23 01:00:00,244.3,-5.9,17
-3.183,0.6,79.3,4.09,835.25, 0.0,6.24,2018-04-23 02:00:00,249.9,-6.3,17
-3.065,0.6,81.4,3.9,835.15, 0.0,7.02,2018-04-23 03:00:00,248.5,-5.8,17
-3.242,0.6,79.0,3.9,834.95, 0.0,7.99,2018-04-23 04:00:00,224.6,-6.4,17
-3.183,8.1,78.4,3.12,834.85, 0.0,4.68,2018-04-23 05:00:00,223.2,-6.4,17
-2.363,110.6,75.5,4.87,834.65, 0.0,10.13,2018-04-23 06:00:00,242.9,-6.1,17
-2.131,216.9,73.0,5.46,834.95, 0.0,9.94,2018-04-23 07:00:00,234.5,-6.3,17
-1.185,346.9,71.6,6.82,834.85, 0.0,11.3,2018-04-23 08:00:00,214.8,-5.7,17
-1.441,268.1,70.7,5.65,834.85, 0.0,7.6,2018-04-23 09:00:00,216.2,-6.1,17
-0.93,221.9,70.0,5.26,835.05, 0.0,7.41,2018-04-23 10:00:00,224.6,-5.7,17
-0.423,304.4,67.9,5.46,835.45, 0.0,7.41,2018-04-23 11:00:00,221.8,-5.6,17
-0.088,289.4,67.6,5.46,835.75, 0.0,7.41,2018-04-23 12:00:00,209.2,-5.4,17
0.384,333.1,65.2,6.24,835.85, 0.0,8.58,2018-04-23 13:00:00,202.2,-5.4,17
1.425,613.1,59.8,6.24,835.75, 0.0,8.97,2018-04-23 14:00:00,206.4,-5.5,17
2.262,486.9,55.6,7.21,835.55, 0.0,10.91,2018-04-23 15:00:00,198.0,-5.7,17
2.797,261.9,52.8,6.24,835.55, 0.0,10.33,2018-04-23 16:00:00,205.0,-5.9,17
2.343,158.1,55.8,4.29,835.65, 0.0,6.43,2018-04-23 17:00:00,192.3,-5.6,17
2.021,49.4,56.0,4.48,835.45, 0.0,6.04,2018-04-23 18:00:00,212.0,-5.8,17
1.67,14.4,54.5,2.73,835.05, 0.0,6.24,2018-04-23 19:00:00,221.8,-6.5,17
