AirTemperature,Rain,WindSpeed,SnowDepth,time,WindDirection,RelativeHumidity,week_of_year
7.4,0.0,7.5, None,2018-06-04 00:00:00,246.0,76.0,23
7.4,0.0,6.0, None,2018-06-04 00:15:00,266.0,77.0,23
7.2,0.0,7.0, None,2018-06-04 00:30:00,202.0,78.0,23
7.3,0.0,9.4, None,2018-06-04 00:45:00,183.0,80.0,23
7.1,0.0,6.0, None,2018-06-04 01:00:00,218.0,82.0,23
6.3,0.0,5.6, None,2018-06-04 01:15:00,268.0,86.0,23
6.5,0.0,5.7, None,2018-06-04 01:30:00,203.0,84.0,23
6.4,0.0,6.4, None,2018-06-04 01:45:00,216.0,85.0,23
5.9,0.0,5.1, None,2018-06-04 02:00:00,260.0,87.0,23
5.6,0.0,4.4, None,2018-06-04 02:15:00,219.0,90.0,23
5.2,0.0,5.0, None,2018-06-04 02:30:00,224.0,88.0,23
4.4,0.0,4.2, None,2018-06-04 02:45:00,283.0,91.0,23
4.4,0.0,3.1, None,2018-06-04 03:00:00,180.0,92.0,23
4.7,0.0,5.5, None,2018-06-04 03:15:00,205.0,90.0,23
4.5,0.0,5.8, None,2018-06-04 03:30:00,210.0,93.0,23
5.3,0.0,7.5, None,2018-06-04 03:45:00,211.0,89.0,23
5.6,0.0,6.7, None,2018-06-04 04:00:00,201.0,90.0,23
5.4,0.0,5.0, None,2018-06-04 04:15:00,234.0,92.0,23
6.1,0.0,8.0, None,2018-06-04 04:30:00,205.0,88.0,23
5.3,0.0,5.6, None,2018-06-04 04:45:00,261.0,93.0,23
5.9,0.0,6.6, None,2018-06-04 05:00:00,232.0,90.0,23
6.6,0.0,7.3, None,2018-06-04 05:15:00,211.0,87.0,23
6.8,0.0,4.4, None,2018-06-04 05:30:00,219.0,87.0,23
6.5,0.0,4.7, None,2018-06-04 05:45:00,258.0,87.0,23
8.4,0.0,6.8, None,2018-06-04 06:00:00,186.0,81.0,23
9.6,0.0,5.7, None,2018-06-04 06:15:00,221.0,78.0,23
10.8,0.0,6.3, None,2018-06-04 06:30:00,158.0,73.0,23
11.8,0.0,2.9, None,2018-06-04 06:45:00,240.0,65.0,23
12.3,0.0,4.3, None,2018-06-04 07:00:00,162.0,61.0,23
13.1,0.0,6.3, None,2018-06-04 07:15:00,242.0,55.0,23
13.6,0.0,5.5, None,2018-06-04 07:30:00,349.0,52.0,23
13.0,0.0,8.7, None,2018-06-04 07:45:00,248.0,51.0,23
12.4,0.0,5.0, None,2018-06-04 08:00:00,267.0,52.0,23
12.0,0.0,10.4, None,2018-06-04 08:15:00,260.0,50.0,23
12.2,0.0,12.5, None,2018-06-04 08:30:00,255.0,51.0,23
14.5,0.0,6.3, None,2018-06-04 08:45:00,275.0,46.0,23
14.7,0.0,8.2, None,2018-06-04 09:00:00,288.0,46.0,23
13.0,0.0,12.0, None,2018-06-04 09:15:00,275.0,47.0,23
12.9,0.0,10.1, None,2018-06-04 09:30:00,276.0,49.0,23
13.1,0.0,12.2, None,2018-06-04 09:45:00,247.0,46.0,23
13.7,0.0,6.9, None,2018-06-04 10:00:00,284.0,47.0,23
14.2,0.0,6.7, None,2018-06-04 10:15:00,240.0,42.0,23
13.4,0.0,13.1, None,2018-06-04 10:30:00,268.0,48.0,23
14.7,0.0,9.3, None,2018-06-04 10:45:00,303.0,42.0,23
14.4,0.0,8.4, None,2018-06-04 11:00:00,221.0,45.0,23
14.3,0.0,8.9, None,2018-06-04 11:15:00,269.0,45.0,23
