WDIR_VECT,TEMP_MEAN,WSPD_SCLR,HUMIDITY,avg_rel_hum_pst1hr,time,avg_air_temp_pst1hr,week_of_year
None, 5.7,0.74, 91.0, 96.1,2018-06-04 00:00:00, 4.593,23
None, 4.6,0.595, 96.1, 97.2,2018-06-04 01:00:00, 3.746,23
None, 3.7,0.87, 97.2, 97.3,2018-06-04 02:00:00, 2.343,23
None, 2.3,1.046, 97.3, 97.8,2018-06-04 03:00:00, 1.095,23
None, 1.1,0.97, 97.8, 98.3,2018-06-04 04:00:00, 0.368,23
None, 0.4,0.906, 98.3, 98.6,2018-06-04 05:00:00, 0.291999,23
None, 0.3,1.109, 98.6, 98.6,2018-06-04 06:00:00, 0.456,23
None, 0.5,0.950999, 98.6, 98.2,2018-06-04 07:00:00, 2.041,23
None, 2.0,0.977998, 98.2, 97.6,2018-06-04 08:00:00, 4.265,23
None, 4.3,1.222, 97.6, 80.7,2018-06-04 09:00:00, 7.73,23
None, 7.7,3.698, 80.7, 50.97,2018-06-04 10:00:00, 9.9,23
None, 9.9,4.32, 51.0, 48.79,2018-06-04 11:00:00, 10.21,23
None, 10.2,3.483, 48.8, 48.41,2018-06-04 12:00:00, 10.71,23
None, 10.7,5.021, 48.4, 47.97,2018-06-04 13:00:00, 10.74,23
None, 10.7,2.668, 48.0, 46.75,2018-06-04 14:00:00, 11.3,23
None, 11.3,3.655, 46.8, 39.03,2018-06-04 15:00:00, 12.5,23
None, 12.5,4.42, 39.0, 33.58,2018-06-04 16:00:00, 13.42,23
None, 13.4,5.357, 33.6, 35.77,2018-06-04 17:00:00, 12.88,23
None, 12.9,4.171, 35.8, 38.69,2018-06-04 18:00:00, 12.48,23
None, 12.5,4.613, 38.7, 37.94,2018-06-04 19:00:00, 12.39,23
None, 12.4,4.138, 37.9, 40.0,2018-06-04 20:00:00, 11.7,23
None, 11.7,3.404, 40.0, 44.57,2018-06-04 21:00:00, 10.22,23
None, 10.2,1.844, 44.6, 51.78,2018-06-04 22:00:00, 8.47,23
None, 8.5,1.681, 51.8, 63.98,2018-06-04 23:00:00, 6.543,23
None, 6.5,1.051, 64.0, 71.3,2018-06-05 00:00:00, 5.013,23
None, 5.0,0.773998, 71.3, 77.1,2018-06-05 01:00:00, 3.956,23
None, 4.0,1.099, 77.1, 84.7,2018-06-05 02:00:00, 2.985,23
None, 3.0,1.257, 84.7, 88.8,2018-06-05 03:00:00, 1.93,23
None, 1.9,1.441, 88.8, 92.0,2018-06-05 04:00:00, 1.237,23
None, 1.2,1.3, 92.0, 92.9,2018-06-05 05:00:00, 0.801998,23
None, 0.8,1.549, 92.9, 91.0,2018-06-05 06:00:00, 1.005,23
None, 1.0,1.713, 91.0, 84.8,2018-06-05 07:00:00, 2.493,23
None, 2.5,2.007, 84.8, 75.8,2018-06-05 08:00:00, 4.515,23
None, 4.5,1.669, 75.8, 61.67,2018-06-05 09:00:00, 7.63,23
None, 7.6,2.316, 61.7, 52.67,2018-06-05 10:00:00, 9.89,23
None, 9.9,2.994, 52.7, 49.25,2018-06-05 11:00:00, 10.86,23
None, 10.9,1.882, 49.3, 46.98,2018-06-05 12:00:00, 11.45,23
None, 11.5,3.342, 47.0, 41.59,2018-06-05 13:00:00, 12.57,23
None, 12.6,2.321, 41.6, 50.29,2018-06-05 14:00:00, 12.07,23
None, 12.1,2.956, 50.3, 54.3,2018-06-05 15:00:00, 12.33,23
None, 12.3,1.806, 54.3, 56.89,2018-06-05 16:00:00, 12.06,23
None, 12.1,1.409, 56.9, 50.56,2018-06-05 17:00:00, 13.1,23
None, 13.1,2.543, 50.6, 42.68,2018-06-05 18:00:00, 13.45,23
None, 13.5,2.676, 42.7, 68.87,2018-06-05 19:00:00, 10.4,23
None, 10.4,2.025, 68.9, 73.7,2018-06-05 20:00:00, 9.65,23
None, 9.6,1.888, 73.7, 78.9,2018-06-05 21:00:00, 9.04,23
None, 9.0,1.965, 78.9, 85.3,2018-06-05 22:00:00, 8.49,23
None, 8.5,2.039, 85.3, 87.6,2018-06-05 23:00:00, 8.3,23
None, 8.3,1.497, 87.6, 89.9,2018-06-06 00:00:00, 7.74,23
None, 7.7,1.476, 89.9, 92.1,2018-06-06 01:00:00, 7.08,23
None, 7.1,1.846, 92.1, 94.3,2018-06-06 02:00:00, 6.155,23
None, 6.2,2.079, 94.3, 94.7,2018-06-06 03:00:00, 5.272,23
None, 5.3,1.573, 94.7, 95.2,2018-06-06 04:00:00, 4.783,23
None, 4.8,1.704, 95.2, 96.0,2018-06-06 05:00:00, 4.22,23
None, 4.2,1.841, 96.0, 95.4,2018-06-06 06:00:00, 4.48,23
None, 4.5,1.668, 95.4, 88.6,2018-06-06 07:00:00, 6.585,23
None, 6.6,1.362, 88.6, 69.0,2018-06-06 08:00:00, 10.28,23
None, 10.3,2.427, 69.0, 58.43,2018-06-06 09:00:00, 11.39,23
None, 11.4,2.76, 58.4, 49.34,2018-06-06 10:00:00, 12.0,23
