ONE_DAY_PRECIPITATION,pcpn_amt_pst1hr,snw_dpth_wtr_equiv,SWE,ONE_DAY_SNOW,time,air_temp_1,MIN_TEMP,MAX_TEMP,week_of_year
None, 589.0, 1.0, None, None,2018-07-09 00:00:00, 17.0, None, None,28
None, 589.0, 2.0, None, None,2018-07-09 01:00:00, 16.6, None, None,28
None, 589.0, 2.0, None, None,2018-07-09 02:00:00, 15.9, None, None,28
None, 589.0, 3.0, None, None,2018-07-09 03:00:00, 12.1, None, None,28
None, 590.0, 3.0, None, None,2018-07-09 04:00:00, 10.1, None, None,28
None, 590.0, 3.0, None, None,2018-07-09 05:00:00, 10.1, None, None,28
None, 590.0, 3.0, None, None,2018-07-09 06:00:00, 9.5, None, None,28
None, 590.0, 3.0, None, None,2018-07-09 07:00:00, 9.6, None, None,28
None, 591.0, 3.0, None, None,2018-07-09 08:00:00, 9.0, None, None,28
None, 591.0, 3.0, None, None,2018-07-09 09:00:00, 8.5, None, None,28
None, 591.0, 3.0, None, None,2018-07-09 10:00:00, 8.2, None, None,28
None, 591.0, 3.0, None, None,2018-07-09 11:00:00, 7.7, None, None,28
None, 591.0, 2.0, None, None,2018-07-09 12:00:00, 7.7, None, None,28
None, 591.0, 2.0, None, None,2018-07-09 13:00:00, 7.8, None, None,28
None, 591.0, 2.0, None, None,2018-07-09 14:00:00, 9.5, None, None,28
None, 591.0, 1.0, None, None,2018-07-09 15:00:00, 13.9, None, None,28
None, 590.0, 1.0, 0.0, None,2018-07-09 16:00:00, 15.1, None, None,28
None, 590.0, 1.0, None, None,2018-07-09 17:00:00, 15.9, None, None,28
None, 589.0, 1.0, None, None,2018-07-09 18:00:00, 16.9, None, None,28
None, 589.0, 1.0, None, None,2018-07-09 19:00:00, 18.0, None, None,28
None, 589.0, 1.0, None, None,2018-07-09 20:00:00, 18.3, None, None,28
None, 589.0, 1.0, None, None,2018-07-09 21:00:00, 19.6, None, None,28
None, 588.0, 1.0, None, None,2018-07-09 22:00:00, 20.4, None, None,28
None, 588.0, 1.0, None, None,2018-07-09 23:00:00, 18.5, None, None,28
None, 588.0, 1.0, None, None,2018-07-10 00:00:00, 19.5, None, None,28
None, 588.0, 2.0, None, None,2018-07-10 01:00:00, 17.9, None, None,28
None, 588.0, 1.0, None, None,2018-07-10 02:00:00, 18.1, None, None,28
None, 589.0, 2.0, None, None,2018-07-10 03:00:00, 16.0, None, None,28
None, 589.0, 2.0, None, None,2018-07-10 04:00:00, 13.5, None, None,28
None, 589.0, 2.0, None, None,2018-07-10 05:00:00, 12.3, None, None,28
None, 589.0, 2.0, None, None,2018-07-10 06:00:00, 11.6, None, None,28
None, 590.0, 2.0, None, None,2018-07-10 07:00:00, 11.3, None, None,28
None, 590.0, 2.0, None, None,2018-07-10 08:00:00, 11.2, None, None,28
None, 590.0, 2.0, None, None,2018-07-10 09:00:00, 12.1, None, None,28
None, 590.0, 2.0, None, None,2018-07-10 10:00:00, 11.8, None, None,28
None, 590.0, 2.0, None, None,2018-07-10 11:00:00, 10.8, None, None,28
None, 590.0, 2.0, None, None,2018-07-10 12:00:00, 9.4, None, None,28
None, 590.0, 2.0, None, None,2018-07-10 13:00:00, 8.7, None, None,28
None, 590.0, 2.0, None, None,2018-07-10 14:00:00, 10.6, None, None,28
None, 590.0, 2.0, None, None,2018-07-10 15:00:00, 10.8, None, None,28
None, 590.0, 2.0, 0.0, None,2018-07-10 16:00:00, 11.3, None, None,28
None, 590.0, 2.0, None, None,2018-07-10 17:00:00, 9.2, None, None,28
None, 591.0, 2.0, None, None,2018-07-10 18:00:00, 7.6, None, None,28
None, 592.0, 2.0, None, None,2018-07-10 19:00:00, 8.6, None, None,28
None, 592.0, 2.0, None, None,2018-07-10 20:00:00, 8.9, None, None,28
None, 592.0, 2.0, None, None,2018-07-10 21:00:00, 8.2, None, None,28
None, 593.0, 2.0, None, None,2018-07-10 22:00:00, 7.2, None, None,28
None, 593.0, 2.0, None, None,2018-07-10 23:00:00, 7.8, None, None,28
None, 593.0, 2.0, None, None,2018-07-11 00:00:00, 8.2, None, None,28
None, 593.0, 2.0, None, None,2018-07-11 01:00:00, 8.0, None, None,28
None, 593.0, 2.0, None, None,2018-07-11 02:00:00, 8.0, None, None,28
None, 593.0, 2.0, None, None,2018-07-11 03:00:00, 8.0, None, None,28
None, 594.0, 2.0, None, None,2018-07-11 04:00:00, 8.0, None, None,28
None, 594.0, 2.0, None, None,2018-07-11 05:00:00, 8.1, None, None,28
None, 594.0, 2.0, None, None,2018-07-11 06:00:00, 8.3, None, None,28
None, 594.0, 2.0, None, None,2018-07-11 07:00:00, 8.2, None, None,28
None, 594.0, 2.0, None, None,2018-07-11 08:00:00, 8.2, None, None,28
None, 594.0, 2.0, None, None,2018-07-11 09:00:00, 8.2, None, None,28
None, 594.0, 2.0, None, None,2018-07-11 10:00:00, 8.0, None, None,28
None, 594.0, 2.0, None, None,2018-07-11 11:00:00, 7.9, None, None,28
None, 594.0, 2.0, None, None,2018-07-11 12:00:00, 7.8, None, None,28
None, 595.0, 2.0, None, None,2018-07-11 13:00:00, 7.9, None, None,28
None, 595.0, 2.0, None, None,2018-07-11 14:00:00, 7.9, None, None,28
None, 595.0, 2.0, None, None,2018-07-11 15:00:00, 9.5, None, None,28
None, 595.0, 2.0, 0.0, None,2018-07-11 16:00:00, 9.3, None, None,28
None, 594.0, 2.0, None, None,2018-07-11 17:00:00, 11.5, None, None,28
None, 594.0, 2.0, None, None,2018-07-11 18:00:00, 11.9, None, None,28
None, 594.0, 2.0, None, None,2018-07-11 19:00:00, 12.5, None, None,28
None, 594.0, 1.0, None, None,2018-07-11 20:00:00, 14.3, None, None,28
None, 594.0, 2.0, None, None,2018-07-11 21:00:00, 14.4, None, None,28
None, 594.0, 2.0, None, None,2018-07-11 22:00:00, 14.0, None, None,28
None, 593.0, 2.0, None, None,2018-07-11 23:00:00, 14.7, None, None,28
None, 593.0, 2.0, None, None,2018-07-12 00:00:00, 15.2, None, None,28
None, 593.0, 2.0, None, None,2018-07-12 01:00:00, 14.2, None, None,28
None, 593.0, 2.0, None, None,2018-07-12 02:00:00, 13.6, None, None,28
None, 593.0, 2.0, None, None,2018-07-12 03:00:00, 12.7, None, None,28
None, 594.0, 3.0, None, None,2018-07-12 04:00:00, 9.9, None, None,28
None, 594.0, 3.0, None, None,2018-07-12 05:00:00, 8.9, None, None,28
None, 594.0, 3.0, None, None,2018-07-12 06:00:00, 8.6, None, None,28
None, 594.0, 3.0, None, None,2018-07-12 07:00:00, 8.2, None, None,28
None, 594.0, 3.0, None, None,2018-07-12 08:00:00, 7.8, None, None,28
None, 594.0, 3.0, None, None,2018-07-12 09:00:00, 7.6, None, None,28
None, 595.0, 3.0, None, None,2018-07-12 10:00:00, 7.5, None, None,28
