WDIR_VECT,TEMP_MEAN,WSPD_SCLR,PRECIP_TOTAL,avg_rel_hum_pst1hr,time,HUMIDITY,avg_air_temp_pst1hr,week_of_year
213.1, 17.0,0.643998,0.0,68.47,2018-08-06 00:00:00, 68.0,17.07,32
133.2, 17.1,1.294,0.0,70.5,2018-08-06 01:00:00, 68.5,16.54,32
116.3, 16.5,0.632,0.0,73.2,2018-08-06 02:00:00, 70.5,15.99,32
94.5, 16.0,1.056,0.0,76.7,2018-08-06 03:00:00, 73.2,15.38,32
117.6, 15.4,1.255,0.0,83.3,2018-08-06 04:00:00, 76.7,14.21,32
113.9, 14.2,0.638998,0.0,84.9,2018-08-06 05:00:00, 83.3,13.94,32
106.3, 13.9,0.354,0.0,84.1,2018-08-06 06:00:00, 84.9,14.27,32
57.3, 14.3,0.653998,0.0,76.6,2018-08-06 07:00:00, 84.1,16.15,32
127.8, 16.2,0.879998,0.0,69.83,2018-08-06 08:00:00, 76.6,18.15,32
151.7, 18.2,0.933,0.0,61.57,2018-08-06 09:00:00, 69.8,20.77,32
117.5, 20.8,2.386,0.0,59.15,2018-08-06 10:00:00, 61.6,21.43,32
120.0, 21.4,2.5,0.0,60.28,2018-08-06 11:00:00, 59.2,20.91,32
143.3, 20.9,2.295,0.0,57.52,2018-08-06 12:00:00, 60.3,21.9,32
210.8, 21.9,3.171,0.0,57.19,2018-08-06 13:00:00, 57.5,21.95,32
216.8, 22.0,3.122,0.0,53.63,2018-08-06 14:00:00, 57.2,22.81,32
219.8, 22.8,2.981,0.0,54.23,2018-08-06 15:00:00, 53.6,22.44,32
214.9, 22.4,2.959,0.0,53.12,2018-08-06 16:00:00, 54.2,22.15,32
210.9, 22.2,3.373,0.0,46.95,2018-08-06 17:00:00, 53.1,23.84,32
216.3, 23.8,3.24,0.0,58.68,2018-08-06 18:00:00, 47.0,20.41,32
209.5, 20.4,2.777,0.0,57.24,2018-08-06 19:00:00, 58.7,20.26,32
206.2, 20.3,2.738,0.0,56.7,2018-08-06 20:00:00, 57.2,20.1,32
204.3, 20.1,2.932,0.0,60.97,2018-08-06 21:00:00, 56.7,18.91,32
208.8, 18.9,3.572,0.0,61.19,2018-08-06 22:00:00, 61.0,18.9,32
216.0, 18.9,2.889,0.0,62.62,2018-08-06 23:00:00, 61.2,18.81,32
214.7, 18.8,2.453,0.0,68.4,2018-08-07 00:00:00, 62.6,17.54,32
206.8, 17.5,2.222,0.0,73.4,2018-08-07 01:00:00, 68.4,16.49,32
212.3, 16.5,0.890999,0.0,73.4,2018-08-07 02:00:00, 73.4,16.42,32
197.9, 16.4,0.601,0.0,73.5,2018-08-07 03:00:00, 73.4,16.4,32
230.8, 16.4,1.069,0.0,74.2,2018-08-07 04:00:00, 73.5,16.14,32
117.2, 16.1,1.51,0.0,81.5,2018-08-07 05:00:00, 74.2,14.65,32
115.0, 14.7,1.509,0.0,85.3,2018-08-07 06:00:00, 81.5,13.79,32
102.6, 13.8,0.648,0.0,74.4,2018-08-07 07:00:00, 85.3,16.68,32
110.0, 16.7,1.141,0.0,67.35,2018-08-07 08:00:00, 74.4,18.78,32
124.1, 18.8,1.827,0.0,66.08,2018-08-07 09:00:00, 67.4,18.93,32
123.6, 18.9,1.546,0.0,57.87,2018-08-07 10:00:00, 66.1,21.27,32
205.6, 21.3,1.952,0.0,53.7,2018-08-07 11:00:00, 57.9,22.38,32
209.0, 22.4,2.674,0.0,52.32,2018-08-07 12:00:00, 53.7,22.57,32
226.1, 22.6,3.395,0.0,55.62,2018-08-07 13:00:00, 52.3,21.75,32
218.3, 21.8,2.733,0.0,54.28,2018-08-07 14:00:00, 55.6,22.39,32
218.4, 22.4,2.806,0.0,50.4,2018-08-07 15:00:00, 54.3,23.68,32
212.2, 23.7,2.198,0.0,47.89,2018-08-07 16:00:00, 50.4,24.33,32
223.0, 24.3,2.398,0.0,46.12,2018-08-07 17:00:00, 47.9,24.81,32
222.0, 24.8,2.312,0.0,46.16,2018-08-07 18:00:00, 46.1,24.27,32
215.3, 24.3,2.231,0.0,53.14,2018-08-07 19:00:00, 46.2,21.89,32
213.3, 21.9,1.705,0.0,62.06,2018-08-07 20:00:00, 53.1,19.05,32
205.3, 19.1,1.384,0.0,63.73,2018-08-07 21:00:00, 62.1,18.53,32
207.9, 18.5,1.534,0.0,63.14,2018-08-07 22:00:00, 63.7,18.42,32
204.6, 18.4,1.655,0.0,61.5,2018-08-07 23:00:00, 63.1,18.59,32
210.1, 18.6,0.759,0.0,63.25,2018-08-08 00:00:00, 61.5,18.14,32
195.7, 18.1,1.123,0.0,63.84,2018-08-08 01:00:00, 63.3,18.52,32
343.5, 18.5,0.708998,0.0,68.67,2018-08-08 02:00:00, 63.8,17.51,32
133.4, 17.5,0.773,0.0,71.3,2018-08-08 03:00:00, 68.7,17.13,32
46.7, 17.1,1.321,0.0,74.0,2018-08-08 04:00:00, 71.3,16.58,32
114.2, 16.6,0.848999,0.0,77.4,2018-08-08 05:00:00, 74.0,15.46,32
99.1, 15.5,0.704999,0.0,78.1,2018-08-08 06:00:00, 77.4,15.45,32
131.8, 15.5,0.777,0.0,72.9,2018-08-08 07:00:00, 78.1,17.02,32
247.1, 17.0,0.449,0.0,64.7,2018-08-08 08:00:00, 72.9,19.96,32
252.3, 20.0,1.285,0.0,56.95,2018-08-08 09:00:00, 64.7,21.97,32
212.0, 22.0,1.865,0.0,55.36,2018-08-08 10:00:00, 57.0,21.9,32
229.7, 21.9,1.975,0.0,49.43,2018-08-08 11:00:00, 55.4,23.66,32
221.9, 23.7,2.064,0.0,52.08,2018-08-08 12:00:00, 49.4,23.01,32
