wind_speed,temperature,avg_wnd_dir_10m_pst10mts,wind_direction,rel_hum,relative_humidity,rnfl_amt_pst24hrs,rnfl_amt_pst1hr,avg_wnd_spd_10m_pst10mts,precipitation,time,week_of_year
9.3, None, None,194.0, None,0.0, None, None, None,0.0,2018-08-06 00:00:00,32
7.4, None, None,194.0, None,0.0, None, None, None,0.0,2018-08-06 01:00:00,32
8.5, None, None,213.0, None,0.0, None, None, None,0.0,2018-08-06 02:00:00,32
5.3, None, None,121.0, None,0.0, None, None, None,0.0,2018-08-06 03:00:00,32
5.8, None, None,167.0, None,0.0, None, None, None,0.0,2018-08-06 04:00:00,32
6.3, None, None,179.0, None,0.0, None, None, None,0.0,2018-08-06 05:00:00,32
6.3, None, None,182.0, None,0.0, None, None, None,0.0,2018-08-06 06:00:00,32
8.1, None, None,216.0, None,0.0, None, None, None,0.0,2018-08-06 07:00:00,32
9.6, None, None,217.0, None,0.0, None, None, None,0.0,2018-08-06 08:00:00,32
9.5, None, None,247.0, None,0.0, None, None, None,0.0,2018-08-06 09:00:00,32
7.4, None, None,249.0, None,0.0, None, None, None,0.0,2018-08-06 10:00:00,32
9.1, None, None,210.0, None,0.0, None, None, None,0.0,2018-08-06 11:00:00,32
9.0, None, None,208.0, None,0.0, None, None, None,0.0,2018-08-06 12:00:00,32
10.1, None, None,271.0, None,0.0, None, None, None,0.0,2018-08-06 13:00:00,32
11.1, None, None,273.0, None,0.0, None, None, None,0.0,2018-08-06 14:00:00,32
10.9, None, None,252.0, None,0.0, None, None, None,0.0,2018-08-06 15:00:00,32
8.6, None, None,318.0, None,0.0, None, None, None,0.0,2018-08-06 16:00:00,32
8.6, None, None,327.0, None,0.0, None, None, None,0.0,2018-08-06 17:00:00,32
5.1, None, None,359.0, None,0.0, None, None, None,0.0,2018-08-06 18:00:00,32
4.9, None, None,141.0, None,0.0, None, None, None,0.0,2018-08-06 19:00:00,32
10.6, None, None,214.0, None,0.0, None, None, None,0.0,2018-08-06 20:00:00,32
11.6, None, None,201.0, None,0.0, None, None, None,0.0,2018-08-06 21:00:00,32
9.7, None, None,208.0, None,0.0, None, None, None,0.0,2018-08-06 22:00:00,32
7.0, None, None,205.0, None,0.0, None, None, None,0.0,2018-08-06 23:00:00,32
8.8, None, None,281.0, None,0.0, None, None, None,0.0,2018-08-07 00:00:00,32
16.3, None, None,316.0, None,0.0, None, None, None,0.0,2018-08-07 01:00:00,32
17.3, None, None,315.0, None,0.0, None, None, None,0.0,2018-08-07 02:00:00,32
18.8, None, None,316.0, None,0.0, None, None, None,0.0,2018-08-07 03:00:00,32
17.1, None, None,319.0, None,0.0, None, None, None,0.0,2018-08-07 04:00:00,32
17.4, None, None,320.0, None,0.0, None, None, None,0.0,2018-08-07 05:00:00,32
15.8, None, None,316.0, None,0.0, None, None, None,0.0,2018-08-07 06:00:00,32
14.4, None, None,317.0, None,0.0, None, None, None,0.0,2018-08-07 07:00:00,32
11.6, None, None,317.0, None,0.0, None, None, None,0.0,2018-08-07 08:00:00,32
8.0, None, None,319.0, None,0.0, None, None, None,0.0,2018-08-07 09:00:00,32
8.5, None, None,334.0, None,0.0, None, None, None,0.0,2018-08-07 10:00:00,32
8.3, None, None,6.0, None,0.0, None, None, None,0.0,2018-08-07 11:00:00,32
9.8, None, None,272.0, None,0.0, None, None, None,0.0,2018-08-07 12:00:00,32
6.2, None, None,359.0, None,0.0, None, None, None,0.0,2018-08-07 13:00:00,32
6.7, None, None,352.0, None,0.0, None, None, None,0.0,2018-08-07 14:00:00,32
6.9, None, None,56.0, None,0.0, None, None, None,0.0,2018-08-07 15:00:00,32
7.3, None, None,36.0, None,0.0, None, None, None,0.0,2018-08-07 16:00:00,32
6.3, None, None,43.0, None,0.0, None, None, None,0.0,2018-08-07 17:00:00,32
6.9, None, None,99.0, None,0.0, None, None, None,0.0,2018-08-07 18:00:00,32
8.7, None, None,102.0, None,0.0, None, None, None,0.0,2018-08-07 19:00:00,32
10.9, None, None,98.0, None,0.0, None, None, None,0.0,2018-08-07 20:00:00,32
10.6, None, None,112.0, None,0.0, None, None, None,0.0,2018-08-07 21:00:00,32
12.4, None, None,110.0, None,0.0, None, None, None,0.0,2018-08-07 22:00:00,32
10.2, None, None,112.0, None,0.0, None, None, None,0.0,2018-08-07 23:00:00,32
8.0, None, None,150.0, None,0.0, None, None, None,0.0,2018-08-08 00:00:00,32
11.4, None, None,180.0, None,0.0, None, None, None,0.0,2018-08-08 01:00:00,32
12.8, None, None,178.0, None,0.0, None, None, None,0.0,2018-08-08 02:00:00,32
9.9, None, None,200.0, None,0.0, None, None, None,0.0,2018-08-08 03:00:00,32
12.2, None, None,205.0, None,0.0, None, None, None,0.0,2018-08-08 04:00:00,32
11.7, None, None,204.0, None,0.0, None, None, None,0.0,2018-08-08 05:00:00,32
10.5, None, None,195.0, None,0.0, None, None, None,0.0,2018-08-08 06:00:00,32
10.2, None, None,192.0, None,0.0, None, None, None,0.0,2018-08-08 07:00:00,32
11.0, None, None,190.0, None,0.0, None, None, None,0.0,2018-08-08 08:00:00,32
10.0, None, None,171.0, None,0.0, None, None, None,0.0,2018-08-08 09:00:00,32
12.8, None, None,194.0, None,0.0, None, None, None,0.0,2018-08-08 10:00:00,32
9.4, None, None,235.0, None,0.0, None, None, None,0.0,2018-08-08 11:00:00,32
10.7, None, None,232.0, None,0.0, None, None, None,0.0,2018-08-08 12:00:00,32
9.6, None, None,236.0, None,0.0, None, None, None,0.0,2018-08-08 13:00:00,32
10.1, None, None,120.0, None,0.0, None, None, None,0.0,2018-08-08 14:00:00,32
9.4, None, None,176.0, None,0.0, None, None, None,0.0,2018-08-08 15:00:00,32
8.5, None, None,148.0, None,0.0, None, None, None,0.0,2018-08-08 16:00:00,32
14.8, None, None,192.0, None,0.0, None, None, None,0.0,2018-08-08 17:00:00,32
9.4, None, None,219.0, None,0.0, None, None, None,0.0,2018-08-08 18:00:00,32
