TempC,SolarRadiationWm,RH,WindSpeedms,Pressurembar,Rainmm,GustSpeedms,time,WindDirection,DewPtC,week_of_year
9.879, 0.6,67.8,0.19,975.15,0.0,0.74,2018-08-20 00:00:00,32.3,4.2,34
8.344, 0.6,73.5,0.19,975.75,0.0,0.74,2018-08-20 01:00:00,30.9,3.9,34
7.393, 0.6,79.1,0.19,976.25,0.0,0.74,2018-08-20 02:00:00,30.9,4.0,34
5.898, 0.6,83.9,0.37,976.85,0.0,0.93,2018-08-20 03:00:00,30.9,3.4,34
5.128, 0.6,87.6,0.19,977.25,0.0,1.11,2018-08-20 04:00:00,30.9,3.2,34
3.958, 1.9,90.3,0.37,977.25,0.0,0.93,2018-08-20 05:00:00,30.9,2.5,34
3.749, 36.9,92.7,0.19,977.55,0.0,0.74,2018-08-20 06:00:00,33.7,2.7,34
5.565, 110.6,92.2,0.37,977.65,0.0,0.74,2018-08-20 07:00:00,33.7,4.4,34
10.81, 303.1,84.6,0.0,977.55,0.0,0.93,2018-08-20 08:00:00,32.3,8.3,34
14.002, 439.4,67.1,0.37,977.05,0.0,1.48,2018-08-20 09:00:00,39.3,8.0,34
18.271, 553.1,55.3,0.56,976.25,0.0,1.86,2018-08-20 10:00:00,14.0,9.2,34
21.056, 624.4,43.1,0.74,975.25,0.0,2.04,2018-08-20 11:00:00,160.0,8.0,34
23.448, 656.9,36.3,0.74,974.65,0.0,2.41,2018-08-20 12:00:00,254.1,7.7,34
26.134, 658.1,30.7,0.74,973.75,0.0,2.41,2018-08-20 13:00:00,234.5,7.6,34
27.776, 630.6,26.3,0.74,972.85,0.0,2.6,2018-08-20 14:00:00,169.9,6.7,34
28.023, 558.1,23.8,0.74,972.05,0.0,2.6,2018-08-20 15:00:00,223.2,5.5,34
28.147, 421.9,22.6,0.74,971.15,0.0,2.78,2018-08-20 16:00:00,200.8,4.8,34
27.235, 126.9,24.6,0.37,970.25,0.0,1.86,2018-08-20 17:00:00,143.2,5.3,34
24.171, 86.9,31.9,0.19,970.05,0.0,1.3,2018-08-20 18:00:00,147.4,6.4,34
21.103, 24.4,36.6,0.19,969.95,0.0,0.93,2018-08-20 19:00:00,141.8,5.7,34
18.247, 0.6,43.5,0.37,969.95,0.0,1.11,2018-08-20 20:00:00,39.3,5.6,34
15.127, 0.6,52.3,0.37,969.95,0.0,1.86,2018-08-20 21:00:00,46.3,5.4,34
13.353, 0.6,58.3,0.37,970.15,0.0,1.48,2018-08-20 22:00:00,25.3,5.3,34
11.54, 0.6,65.1,0.19,970.55,0.0,0.93,2018-08-20 23:00:00,14.0,5.2,34
10.075, 0.6,70.7,0.37,970.85,0.0,0.93,2018-08-21 00:00:00,28.1,5.0,34
8.792, 0.6,76.0,0.37,970.95,0.0,0.93,2018-08-21 01:00:00,37.9,4.8,34
7.67, 0.6,79.8,0.56,970.85,0.0,1.11,2018-08-21 02:00:00,40.7,4.4,34
6.712, 0.6,83.3,0.56,970.75,0.0,0.93,2018-08-21 03:00:00,36.5,4.1,34
5.745, 0.6,86.8,0.37,970.85,0.0,1.11,2018-08-21 04:00:00,44.9,3.7,34
4.973, 0.6,88.8,0.56,970.65,0.0,1.48,2018-08-21 05:00:00,47.7,3.3,34
4.792, 33.1,90.8,0.37,970.65,0.0,0.74,2018-08-21 06:00:00,40.7,3.4,34
6.737, 123.1,89.6,0.19,970.65,0.0,0.93,2018-08-21 07:00:00,47.7,5.2,34
10.956, 225.6,84.9,0.19,970.45,0.0,0.74,2018-08-21 08:00:00,39.3,8.5,34
14.816, 364.4,68.1,0.37,970.05,0.0,2.04,2018-08-21 09:00:00,22.5,9.0,34
18.033, 448.1,53.1,0.56,969.15,0.0,1.67,2018-08-21 10:00:00,35.1,8.4,34
21.366, 520.6,44.3,0.56,968.35,0.0,1.48,2018-08-21 11:00:00,313.1,8.7,34
24.774, 569.4,36.3,0.74,967.45,0.0,2.04,2018-08-21 12:00:00,81.4,8.8,34
26.671, 606.9,29.2,0.74,966.45,0.0,1.67,2018-08-21 13:00:00,202.2,7.3,34
29.09, 609.4,25.7,0.74,965.75,0.0,2.78,2018-08-21 14:00:00,190.9,7.5,34
30.343, 546.9,24.8,0.93,964.95,0.0,3.9,2018-08-21 15:00:00,186.7,8.0,34
30.369, 458.1,25.5,1.11,964.15,0.0,3.34,2018-08-21 16:00:00,228.8,8.4,34
29.389, 75.6,25.6,0.74,963.45,0.0,3.34,2018-08-21 17:00:00,202.2,7.7,34
28.023, 148.1,27.3,0.93,963.15,0.0,3.34,2018-08-21 18:00:00,220.4,7.5,34
21.652, 11.9,37.6,0.37,963.05,0.0,1.48,2018-08-21 19:00:00,141.8,6.6,34
18.628, 0.6,47.3,0.37,963.35,0.0,1.11,2018-08-21 20:00:00,98.3,7.2,34
16.844, 0.6,54.0,0.37,963.75,0.0,1.11,2018-08-21 21:00:00,49.1,7.5,34
14.673, 0.6,61.0,0.37,963.65,0.0,1.11,2018-08-21 22:00:00,46.3,7.2,34
12.992, 0.6,67.9,0.37,963.85,0.0,0.93,2018-08-21 23:00:00,54.8,7.2,34
11.88, 0.6,73.4,0.37,963.95,0.0,0.93,2018-08-22 00:00:00,28.1,7.3,34
10.467, 0.6,77.5,0.37,963.95,0.0,1.11,2018-08-22 01:00:00,42.1,6.7,34
9.682, 0.6,82.2,0.37,963.95,0.0,1.11,2018-08-22 02:00:00,29.5,6.8,34
8.593, 0.6,84.8,0.19,963.65,0.0,1.11,2018-08-22 03:00:00,28.1,6.2,34
8.195, 0.6,87.7,0.37,963.55,0.0,1.11,2018-08-22 04:00:00,30.9,6.3,34
8.22, 1.9,88.5,0.37,963.25,0.0,1.11,2018-08-22 05:00:00,37.9,6.4,34
8.419, 35.6,88.0,0.19,963.15,0.0,0.93,2018-08-22 06:00:00,28.1,6.6,34
11.71, 58.1,86.9,0.19,963.45,0.0,1.11,2018-08-22 07:00:00,49.1,9.6,34
15.438, 409.4,79.0,0.19,963.35,0.0,1.11,2018-08-22 08:00:00,263.9,11.8,34
20.46, 546.9,57.2,0.56,962.45,0.0,1.86,2018-08-22 09:00:00,299.0,11.7,34
23.376, 650.6,44.3,0.74,961.75,0.0,2.23,2018-08-22 10:00:00,227.4,10.6,34
24.363, 736.9,39.7,1.11,961.05,0.0,3.71,2018-08-22 11:00:00,282.2,9.8,34
25.234, 798.1,38.7,1.3,960.65,0.0,4.45,2018-08-22 12:00:00,294.8,10.2,34
23.352, 236.9,40.0,1.3,960.15,0.0,3.9,2018-08-22 13:00:00,251.3,9.0,34
23.184, 248.1,43.3,1.11,959.95,0.0,5.38,2018-08-22 14:00:00,234.5,10.0,34
23.136, 721.9,43.3,0.93,959.65,0.0,3.34,2018-08-22 15:00:00,237.3,10.0,34
22.513, 205.6,43.5,1.3,959.45,0.0,4.82,2018-08-22 16:00:00,265.3,9.5,34
21.294, 98.1,44.1,1.3,959.15,0.0,5.38,2018-08-22 17:00:00,247.1,8.6,34
20.388, 35.6,44.1,1.48,959.25,0.0,6.49,2018-08-22 18:00:00,269.6,7.8,34
19.27, 6.9,45.4,1.11,959.55,0.0,5.38,2018-08-22 19:00:00,290.6,7.2,34
18.343, 0.6,45.5,1.3,960.35,0.0,5.57,2018-08-22 20:00:00,252.7,6.4,34
17.439, 0.6,46.3,1.11,961.15,0.0,4.27,2018-08-22 21:00:00,266.7,5.8,34
15.819, 0.6,50.3,0.93,961.65,0.0,4.27,2018-08-22 22:00:00,247.1,5.5,34
14.721, 0.6,55.3,0.74,962.05,0.0,3.34,2018-08-22 23:00:00,272.4,5.9,34
12.92, 0.6,60.2,0.56,962.45,0.0,2.41,2018-08-23 00:00:00,189.5,5.4,34
11.589, 0.6,66.2,0.56,962.95,0.0,2.6,2018-08-23 01:00:00,188.1,5.5,34
9.509, 0.6,74.3,0.0,963.15,0.0,1.11,2018-08-23 02:00:00,130.6,5.2,34
9.657, 0.6,78.8,0.0,963.35,0.0,1.11,2018-08-23 03:00:00,143.2,6.2,34
10.467, 0.6,77.4,0.19,963.65,0.0,1.3,2018-08-23 04:00:00,19.7,6.7,34
11.419, 0.6,76.6,0.19,963.95,0.0,2.41,2018-08-23 05:00:00,151.6,7.5,34
11.37, 18.1,76.9,0.19,964.25,0.0,2.6,2018-08-23 06:00:00,195.1,7.5,34
12.485, 149.4,79.5,0.19,964.55,0.0,2.04,2018-08-23 07:00:00,130.6,9.0,34
14.194, 354.4,73.8,0.93,964.45,0.0,4.64,2018-08-23 08:00:00,282.2,9.6,34
15.247, 534.4,68.3,1.11,964.05,0.0,4.08,2018-08-23 09:00:00,299.0,9.5,34
15.772, 249.4,63.5,1.3,964.15,0.0,5.01,2018-08-23 10:00:00,255.5,8.9,34
