pcpn_amt_pst24hrs,CURRENT_AIR_TEMPERATURE1,max_air_temp_snc_last_reset,rel_hum,max_wnd_spd_10m_pst1hr,avg_wnd_spd_10m_pst10mts,dwpt_temp,air_temp,min_air_temp_snc_last_reset,pcpn_amt_pst1hr,avg_wnd_dir_10m_pst10mts,snwfl_amt_pst1hr,time,snw_dpth,stn_pres,week_of_year
None,8.76, None, None, None, None, None, None, None, None, None, None,2018-09-17 00:00:00, None, None,38
None,8.48, None, None, None, None, None, None, None, None, None, None,2018-09-17 01:00:00, None, None,38
None,8.29, None, None, None, None, None, None, None, None, None, None,2018-09-17 02:00:00, None, None,38
None,8.4, None, None, None, None, None, None, None, None, None, None,2018-09-17 03:00:00, None, None,38
None,7.8, None, None, None, None, None, None, None, None, None, None,2018-09-17 04:00:00, None, None,38
None,8.11, None, None, None, None, None, None, None, None, None, None,2018-09-17 05:00:00, None, None,38
None,7.84, None, None, None, None, None, None, None, None, None, None,2018-09-17 06:00:00, None, None,38
None,7.8, None, None, None, None, None, None, None, None, None, None,2018-09-17 07:00:00, None, None,38
None,8.3, None, None, None, None, None, None, None, None, None, None,2018-09-17 08:00:00, None, None,38
None,8.98, None, None, None, None, None, None, None, None, None, None,2018-09-17 09:00:00, None, None,38
None,9.33, None, None, None, None, None, None, None, None, None, None,2018-09-17 10:00:00, None, None,38
None,10.11, None, None, None, None, None, None, None, None, None, None,2018-09-17 11:00:00, None, None,38
None,9.92, None, None, None, None, None, None, None, None, None, None,2018-09-17 12:00:00, None, None,38
None,10.59, None, None, None, None, None, None, None, None, None, None,2018-09-17 13:00:00, None, None,38
None,10.77, None, None, None, None, None, None, None, None, None, None,2018-09-17 14:00:00, None, None,38
None,12.09, None, None, None, None, None, None, None, None, None, None,2018-09-17 15:00:00, None, None,38
None,12.75, None, None, None, None, None, None, None, None, None, None,2018-09-17 16:00:00, None, None,38
None,12.98, None, None, None, None, None, None, None, None, None, None,2018-09-17 17:00:00, None, None,38
None,11.73, None, None, None, None, None, None, None, None, None, None,2018-09-17 18:00:00, None, None,38
None,10.08, None, None, None, None, None, None, None, None, None, None,2018-09-17 19:00:00, None, None,38
None,9.04, None, None, None, None, None, None, None, None, None, None,2018-09-17 20:00:00, None, None,38
None,8.68, None, None, None, None, None, None, None, None, None, None,2018-09-17 21:00:00, None, None,38
None,8.38, None, None, None, None, None, None, None, None, None, None,2018-09-17 22:00:00, None, None,38
None,7.99, None, None, None, None, None, None, None, None, None, None,2018-09-17 23:00:00, None, None,38
None,7.19, None, None, None, None, None, None, None, None, None, None,2018-09-18 00:00:00, None, None,38
None,6.435, None, None, None, None, None, None, None, None, None, None,2018-09-18 01:00:00, None, None,38
None,5.268, None, None, None, None, None, None, None, None, None, None,2018-09-18 02:00:00, None, None,38
None,4.553, None, None, None, None, None, None, None, None, None, None,2018-09-18 03:00:00, None, None,38
None,3.935, None, None, None, None, None, None, None, None, None, None,2018-09-18 04:00:00, None, None,38
None,4.04, None, None, None, None, None, None, None, None, None, None,2018-09-18 05:00:00, None, None,38
None,4.116, None, None, None, None, None, None, None, None, None, None,2018-09-18 06:00:00, None, None,38
None,4.412, None, None, None, None, None, None, None, None, None, None,2018-09-18 07:00:00, None, None,38
None,4.697, None, None, None, None, None, None, None, None, None, None,2018-09-18 08:00:00, None, None,38
None,5.298, None, None, None, None, None, None, None, None, None, None,2018-09-18 09:00:00, None, None,38
None,5.594, None, None, None, None, None, None, None, None, None, None,2018-09-18 10:00:00, None, None,38
None,5.556, None, None, None, None, None, None, None, None, None, None,2018-09-18 11:00:00, None, None,38
None,6.88, None, None, None, None, None, None, None, None, None, None,2018-09-18 12:00:00, None, None,38
None,9.01, None, None, None, None, None, None, None, None, None, None,2018-09-18 13:00:00, None, None,38
None,10.68, None, None, None, None, None, None, None, None, None, None,2018-09-18 14:00:00, None, None,38
None,12.13, None, None, None, None, None, None, None, None, None, None,2018-09-18 15:00:00, None, None,38
None,12.11, None, None, None, None, None, None, None, None, None, None,2018-09-18 16:00:00, None, None,38
None,12.29, None, None, None, None, None, None, None, None, None, None,2018-09-18 17:00:00, None, None,38
None,11.79, None, None, None, None, None, None, None, None, None, None,2018-09-18 18:00:00, None, None,38
None,10.12, None, None, None, None, None, None, None, None, None, None,2018-09-18 19:00:00, None, None,38
None,8.31, None, None, None, None, None, None, None, None, None, None,2018-09-18 20:00:00, None, None,38
None,6.999, None, None, None, None, None, None, None, None, None, None,2018-09-18 21:00:00, None, None,38
None,5.867, None, None, None, None, None, None, None, None, None, None,2018-09-18 22:00:00, None, None,38
None,4.543, None, None, None, None, None, None, None, None, None, None,2018-09-18 23:00:00, None, None,38
None,3.887, None, None, None, None, None, None, None, None, None, None,2018-09-19 00:00:00, None, None,38
None,3.08, None, None, None, None, None, None, None, None, None, None,2018-09-19 01:00:00, None, None,38
None,2.36, None, None, None, None, None, None, None, None, None, None,2018-09-19 02:00:00, None, None,38
None,1.934, None, None, None, None, None, None, None, None, None, None,2018-09-19 03:00:00, None, None,38
None,1.262, None, None, None, None, None, None, None, None, None, None,2018-09-19 04:00:00, None, None,38
None,0.903, None, None, None, None, None, None, None, None, None, None,2018-09-19 05:00:00, None, None,38
None,0.298, None, None, None, None, None, None, None, None, None, None,2018-09-19 06:00:00, None, None,38
None,0.23, None, None, None, None, None, None, None, None, None, None,2018-09-19 07:00:00, None, None,38
None,0.201, None, None, None, None, None, None, None, None, None, None,2018-09-19 08:00:00, None, None,38
None,0.533, None, None, None, None, None, None, None, None, None, None,2018-09-19 09:00:00, None, None,38
None,1.536, None, None, None, None, None, None, None, None, None, None,2018-09-19 10:00:00, None, None,38
None,2.067, None, None, None, None, None, None, None, None, None, None,2018-09-19 11:00:00, None, None,38
None,3.566, None, None, None, None, None, None, None, None, None, None,2018-09-19 12:00:00, None, None,38
None,7.49, None, None, None, None, None, None, None, None, None, None,2018-09-19 13:00:00, None, None,38
None,10.74, None, None, None, None, None, None, None, None, None, None,2018-09-19 14:00:00, None, None,38
None,10.19, None, None, None, None, None, None, None, None, None, None,2018-09-19 15:00:00, None, None,38
None,11.03, None, None, None, None, None, None, None, None, None, None,2018-09-19 16:00:00, None, None,38
None,11.3, None, None, None, None, None, None, None, None, None, None,2018-09-19 17:00:00, None, None,38
None,11.16, None, None, None, None, None, None, None, None, None, None,2018-09-19 18:00:00, None, None,38
None,10.17, None, None, None, None, None, None, None, None, None, None,2018-09-19 19:00:00, None, None,38
None,8.38, None, None, None, None, None, None, None, None, None, None,2018-09-19 20:00:00, None, None,38
None,7.07, None, None, None, None, None, None, None, None, None, None,2018-09-19 21:00:00, None, None,38
None,6.531, None, None, None, None, None, None, None, None, None, None,2018-09-19 22:00:00, None, None,38
None,5.87, None, None, None, None, None, None, None, None, None, None,2018-09-19 23:00:00, None, None,38
None,5.326, None, None, None, None, None, None, None, None, None, None,2018-09-20 00:00:00, None, None,38
None,4.611, None, None, None, None, None, None, None, None, None, None,2018-09-20 01:00:00, None, None,38
None,4.955, None, None, None, None, None, None, None, None, None, None,2018-09-20 02:00:00, None, None,38
None,5.05, None, None, None, None, None, None, None, None, None, None,2018-09-20 03:00:00, None, None,38
None,4.687, None, None, None, None, None, None, None, None, None, None,2018-09-20 04:00:00, None, None,38
None,5.547, None, None, None, None, None, None, None, None, None, None,2018-09-20 05:00:00, None, None,38
None,5.403, None, None, None, None, None, None, None, None, None, None,2018-09-20 06:00:00, None, None,38
None,5.624, None, None, None, None, None, None, None, None, None, None,2018-09-20 07:00:00, None, None,38
None,5.872, None, None, None, None, None, None, None, None, None, None,2018-09-20 08:00:00, None, None,38
None,6.274, None, None, None, None, None, None, None, None, None, None,2018-09-20 09:00:00, None, None,38
None,6.639, None, None, None, None, None, None, None, None, None, None,2018-09-20 10:00:00, None, None,38
None,7.29, None, None, None, None, None, None, None, None, None, None,2018-09-20 11:00:00, None, None,38
None,7.96, None, None, None, None, None, None, None, None, None, None,2018-09-20 12:00:00, None, None,38
