CURRENT_AIR_TEMPERATURE1,RELATIVE_HUMIDITY1,PRECIPITATION_NEW,MINIMUM_AIR_TEMPERATURE,max_wnd_spd_10m_pst1hr,WIND_DIRECTION_STD_DEVIATION1,avg_wnd_spd_10m_pst10mts,MEASURED_WIND_DIRECTION1,dwpt_temp,air_temp,min_air_temp_snc_last_reset,DEW_POINT,pcpn_amt_pst1hr,avg_wnd_dir_10m_pst10mts,max_air_temp_snc_last_reset,rel_hum,MAXIMUM_AIR_TEMPERATURE,time,snw_dpth,snwfl_amt_pst1hr,stn_pres,week_of_year
-4.032, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2018-01-22 00:00:00, None, None, None,4
-4.108, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2018-01-22 01:00:00, None, None, None,4
-4.327, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2018-01-22 02:00:00, None, None, None,4
-4.568, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2018-01-22 03:00:00, None, None, None,4
-4.327, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2018-01-22 04:00:00, None, None, None,4
-4.404, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2018-01-22 05:00:00, None, None, None,4
-4.691, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2018-01-22 06:00:00, None, None, None,4
-4.7, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2018-01-22 07:00:00, None, None, None,4
-4.94, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2018-01-22 08:00:00, None, None, None,4
-4.94, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2018-01-22 09:00:00, None, None, None,4
-4.155, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2018-01-22 10:00:00, None, None, None,4
-2.899, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2018-01-22 11:00:00, None, None, None,4
-3.091, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2018-01-22 12:00:00, None, None, None,4
-2.551, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2018-01-22 13:00:00, None, None, None,4
-0.173, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2018-01-22 14:00:00, None, None, None,4
-0.95, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2018-01-22 15:00:00, None, None, None,4
-2.482, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2018-01-22 16:00:00, None, None, None,4
-3.104, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2018-01-22 17:00:00, None, None, None,4
-3.217, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2018-01-22 18:00:00, None, None, None,4
-4.138, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2018-01-22 19:00:00, None, None, None,4
-4.222, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2018-01-22 20:00:00, None, None, None,4
-4.462, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2018-01-22 21:00:00, None, None, None,4
-4.557, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2018-01-22 22:00:00, None, None, None,4
-5.152, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2018-01-22 23:00:00, None, None, None,4
-5.72, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2018-01-23 00:00:00, None, None, None,4
-5.296, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2018-01-23 01:00:00, None, None, None,4
-5.152, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2018-01-23 02:00:00, None, None, None,4
-5.681, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2018-01-23 03:00:00, None, None, None,4
-6.088, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2018-01-23 04:00:00, None, None, None,4
-6.232, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2018-01-23 05:00:00, None, None, None,4
-5.893, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2018-01-23 06:00:00, None, None, None,4
-6.291, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2018-01-23 07:00:00, None, None, None,4
-6.582, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2018-01-23 08:00:00, None, None, None,4
-6.583, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2018-01-23 09:00:00, None, None, None,4
-5.972, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2018-01-23 10:00:00, None, None, None,4
-5.027, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2018-01-23 11:00:00, None, None, None,4
-4.786, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2018-01-23 12:00:00, None, None, None,4
-4.663, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2018-01-23 13:00:00, None, None, None,4
-4.749, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2018-01-23 14:00:00, None, None, None,4
-4.979, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2018-01-23 15:00:00, None, None, None,4
-5.248, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2018-01-23 16:00:00, None, None, None,4
-5.421, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2018-01-23 17:00:00, None, None, None,4
-5.44, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2018-01-23 18:00:00, None, None, None,4
-5.595, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2018-01-23 19:00:00, None, None, None,4
-5.691, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2018-01-23 20:00:00, None, None, None,4
-5.556, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2018-01-23 21:00:00, None, None, None,4
-5.653, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2018-01-23 22:00:00, None, None, None,4
-5.681, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2018-01-23 23:00:00, None, None, None,4
-5.672, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2018-01-24 00:00:00, None, None, None,4
-5.74, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2018-01-24 01:00:00, None, None, None,4
-5.546, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2018-01-24 02:00:00, None, None, None,4
-5.508, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2018-01-24 03:00:00, None, None, None,4
-5.517, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2018-01-24 04:00:00, None, None, None,4
-5.44, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2018-01-24 05:00:00, None, None, None,4
-5.508, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2018-01-24 06:00:00, None, None, None,4
-5.392, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2018-01-24 07:00:00, None, None, None,4
-5.248, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2018-01-24 08:00:00, None, None, None,4
-5.161, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2018-01-24 09:00:00, None, None, None,4
-4.787, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2018-01-24 10:00:00, None, None, None,4
-4.566, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2018-01-24 11:00:00, None, None, None,4
-3.88, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2018-01-24 12:00:00, None, None, None,4
