RELATIVE_HUMIDITY1,STANDARD_SNOW,MINIMUM_AIR_TEMPERATURE,max_wnd_spd_10m_pst1hr,MEASURED_WIND_SPEED1,MEASURED_WIND_DIRECTION1,dwpt_temp,min_air_temp_snc_last_reset,DEW_POINT,ATMOSPHERIC_PRESSURE,avg_wnd_dir_10m_pst10mts,ACTUAL_WIND_DIRECTION,MAXIMUM_AIR_TEMPERATURE,snw_dpth,MAXIMUM_MEASURED_WIND_SPEED1,HEIGHT_OF_SNOW,pcpn_amt_pst24hrs,CURRENT_AIR_TEMPERATURE2,CURRENT_AIR_TEMPERATURE1,PRECIPITATION_NEW,max_air_temp_snc_last_reset,rel_hum,ACTUAL_WIND_SPEED,WIND_DIRECTION_STD_DEVIATION1,avg_wnd_spd_10m_pst10mts,air_temp,mslp,pcpn_amt_pst1hr,snwfl_amt_pst1hr,time,stn_pres,week_of_year
78.1, None, None, None,0.201,65.71, None, None, -8.0,988.0, None, None, None, None, None, 8.21, None, None,-5.408, None, None, None, None,22.91, None, None, None, None, None,2018-12-03 00:00:00, None,49
77.2, None, None, None,0.245,71.5, None, None, -9.0,989.0, None, None, None, None, None, 8.29, None, None,-5.662, None, None, None, None,15.93, None, None, None, None, None,2018-12-03 01:00:00, None,49
76.6, None, None, None,0.097,89.9, None, None, -9.0,988.0, None, None, None, None, None, 8.25, None, None,-5.986, None, None, None, None,40.56, None, None, None, None, None,2018-12-03 02:00:00, None,49
74.9, None, None, None,0.416,70.5, None, None, -9.0,989.0, None, None, None, None, None, 8.3, None, None,-6.16, None, None, None, None,20.0, None, None, None, None, None,2018-12-03 03:00:00, None,49
74.8, None, None, None,0.402,73.5, None, None, -10.0,989.0, None, None, None, None, None, 8.24, None, None,-6.553, None, None, None, None,18.68, None, None, None, None, None,2018-12-03 04:00:00, None,49
74.6, None, None, None,0.186,78.8, None, None, -10.0,989.0, None, None, None, None, None, 8.29, None, None,-6.938, None, None, None, None,19.05, None, None, None, None, None,2018-12-03 05:00:00, None,49
74.4, None, None, None,0.198,108.6, None, None, -11.0,988.0, None, None, None, None, None, 8.54, None, None,-7.29, None, None, None, None,22.86, None, None, None, None, None,2018-12-03 06:00:00, None,49
74.3, None, None, None,0.213,134.1, None, None, -11.0,988.0, None, None, None, None, None, 8.42, None, None,-7.69, None, None, None, None,31.12, None, None, None, None, None,2018-12-03 07:00:00, None,49
74.2, None, None, None,0.487,139.1, None, None, -12.0,988.0, None, None, None, None, None, 8.45, None, None,-8.21, None, None, None, None,21.01, None, None, None, None, None,2018-12-03 09:00:00, None,49
73.8, None, None, None,0.759,144.8, None, None, -12.0,988.0, None, None, None, None, None, 8.46, None, None,-8.33, None, None, None, None,20.45, None, None, None, None, None,2018-12-03 10:00:00, None,49
