RELATIVE_HUMIDITY1,STANDARD_SNOW,MINIMUM_AIR_TEMPERATURE,max_wnd_spd_10m_pst1hr,MEASURED_WIND_SPEED1,MEASURED_WIND_DIRECTION1,dwpt_temp,min_air_temp_snc_last_reset,DEW_POINT,ATMOSPHERIC_PRESSURE,avg_wnd_dir_10m_pst10mts,ACTUAL_WIND_DIRECTION,MAXIMUM_AIR_TEMPERATURE,snw_dpth,MAXIMUM_MEASURED_WIND_SPEED1,HEIGHT_OF_SNOW,pcpn_amt_pst24hrs,CURRENT_AIR_TEMPERATURE2,CURRENT_AIR_TEMPERATURE1,PRECIPITATION_NEW,max_air_temp_snc_last_reset,rel_hum,ACTUAL_WIND_SPEED,WIND_DIRECTION_STD_DEVIATION1,avg_wnd_spd_10m_pst10mts,air_temp,pcpn_amt_pst1hr,snwfl_amt_pst1hr,time,stn_pres,week_of_year
54.7, None, None, None,20.69,37.48, None, None, -20.0, None, None, None, None, None, None, None, None, None, -13.1, None, None, None, None,10.61, None, None, None, None,2018-02-12 00:00:00, None,7
53.83, None, None, None,20.06,42.53, None, None, -20.0, None, None, None, None, None, None, None, None, None, -13.65, None, None, None, None,8.41, None, None, None, None,2018-02-12 01:00:00, None,7
54.12, None, None, None,18.02,42.29, None, None, -21.0, None, None, None, None, None, None, None, None, None, -14.12, None, None, None, None,9.43, None, None, None, None,2018-02-12 02:00:00, None,7
54.28, None, None, None,5.977,56.06, None, None, -22.0, None, None, None, None, None, None, None, None, None, -15.31, None, None, None, None,25.49, None, None, None, None,2018-02-12 03:00:00, None,7
54.36, None, None, None,1.427,339.6, None, None, -22.0, None, None, None, None, None, None, None, None, None, -15.37, None, None, None, None,41.28, None, None, None, None,2018-02-12 04:00:00, None,7
61.77, None, None, None,1.23,350.5, None, None, -20.0, None, None, None, None, None, None, None, None, None, -15.14, None, None, None, None,58.65, None, None, None, None,2018-02-12 05:00:00, None,7
54.44, None, None, None,0.215,334.5, None, None, -22.0, None, None, None, None, None, None, None, None, None, -15.74, None, None, None, None,73.3, None, None, None, None,2018-02-12 06:00:00, None,7
54.59, None, None, None,3.041,235.6, None, None, -22.0, None, None, None, None, None, None, None, None, None, -15.19, None, None, None, None,34.26, None, None, None, None,2018-02-12 07:00:00, None,7
55.26, None, None, None,4.125,222.4, None, None, -21.0, None, None, None, None, None, None, None, None, None, -14.51, None, None, None, None,19.01, None, None, None, None,2018-02-12 08:00:00, None,7
55.82, None, None, None,4.52,231.2, None, None, -20.0, None, None, None, None, None, None, None, None, None, -14.08, None, None, None, None,23.24, None, None, None, None,2018-02-12 09:00:00, None,7
56.19, None, None, None,6.98,215.7, None, None, -20.0, None, None, None, None, None, None, None, None, None, -13.65, None, None, None, None,18.64, None, None, None, None,2018-02-12 10:00:00, None,7
56.44, None, None, None,6.131,210.8, None, None, -19.0, None, None, None, None, None, None, None, None, None, -12.86, None, None, None, None,19.95, None, None, None, None,2018-02-12 11:00:00, None,7
54.66, None, None, None,10.57,198.3, None, None, -19.0, None, None, None, None, None, None, None, None, None, -12.62, None, None, None, None,15.25, None, None, None, None,2018-02-12 12:00:00, None,7
52.88, None, None, None,10.49,202.9, None, None, -17.0, None, None, None, None, None, None, None, None, None, -10.37, None, None, None, None,17.48, None, None, None, None,2018-02-12 13:00:00, None,7
53.74, None, None, None,10.59,206.4, None, None, -18.0, None, None, None, None, None, None, None, None, None, -10.95, None, None, None, None,17.36, None, None, None, None,2018-02-12 14:00:00, None,7
54.68, None, None, None,10.5,200.5, None, None, -18.0, None, None, None, None, None, None, None, None, None, -11.08, None, None, None, None,19.68, None, None, None, None,2018-02-12 15:00:00, None,7
58.99, None, None, None,10.22,203.2, None, None, -17.0, None, None, None, None, None, None, None, None, None, -11.11, None, None, None, None,19.44, None, None, None, None,2018-02-12 16:00:00, None,7
54.78, None, None, None,12.77,192.2, None, None, -18.0, None, None, None, None, None, None, None, None, None, -11.78, None, None, None, None,13.38, None, None, None, None,2018-02-12 17:00:00, None,7
55.8, None, None, None,10.72,186.5, None, None, -19.0, None, None, None, None, None, None, None, None, None, -12.39, None, None, None, None,9.54, None, None, None, None,2018-02-12 18:00:00, None,7
56.73, None, None, None,5.94,183.8, None, None, -19.0, None, None, None, None, None, None, None, None, None, -12.5, None, None, None, None,13.56, None, None, None, None,2018-02-12 19:00:00, None,7
64.77, None, None, None,2.314,203.3, None, None, -16.0, None, None, None, None, None, None, None, None, None, -11.58, None, None, None, None,24.43, None, None, None, None,2018-02-12 20:00:00, None,7
58.52, None, None, None,1.635,176.8, None, None, -17.0, None, None, None, None, None, None, None, None, None, -11.3, None, None, None, None,52.73, None, None, None, None,2018-02-12 21:00:00, None,7
63.1, None, None, None,7.17,184.2, None, None, -16.0, None, None, None, None, None, None, None, None, None, -10.85, None, None, None, None,19.08, None, None, None, None,2018-02-12 22:00:00, None,7
60.92, None, None, None,5.152,172.2, None, None, -16.0, None, None, None, None, None, None, None, None, None, -10.55, None, None, None, None,22.27, None, None, None, None,2018-02-12 23:00:00, None,7
61.85, None, None, None,0.966,116.6, None, None, -16.0, None, None, None, None, None, None, None, None, None, -10.27, None, None, None, None,51.23, None, None, None, None,2018-02-13 00:00:00, None,7
64.37, None, None, None,1.91,67.7, None, None, -15.0, None, None, None, None, None, None, None, None, None, -10.07, None, None, None, None,32.84, None, None, None, None,2018-02-13 01:00:00, None,7
58.67, None, None, None,5.085,60.82, None, None, -16.0, None, None, None, None, None, None, None, None, None, -10.0, None, None, None, None,14.75, None, None, None, None,2018-02-13 02:00:00, None,7
59.86, None, None, None,8.0,59.29, None, None, -16.0, None, None, None, None, None, None, None, None, None, -9.99, None, None, None, None,14.24, None, None, None, None,2018-02-13 03:00:00, None,7
53.7, None, None, None,4.93,62.74, None, None, -17.0, None, None, None, None, None, None, None, None, None, -10.14, None, None, None, None,28.67, None, None, None, None,2018-02-13 04:00:00, None,7
57.73, None, None, None,5.393,59.23, None, None, -16.0, None, None, None, None, None, None, None, None, None, -10.47, None, None, None, None,17.62, None, None, None, None,2018-02-13 05:00:00, None,7
57.04, None, None, None,10.1,60.05, None, None, -16.0, None, None, None, None, None, None, None, None, None, -9.88, None, None, None, None,11.73, None, None, None, None,2018-02-13 06:00:00, None,7
66.6, None, None, None,14.59,51.79, None, None, -14.0, None, None, None, None, None, None, None, None, None, -9.32, None, None, None, None,9.53, None, None, None, None,2018-02-13 07:00:00, None,7
67.92, None, None, None,17.22,50.54, None, None, -14.0, None, None, None, None, None, None, None, None, None, -9.27, None, None, None, None,11.35, None, None, None, None,2018-02-13 08:00:00, None,7
63.87, None, None, None,27.43,47.46, None, None, -14.0, None, None, None, None, None, None, None, None, None, -9.27, None, None, None, None,7.89, None, None, None, None,2018-02-13 09:00:00, None,7
61.22, None, None, None,26.95,48.5, None, None, -15.0, None, None, None, None, None, None, None, None, None, -9.28, None, None, None, None,8.62, None, None, None, None,2018-02-13 10:00:00, None,7
64.36, None, None, None,26.04,47.02, None, None, -14.0, None, None, None, None, None, None, None, None, None, -8.75, None, None, None, None,9.39, None, None, None, None,2018-02-13 11:00:00, None,7
61.24, None, None, None,19.29,56.91, None, None, -14.0, None, None, None, None, None, None, None, None, None, -8.43, None, None, None, None,14.79, None, None, None, None,2018-02-13 12:00:00, None,7
63.13, None, None, None,19.49,55.95, None, None, -13.0, None, None, None, None, None, None, None, None, None, -8.23, None, None, None, None,13.52, None, None, None, None,2018-02-13 13:00:00, None,7
65.38, None, None, None,17.15,54.74, None, None, -13.0, None, None, None, None, None, None, None, None, None, -8.34, None, None, None, None,11.88, None, None, None, None,2018-02-13 14:00:00, None,7
68.2, None, None, None,20.87,47.45, None, None, -13.0, None, None, None, None, None, None, None, None, None, -8.22, None, None, None, None,7.03, None, None, None, None,2018-02-13 15:00:00, None,7
67.46, None, None, None,17.01,50.95, None, None, -13.0, None, None, None, None, None, None, None, None, None, -8.28, None, None, None, None,9.13, None, None, None, None,2018-02-13 16:00:00, None,7
69.33, None, None, None,16.52,53.68, None, None, -12.0, None, None, None, None, None, None, None, None, None, -8.08, None, None, None, None,10.92, None, None, None, None,2018-02-13 17:00:00, None,7
69.28, None, None, None,17.26,53.37, None, None, -12.0, None, None, None, None, None, None, None, None, None, -7.94, None, None, None, None,10.02, None, None, None, None,2018-02-13 18:00:00, None,7
69.86, None, None, None,14.26,55.32, None, None, -12.0, None, None, None, None, None, None, None, None, None, -7.85, None, None, None, None,11.08, None, None, None, None,2018-02-13 19:00:00, None,7
70.5, None, None, None,13.65,59.03, None, None, -11.0, None, None, None, None, None, None, None, None, None, -7.54, None, None, None, None,14.95, None, None, None, None,2018-02-13 20:00:00, None,7
70.5, None, None, None,13.66,54.29, None, None, -11.0, None, None, None, None, None, None, None, None, None, -7.45, None, None, None, None,11.78, None, None, None, None,2018-02-13 21:00:00, None,7
70.4, None, None, None,11.65,56.66, None, None, -11.0, None, None, None, None, None, None, None, None, None, -7.4, None, None, None, None,11.03, None, None, None, None,2018-02-13 22:00:00, None,7
71.1, None, None, None,7.13,60.51, None, None, -11.0, None, None, None, None, None, None, None, None, None, -7.13, None, None, None, None,10.99, None, None, None, None,2018-02-13 23:00:00, None,7
70.7, None, None, None,8.73,59.42, None, None, -11.0, None, None, None, None, None, None, None, None, None, -7.13, None, None, None, None,13.24, None, None, None, None,2018-02-14 00:00:00, None,7
70.9, None, None, None,5.165,57.17, None, None, -11.0, None, None, None, None, None, None, None, None, None, -7.04, None, None, None, None,15.61, None, None, None, None,2018-02-14 01:00:00, None,7
71.0, None, None, None,3.042,43.92, None, None, -11.0, None, None, None, None, None, None, None, None, None, -6.962, None, None, None, None,19.74, None, None, None, None,2018-02-14 02:00:00, None,7
71.0, None, None, None,4.26,52.06, None, None, -11.0, None, None, None, None, None, None, None, None, None, -6.892, None, None, None, None,14.76, None, None, None, None,2018-02-14 03:00:00, None,7
70.9, None, None, None,0.609,209.1, None, None, -11.0, None, None, None, None, None, None, None, None, None, -6.823, None, None, None, None,68.62, None, None, None, None,2018-02-14 04:00:00, None,7
71.6, None, None, None,1.086,241.9, None, None, -10.0, None, None, None, None, None, None, None, None, None, -6.575, None, None, None, None,44.2, None, None, None, None,2018-02-14 05:00:00, None,7
