TempC,SolarRadiationWm,RH,Wetness,WindSpeedms,Pressurembar,Rainmm,GustSpeedms,time,WindDirection,DewPtC,week_of_year
-30.27,0.6,80.9,1.18,0.0,935.55,0.0,1.01,2018-02-19 00:00:00, 355.2,-32.5,8
-31.994,0.6,80.4,0.59,0.0,935.95,0.0,0.0,2018-02-19 01:00:00, 355.2,-34.3,8
-32.751,0.6,79.9,1.18,0.0,936.25,0.0,0.25,2018-02-19 02:00:00, 355.2,-35.1,8
-31.261,0.6,79.5,1.76,0.0,936.25,0.0,1.76,2018-02-19 03:00:00, 4.2,-33.7,8
-34.345,0.6,78.5,1.18,0.0,936.55,0.0,0.5,2018-02-19 04:00:00, 348.2,-36.8,8
-34.18,0.6,78.2,1.76,0.0,936.85,0.0,1.26,2018-02-19 05:00:00, 352.4,-36.7,8
-34.845,0.6,77.7,1.76,0.0,937.25,0.0,0.0,2018-02-19 06:00:00, 355.2,-37.4,8
-35.531,0.6,77.2,1.76,0.0,937.35,0.0,0.5,2018-02-19 07:00:00, 355.2,-38.1,8
-32.445,84.4,77.0,8.82,0.0,937.45,0.0,0.0,2018-02-19 08:00:00, 355.2,-35.1,8
-26.371,228.1,75.8,0.0,0.0,936.15,0.0,1.76,2018-02-19 09:00:00, 5.6,-29.4,8
-17.424,326.9,79.0,0.0,0.0,934.15,0.0,2.77,2018-02-19 10:00:00, 82.8,-20.2,8
-14.826,408.1,76.8,0.0,0.76,933.15,0.0,3.02,2018-02-19 11:00:00, 192.3,-18.0,8
-12.751,455.6,72.7,0.0,1.51,932.55,0.0,3.53,2018-02-19 12:00:00, 205.0,-16.6,8
-12.013,445.6,69.5,0.0,1.51,932.05,0.0,4.28,2018-02-19 13:00:00, 202.2,-16.5,8
-11.147,391.9,66.5,0.0,1.26,931.45,0.0,4.28,2018-02-19 14:00:00, 189.5,-16.2,8
-10.406,300.6,65.2,0.0,1.26,930.85,0.0,4.03,2018-02-19 15:00:00, 206.4,-15.7,8
-11.505,181.9,64.3,0.0,1.01,930.55,0.0,3.53,2018-02-19 16:00:00, 224.6,-16.9,8
-14.628,30.6,66.5,0.0,0.25,930.45,0.0,2.27,2018-02-19 17:00:00, 249.9,-19.5,8
-21.966,0.6,79.2,0.0,0.0,930.55,0.0,0.0,2018-02-19 18:00:00, 249.9,-24.6,8
-25.498,0.6,84.8,0.0,0.0,931.15,0.0,0.25,2018-02-19 19:00:00, 249.9,-27.3,8
-26.97,0.6,83.9,0.0,0.0,931.85,0.0,0.76,2018-02-19 20:00:00, 249.9,-28.9,8
-29.187,0.6,82.0,0.0,0.0,932.75,0.0,0.76,2018-02-19 21:00:00, 249.9,-31.3,8
-29.722,0.6,81.3,0.0,0.0,933.55,0.0,0.0,2018-02-19 22:00:00, 249.9,-31.9,8
-29.453,0.6,80.9,0.0,0.0,933.95,0.0,0.76,2018-02-19 23:00:00, 249.9,-31.7,8
-30.479,0.6,80.6,0.0,0.0,934.55,0.0,0.0,2018-02-20 00:00:00, 249.9,-32.8,8
-32.674,0.6,81.1,0.0,0.0,935.25,0.0,1.51,2018-02-20 01:00:00, 249.9,-34.9,8
-29.995,0.6,80.4,0.59,0.0,935.55,0.0,0.25,2018-02-20 02:00:00, 249.9,-32.3,8
-31.845,0.6,79.5,1.18,0.0,935.85,0.0,0.25,2018-02-20 03:00:00, 249.9,-34.2,8
-31.845,0.6,79.4,1.76,0.0,936.35,0.0,0.5,2018-02-20 04:00:00, 249.9,-34.3,8
-28.149,0.6,80.6,2.94,0.0,936.65,0.0,0.5,2018-02-20 05:00:00, 249.9,-30.5,8
-30.132,0.6,80.0,2.94,0.0,936.75,0.0,0.0,2018-02-20 06:00:00, 249.9,-32.5,8
-33.375,0.6,79.1,1.76,0.0,937.55,0.0,0.0,2018-02-20 07:00:00, 249.9,-35.8,8
-28.213,88.1,79.2,7.06,0.0,938.45,0.0,0.25,2018-02-20 08:00:00, 249.9,-30.7,8
-21.966,234.4,80.3,0.0,0.0,937.85,0.0,1.26,2018-02-20 09:00:00, 266.7,-24.5,8
-19.331,336.9,78.4,0.0,0.25,936.75,0.0,2.01,2018-02-20 10:00:00, 0.0,-22.2,8
-19.331,420.6,75.7,0.0,1.01,936.55,0.0,2.52,2018-02-20 11:00:00, 46.3,-22.6,8
-15.305,460.6,73.1,0.0,1.01,936.35,0.0,1.76,2018-02-20 12:00:00, 73.0,-19.0,8
-12.417,451.9,65.1,0.0,0.76,935.85,0.0,2.52,2018-02-20 13:00:00, 47.7,-17.6,8
-10.616,398.1,62.7,0.0,1.26,935.55,0.0,2.52,2018-02-20 14:00:00, 92.7,-16.4,8
-10.023,306.9,62.1,0.0,1.26,935.15,0.0,2.27,2018-02-20 15:00:00, 92.7,-15.9,8
-9.508,188.1,63.4,0.0,1.01,935.15,0.0,2.52,2018-02-20 16:00:00, 98.3,-15.2,8
-11.005,25.6,64.8,0.0,0.5,934.85,0.0,2.77,2018-02-20 17:00:00, 143.2,-16.3,8
-13.352,0.6,72.9,0.0,0.5,934.65,0.0,2.77,2018-02-20 18:00:00, 165.7,-17.2,8
-16.955,0.6,77.6,17.06,0.5,934.55,0.0,2.52,2018-02-20 19:00:00, 137.6,-20.0,8
-19.515,0.6,84.7,0.59,0.0,934.35,0.0,1.76,2018-02-20 20:00:00, 137.6,-21.5,8
-20.356,0.6,85.7,2.94,0.0,934.35,0.0,2.52,2018-02-20 21:00:00, 134.8,-22.2,8
-20.547,0.6,86.9,5.88,0.0,934.15,0.0,1.51,2018-02-20 22:00:00, 188.1,-22.2,8
-16.576,0.6,85.3,12.35,0.0,933.55,0.0,1.76,2018-02-20 23:00:00, 188.1,-18.5,8
-13.772,0.6,80.8,11.18,0.76,932.35,0.0,4.28,2018-02-21 00:00:00, 193.7,-16.4,8
-13.581,0.6,79.1,0.0,1.26,931.35,0.0,4.53,2018-02-21 01:00:00, 189.5,-16.4,8
-14.159,0.6,79.4,0.0,1.26,930.35,0.0,4.78,2018-02-21 02:00:00, 205.0,-17.0,8
-13.315,0.6,77.9,0.0,1.26,929.75,0.0,5.54,2018-02-21 03:00:00, 175.5,-16.4,8
-13.657,0.6,80.6,0.0,1.76,928.75,0.0,5.79,2018-02-21 04:00:00, 161.5,-16.3,8
-13.696,0.6,85.1,0.0,2.01,928.25,0.0,5.79,2018-02-21 05:00:00, 169.9,-15.7,8
-13.657,0.6,85.9,0.0,2.01,928.05,0.0,5.04,2018-02-21 06:00:00, 158.6,-15.5,8
-13.734,0.6,86.1,0.0,2.01,927.75,0.0,6.04,2018-02-21 07:00:00, 157.2,-15.6,8
-13.466,23.1,86.2,0.0,1.51,927.95,0.0,5.29,2018-02-21 08:00:00, 158.6,-15.3,8
-12.938,85.6,86.1,0.0,1.51,928.25,0.0,4.78,2018-02-21 09:00:00, 147.4,-14.8,8
-12.159,181.9,85.1,0.0,1.26,928.45,0.0,3.78,2018-02-21 10:00:00, 144.6,-14.2,8
-11.147,208.1,82.7,0.0,1.26,928.85,0.0,4.28,2018-02-21 11:00:00, 153.0,-13.5,8
-10.092,265.6,81.3,0.0,1.51,929.45,0.0,4.53,2018-02-21 12:00:00, 162.9,-12.7,8
-9.644,269.4,80.2,0.0,1.01,929.95,0.0,3.78,2018-02-21 13:00:00, 169.9,-12.4,8
-9.1,269.4,79.8,0.0,1.01,930.45,0.0,3.78,2018-02-21 14:00:00, 207.8,-12.0,8
-7.026,220.6,77.6,0.0,0.0,931.15,0.0,1.76,2018-02-21 15:00:00, 220.4,-10.3,8
-9.542,64.4,79.0,0.0,0.0,931.65,0.0,1.26,2018-02-21 16:00:00, 220.4,-12.5,8
-10.023,28.1,81.6,0.0,0.0,932.45,0.0,1.26,2018-02-21 17:00:00, 329.9,-12.6,8
-14.786,0.6,86.5,2.94,0.0,933.15,0.0,0.25,2018-02-21 18:00:00, 338.3,-16.6,8
-19.515,0.6,89.3,3.53,0.0,933.85,0.0,0.0,2018-02-21 19:00:00, 338.3,-20.9,8
-21.223,0.6,87.9,6.47,0.0,934.85,0.0,0.5,2018-02-21 20:00:00, 338.3,-22.7,8
-23.835,0.6,86.4,7.06,0.0,935.65,0.0,0.0,2018-02-21 21:00:00, 338.3,-25.5,8
-25.556,0.6,85.3,7.65,0.0,936.55,0.0,1.01,2018-02-21 22:00:00, 11.2,-27.3,8
-25.786,0.6,84.1,8.82,0.0,937.25,0.0,0.0,2018-02-21 23:00:00, 16.8,-27.7,8
-26.97,0.6,83.0,9.41,0.0,938.05,0.0,0.0,2018-02-22 00:00:00, 16.8,-29.0,8
-29.055,0.6,82.5,8.24,0.0,938.55,0.0,0.0,2018-02-22 01:00:00, 16.8,-31.1,8
-28.022,0.6,81.9,10.0,0.0,938.95,0.0,1.76,2018-02-22 02:00:00, 18.3,-30.2,8
-29.995,0.6,81.1,9.41,0.0,939.55,0.0,1.26,2018-02-22 03:00:00, 54.8,-32.2,8
-25.045,0.6,81.6,12.35,0.0,939.35,0.0,1.51,2018-02-22 04:00:00, 54.8,-27.3,8
-21.321,0.6,83.8,15.88,0.0,938.75,0.0,0.76,2018-02-22 05:00:00, 54.8,-23.4,8
-19.7,0.6,85.0,16.47,0.0,938.25,0.0,0.76,2018-02-22 06:00:00, 54.8,-21.6,8
-19.012,0.6,85.7,17.06,0.0,937.95,0.0,0.76,2018-02-22 07:00:00, 54.8,-20.8,8
-16.492,33.1,86.6,20.0,0.0,937.75,0.0,1.26,2018-02-22 08:00:00, 70.2,-18.2,8
-15.506,78.1,86.0,17.65,0.0,937.65,0.0,0.76,2018-02-22 09:00:00, 268.1,-17.3,8
-12.825,148.1,86.7,0.0,0.5,937.25,0.0,2.77,2018-02-22 10:00:00, 221.8,-14.6,8
-10.511,333.1,85.3,0.0,1.01,937.15,0.0,4.53,2018-02-22 11:00:00, 205.0,-12.5,8
-8.066,486.9,81.5,0.0,1.51,936.65,0.0,5.29,2018-02-22 12:00:00, 165.7,-10.7,8
-7.348,464.4,77.8,0.0,2.01,935.95,0.0,5.29,2018-02-22 13:00:00, 198.0,-10.6,8
-6.706,461.9,76.6,0.0,1.51,935.35,0.0,4.28,2018-02-22 14:00:00, 160.0,-10.1,8
-6.294,211.9,76.1,0.0,1.51,934.85,0.0,4.28,2018-02-22 15:00:00, 169.9,-9.8,8
-7.058,185.6,76.2,0.0,1.51,934.25,0.0,4.53,2018-02-22 16:00:00, 150.2,-10.5,8
-8.264,16.9,77.7,0.0,1.01,933.45,0.0,4.03,2018-02-22 17:00:00, 158.6,-11.5,8
-10.023,0.6,84.4,10.59,0.25,932.85,0.0,2.27,2018-02-22 18:00:00, 137.6,-12.2,8
-15.954,0.6,89.1,8.82,0.0,932.55,0.0,1.76,2018-02-22 19:00:00, 186.7,-17.4,8
-13.696,0.6,90.0,20.0,0.0,931.95,0.0,2.01,2018-02-22 20:00:00, 205.0,-15.0,8
-14.353,0.6,90.2,24.71,0.0,931.25,0.0,1.26,2018-02-22 21:00:00, 182.5,-15.6,8
-10.511,0.6,88.7,42.35,0.5,930.65,0.0,3.53,2018-02-22 22:00:00, 171.3,-12.0,8
-8.331,0.6,84.1,54.12,1.01,929.85,0.0,4.78,2018-02-22 23:00:00, 157.2,-10.5,8
-8.033,0.6,80.8,0.0,2.01,929.35,0.0,5.79,2018-02-23 00:00:00, 165.7,-10.8,8
-8.099,0.6,80.8,0.0,2.01,928.85,0.0,5.79,2018-02-23 01:00:00, 165.7,-10.8,8
-8.463,0.6,86.4,11.76,1.76,928.05,0.0,5.04,2018-02-23 02:00:00, 153.0,-10.3,8
-8.663,0.6,89.6,14.71,2.01,927.25,0.0,5.29,2018-02-23 03:00:00, 157.2,-10.1,8
-8.597,0.6,89.9,12.94,2.52,926.05,0.0,5.79,2018-02-23 04:00:00, 158.6,-10.0,8
-8.663,0.6,89.9,12.94,2.27,925.05,0.0,6.55,2018-02-23 05:00:00, 157.2,-10.0,8
-8.597,0.6,90.4,17.06,2.27,924.25,0.0,5.79,2018-02-23 06:00:00, 151.6,-9.9,8
-8.397,0.6,90.8,18.82,2.27,923.55,0.0,5.79,2018-02-23 07:00:00, 150.2,-9.6,8
-8.264,23.1,91.0,13.53,2.27,922.85,0.0,6.8,2018-02-23 08:00:00, 155.8,-9.5,8
-7.935,56.9,90.7,6.47,2.77,921.85,0.0,6.8,2018-02-23 09:00:00, 155.8,-9.2,8
-7.608,76.9,90.0,2.35,2.77,921.25,0.0,6.8,2018-02-23 10:00:00, 160.0,-9.0,8
-7.413,113.1,90.1,0.59,2.77,920.75,0.0,6.8,2018-02-23 11:00:00, 160.0,-8.8,8
-7.122,118.1,89.8,0.0,2.77,920.35,0.0,7.3,2018-02-23 12:00:00, 167.1,-8.5,8
-6.642,230.6,88.9,0.0,2.77,919.75,0.0,6.8,2018-02-23 13:00:00, 161.5,-8.2,8
-6.388,131.9,88.5,0.0,2.77,918.95,0.0,7.05,2018-02-23 14:00:00, 158.6,-8.0,8
-5.76,140.6,88.8,0.0,2.27,918.45,0.0,6.04,2018-02-23 15:00:00, 161.5,-7.3,8
