ONE_DAY_PRECIPITATION,pcpn_amt_pst1hr,snw_dpth_wtr_equiv,SWE,ONE_DAY_SNOW,time,air_temp_1,MIN_TEMP,MAX_TEMP,week_of_year
None, 563.0, 223.0, None, None,2019-03-19 00:00:00, 8.1, None, None,12
None, 563.0, 223.0, None, None,2019-03-19 01:00:00, 7.4, None, None,12
None, 563.0, 223.0, None, None,2019-03-19 02:00:00, 5.6, None, None,12
None, 563.0, 223.0, None, None,2019-03-19 03:00:00, 3.6, None, None,12
None, 563.0, 223.0, None, None,2019-03-19 04:00:00, 3.3, None, None,12
None, 563.0, 223.0, None, None,2019-03-19 05:00:00, 3.0, None, None,12
None, 563.0, 223.0, None, None,2019-03-19 06:00:00, 3.1, None, None,12
None, 563.0, 223.0, None, None,2019-03-19 07:00:00, 2.9, None, None,12
None, 564.0, 223.0, None, None,2019-03-19 08:00:00, 2.8, None, None,12
None, 563.0, 223.0, None, None,2019-03-19 09:00:00, 3.2, None, None,12
None, 563.0, 223.0, None, None,2019-03-19 10:00:00, 3.5, None, None,12
None, 564.0, 223.0, None, None,2019-03-19 11:00:00, 3.1, None, None,12
None, 564.0, 223.0, None, None,2019-03-19 12:00:00, 2.5, None, None,12
None, 564.0, 223.0, None, None,2019-03-19 13:00:00, 2.0, None, None,12
None, 563.0, 223.0, None, None,2019-03-19 14:00:00, 2.2, None, None,12
None, 564.0, 223.0, None, None,2019-03-19 15:00:00, 3.0, None, None,12
None, 563.0, 223.0, 0.0, None,2019-03-19 16:00:00, 3.4, None, None,12
None, 564.0, 223.0, None, None,2019-03-19 17:00:00, 5.9, None, None,12
None, 563.0, 223.0, None, None,2019-03-19 18:00:00, 7.3, None, None,12
None, 563.0, 223.0, None, None,2019-03-19 19:00:00, 9.4, None, None,12
None, 563.0, 222.0, None, None,2019-03-19 20:00:00, 11.6, None, None,12
None, 563.0, 222.0, None, None,2019-03-19 21:00:00, 11.9, None, None,12
