wind_speed,temperature,wind_direction,relative_humidity,time,precipitation,week_of_year
11.7,-2.1,223.0,100.0,2019-03-26 00:00:00,0.0,13
8.2,-2.4,177.0,100.0,2019-03-26 01:00:00,0.0,13
4.0,-2.4,155.0,100.0,2019-03-26 02:00:00,0.0,13
12.4,-2.2,204.0,100.0,2019-03-26 03:00:00,0.0,13
7.1,-2.4,232.0,100.0,2019-03-26 04:00:00,0.0,13
7.3,-2.4,270.0,100.0,2019-03-26 05:00:00,0.0,13
8.9,-3.0,271.0,100.0,2019-03-26 06:00:00,0.0,13
9.1,-2.9,270.0,100.0,2019-03-26 07:00:00,0.0,13
11.4,-3.7,275.0,100.0,2019-03-26 08:00:00,0.0,13
9.9,-3.9,268.0,100.0,2019-03-26 09:00:00,0.0,13
9.1,-3.3,265.0,100.0,2019-03-26 10:00:00,0.0,13
9.8,-2.5,246.0,100.0,2019-03-26 11:00:00,0.0,13
11.4,-1.2,253.0,96.0,2019-03-26 12:00:00,0.0,13
15.0,-0.6,216.0,93.0,2019-03-26 13:00:00,0.0,13
11.6,-1.4,240.0,94.0,2019-03-26 14:00:00,0.0,13
10.7,-0.9,257.0,91.0,2019-03-26 15:00:00,0.0,13
8.7,-2.1,261.0,93.0,2019-03-26 16:00:00,0.0,13
7.9,-2.9,262.0,96.0,2019-03-26 17:00:00,0.0,13
8.2,-3.4,273.0,97.0,2019-03-26 18:00:00,0.0,13
9.5,-4.2,278.0,98.0,2019-03-26 19:00:00,0.0,13
8.2,-4.8,273.0,100.0,2019-03-26 20:00:00,0.0,13
9.6,-4.8,281.0,99.0,2019-03-26 21:00:00,0.0,13
7.5,-5.0,287.0,100.0,2019-03-26 22:00:00,0.0,13
4.9,-5.4,349.0,100.0,2019-03-26 23:00:00,0.0,13
2.1,-5.1,282.0,100.0,2019-03-27 00:00:00,0.0,13
2.1,-4.9,289.0,100.0,2019-03-27 01:00:00,0.0,13
1.8,-5.2,274.0,100.0,2019-03-27 02:00:00,0.0,13
2.7,-5.2,315.0,100.0,2019-03-27 03:00:00,0.0,13
2.0,-4.6,302.0,100.0,2019-03-27 04:00:00,0.0,13
2.2,-5.5,355.0,100.0,2019-03-27 05:00:00,0.0,13
2.7,-5.1,17.0,100.0,2019-03-27 06:00:00,0.0,13
4.8,-4.4,46.0,100.0,2019-03-27 07:00:00,0.0,13
4.9,-2.3,36.0,95.0,2019-03-27 08:00:00,0.0,13
5.8,-1.4,120.0,86.0,2019-03-27 09:00:00,0.0,13
7.1,0.0,107.0,82.0,2019-03-27 10:00:00,0.0,13
8.0,0.9,86.0,75.0,2019-03-27 11:00:00,0.0,13
4.2,1.7,113.0,80.0,2019-03-27 12:00:00,0.0,13
10.7,2.2,86.0,70.0,2019-03-27 13:00:00,0.0,13
9.4,3.6,59.0,64.0,2019-03-27 14:00:00,0.0,13
10.9,3.2,78.0,60.0,2019-03-27 15:00:00,0.0,13
8.5,1.5,64.0,72.0,2019-03-27 16:00:00,0.0,13
9.2,1.0,44.0,76.0,2019-03-27 17:00:00,0.0,13
9.6,-1.1,46.0,79.0,2019-03-27 18:00:00,0.0,13
10.3,-2.1,52.0,80.0,2019-03-27 19:00:00,0.0,13
9.5,-2.5,70.0,80.0,2019-03-27 20:00:00,0.0,13
9.4,-2.6,81.0,77.0,2019-03-27 21:00:00,0.0,13
8.9,-2.3,89.0,74.0,2019-03-27 22:00:00,0.0,13
9.8,-2.2,96.0,73.0,2019-03-27 23:00:00,0.0,13
