CURRENT_AIR_TEMPERATURE1,RELATIVE_HUMIDITY1,max_air_temp_snc_last_reset,max_wnd_spd_10m_pst1hr,WIND_DIRECTION_STD_DEVIATION1,MEASURED_WIND_SPEED1,MEASURED_WIND_DIRECTION1,dwpt_temp,avg_wnd_spd_10m_pst10mts,air_temp,min_air_temp_snc_last_reset,mslp,pcpn_amt_pst1hr,DEW_POINT,ATMOSPHERIC_PRESSURE,avg_wnd_dir_10m_pst10mts,rel_hum,time,stn_pres,week_of_year
1.616,63.72, None, None,26.4, 0.0,68.64, None, None, None, None, None, None,-5.0, 988.0, None, None,2019-04-09 00:00:00, None,15
-0.016,72.06, None, None,14.96, 0.0,78.54, None, None, None, None, None, None,-4.0, 987.0, None, None,2019-04-09 04:00:00, None,15
-0.105,74.38, None, None,19.89, 0.0,81.3, None, None, None, None, None, None,-4.0, 987.0, None, None,2019-04-09 05:00:00, None,15
0.182,74.0, None, None,9.77, 0.0,69.76, None, None, None, None, None, None,-4.0, 985.0, None, None,2019-04-09 06:00:00, None,15
-1.026,78.27, None, None,24.85, 0.0,97.5, None, None, None, None, None, None,-4.0, 986.0, None, None,2019-04-09 07:00:00, None,15
-0.581,80.4, None, None,34.89, 0.0,78.94, None, None, None, None, None, None,-3.0, 987.0, None, None,2019-04-09 08:00:00, None,15
2.058,70.54, None, None,22.85, 0.0,58.01, None, None, None, None, None, None,-3.0, 987.0, None, None,2019-04-09 09:00:00, None,15
3.293,63.55, None, None,13.99, 0.0,282.6, None, None, None, None, None, None,-3.0, 985.0, None, None,2019-04-09 10:00:00, None,15
6.102,47.87, None, None,45.29, 0.0,259.4, None, None, None, None, None, None,-4.0, 985.0, None, None,2019-04-09 11:00:00, None,15
7.896,41.14, None, None,41.81, 0.0,228.4, None, None, None, None, None, None,-5.0, 983.0, None, None,2019-04-09 12:00:00, None,15
7.911,43.77, None, None,42.84, 0.0,244.7, None, None, None, None, None, None,-4.0, 983.0, None, None,2019-04-09 13:00:00, None,15
9.8,35.11, None, None,43.82, 0.0,240.2, None, None, None, None, None, None,-5.0, 980.0, None, None,2019-04-09 14:00:00, None,15
9.81,34.24, None, None,40.9, 0.0,245.5, None, None, None, None, None, None,-5.0, 979.0, None, None,2019-04-09 15:00:00, None,15
11.23,30.83, None, None,38.97, 0.0,240.9, None, None, None, None, None, None,-6.0, 980.0, None, None,2019-04-09 16:00:00, None,15
10.6,31.09, None, None,42.92, 0.0,217.1, None, None, None, None, None, None,-7.0, 976.0, None, None,2019-04-09 17:00:00, None,15
10.72,31.22, None, None,21.15, 0.0,203.7, None, None, None, None, None, None,-5.0, 976.0, None, None,2019-04-09 18:00:00, None,15
