WDIR_VECT,BAR_PRESS,TEMP_MEAN,WSPD_SCLR,HUMIDITY,avg_rel_hum_pst1hr,time,avg_air_temp_pst1hr,week_of_year
277.2, 1014.0, 3.7, 3.997, 49.3, 47.32,2019-04-23 00:00:00, 3.183,17
249.9, 1014.0, 3.2, 3.766, 47.3, 50.43,2019-04-23 01:00:00, 2.889,17
244.0, 1014.0, 2.9, 5.353, 50.4, 55.68,2019-04-23 02:00:00, 1.951,17
240.1, 1014.0, 2.0, 5.716, 55.7, 57.57,2019-04-23 03:00:00, 1.413,17
246.3, 1014.0, 1.4, 3.94, 57.6, 58.02,2019-04-23 04:00:00, 1.118,17
240.6, 1015.0, 1.1, 6.062, 58.0, 59.73,2019-04-23 05:00:00, 0.698,17
256.4, 1015.0, 0.7, 8.49, 59.7, 59.01,2019-04-23 06:00:00, 0.880999,17
259.0, 1015.0, 0.9, 6.491, 59.0, 63.64,2019-04-23 07:00:00, 0.897,17
259.1, 1016.0, 0.9, 5.9, 63.6, 61.04,2019-04-23 08:00:00, 1.213,17
259.1, 1017.0, 1.2, 5.61, 61.0, 56.09,2019-04-23 09:00:00, 1.438,17
264.7, 1017.0, 1.4, 6.513, 56.1, 51.31,2019-04-23 10:00:00, 1.74,17
256.8, 1017.0, 1.7, 6.66, 51.3, 45.4,2019-04-23 11:00:00, 2.242,17
261.2, 1017.0, 2.2, 5.706, 45.4, 38.16,2019-04-23 12:00:00, 3.51,17
256.0, 1017.0, 3.5, 7.801, 38.2, 34.87,2019-04-23 13:00:00, 4.49,17
264.7, 1017.0, 4.5, 6.804, 34.9, 36.31,2019-04-23 14:00:00, 4.975,17
262.4, 1017.0, 5.0, 7.082, 36.3, 36.51,2019-04-23 15:00:00, 5.333,17
262.0, 1017.0, 5.3, 8.49, 36.5, 37.3,2019-04-23 16:00:00, 5.401,17
267.4, 1016.0, 5.4, 9.15, 37.3, 37.3,2019-04-23 17:00:00, 5.302,17
266.5, 1016.0, 5.3, 9.45, 37.3, 39.01,2019-04-23 18:00:00, 4.356,17
265.4, 1016.0, 4.4, 7.998, 39.0, 38.23,2019-04-23 19:00:00, 4.237,17
234.7, 1016.0, 4.2, 9.33, 38.2, 47.72,2019-04-23 20:00:00, 2.875,17
224.8, 1016.0, 2.9, 10.46, 47.7, 50.46,2019-04-23 21:00:00, 1.949,17
225.9, 1016.0, 1.9, 8.24, 50.5, 55.72,2019-04-23 22:00:00, 1.198,17
248.5, 1016.0, 1.2, 9.11, 55.7, 59.93,2019-04-23 23:00:00, 0.87,17
263.6, 1017.0, 0.9, 10.73, 59.9, 79.02,2019-04-24 00:00:00, -0.978999,17
258.1, 1018.0, -1.0, 7.895, 79.0, 71.25,2019-04-24 01:00:00, -1.336,17
246.3, 1018.0, -1.3, 9.85, 71.3, 69.65,2019-04-24 02:00:00, -1.353,17
253.7, 1019.0, -1.4, 9.2, 69.7, 72.14,2019-04-24 03:00:00, -1.849,17
254.0, 1019.0, -1.8, 12.48, 72.1, 65.99,2019-04-24 04:00:00, -2.228,17
254.9, 1020.0, -2.2, 12.28, 66.0, 68.39,2019-04-24 05:00:00, -2.65,17
254.1, 1021.0, -2.7, 9.0, 68.4, 64.36,2019-04-24 06:00:00, -2.855,17
255.0, 1022.0, -2.9, 8.03, 64.4, 60.12,2019-04-24 07:00:00, -2.371,17
258.1, 1023.0, -2.4, 6.804, 60.1, 53.41,2019-04-24 08:00:00, -1.903,17
260.1, 1023.0, -1.9, 4.518, 53.4, 47.87,2019-04-24 09:00:00, -1.028,17
248.7, 1023.0, -1.0, 4.974, 47.9, 38.71,2019-04-24 10:00:00, 0.189998,17
251.8, 1024.0, 0.2, 5.908, 38.7, 32.91,2019-04-24 11:00:00, 1.276,17
269.0, 1024.0, 1.3, 6.529, 32.9, 29.77,2019-04-24 12:00:00, 2.262,17
261.4, 1024.0, 2.3, 6.938, 29.8, 28.7,2019-04-24 13:00:00, 3.601,17
246.7, 1024.0, 3.6, 7.812, 28.7, 22.97,2019-04-24 14:00:00, 4.444,17
240.1, 1024.0, 4.4, 9.27, 23.0, 30.34,2019-04-24 15:00:00, 4.645,17
260.9, 1024.0, 4.6, 9.11, 30.3, 25.52,2019-04-24 16:00:00, 4.585,17
251.8, 1024.0, 4.6, 9.23, 25.5, 28.56,2019-04-24 17:00:00, 4.53,17
262.4, 1024.0, 4.5, 8.6, 28.6, 29.93,2019-04-24 18:00:00, 4.208,17
264.5, 1023.0, 4.2, 7.649, 29.9, 32.16,2019-04-24 19:00:00, 3.731,17
266.0, 1024.0, 3.7, 5.977, 32.2, 38.85,2019-04-24 20:00:00, 2.645,17
259.1, 1024.0, 2.6, 5.855, 38.9, 42.13,2019-04-24 21:00:00, 1.663,17
251.9, 1024.0, 1.7, 6.639, 42.1, 43.23,2019-04-24 22:00:00, 1.016,17
257.3, 1024.0, 1.0, 3.684, 43.2, 50.03,2019-04-24 23:00:00, 0.300998,17
228.2, 1024.0, 0.3, 3.573, 50.0, 50.42,2019-04-25 00:00:00, -0.444999,17
237.3, 1024.0, -0.4, 4.637, 50.4, 50.15,2019-04-25 01:00:00, -0.550998,17
253.3, 1024.0, -0.6, 4.143, 50.2, 51.58,2019-04-25 02:00:00, -0.763998,17
243.2, 1024.0, -0.8, 1.927, 51.6, 56.58,2019-04-25 03:00:00, -1.396,17
262.1, 1024.0, -1.4, 0.929, 56.6, 60.07,2019-04-25 04:00:00, -1.997,17
219.4, 1024.0, -2.0, 1.576, 60.1, 65.64,2019-04-25 05:00:00, -2.298,17
208.6, 1024.0, -2.3, 1.103, 65.6, 60.55,2019-04-25 06:00:00, -2.268,17
231.1, 1024.0, -2.3, 0.615, 60.6, 51.31,2019-04-25 07:00:00, -0.773,17
225.4, 1023.0, -0.8, 0.6, 51.3, 51.83,2019-04-25 08:00:00, 0.643998,17
174.8, 1024.0, 0.6, 1.297, 51.8, 43.15,2019-04-25 09:00:00, 1.679,17
136.0, 1023.0, 1.7, 1.516, 43.2, 38.08,2019-04-25 10:00:00, 2.744,17
105.6, 1023.0, 2.7, 1.772, 38.1, 36.78,2019-04-25 11:00:00, 3.793,17
182.9, 1022.0, 3.8, 2.244, 36.8, 31.08,2019-04-25 12:00:00, 5.041,17
183.0, 1021.0, 5.0, 2.373, 31.1, 26.37,2019-04-25 13:00:00, 6.083,17
191.5, 1021.0, 6.1, 3.434, 26.4, 23.67,2019-04-25 14:00:00, 6.492,17
203.7, 1021.0, 6.5, 3.599, 23.7, 23.74,2019-04-25 15:00:00, 7.426,17
227.9, 1020.0, 7.4, 2.767, 23.7, 21.04,2019-04-25 16:00:00, 7.929,17
199.2, 1020.0, 7.9, 2.246, 21.0, 21.28,2019-04-25 17:00:00, 8.16,17
215.4, 1019.0, 8.2, 2.878, 21.3, 21.7,2019-04-25 18:00:00, 8.44,17
242.2, 1019.0, 8.4, 2.846, 21.7, 20.57,2019-04-25 19:00:00, 7.622,17
248.2, 1018.0, 7.6, 2.975, 20.6, 42.26,2019-04-25 20:00:00, 4.788,17
33.7, 1018.0, 4.8, 4.266, 42.3, 42.26,2019-04-25 21:00:00, 2.882,17
35.1, 1018.0, 2.9, 3.182, 42.3, 44.93,2019-04-25 22:00:00, 1.922,17
46.3, 1018.0, 1.9, 2.438, 44.9, 48.86,2019-04-25 23:00:00, 1.444,17
45.7, 1017.0, 1.4, 1.561, 48.9, 46.92,2019-04-26 00:00:00, 1.621,17
82.5, 1017.0, 1.6, 2.412, 46.9, 48.91,2019-04-26 01:00:00, 0.750998,17
67.1, 1017.0, 0.8, 2.396, 48.9, 51.06,2019-04-26 02:00:00, 0.474999,17
62.6, 1016.0, 0.5, 2.282, 51.1, 52.46,2019-04-26 03:00:00, 0.148,17
66.0, 1016.0, 0.1, 2.298, 52.5, 54.0,2019-04-26 04:00:00, 0.079998,17
67.6, 1016.0, 0.1, 2.325, 54.0, 55.94,2019-04-26 05:00:00, -0.075998,17
67.2, 1015.0, -0.1, 1.825, 55.9, 56.35,2019-04-26 06:00:00, -0.149,17
58.1, 1015.0, -0.1, 1.321, 56.4, 51.87,2019-04-26 07:00:00, 0.428999,17
94.6, 1014.0, 0.4, 1.447, 51.9, 49.71,2019-04-26 08:00:00, 1.353,17
87.1, 1014.0, 1.4, 1.97, 49.7, 51.65,2019-04-26 09:00:00, 2.665,17
179.8, 1014.0, 2.7, 3.776, 51.7, 55.13,2019-04-26 10:00:00, 1.757,17
245.3, 1015.0, 1.8, 3.533, 55.1, 56.97,2019-04-26 11:00:00, 1.316,17
234.1, 1015.0, 1.3, 4.984, 57.0, 51.82,2019-04-26 12:00:00, 2.565,17
229.5, 1014.0, 2.6, 5.338, 51.8, 60.58,2019-04-26 13:00:00, 3.033,17
258.5, 1014.0, 3.0, 5.516, 60.6, 48.8,2019-04-26 14:00:00, 3.683,17
262.7, 1014.0, 3.7, 4.639, 48.8, 42.89,2019-04-26 15:00:00, 5.135,17
254.0, 1013.0, 5.1, 3.961, 42.9, 38.83,2019-04-26 16:00:00, 5.284,17
252.5, 1013.0, 5.3, 4.154, 38.8, 49.0,2019-04-26 17:00:00, 3.643,17
240.7, 1013.0, 3.6, 2.946, 49.0, 88.7,2019-04-26 18:00:00, 1.487,17
325.9, 1013.0, 1.5, 5.528, 88.7, 94.5,2019-04-26 19:00:00, 0.052,17
220.1, 1008.0, 0.1, 5.291, 94.5, 92.2,2019-04-26 20:00:00, -1.325,17
262.3, 1005.0, -1.3, 3.128, 92.2, 89.0,2019-04-26 21:00:00, -1.401,17
276.3, 1005.0, -1.4, 5.403, 89.0, 92.1,2019-04-26 22:00:00, -1.344,17
235.1, 1004.0, -1.3, 5.014, 92.1, 92.3,2019-04-26 23:00:00, -1.804,17
243.4, 1003.0, -1.8, 6.179, 92.3, 86.5,2019-04-27 00:00:00, -2.025,17
242.4, 1002.0, -2.0, 6.499, 86.5, 83.2,2019-04-27 01:00:00, -2.044,17
241.9, 1002.0, -2.0, 8.65, 83.2, 84.9,2019-04-27 02:00:00, -2.112,17
261.3, 1001.0, -2.1, 8.85, 84.9, 84.7,2019-04-27 03:00:00, -2.279,17
261.4, 1001.0, -2.3, 7.209, 84.7, 87.0,2019-04-27 04:00:00, -2.395,17
263.8, 1000.0, -2.4, 6.698, 87.0, 87.4,2019-04-27 05:00:00, -2.348,17
260.0, 1001.0, -2.3, 4.509, 87.4, 89.2,2019-04-27 06:00:00, -2.184,17
290.0, 1002.0, -2.2, 3.787, 89.2, 86.6,2019-04-27 07:00:00, -1.739,17
314.4, 1003.0, -1.7, 3.886, 86.6, 81.7,2019-04-27 08:00:00, -0.901,17
321.0, 1008.0, -0.9, 3.93, 81.7, 75.06,2019-04-27 09:00:00, -0.135,17
271.8, 1018.0, -0.1, 3.869, 75.1, 71.36,2019-04-27 10:00:00, 1.068,17
277.2, 1020.0, 1.1, 2.899, 71.4, 60.22,2019-04-27 11:00:00, 2.181,17
294.8, 1021.0, 2.2, 3.568, 60.2, 41.34,2019-04-27 12:00:00, 3.663,17
346.3, 1021.0, 3.7, 5.518, 41.3, 36.28,2019-04-27 13:00:00, 4.532,17
31.1, 1021.0, 4.5, 5.053, 36.3, 28.83,2019-04-27 14:00:00, 5.368,17
12.1, 1021.0, 5.4, 5.108, 28.8, 25.9,2019-04-27 15:00:00, 5.975,17
355.5, 1022.0, 6.0, 4.78, 25.9, 35.21,2019-04-27 16:00:00, 6.25,17
10.0, 1022.0, 6.3, 4.916, 35.2, 30.64,2019-04-27 17:00:00, 6.181,17
289.0, 1022.0, 6.2, 4.966, 30.6, 45.01,2019-04-27 18:00:00, 5.237,17
305.5, 1023.0, 5.2, 4.222, 45.0, 43.18,2019-04-27 19:00:00, 4.388,17
263.3, 1023.0, 4.4, 2.925, 43.2, 47.99,2019-04-27 20:00:00, 3.984,17
267.3, 1023.0, 4.0, 5.172, 48.0, 53.12,2019-04-27 21:00:00, 2.874,17
266.2, 1024.0, 2.9, 4.06, 53.1, 54.76,2019-04-27 22:00:00, 2.481,17
274.4, 1024.0, 2.5, 2.646, 54.8, 54.46,2019-04-27 23:00:00, 2.131,17
240.1, 1024.0, 2.1, 1.473, 54.5, 55.94,2019-04-28 00:00:00, 1.804,17
250.0, 1024.0, 1.8, 2.131, 55.9, 68.17,2019-04-28 01:00:00, 1.025,17
274.2, 1024.0, 1.0, 3.029, 68.2, 64.29,2019-04-28 02:00:00, 0.601998,17
261.8, 1025.0, 0.6, 3.383, 64.3, 65.0,2019-04-28 03:00:00, 0.273,17
274.0, 1025.0, 0.3, 4.103, 65.0, 72.55,2019-04-28 04:00:00, 0.254,17
278.1, 1025.0, 0.3, 2.498, 72.6, 74.4,2019-04-28 05:00:00, -0.564998,17
249.7, 1025.0, -0.6, 2.531, 74.4, 71.05,2019-04-28 06:00:00, -0.612999,17
250.8, 1025.0, -0.6, 3.116, 71.1, 69.73,2019-04-28 07:00:00, -0.004999,17
270.0, 1026.0, 0.0, 2.623, 69.7, 63.53,2019-04-28 08:00:00, 1.109,17
264.5, 1026.0, 1.1, 1.841, 63.5, 61.29,2019-04-28 09:00:00, 2.39,17
243.9, 1026.0, 2.4, 1.296, 61.3, 52.5,2019-04-28 10:00:00, 2.846,17
261.2, 1026.0, 2.8, 0.782, 52.5, 47.0,2019-04-28 11:00:00, 3.895,17
182.5, 1026.0, 3.9, 3.803, 47.0, 69.91,2019-04-28 12:00:00, 2.287,17
